,H_1s
-62.4721,1.47e-10
-62.46210000000001,2.62e-10
-62.4521,4.61e-10
-62.442099999999996,8.05e-10
-62.432100000000005,1.39e-09
-62.4221,2.37e-09
-62.412099999999995,4.01e-09
-62.402100000000004,6.71e-09
-62.3921,1.11e-08
-62.382099999999994,1.82e-08
-62.3721,2.95e-08
-62.3621,4.73e-08
-62.35210000000001,7.5e-08
-62.3421,1.18e-07
-62.3321,1.83e-07
-62.322100000000006,2.81e-07
-62.3121,4.28e-07
-62.302099999999996,6.45e-07
-62.292100000000005,9.61e-07
-62.2821,1.42e-06
-62.272099999999995,2.07e-06
-62.262100000000004,2.98e-06
-62.2521,4.26e-06
-62.24209999999999,6.03e-06
-62.2321,8.43e-06
-62.2221,1.17e-05
-62.21210000000001,1.6e-05
-62.2021,2.17e-05
-62.192099999999996,2.91e-05
-62.182100000000005,3.86e-05
-62.1721,5.07e-05
-62.162099999999995,6.59e-05
-62.152100000000004,8.47e-05
-62.1421,0.000108
-62.132099999999994,0.000136
-62.1221,0.000169
-62.1121,0.000209
-62.10210000000001,0.000255
-62.0921,0.000308
-62.0821,0.000368
-62.072100000000006,0.000435
-62.0621,0.000509
-62.052099999999996,0.00059
-62.042100000000005,0.000676
-62.0321,0.000767
-62.022099999999995,0.000861
-62.012100000000004,0.000956
-62.0021,0.00105
-61.99209999999999,0.00114
-61.9821,0.00123
-61.9721,0.00131
-61.96210000000001,0.00139
-61.9521,0.00145
-61.942099999999996,0.0015
-61.932100000000005,0.00153
-61.9221,0.00155
-61.912099999999995,0.00156
-61.902100000000004,0.00155
-61.8921,0.00153
-61.882099999999994,0.00149
-61.8721,0.00145
-61.8621,0.00139
-61.85210000000001,0.00132
-61.8421,0.00125
-61.8321,0.00117
-61.822100000000006,0.00109
-61.8121,0.001
-61.802099999999996,0.000924
-61.792100000000005,0.000844
-61.7821,0.000768
-61.772099999999995,0.000696
-61.762100000000004,0.000629
-61.7521,0.000566
-61.74209999999999,0.000508
-61.7321,0.000455
-61.7221,0.000407
-61.71210000000001,0.000362
-61.7021,0.000322
-61.692099999999996,0.000286
-61.682100000000005,0.000253
-61.6721,0.000223
-61.662099999999995,0.000195
-61.652100000000004,0.000171
-61.6421,0.000148
-61.632099999999994,0.000128
-61.6221,0.00011
-61.6121,9.37e-05
-61.60210000000001,7.93e-05
-61.5921,6.66e-05
-61.5821,5.54e-05
-61.572100000000006,4.57e-05
-61.5621,3.74e-05
-61.552099999999996,3.03e-05
-61.542100000000005,2.43e-05
-61.5321,1.93e-05
-61.522099999999995,1.52e-05
-61.512100000000004,1.19e-05
-61.5021,9.16e-06
-61.49209999999999,6.99e-06
-61.4821,5.29e-06
-61.4721,3.95e-06
-61.46210000000001,2.93e-06
-61.4521,2.14e-06
-61.442099999999996,1.55e-06
-61.432100000000005,1.11e-06
-61.4221,7.9e-07
-61.412099999999995,5.55e-07
-61.402100000000004,3.85e-07
-61.3921,2.65e-07
-61.382099999999994,1.8e-07
-61.3721,1.21e-07
-61.3621,8.05e-08
-61.35210000000001,5.3e-08
-61.3421,3.45e-08
-61.3321,2.22e-08
-61.322100000000006,1.42e-08
-61.3121,8.93e-09
-61.302099999999996,5.57e-09
-61.292100000000005,3.43e-09
-61.2821,2.1e-09
-61.272099999999995,1.27e-09
-61.262100000000004,7.56e-10
-61.2521,4.47e-10
-61.24209999999999,2.61e-10
-61.2321,1.51e-10
-61.2221,8.64e-11
-61.21210000000001,4.89e-11
-61.2021,2.74e-11
-61.192099999999996,1.52e-11
-61.182100000000005,8.3e-12
-61.1721,4.5e-12
-61.162099999999995,2.41e-12
-61.152100000000004,1.28e-12
-61.1421,6.71e-13
-61.132099999999994,3.48e-13
-61.1221,1.79e-13
-61.1121,9.09e-14
-61.10210000000001,4.57e-14
-61.0921,2.27e-14
-61.0821,1.12e-14
-61.072100000000006,5.43e-15
-61.0621,2.61e-15
-61.052099999999996,1.24e-15
-61.042100000000005,0.0
-61.0321,0.0
-61.022099999999995,0.0
-61.012100000000004,0.0
-61.0021,0.0
-60.99209999999999,0.0
-60.9821,0.0
-60.9721,0.0
-60.96210000000001,0.0
-60.9521,0.0
-60.942099999999996,0.0
-60.932100000000005,0.0
-60.9221,0.0
-60.912099999999995,0.0
-60.902100000000004,0.0
-60.8921,0.0
-60.882099999999994,0.0
-60.8721,0.0
-60.8621,0.0
-60.85210000000001,0.0
-60.8421,0.0
-60.8321,0.0
-60.822100000000006,0.0
-60.8121,0.0
-60.802099999999996,0.0
-60.792100000000005,0.0
-60.7821,0.0
-60.772099999999995,0.0
-60.762100000000004,0.0
-60.7521,0.0
-60.74209999999999,0.0
-60.7321,0.0
-60.7221,0.0
-60.71210000000001,0.0
-60.7021,0.0
-60.692099999999996,0.0
-60.682100000000005,0.0
-60.6721,0.0
-60.662099999999995,0.0
-60.652100000000004,0.0
-60.6421,0.0
-60.632099999999994,0.0
-60.6221,0.0
-60.6121,0.0
-60.60210000000001,0.0
-60.5921,0.0
-60.5821,0.0
-60.572100000000006,0.0
-60.5621,0.0
-60.552099999999996,0.0
-60.542100000000005,0.0
-60.5321,0.0
-60.522099999999995,0.0
-60.512100000000004,0.0
-60.5021,0.0
-60.49209999999999,0.0
-60.4821,0.0
-60.4721,0.0
-60.46210000000001,0.0
-60.4521,0.0
-60.442099999999996,0.0
-60.432100000000005,0.0
-60.4221,0.0
-60.412099999999995,0.0
-60.402100000000004,0.0
-60.3921,0.0
-60.382099999999994,0.0
-60.3721,0.0
-60.3621,0.0
-60.35210000000001,0.0
-60.3421,0.0
-60.3321,0.0
-60.322100000000006,0.0
-60.3121,0.0
-60.302099999999996,0.0
-60.292100000000005,0.0
-60.2821,0.0
-60.272099999999995,0.0
-60.262100000000004,0.0
-60.2521,0.0
-60.24209999999999,0.0
-60.2321,0.0
-60.2221,0.0
-60.21210000000001,0.0
-60.2021,0.0
-60.192099999999996,0.0
-60.182100000000005,0.0
-60.1721,0.0
-60.162099999999995,0.0
-60.152100000000004,0.0
-60.1421,0.0
-60.132099999999994,0.0
-60.1221,0.0
-60.1121,0.0
-60.10210000000001,0.0
-60.0921,0.0
-60.0821,0.0
-60.072100000000006,0.0
-60.0621,0.0
-60.052099999999996,0.0
-60.042100000000005,0.0
-60.0321,0.0
-60.022099999999995,0.0
-60.012100000000004,0.0
-60.0021,0.0
-59.99209999999999,0.0
-59.9821,0.0
-59.9721,0.0
-59.96210000000001,0.0
-59.9521,0.0
-59.942099999999996,0.0
-59.932100000000005,0.0
-59.9221,0.0
-59.912099999999995,0.0
-59.902100000000004,0.0
-59.8921,0.0
-59.882099999999994,0.0
-59.8721,0.0
-59.8621,0.0
-59.85210000000001,0.0
-59.8421,0.0
-59.8321,0.0
-59.822100000000006,0.0
-59.8121,0.0
-59.802099999999996,0.0
-59.792100000000005,0.0
-59.7821,0.0
-59.772099999999995,0.0
-59.762100000000004,0.0
-59.7521,0.0
-59.74209999999999,0.0
-59.7321,0.0
-59.7221,0.0
-59.71210000000001,0.0
-59.7021,0.0
-59.692099999999996,0.0
-59.682100000000005,0.0
-59.6721,0.0
-59.662099999999995,0.0
-59.652100000000004,0.0
-59.6421,0.0
-59.632099999999994,0.0
-59.6221,0.0
-59.6121,0.0
-59.60210000000001,0.0
-59.5921,0.0
-59.5821,0.0
-59.572100000000006,0.0
-59.5621,0.0
-59.552099999999996,0.0
-59.542100000000005,0.0
-59.5321,0.0
-59.522099999999995,0.0
-59.512100000000004,0.0
-59.5021,0.0
-59.49209999999999,0.0
-59.4821,0.0
-59.4721,0.0
-59.46210000000001,0.0
-59.4521,0.0
-59.442099999999996,0.0
-59.432100000000005,0.0
-59.4221,0.0
-59.412099999999995,0.0
-59.402100000000004,0.0
-59.3921,0.0
-59.382099999999994,0.0
-59.3721,0.0
-59.3621,0.0
-59.35210000000001,0.0
-59.3421,0.0
-59.3321,0.0
-59.322100000000006,0.0
-59.3121,0.0
-59.302099999999996,0.0
-59.2921,0.0
-59.2821,0.0
-59.2721,0.0
-59.262100000000004,0.0
-59.2521,0.0
-59.2421,0.0
-59.2321,0.0
-59.2221,0.0
-59.2121,0.0
-59.2021,0.0
-59.1921,0.0
-59.1821,0.0
-59.1721,0.0
-59.1621,0.0
-59.1521,0.0
-59.1421,0.0
-59.1321,0.0
-59.1221,0.0
-59.1121,0.0
-59.1021,0.0
-59.0921,0.0
-59.0821,0.0
-59.0721,0.0
-59.0621,0.0
-59.0521,0.0
-59.0421,0.0
-59.0321,0.0
-59.0221,0.0
-59.012100000000004,0.0
-59.0021,0.0
-58.9921,0.0
-58.9821,0.0
-58.9721,0.0
-58.9621,0.0
-58.9521,0.0
-58.9421,0.0
-58.9321,0.0
-58.9221,0.0
-58.9121,0.0
-58.9021,0.0
-58.8921,0.0
-58.8821,0.0
-58.8721,0.0
-58.8621,0.0
-58.8521,0.0
-58.8421,0.0
-58.8321,0.0
-58.8221,0.0
-58.8121,0.0
-58.8021,0.0
-58.7921,0.0
-58.7821,0.0
-58.7721,0.0
-58.762100000000004,0.0
-58.7521,0.0
-58.7421,0.0
-58.7321,0.0
-58.7221,0.0
-58.7121,0.0
-58.7021,0.0
-58.6921,0.0
-58.6821,0.0
-58.6721,0.0
-58.6621,0.0
-58.6521,0.0
-58.6421,0.0
-58.6321,0.0
-58.6221,0.0
-58.6121,0.0
-58.6021,0.0
-58.5921,0.0
-58.5821,0.0
-58.5721,0.0
-58.5621,0.0
-58.5521,0.0
-58.5421,0.0
-58.5321,0.0
-58.5221,0.0
-58.512100000000004,0.0
-58.5021,0.0
-58.4921,0.0
-58.4821,0.0
-58.4721,0.0
-58.4621,0.0
-58.4521,0.0
-58.4421,0.0
-58.4321,0.0
-58.4221,0.0
-58.4121,0.0
-58.4021,0.0
-58.3921,0.0
-58.3821,0.0
-58.3721,0.0
-58.3621,0.0
-58.3521,0.0
-58.3421,0.0
-58.3321,0.0
-58.3221,0.0
-58.3121,0.0
-58.3021,0.0
-58.2921,0.0
-58.2821,0.0
-58.2721,0.0
-58.262100000000004,0.0
-58.2521,0.0
-58.2421,0.0
-58.2321,0.0
-58.2221,0.0
-58.2121,0.0
-58.2021,0.0
-58.1921,0.0
-58.1821,0.0
-58.1721,0.0
-58.1621,0.0
-58.1521,0.0
-58.1421,0.0
-58.1321,0.0
-58.1221,0.0
-58.1121,0.0
-58.1021,0.0
-58.0921,0.0
-58.0821,0.0
-58.0721,0.0
-58.0621,0.0
-58.0521,0.0
-58.0421,0.0
-58.0321,0.0
-58.0221,0.0
-58.012100000000004,0.0
-58.0021,0.0
-57.9921,0.0
-57.9821,0.0
-57.9721,0.0
-57.9621,0.0
-57.9521,0.0
-57.9421,0.0
-57.9321,0.0
-57.9221,0.0
-57.9121,0.0
-57.9021,0.0
-57.8921,0.0
-57.8821,0.0
-57.8721,0.0
-57.8621,0.0
-57.8521,0.0
-57.8421,0.0
-57.8321,0.0
-57.8221,0.0
-57.8121,0.0
-57.8021,0.0
-57.7921,0.0
-57.7821,0.0
-57.7721,0.0
-57.762100000000004,0.0
-57.7521,0.0
-57.7421,0.0
-57.7321,0.0
-57.7221,0.0
-57.7121,0.0
-57.7021,0.0
-57.6921,0.0
-57.6821,0.0
-57.6721,0.0
-57.6621,0.0
-57.6521,0.0
-57.6421,0.0
-57.6321,0.0
-57.6221,0.0
-57.6121,0.0
-57.6021,0.0
-57.5921,0.0
-57.5821,0.0
-57.5721,0.0
-57.5621,0.0
-57.5521,0.0
-57.5421,0.0
-57.5321,0.0
-57.5221,0.0
-57.512100000000004,0.0
-57.5021,0.0
-57.4921,0.0
-57.4821,0.0
-57.4721,0.0
-57.4621,0.0
-57.4521,0.0
-57.4421,0.0
-57.4321,0.0
-57.4221,0.0
-57.4121,0.0
-57.4021,0.0
-57.3921,0.0
-57.3821,0.0
-57.3721,0.0
-57.3621,0.0
-57.3521,0.0
-57.3421,0.0
-57.3321,0.0
-57.3221,0.0
-57.3121,0.0
-57.3021,0.0
-57.2921,0.0
