,Mo_3px
-62.4721,5.511284000000001e-09
-62.46210000000001,8.672131999999999e-09
-62.4521,1.3505429999999997e-08
-62.442099999999996,2.0791240000000004e-08
-62.432100000000005,3.17634e-08
-62.4221,4.791693000000002e-08
-62.412099999999995,7.157504e-08
-62.402100000000004,1.058187e-07
-62.3921,1.5484790000000005e-07
-62.382099999999994,2.2398329999999992e-07
-62.3721,3.213475999999999e-07
-62.3621,4.559999999999999e-07
-62.35210000000001,6.40811e-07
-62.3421,8.908669999999997e-07
-62.3321,1.226227e-06
-62.322100000000006,1.6706599999999988e-06
-62.3121,2.2592000000000003e-06
-62.302099999999996,3.0122500000000003e-06
-62.292100000000005,3.980460000000001e-06
-62.2821,5.20985e-06
-62.272099999999995,6.756070000000001e-06
-62.262100000000004,8.677690000000001e-06
-62.2521,1.1034900000000003e-05
-62.24209999999999,1.3894700000000006e-05
-62.2321,1.7336600000000003e-05
-62.2221,2.1476999999999994e-05
-62.21210000000001,2.6247400000000006e-05
-62.2021,3.184079999999998e-05
-62.192099999999996,3.816600000000001e-05
-62.182100000000005,4.542800000000001e-05
-62.1721,5.353899999999999e-05
-62.162099999999995,6.260500000000003e-05
-62.152100000000004,7.2564e-05
-62.1421,8.3238e-05
-62.132099999999994,9.479300000000003e-05
-62.1221,0.00010695800000000004
-62.1121,0.00011954999999999995
-62.10210000000001,0.00013257900000000002
-62.0921,0.00014576600000000005
-62.0821,0.000158932
-62.072100000000006,0.00017174999999999995
-62.0621,0.00018414000000000006
-62.052099999999996,0.00019575000000000001
-62.042100000000005,0.00020653000000000007
-62.0321,0.00021599
-62.022099999999995,0.00022423
-62.012100000000004,0.0002308200000000001
-62.0021,0.00023559
-61.99209999999999,0.00023878000000000001
-61.9821,0.00023987999999999985
-61.9721,0.00023930999999999985
-61.96210000000001,0.00023669999999999995
-61.9521,0.00023237999999999997
-61.942099999999996,0.00022644000000000017
-61.932100000000005,0.00021890999999999998
-61.9221,0.00020993999999999988
-61.912099999999995,0.00019994999999999995
-61.902100000000004,0.0001889299999999999
-61.8921,0.00017725000000000005
-61.882099999999994,0.00016518000000000004
-61.8721,0.00015277999999999996
-61.8621,0.00014051999999999996
-61.85210000000001,0.00012832000000000005
-61.8421,0.000116522
-61.8321,0.00010525399999999996
-61.822100000000006,9.467800000000003e-05
-61.8121,8.469999999999997e-05
-61.802099999999996,7.5604e-05
-61.792100000000005,6.7265e-05
-61.7821,5.969400000000002e-05
-61.772099999999995,5.293299999999998e-05
-61.762100000000004,4.6870800000000005e-05
-61.7521,4.149100000000001e-05
-61.74209999999999,3.6689599999999995e-05
-61.7321,3.254519999999999e-05
-61.7221,2.8747199999999995e-05
-61.71210000000001,2.544519999999999e-05
-61.7021,2.2579800000000004e-05
-61.692099999999996,1.99606e-05
-61.682100000000005,1.762414e-05
