,Mo_3py
-62.4721,5.5132940000000005e-09
-62.46210000000001,8.674119e-09
-62.4521,1.3506700000000002e-08
-62.442099999999996,2.0781709999999997e-08
-62.432100000000005,3.177192e-08
-62.4221,4.791017000000001e-08
-62.412099999999995,7.155739999999999e-08
-62.402100000000004,1.0580319999999998e-07
-62.3921,1.5482090000000004e-07
-62.382099999999994,2.2398649999999994e-07
-62.3721,3.211509e-07
-62.3621,4.5600299999999993e-07
-62.35210000000001,6.405189999999999e-07
-62.3421,8.908999999999996e-07
-62.3321,1.2259540000000002e-06
-62.322100000000006,1.6708759999999993e-06
-62.3121,2.2561500000000004e-06
-62.302099999999996,3.01425e-06
-62.292100000000005,3.98046e-06
-62.2821,5.2103e-06
-62.272099999999995,6.758479999999998e-06
-62.262100000000004,8.67807e-06
-62.2521,1.1033400000000003e-05
-62.24209999999999,1.3899100000000004e-05
-62.2321,1.73356e-05
-62.2221,2.148029999999999e-05
-62.21210000000001,2.6250100000000008e-05
-62.2021,3.18451e-05
-62.192099999999996,3.8164700000000004e-05
-62.182100000000005,4.5431e-05
-62.1721,5.354600000000001e-05
-62.162099999999995,6.261000000000003e-05
-62.152100000000004,7.2531e-05
-62.1421,8.324700000000004e-05
-62.132099999999994,9.481800000000001e-05
-62.1221,0.00010694600000000004
-62.1121,0.00011956499999999996
-62.10210000000001,0.00013259699999999998
-62.0921,0.000145763
-62.0821,0.00015894
-62.072100000000006,0.00017173999999999995
-62.0621,0.00018413000000000004
-62.052099999999996,0.00019573
-62.042100000000005,0.00020650000000000006
-62.0321,0.00021596
-62.022099999999995,0.00022411999999999996
-62.012100000000004,0.00023071000000000007
-62.0021,0.00023545
-61.99209999999999,0.00023851999999999999
-61.9821,0.00023957999999999984
-61.9721,0.00023889999999999982
-61.96210000000001,0.00023621
-61.9521,0.00023172999999999995
-61.942099999999996,0.0002256200000000001
-61.932100000000005,0.00021793
-61.9221,0.0002086799999999999
-61.912099999999995,0.00019845999999999994
-61.902100000000004,0.00018716999999999988
-61.8921,0.00017516000000000008
-61.882099999999994,0.00016272000000000004
