,Mo_4dxy
-62.4721,2.137935999999999e-06
-62.46210000000001,3.4426029999999985e-06
-62.4521,5.482918999999999e-06
-62.442099999999996,8.633202000000003e-06
-62.432100000000005,1.3459899999999998e-05
-62.4221,2.071935e-05
-62.412099999999995,3.1699059999999986e-05
-62.402100000000004,4.785434e-05
-62.3921,7.155589999999998e-05
-62.382099999999994,0.00010584889999999999
-62.3721,0.00015498940000000002
-62.3621,0.00022477619999999992
-62.35210000000001,0.00032178700000000003
-62.3421,0.00045715399999999987
-62.3321,0.0006427569999999999
-62.322100000000006,0.0008936740000000002
-62.3121,0.0012304220000000001
-62.302099999999996,0.0016768490000000004
-62.292100000000005,0.0022570700000000008
-62.2821,0.0030192900000000017
-62.272099999999995,0.00399204
-62.262100000000004,0.005233240000000001
-62.2521,0.0067815
-62.24209999999999,0.00870277
-62.2321,0.011062800000000001
-62.2221,0.0139236
-62.21210000000001,0.017360499999999994
-62.2021,0.021464399999999995
-62.192099999999996,0.02623150000000001
-62.182100000000005,0.031818900000000004
-62.1721,0.038128199999999994
-62.162099999999995,0.045316
-62.152100000000004,0.053319999999999985
-62.1421,0.06231800000000001
-62.132099999999994,0.072135
-62.1221,0.08258700000000002
-62.1121,0.09378899999999998
-62.10210000000001,0.105699
-62.0921,0.11800600000000004
-62.0821,0.13055700000000003
-62.072100000000006,0.14320799999999997
-62.0621,0.15579999999999994
-62.052099999999996,0.16804999999999998
-62.042100000000005,0.17973000000000006
-62.0321,0.19058000000000005
-62.022099999999995,0.20060999999999996
-62.012100000000004,0.20919
-62.0021,0.21645999999999996
-61.99209999999999,0.22208999999999993
-61.9821,0.22611
-61.9721,0.22831999999999994
-61.96210000000001,0.22866
-61.9521,0.22710000000000005
-61.942099999999996,0.22379999999999994
-61.932100000000005,0.2186799999999999
-61.9221,0.21208000000000002
-61.912099999999995,0.20393999999999995
-61.902100000000004,0.19452000000000003
-61.8921,0.18408999999999995
-61.882099999999994,0.17282
-61.8721,0.16103
