,Mo_4dzx
-62.4721,1.3991799999999998e-10
-62.46210000000001,2.2183299999999997e-10
-62.4521,3.473020000000001e-10
-62.442099999999996,5.3916e-10
-62.432100000000005,8.287599999999998e-10
-62.4221,1.26085e-09
-62.412099999999995,1.90196e-09
-62.402100000000004,2.83476e-09
-62.3921,4.184499999999999e-09
-62.382099999999994,6.122299999999998e-09
-62.3721,8.866899999999999e-09
-62.3621,1.27223e-08
-62.35210000000001,1.80812e-08
-62.3421,2.5445e-08
-62.3321,3.5492e-08
-62.322100000000006,4.909900000000001e-08
-62.3121,6.722899999999999e-08
-62.302099999999996,9.1243e-08
-62.292100000000005,1.2275199999999999e-07
-62.2821,1.6373999999999998e-07
-62.272099999999995,2.1646999999999995e-07
-62.262100000000004,2.8376e-07
-62.2521,3.6881e-07
-62.24209999999999,4.7556999999999996e-07
-62.2321,6.082799999999999e-07
-62.2221,7.7155e-07
-62.21210000000001,9.7071e-07
-62.2021,1.2119e-06
-62.192099999999996,1.5020000000000002e-06
-62.182100000000005,1.8465999999999998e-06
-62.1721,2.2532e-06
-62.162099999999995,2.7278000000000004e-06
-62.152100000000004,3.2785e-06
-62.1421,3.9132999999999994e-06
-62.132099999999994,4.6358000000000006e-06
-62.1221,5.447000000000001e-06
-62.1121,6.354700000000001e-06
-62.10210000000001,7.363899999999999e-06
-62.0921,8.459e-06
-62.0821,9.654700000000004e-06
-62.072100000000006,1.0937e-05
-62.0621,1.2288000000000005e-05
-62.052099999999996,1.3707000000000004e-05
-62.042100000000005,1.5161000000000004e-05
-62.0321,1.6646999999999995e-05
-62.022099999999995,1.8138000000000005e-05
-62.012100000000004,1.9609000000000005e-05
-62.0021,2.1028999999999998e-05
-61.99209999999999,2.2365e-05
-61.9821,2.3598e-05
-61.9721,2.4701000000000003e-05
-61.96210000000001,2.5665e-05
-61.9521,2.6437999999999993e-05
-61.942099999999996,2.7022999999999995e-05
-61.932100000000005,2.7408000000000006e-05
-61.9221,2.7590999999999994e-05
-61.912099999999995,2.7557000000000004e-05
-61.902100000000004,2.7335000000000005e-05
-61.8921,2.6911999999999996e-05
-61.882099999999994,2.632599999999999e-05
-61.8721,2.5609999999999994e-05
-61.8621,2.4764000000000002e-05
-61.85210000000001,2.3790999999999996e-05
-61.8421,2.2783000000000005e-05
-61.8321,2.16865e-05
-61.822100000000006,2.0584200000000005e-05
-61.8121,1.94657e-05
-61.802099999999996,1.83756e-05
-61.792100000000005,1.7278699999999994e-05
-61.7821,1.6218799999999998e-05
-61.772099999999995,1.5196699999999996e-05
-61.762100000000004,1.4192200000000003e-05
-61.7521,1.3245099999999995e-05
-61.74209999999999,1.2324300000000005e-05
-61.7321,1.1428e-05
-61.7221,1.0572890000000001e-05
-61.71210000000001,9.74455e-06
-61.7021,8.949520000000001e-06
-61.692099999999996,8.174910000000001e-06
-61.682100000000005,7.41635e-06
-61.6721,6.70294e-06
-61.662099999999995,6.015440000000001e-06
-61.652100000000004,5.345679999999999e-06
-61.6421,4.731962000000002e-06
-61.632099999999994,4.145595e-06
-61.6221,3.6092520000000003e-06
-61.6121,3.103427e-06
-61.60210000000001,2.65481e-06
-61.5921,2.2428110000000005e-06
-61.5821,1.8826896000000002e-06
-61.572100000000006,1.5626056e-06
-61.5621,1.2851988e-06
-61.552099999999996,1.0459027999999994e-06
-61.542100000000005,8.421043000000002e-07
-61.5321,6.718347700000001e-07
-61.522099999999995,5.295881799999998e-07
-61.512100000000004,4.138784e-07
-61.5021,3.1946446e-07
-61.49209999999999,2.4478125000000003e-07
-61.4821,1.8452024899999996e-07
-61.4721,1.38494052e-07
-61.46210000000001,1.0258291699999996e-07
-61.4521,7.509989700000001e-08
-61.442099999999996,5.452845969999999e-08
-61.432100000000005,3.909001960000001e-08
-61.4221,2.7724723499999988e-08
-61.412099999999995,1.9471146899999998e-08
-61.402100000000004,1.3525044270000002e-08
-61.3921,9.311392129999999e-09
-61.382099999999994,6.31928202e-09
-61.3721,4.2524822500000005e-09
-61.3621,2.824819063e-09
-61.35210000000001,1.865820964e-09
-61.3421,1.213351055e-09
-61.3321,7.819464520000001e-10
-61.322100000000006,4.981925342999999e-10
-61.3121,3.135918591e-10
-61.302099999999996,1.958536049e-10
-61.292100000000005,1.2082651100000002e-10
-61.2821,7.375304893999999e-11
-61.272099999999995,4.4514386349999984e-11
-61.262100000000004,2.6563214691e-11
-61.2521,1.5716152367999998e-11
-61.24209999999999,9.186086124499996e-12
-61.2321,5.311200133800001e-12
-61.2221,3.0398684688700003e-12
-61.21210000000001,1.71885880748e-12
-61.2021,9.631191071300001e-13
-61.192099999999996,5.330518162899999e-13
-61.182100000000005,2.9252505627300004e-13
-61.1721,1.5838711239000002e-13
-61.162099999999995,8.4892147827e-14
-61.152100000000004,4.5034695121999995e-14
-61.1421,2.3614922270099998e-14
-61.132099999999994,1.2265896004299999e-14
-61.1221,6.299060703699999e-15
-61.1121,3.20117431428e-15
-61.10210000000001,1.60731206016e-15
-61.0921,7.987912832200001e-16
-61.0821,3.9335907060000003e-16
-61.072100000000006,1.9079684355899998e-16
-61.0621,9.189262938300001e-17
-61.052099999999996,4.3773873281000005e-17
-61.042100000000005,0.0
-61.0321,0.0
-61.022099999999995,0.0
-61.012100000000004,0.0
-61.0021,0.0
-60.99209999999999,0.0
-60.9821,0.0
-60.9721,0.0
-60.96210000000001,0.0
-60.9521,0.0
-60.942099999999996,0.0
-60.932100000000005,0.0
-60.9221,0.0
-60.912099999999995,0.0
-60.902100000000004,0.0
-60.8921,0.0
-60.882099999999994,0.0
-60.8721,0.0
-60.8621,0.0
-60.85210000000001,0.0
-60.8421,0.0
-60.8321,0.0
-60.822100000000006,0.0
-60.8121,0.0
-60.802099999999996,0.0
-60.792100000000005,0.0
-60.7821,0.0
-60.772099999999995,0.0
-60.762100000000004,0.0
-60.7521,0.0
-60.74209999999999,0.0
-60.7321,0.0
-60.7221,0.0
-60.71210000000001,0.0
-60.7021,0.0
-60.692099999999996,0.0
-60.682100000000005,0.0
-60.6721,0.0
-60.662099999999995,0.0
-60.652100000000004,0.0
-60.6421,0.0
-60.632099999999994,0.0
-60.6221,0.0
-60.6121,0.0
-60.60210000000001,0.0
-60.5921,0.0
-60.5821,0.0
-60.572100000000006,0.0
-60.5621,0.0
-60.552099999999996,0.0
-60.542100000000005,0.0
-60.5321,0.0
-60.522099999999995,0.0
-60.512100000000004,0.0
-60.5021,0.0
-60.49209999999999,0.0
-60.4821,0.0
-60.4721,0.0
-60.46210000000001,0.0
-60.4521,0.0
-60.442099999999996,0.0
-60.432100000000005,0.0
-60.4221,0.0
-60.412099999999995,0.0
-60.402100000000004,0.0
-60.3921,0.0
-60.382099999999994,0.0
-60.3721,0.0
-60.3621,0.0
-60.35210000000001,0.0
-60.3421,0.0
-60.3321,0.0
-60.322100000000006,0.0
-60.3121,0.0
-60.302099999999996,0.0
-60.292100000000005,0.0
-60.2821,0.0
-60.272099999999995,0.0
-60.262100000000004,0.0
-60.2521,0.0
-60.24209999999999,0.0
-60.2321,0.0
-60.2221,0.0
-60.21210000000001,0.0
-60.2021,0.0
-60.192099999999996,0.0
-60.182100000000005,0.0
-60.1721,0.0
-60.162099999999995,0.0
-60.152100000000004,0.0
-60.1421,0.0
-60.132099999999994,0.0
-60.1221,0.0
-60.1121,0.0
-60.10210000000001,0.0
-60.0921,0.0
-60.0821,0.0
-60.072100000000006,0.0
-60.0621,0.0
-60.052099999999996,0.0
-60.042100000000005,0.0
-60.0321,0.0
-60.022099999999995,0.0
-60.012100000000004,0.0
-60.0021,0.0
-59.99209999999999,0.0
-59.9821,0.0
-59.9721,0.0
-59.96210000000001,0.0
-59.9521,0.0
-59.942099999999996,0.0
-59.932100000000005,0.0
-59.9221,0.0
-59.912099999999995,0.0
-59.902100000000004,0.0
-59.8921,0.0
-59.882099999999994,0.0
-59.8721,0.0
-59.8621,0.0
-59.85210000000001,0.0
-59.8421,0.0
-59.8321,0.0
-59.822100000000006,0.0
-59.8121,0.0
-59.802099999999996,0.0
-59.792100000000005,0.0
-59.7821,0.0
-59.772099999999995,0.0
-59.762100000000004,0.0
-59.7521,0.0
-59.74209999999999,0.0
-59.7321,0.0
-59.7221,0.0
-59.71210000000001,0.0
-59.7021,0.0
-59.692099999999996,0.0
-59.682100000000005,0.0
-59.6721,0.0
-59.662099999999995,0.0
-59.652100000000004,0.0
-59.6421,0.0
-59.632099999999994,0.0
-59.6221,0.0
-59.6121,0.0
-59.60210000000001,0.0
-59.5921,0.0
-59.5821,0.0
-59.572100000000006,0.0
-59.5621,0.0
-59.552099999999996,0.0
-59.542100000000005,0.0
-59.5321,0.0
-59.522099999999995,0.0
-59.512100000000004,0.0
-59.5021,0.0
-59.49209999999999,0.0
-59.4821,0.0
-59.4721,0.0
-59.46210000000001,0.0
-59.4521,0.0
-59.442099999999996,0.0
-59.432100000000005,0.0
-59.4221,0.0
-59.412099999999995,0.0
-59.402100000000004,0.0
-59.3921,0.0
-59.382099999999994,0.0
