,Mo_2s
-62.393,3.3930640000000006e-05
-62.382999999999996,5.387362000000001e-05
-62.37299999999999,8.486029999999999e-05
-62.363,0.00013226070000000006
-62.352999999999994,0.00020377939999999993
-62.343,0.0003110283
-62.333,0.0004703868000000001
-62.32299999999999,0.000704185
-62.313,0.0010429700000000003
-62.303,0.0015295780000000006
-62.29299999999999,0.0022139080000000005
-62.283,0.0031890300000000002
-62.272999999999996,0.004539589999999999
-62.26299999999999,0.006392029999999996
-62.253,0.00891791
-62.242999999999995,0.012316510000000003
-62.23299999999999,0.016839999999999987
-62.223,0.022860400000000003
-62.212999999999994,0.030600800000000004
-62.203,0.040529199999999994
-62.193,0.053305699999999984
-62.18299999999999,0.06942000000000002
-62.173,0.08958800000000003
-62.163,0.11441900000000002
-62.15299999999999,0.14471200000000006
-62.143,0.18137200000000012
-62.132999999999996,0.22506099999999998
-62.12299999999999,0.27643999999999996
-62.113,0.3379120000000001
-62.102999999999994,0.40689000000000003
-62.093,0.48725999999999986
-62.083,0.5766700000000001
-62.07299999999999,0.6773899999999998
-62.063,0.78843
-62.053,0.9109699999999998
-62.04299999999999,1.0409800000000002
-62.033,1.1803599999999999
-62.022999999999996,1.3270300000000004
-62.01299999999999,1.4778900000000006
-62.003,1.6329000000000005
-61.992999999999995,1.7880999999999996
-61.98299999999999,1.9439000000000004
-61.973,2.093000000000001
-61.962999999999994,2.2361999999999997
-61.953,2.370800000000001
-61.943,2.491600000000001
-61.93299999999999,2.5979000000000005
-61.923,2.6867
-61.913,2.7552999999999996
-61.90299999999999,2.804600000000001
-61.893,2.8314
-61.882999999999996,2.834600000000001
-61.87299999999999,2.816499999999999
-61.863,2.7761999999999993
-61.852999999999994,2.7150000000000003
-61.843,2.634099999999999
-61.833,2.5336000000000003
-61.82299999999999,2.4194000000000004
-61.813,2.2913000000000006
-61.803,2.1514
-61.79299999999999,2.0067
-61.783,1.8548000000000004
-61.772999999999996,1.7016000000000011
-61.76299999999999,1.5465999999999993
-61.753,1.3957200000000003
-61.742999999999995,1.24991
-61.73299999999999,1.11028
-61.723,0.9775599999999997
-61.712999999999994,0.8547600000000001
-61.703,0.7414000000000002
-61.693,0.63815
-61.68299999999999,0.5450800000000002
-61.673,0.46137
-61.663,0.3883369999999999
-61.65299999999999,0.32383999999999996
-61.643,0.2678640000000001
-61.632999999999996,0.22030199999999997
-61.62299999999999,0.17999800000000002
-61.613,0.14576500000000003
-61.602999999999994,0.11722599999999997
-61.593,0.09364600000000001
-61.583,0.0742539
-61.57299999999999,0.05846759999999997
-61.563,0.04572580000000001
-61.553,0.035465800000000006
-61.54299999999999,0.02737930000000001
-61.533,0.02092809
-61.522999999999996,0.015933739999999995
-61.51299999999999,0.012015320000000006
-61.503,0.009003589999999997
-61.492999999999995,0.0066977000000000035
-61.48299999999999,0.0049433950000000015
-61.473,0.0036225139999999973
-61.462999999999994,0.002635113
-61.453,0.0019001499999999998
-61.443,0.0013579583999999995
-61.43299999999999,0.0009661776000000003
-61.423,0.0006798275999999999
-61.413,0.0004742929999999998
-61.40299999999999,0.00032864494000000015
-61.393,0.00022517492999999997
-61.382999999999996,0.00015317891
-61.37299999999999,0.00010347913999999996
-61.363,6.886683400000002e-05
-61.352999999999994,4.5613328000000016e-05
-61.343,2.9870694999999995e-05
-61.333,1.9390942e-05
-61.32299999999999,1.24485239e-05
-61.313,7.9290613e-06
-61.303,4.999857999999999e-06
-61.29299999999999,3.12060749e-06
-61.283,1.9257523299999995e-06
-61.272999999999996,1.1768363e-06
-61.26299999999999,7.135327500000001e-07
-61.253,4.271666630000001e-07
-61.242999999999995,2.53892108227e-07
-61.23299999999999,1.49071904266e-07
-61.223,8.645769217840001e-08
-61.212999999999994,4.97509910366e-08
-61.203,2.82954504489e-08
-61.193,1.5912903235329996e-08
-61.18299999999999,8.873167102079998e-09
-61.173,4.8944451326660004e-09
-61.163,2.66698383473132e-09
-61.15299999999999,1.4413422962788197e-09
-61.143,7.685286153659799e-10
-61.132999999999996,4.0640041297561e-10
-61.12299999999999,2.10369671967913e-10
-61.113,1.0853653545136597e-10
-61.102999999999994,5.5648827582506e-11
-61.093,2.8221232944629003e-11
-61.083,1.41514201175946e-11
-61.07299999999999,7.018656635827201e-12
-61.063,3.440925057864421e-12
-61.053,1.6704449813900897e-12
-61.04299999999999,8.029408037689601e-13
-61.033,3.812643714047321e-13
-61.022999999999996,0.0
-61.01299999999999,0.0
-61.003,0.0
-60.992999999999995,0.0
-60.98299999999999,0.0
-60.973,0.0
-60.962999999999994,0.0
-60.953,0.0
-60.943,0.0
-60.93299999999999,0.0
-60.923,0.0
-60.913,0.0
-60.90299999999999,0.0
-60.893,0.0
-60.882999999999996,0.0
-60.87299999999999,0.0
-60.863,0.0
-60.852999999999994,0.0
-60.843,0.0
-60.833,0.0
-60.82299999999999,0.0
-60.813,0.0
-60.803,0.0
-60.79299999999999,0.0
-60.783,0.0
-60.772999999999996,0.0
-60.76299999999999,0.0
-60.753,0.0
-60.742999999999995,0.0
-60.73299999999999,0.0
-60.723,0.0
-60.712999999999994,0.0
-60.703,0.0
-60.693,0.0
-60.68299999999999,0.0
-60.673,0.0
-60.663,0.0
-60.65299999999999,0.0
-60.643,0.0
-60.632999999999996,0.0
-60.62299999999999,0.0
-60.613,0.0
-60.602999999999994,0.0
-60.593,0.0
-60.583,0.0
-60.57299999999999,0.0
-60.563,0.0
-60.553,0.0
-60.54299999999999,0.0
-60.533,0.0
-60.522999999999996,0.0
-60.51299999999999,0.0
-60.503,0.0
-60.492999999999995,0.0
-60.48299999999999,0.0
-60.473,0.0
-60.462999999999994,0.0
-60.453,0.0
-60.443,0.0
-60.43299999999999,0.0
-60.423,0.0
-60.413,0.0
-60.40299999999999,0.0
-60.393,0.0
-60.382999999999996,0.0
-60.37299999999999,0.0
-60.363,0.0
-60.352999999999994,0.0
-60.343,0.0
-60.333,0.0
-60.32299999999999,0.0
-60.313,0.0
-60.303,0.0
-60.29299999999999,0.0
-60.283,0.0
-60.272999999999996,0.0
-60.26299999999999,0.0
-60.253,0.0
-60.242999999999995,0.0
-60.23299999999999,0.0
-60.223,0.0
-60.212999999999994,0.0
-60.203,0.0
-60.193,0.0
-60.18299999999999,0.0
-60.173,0.0
-60.163,0.0
-60.15299999999999,0.0
-60.143,0.0
-60.132999999999996,0.0
-60.12299999999999,0.0
-60.113,0.0
-60.102999999999994,0.0
-60.093,0.0
-60.083,0.0
-60.07299999999999,0.0
-60.063,0.0
-60.053,0.0
-60.04299999999999,0.0
-60.033,0.0
-60.022999999999996,0.0
-60.01299999999999,0.0
-60.003,0.0
-59.992999999999995,0.0
-59.98299999999999,0.0
-59.973,0.0
-59.962999999999994,0.0
-59.953,0.0
-59.943,0.0
-59.93299999999999,0.0
-59.923,0.0
-59.913,0.0
-59.90299999999999,0.0
-59.893,0.0
-59.882999999999996,0.0
