,Mo_4dz2
-62.393,2.7036419999999997e-06
-62.382999999999996,4.238666e-06
-62.37299999999999,6.58896e-06
-62.363,1.0134410000000001e-05
-62.352999999999994,1.5422450000000003e-05
-62.343,2.327612999999999e-05
-62.333,3.4644240000000006e-05
-62.32299999999999,5.110340000000001e-05
-62.313,7.463169999999999e-05
-62.303,0.0001078928
-62.29299999999999,0.00015439629999999992
-62.283,0.00021923250000000007
-62.272999999999996,0.000307257
-62.26299999999999,0.00042524899999999983
-62.253,0.000584554
-62.242999999999995,0.0007955599999999995
-62.23299999999999,0.0010726560000000002
-62.223,0.0014301600000000002
-62.212999999999994,0.0018897799999999998
-62.203,0.002465610000000001
-62.193,0.0031989400000000017
-62.18299999999999,0.004106880000000001
-62.173,0.005218229999999999
-62.163,0.0065641999999999975
-62.15299999999999,0.008178400000000002
-62.143,0.010097700000000003
-62.132999999999996,0.012345799999999999
-62.12299999999999,0.014959199999999999
-62.113,0.017962099999999998
-62.102999999999994,0.021371700000000004
-62.093,0.025176700000000003
-62.083,0.029496999999999992
-62.07299999999999,0.03411300000000001
-62.063,0.039215
-62.053,0.044503
-62.04299999999999,0.050298000000000016
-62.033,0.056079
-62.022999999999996,0.06232700000000002
-62.01299999999999,0.06844700000000001
-62.003,0.074783
-61.992999999999995,0.08083900000000006
-61.98299999999999,0.08669
-61.973,0.09225000000000001
-61.962999999999994,0.09737999999999995
-61.953,0.10183999999999999
-61.943,0.10583000000000005
-61.93299999999999,0.10898000000000006
-61.923,0.11136
-61.913,0.11302
-61.90299999999999,0.11373999999999998
-61.893,0.11336999999999996
-61.882999999999996,0.11227000000000005
-61.87299999999999,0.11026999999999995
-61.863,0.10744000000000002
-61.852999999999994,0.10382000000000001
-61.843,0.09969
-61.833,0.09489
-61.82299999999999,0.08950999999999999
-61.813,0.08384000000000003
-61.803,0.07788399999999998
-61.79299999999999,0.07181199999999997
-61.783,0.065592
-61.772999999999996,0.059530000000000007
-61.76299999999999,0.053544000000000015
-61.753,0.047805999999999994
-61.742999999999995,0.042383000000000004
-61.73299999999999,0.03724199999999999
-61.723,0.032463000000000006
-61.712999999999994,0.028111999999999995
-61.703,0.02411629999999999
-61.693,0.020555100000000007
-61.68299999999999,0.017396999999999996
-61.673,0.014615399999999997
-61.663,0.012175000000000007
-61.65299999999999,0.010077800000000005
-61.643,0.008286800000000004
-61.632999999999996,0.006760910000000005
-61.62299999999999,0.005485939999999999
-61.613,0.004416390000000001
-61.602999999999994,0.0035332700000000002
-61.593,0.00280966
-61.583,0.002221080000000001
-61.57299999999999,0.0017404590000000004
-61.563,0.0013581329999999994
-61.553,0.0010538980000000002
-61.54299999999999,0.0008102019999999997
-61.533,0.000620086
-61.522999999999996,0.000471154
-61.51299999999999,0.0003555608
-61.503,0.0002668399000000001
-61.492999999999995,0.0001984610000000001
-61.48299999999999,0.00014689779999999997
-61.473,0.00010775912
-61.462999999999994,7.846356000000002e-05
-61.453,5.6864590000000004e-05
-61.443,4.081884e-05
-61.43299999999999,2.9034620000000003e-05
-61.423,2.0472521999999998e-05
-61.413,1.4327972999999995e-05
-61.40299999999999,9.959473000000001e-06
-61.393,6.850045999999998e-06
-61.382999999999996,4.6685343e-06
-61.37299999999999,3.1533172999999996e-06
-61.363,2.1136398000000008e-06
-61.352999999999994,1.40033953e-06
-61.343,9.164593699999996e-07
-61.333,5.976216399999999e-07
-61.32299999999999,3.849407000000001e-07
-61.313,2.45593388e-07
-61.303,1.54838018e-07
-61.29299999999999,9.700894000000003e-08
-61.283,5.992023560000003e-08
-61.272999999999996,3.669180880000001e-08
-61.26299999999999,2.2269244000000007e-08
-61.253,1.3327291410000001e-08
-61.242999999999995,7.9143763583e-09
-61.23299999999999,4.6563261807e-09
-61.223,2.70962508985e-09
-61.212999999999994,1.5610774432200004e-09
-61.203,8.863192194099998e-10
-61.193,5.000749095249999e-10
-61.18299999999999,2.7898510327199995e-10
-61.173,1.5401802677155e-10
-61.163,8.3784382327077e-11
