,S_1s
-62.393,1.2417927999999997e-05
-62.382999999999996,1.9630716000000012e-05
-62.37299999999999,3.0706938999999996e-05
-62.363,4.746051e-05
-62.352999999999994,7.277625999999999e-05
-62.343,0.00011042137999999998
-62.333,0.00016567739999999998
-62.32299999999999,0.00024609879999999993
-62.313,0.0003622563999999999
-62.303,0.0005265999
-62.29299999999999,0.0007584188000000002
-62.283,0.0010809360000000004
-62.272999999999996,0.0015253009999999997
-62.26299999999999,0.0021306240000000002
-62.253,0.0029465289999999994
-62.242999999999995,0.004036480999999998
-62.23299999999999,0.005471027
-62.223,0.00733368
-62.212999999999994,0.009747730000000003
-62.203,0.012823450000000002
-62.193,0.016703619999999992
-62.18299999999999,0.021546920000000008
-62.173,0.02752469999999999
-62.163,0.03481780000000001
-62.15299999999999,0.0436112
-62.143,0.054207399999999954
-62.132999999999996,0.06665400000000002
-62.12299999999999,0.08106079999999999
-62.113,0.09772269999999988
-62.102999999999994,0.116819
-62.093,0.138373
-62.083,0.16257700000000003
-62.07299999999999,0.189085
-62.063,0.217797
-62.053,0.24875999999999987
-62.04299999999999,0.28185299999999985
-62.033,0.3163100000000001
-62.022999999999996,0.3520650000000001
-62.01299999999999,0.38841300000000023
-62.003,0.42513999999999996
-61.992999999999995,0.46116999999999997
-61.98299999999999,0.49624999999999975
-61.973,0.5295299999999998
-61.962999999999994,0.5603
-61.953,0.5880300000000002
-61.943,0.6122800000000002
-61.93299999999999,0.6323600000000001
-61.923,0.6476800000000001
-61.913,0.65831
-61.90299999999999,0.6636399999999998
-61.893,0.6637100000000006
-61.882999999999996,0.65828
-61.87299999999999,0.6478299999999999
-61.863,0.6325800000000004
-61.852999999999994,0.6125799999999999
-61.843,0.5884700000000002
-61.833,0.5608299999999996
-61.82299999999999,0.5302499999999999
-61.813,0.49728
-61.803,0.4627500000000001
-61.79299999999999,0.42689000000000005
-61.783,0.3907800000000001
-61.772999999999996,0.3548799999999998
-61.76299999999999,0.31958
-61.753,0.2856100000000001
-61.742999999999995,0.2531909999999999
-61.73299999999999,0.222717
-61.723,0.19423399999999988
-61.712999999999994,0.16814400000000013
-61.703,0.14446500000000004
-61.693,0.12309700000000005
-61.68299999999999,0.10419299999999994
-61.673,0.08746000000000001
-61.663,0.07284299999999999
-61.65299999999999,0.0603649
