,S_2pz
-62.393,5.8733539999999985e-05
-62.382999999999996,9.257049999999997e-05
-62.37299999999999,0.00014441792000000002
-62.363,0.00022289796000000002
-62.352999999999994,0.00033996279999999986
-62.343,0.0005147124999999998
-62.333,0.0007707869999999994
-62.32299999999999,0.0011415128000000006
-62.313,0.0016732020000000008
-62.303,0.0024275569999999995
-62.29299999999999,0.003491877
-62.283,0.004956785000000001
-62.272999999999996,0.006980530000000003
-62.26299999999999,0.009713919999999997
-62.253,0.01339641
-62.242999999999995,0.018285630000000004
-62.23299999999999,0.024711629999999995
-62.223,0.03306981999999999
-62.212999999999994,0.043849400000000004
-62.203,0.05745780000000002
-62.193,0.07470150000000002
-62.18299999999999,0.09606079999999999
-62.173,0.12227239999999998
-62.163,0.15429540000000003
-62.15299999999999,0.19276500000000005
-62.143,0.2386389999999999
-62.132999999999996,0.2925289999999999
-62.12299999999999,0.3552349999999999
-62.113,0.4274590000000001
-62.102999999999994,0.5092840000000001
-62.093,0.6020809999999999
-62.083,0.7047479999999993
-62.07299999999999,0.8178399999999992
-62.063,0.9405799999999997
-62.053,1.07008
-62.04299999999999,1.20837
-62.033,1.3555400000000004
-62.022999999999996,1.5029999999999986
-62.01299999999999,1.6559999999999993
-62.003,1.8066300000000002
-61.992999999999995,1.9565999999999992
-61.98299999999999,2.098610000000001
-61.973,2.2363199999999996
-61.962999999999994,2.357709999999999
-61.953,2.4713999999999996
-61.943,2.5677000000000008
-61.93299999999999,2.6447000000000003
-61.923,2.7029000000000014
-61.913,2.7405
-61.90299999999999,2.7578
-61.893,2.7514999999999987
-61.882999999999996,2.7237000000000005
-61.87299999999999,2.675
-61.863,2.6041000000000003
-61.852999999999994,2.5182000000000007
-61.843,2.4135000000000013
-61.833,2.2954999999999997
-61.82299999999999,2.1653000000000007
-61.813,2.025589999999999
-61.803,1.8811599999999982
-61.79299999999999,1.7308899999999994
-61.783,1.5813999999999997
-61.772999999999996,1.4324999999999988
-61.76299999999999,1.2891099999999998
-61.753,1.14787
-61.742999999999995,1.0160700000000003
-61.73299999999999,0.8915600000000004
-61.723,0.7764000000000002
-61.712999999999994,0.67036
-61.703,0.5748010000000001
-61.693,0.48912899999999965
-61.68299999999999,0.4129699999999999
-61.673,0.346343
-61.663,0.287942
-61.65299999999999,0.2382720000000001
-61.643,0.19541700000000004
-61.632999999999996,0.1592440000000001
-61.62299999999999,0.12895749999999992
-61.613,0.1036874
-61.602999999999994,0.08285390000000001
-61.593,0.06575740000000001
-61.583,0.051909999999999984
-61.57299999999999,0.04070690000000001
-61.563,0.031746550000000005
-61.553,0.024591890000000005
-61.54299999999999,0.018926940000000003
-61.533,0.014477839999999995
-61.522999999999996,0.011015710000000001
-61.51299999999999,0.00831046
-61.503,0.006233981
-61.492999999999995,0.004645821999999998
-61.48299999999999,0.003439040000000001
-61.473,0.0025268252000000004
-61.462999999999994,0.0018429487
-61.453,0.0013343572000000003
-61.443,0.0009573740000000002
-61.43299999999999,0.0006827341999999999
-61.423,0.00048259216999999976
-61.413,0.00033827371999999993
-61.40299999999999,0.00023497624999999997
-61.393,0.00016162428
-61.382999999999996,0.00011056871399999997
-61.37299999999999,7.479183800000001e-05
-61.363,5.002003500000002e-05
-61.352999999999994,3.3197041299999994e-05
-61.343,2.18309128e-05
-61.333,1.4218921300000001e-05
-61.32299999999999,9.158621800000001e-06
-61.313,5.84120352e-06
-61.303,3.6901648299999995e-06
-61.29299999999999,2.3086658900000006e-06
-61.283,1.4298140140000003e-06
-61.272999999999996,8.757358520000002e-07
-61.26299999999999,5.31210624e-07
-61.253,3.1901608230000005e-07
-61.242999999999995,1.8965394982683003e-07
-61.23299999999999,1.1140204065390996e-07
-61.223,6.476497533685999e-08
-61.212999999999994,3.732435487818999e-08
-61.203,2.1252651792789003e-08
-61.193,1.1967455523261e-08
-61.18299999999999,6.6809427586158995e-09
-61.173,3.6865601086445107e-09
