,Mo_4dzy
-62.280899999999995,1.3745800000000002e-10
-62.270900000000005,2.1741199999999986e-10
-62.2609,3.40592e-10
-62.250899999999994,5.280500000000002e-10
-62.2409,8.102400000000001e-10
-62.2309,1.2306899999999996e-09
-62.22090000000001,1.8505199999999995e-09
-62.2109,2.7551499999999995e-09
-62.2009,4.0599e-09
-62.190900000000006,5.9237e-09
-62.1809,8.5556e-09
-62.170899999999996,1.2232199999999996e-08
-62.160900000000005,1.7323199999999997e-08
-62.1509,2.4314000000000002e-08
-62.140899999999995,3.373500000000001e-08
-62.130900000000004,4.640900000000001e-08
-62.1209,6.3185e-08
-62.11090000000001,8.5228e-08
-62.1009,1.1395299999999997e-07
-62.0909,1.5078e-07
-62.08090000000001,1.9766999999999997e-07
-62.0709,2.5708999999999993e-07
-62.0609,3.305500000000001e-07
-62.050900000000006,4.2144e-07
-62.0409,5.331999999999999e-07
-62.030899999999995,6.675299999999999e-07
-62.020900000000005,8.285099999999998e-07
-62.0109,1.0195e-06
-62.000899999999994,1.2430000000000004e-06
-61.9909,1.5031999999999994e-06
-61.9809,1.8014999999999996e-06
-61.97090000000001,2.1409e-06
-61.9609,2.5228000000000002e-06
-61.9509,2.9473e-06
-61.940900000000006,3.4178999999999995e-06
-61.9309,3.924800000000001e-06
-61.920899999999996,4.472099999999999e-06
-61.910900000000005,5.0561e-06
-61.9009,5.6750000000000016e-06
-61.890899999999995,6.314000000000001e-06
-61.880900000000004,6.964499999999998e-06
-61.8709,7.6257e-06
-61.86090000000001,8.284999999999998e-06
-61.8509,8.933e-06
-61.8409,9.547999999999997e-06
-61.83090000000001,1.0134000000000003e-05
-61.8209,1.0666000000000003e-05
-61.8109,1.1149e-05
-61.800900000000006,1.1548999999999999e-05
-61.7909,1.1894000000000003e-05
-61.780899999999995,1.2139999999999996e-05
-61.770900000000005,1.2289999999999996e-05
-61.7609,1.2352999999999998e-05
-61.750899999999994,1.2326000000000004e-05
-61.7409,1.2200999999999999e-05
-61.7309,1.1976000000000004e-05
-61.72090000000001,1.1668e-05
-61.7109,1.1281000000000003e-05
-61.7009,1.0812000000000006e-05
-61.690900000000006,1.0288700000000004e-05
-61.6809,9.7047e-06
-61.670899999999996,9.083800000000001e-06
-61.660900000000005,8.436100000000002e-06
-61.6509,7.7614e-06
-61.640899999999995,7.0871e-06
-61.630900000000004,6.413200000000001e-06
-61.6209,5.7596e-06
-61.61090000000001,5.124599999999998e-06
-61.6009,4.5219000000000015e-06
-61.5909,3.9530999999999995e-06
-61.58090000000001,3.4260999999999993e-06
-61.5709,2.941999999999999e-06
-61.5609,2.5055000000000004e-06
-61.550900000000006,2.113510000000001e-06
