,S_2pz
-62.280899999999995,5.8648444000000006e-05
-62.270900000000005,9.245130999999991e-05
-62.2609,0.00014418660000000005
-62.250899999999994,0.00022256381000000002
-62.2409,0.00033935094999999987
-62.2309,0.0005139065999999997
-62.22090000000001,0.0007689536999999992
-62.2109,0.0011385844000000006
-62.2009,0.0016688810000000016
-62.190900000000006,0.0024207560000000013
-62.1809,0.003478498000000001
-62.170899999999996,0.004940648000000001
-62.160900000000005,0.006951470000000004
-62.1509,0.009677910999999996
-62.140899999999995,0.013338690000000007
-62.130900000000004,0.01820091
-62.1209,0.02458649999999999
-62.11090000000001,0.032887040000000006
-62.1009,0.043547510000000005
-62.0909,0.05710660000000001
-62.08090000000001,0.07417409999999999
-62.0709,0.09532159999999995
-62.0609,0.12129869999999994
-62.050900000000006,0.15294200000000002
-62.0409,0.19092510000000001
-62.030899999999995,0.23611699999999988
-62.020900000000005,0.28921800000000003
-62.0109,0.35098799999999986
-62.000899999999994,0.421923
-61.9909,0.5022260000000002
-61.9809,0.5931759999999998
-61.97090000000001,0.6936829999999997
-61.9609,0.8037439999999999
-61.9509,0.9235599999999994
-61.940900000000006,1.0502500000000001
-61.9309,1.18541
-61.920899999999996,1.3275499999999991
-61.910900000000005,1.4717999999999993
-61.9009,1.6197199999999992
-61.890899999999995,1.7662
-61.880900000000004,1.9115500000000005
-61.8709,2.0501600000000004
-61.86090000000001,2.1833899999999997
-61.8509,2.30414
-61.8409,2.4149
-61.83090000000001,2.5105999999999993
-61.8209,2.5880000000000005
-61.8109,2.6491000000000002
-61.800900000000006,2.6900999999999993
-61.7909,2.7123999999999997
-61.780899999999995,2.712
-61.770900000000005,2.6917000000000013
-61.7609,2.6539
-61.750899999999994,2.5925999999999996
-61.7409,2.5162000000000018
-61.7309,2.423800000000001
-61.72090000000001,2.3158999999999996
-61.7109,2.1959
-61.7009,2.06608
-61.690900000000006,1.9287299999999983
-61.6809,1.786889999999998
-61.670899999999996,1.6422999999999999
-61.660900000000005,1.496379999999999
-61.6509,1.3532999999999995
-61.640899999999995,1.2142399999999993
-61.630900000000004,1.0798
-61.6209,0.9520400000000002
-61.61090000000001,0.83307
-61.6009,0.7217099999999995
-61.5909,0.6206689999999999
-61.58090000000001,0.529576
-61.5709,0.44734000000000007
-61.5609,0.3744240000000001
-61.550900000000006,0.31065400000000004
-61.5409,0.25552200000000014
-61.530899999999995,0.20821499999999996
-61.520900000000005,0.168143
-61.5109,0.13450430000000002
-61.500899999999994,0.10665
-61.4909,0.08373800000000002
-61.4809,0.06511020000000003
-61.47090000000001,0.05017959999999998
-61.4609,0.03833300000000001
-61.4509,0.028949650000000007
-61.440900000000006,0.02167318000000001
-61.4309,0.016069970000000003
