,Mo_4dzx
-62.8739,2.1938950000000003e-10
-62.863899999999994,3.4489840000000013e-10
-62.8539,5.365855000000002e-10
-62.8439,8.27355e-10
-62.83389999999999,1.260056e-09
-62.8239,1.90164e-09
-62.8139,2.8413749999999996e-09
-62.803900000000006,4.200440000000002e-09
-62.7939,6.1441200000000005e-09
-62.783899999999996,8.907220000000002e-09
-62.773900000000005,1.276852e-08
-62.7639,1.812833e-08
-62.753899999999994,2.5486199999999992e-08
-62.743900000000004,3.546089999999998e-08
-62.7339,4.8854200000000006e-08
-62.72389999999999,6.66908e-08
-62.7139,9.016930000000001e-08
-62.7039,1.205581e-07
-62.69389999999999,1.5975200000000004e-07
-62.6839,2.0979800000000004e-07
-62.673899999999996,2.72699e-07
-62.663900000000005,3.51319e-07
-62.6539,4.4813900000000007e-07
-62.643899999999995,5.664540000000002e-07
-62.633900000000004,7.0929e-07
-62.6239,8.801500000000003e-07
-62.613899999999994,1.08258e-06
-62.6039,1.3198999999999996e-06
-62.5939,1.59407e-06
-62.58389999999999,1.9098199999999996e-06
-62.5739,2.2665599999999994e-06
-62.5639,2.6681999999999997e-06
-62.553900000000006,3.114399999999999e-06
-62.5439,3.605700000000001e-06
-62.533899999999996,4.136100000000001e-06
-62.523900000000005,4.7081e-06
-62.5139,5.3137e-06
-62.503899999999994,5.948300000000002e-06
-62.493900000000004,6.607000000000003e-06
-62.4839,7.279100000000001e-06
-62.47389999999999,7.959999999999998e-06
-62.4639,8.6325e-06
-62.4539,9.290300000000001e-06
-62.44389999999999,9.9127e-06
-62.4339,1.0498300000000004e-05
-62.423899999999996,1.1036899999999998e-05
-62.413900000000005,1.1499999999999998e-05
-62.4039,1.1896000000000003e-05
-62.393899999999995,1.2208000000000004e-05
-62.383900000000004,1.2425e-05
-62.3739,1.2547e-05
-62.363899999999994,1.2562e-05
-62.3539,1.2481000000000005e-05
-62.3439,1.2294999999999997e-05
-62.33389999999999,1.2008999999999998e-05
-62.3239,1.1630999999999994e-05
-62.3139,1.1166999999999998e-05
-62.303900000000006,1.0638e-05
-62.2939,1.0041999999999998e-05
-62.283899999999996,9.403000000000003e-06
-62.273900000000005,8.716000000000001e-06
-62.2639,8.020999999999997e-06
-62.253899999999994,7.3e-06
-62.243900000000004,6.591000000000001e-06
-62.2339,5.899200000000002e-06
-62.22389999999999,5.223499999999999e-06
-62.2139,4.5925e-06
-62.2039,3.990199999999999e-06
-62.19389999999999,3.436599999999999e-06
-62.1839,2.934999999999999e-06
-62.173899999999996,2.480699999999999e-06
-62.163900000000005,2.0760999999999995e-06
-62.1539,1.7218000000000002e-06
-62.143899999999995,1.4129999999999999e-06
-62.133900000000004,1.149e-06
-62.1239,9.248100000000001e-07
-62.113899999999994,7.374899999999998e-07
-62.1039,5.816899999999999e-07
-62.0939,4.546899999999999e-07
-62.08389999999999,3.516799999999999e-07
-62.0739,2.6926e-07
-62.0639,2.0412000000000006e-07
