,Mo_1s
-84.51979999999999,1.586808478699999e-09
-84.5098,2.4478994403400008e-09
-84.4998,3.745790091299999e-09
-84.4898,5.667181205400003e-09
-84.4798,8.4811681446e-09
-84.46979999999999,1.2529664767199997e-08
-84.4598,1.8375416431899996e-08
-84.4498,2.6663038602000008e-08
-84.43979999999999,3.816606118800001e-08
-84.4298,5.4150291120000007e-08
-84.4198,7.5837166212e-08
-84.40979999999999,1.05374866125e-07
-84.3998,1.4456628975500003e-07
-84.3898,1.965894509969999e-07
-84.3798,2.6405922397999995e-07
-84.3698,3.5079844222000024e-07
-84.35979999999999,4.6068473124000004e-07
-84.3498,5.994621927400001e-07
-84.3398,7.709166664000004e-07
-84.32979999999999,9.829495542099997e-07
-84.3198,1.23358870886e-06
-84.3098,1.5357287813399995e-06
-84.29979999999999,1.895450224110001e-06
-84.2898,2.3127235482099996e-06
-84.2798,2.7882338952000002e-06
-84.26979999999999,3.321854764499998e-06
-84.2598,3.9192629557999975e-06
-84.2498,4.5746812996999995e-06
-84.2398,5.2876479644e-06
-84.2298,6.039460343600001e-06
-84.21979999999999,6.811707034500001e-06
-84.2098,7.644613833400001e-06
-84.1998,8.4170377364e-06
-84.18979999999999,9.249532529899996e-06
-84.1798,9.961902905200002e-06
-84.1698,1.0666822969100003e-05
-84.15979999999999,1.1310249405400005e-05
-84.1498,1.1884815006700001e-05
-84.1398,1.2272443564500004e-05
-84.1298,1.2594037282499997e-05
-84.1198,1.27866128556e-05
-84.10979999999999,1.2849921164599999e-05
-84.0998,1.27220013325e-05
-84.0898,1.2528263447199995e-05
-84.07979999999999,1.2143138318200002e-05
-84.0698,1.1692270343399997e-05
-84.0598,1.1113413521399999e-05
-84.04979999999999,1.0469901877500001e-05
-84.0398,9.703604609000003e-06
-84.0298,8.932199018500004e-06
-84.01979999999999,8.159394221299999e-06
-84.0098,7.326280322199999e-06
-83.9998,6.552274627199999e-06
-83.9898,5.756736038100002e-06
-83.9798,5.018118465799999e-06
-83.96979999999999,4.330523908600002e-06
-83.9598,3.6943737729999985e-06
-83.9498,3.1162353287999995e-06
-83.93979999999999,2.6024053576e-06
-83.9298,2.1524839991e-06
-83.9198,1.7602746634800004e-06
-83.90979999999999,1.4199408886900003e-06
-83.8998,1.1370671725400005e-06
-83.8898,8.995648543699997e-07
-83.8798,7.065222915599998e-07
-83.8698,5.448767425700001e-07
-83.85979999999999,4.1762873510999997e-07
-83.8498,3.161315905299999e-07
-83.8398,2.3709428710399998e-07
-83.82979999999999,1.7602746530799993e-07
-83.8198,1.2911568690900008e-07
-83.8098,9.378795580899999e-08
-83.79979999999999,6.7435151959e-08
-83.7898,4.7675153729999994e-08
-83.7798,3.3535782056000015e-08
-83.76979999999999,2.32598090478e-08
-83.7598,1.5997386147699995e-08
-83.7498,1.0859599648600002e-08
-83.7398,7.323145320599996e-09
-83.7298,4.876506711300002e-09
-83.71979999999999,3.2122997119999994e-09
-83.7098,2.088174387260001e-09
-83.6998,1.3490354604000003e-09
-83.68979999999999,8.609092992099999e-10
-83.6798,5.4163291121e-10
-83.6698,3.3793005255e-10
-83.65979999999999,2.081843134539999e-10
-83.6498,1.2721963229200005e-10
-83.6398,7.7087913546e-11
-83.6298,4.5875911067000007e-11
-83.6198,2.7114178681000006e-11
-83.60979999999999,1.58683888912e-11
-83.5998,9.186055006799998e-12
-83.5898,5.2490266487e-12
-83.57979999999999,2.9684628632999993e-12
-83.5698,1.6640781480100002e-12
-83.5598,9.1894643235e-13
-83.54979999999999,5.0438409755e-13
-83.5398,2.737119666500001e-13
-83.5298,1.4649537848199996e-13
-83.51979999999999,7.773850291499999e-14
-83.5098,4.081224217699999e-14
-83.4998,2.1203304273699992e-14
-83.4898,1.0859587646500002e-14
-83.4798,5.531888055599998e-15
-83.46979999999999,2.7818692325000005e-15
-83.4598,1.3813224538899996e-15
-83.4498,6.808029825100004e-16
-83.43979999999999,3.3087945281000006e-16
-83.4298,1.5933032413199999e-16
-83.4198,7.580469415699999e-17
-83.40979999999999,0.0
-83.3998,0.0
-83.3898,0.0
-83.3798,0.0
-83.3698,0.0
-83.35979999999999,0.0
-83.3498,0.0
-83.3398,0.0
-83.32979999999999,0.0
-83.3198,0.0
-83.3098,0.0
-83.29979999999999,0.0
-83.2898,0.0
-83.2798,0.0
-83.26979999999999,0.0
-83.2598,0.0
-83.2498,0.0
-83.2398,0.0
-83.2298,0.0
-83.21979999999999,0.0
-83.2098,0.0
-83.1998,0.0
-83.18979999999999,0.0
-83.1798,0.0
-83.1698,0.0
-83.15979999999999,0.0
-83.1498,0.0
-83.1398,0.0
-83.1298,0.0
-83.1198,0.0
-83.10979999999999,0.0
-83.0998,0.0
-83.0898,0.0
-83.07979999999999,0.0
-83.0698,0.0
-83.0598,0.0
-83.04979999999999,0.0
-83.0398,0.0
-83.0298,0.0
-83.01979999999999,0.0
-83.0098,0.0
-82.9998,0.0
-82.9898,0.0
-82.9798,0.0
-82.96979999999999,0.0
-82.9598,0.0
-82.9498,0.0
-82.93979999999999,0.0
-82.9298,0.0
-82.9198,0.0
-82.90979999999999,0.0
-82.8998,0.0
-82.8898,0.0
-82.8798,0.0
-82.8698,0.0
-82.85979999999999,0.0
-82.8498,0.0
-82.8398,0.0
-82.82979999999999,0.0
-82.8198,0.0
-82.8098,0.0
-82.79979999999999,0.0
-82.7898,0.0
-82.7798,0.0
-82.76979999999999,0.0
-82.7598,0.0
-82.7498,0.0
-82.7398,0.0
-82.7298,0.0
-82.71979999999999,0.0
-82.7098,0.0
-82.6998,0.0
-82.68979999999999,0.0
-82.6798,0.0
-82.6698,0.0
-82.65979999999999,0.0
-82.6498,0.0
-82.6398,0.0
-82.6298,0.0
-82.6198,0.0
-82.60979999999999,0.0
-82.5998,0.0
-82.5898,0.0
-82.57979999999999,0.0
-82.5698,0.0
-82.5598,0.0
-82.54979999999999,0.0
-82.5398,0.0
-82.5298,0.0
-82.51979999999999,0.0
-82.5098,0.0
-82.4998,0.0
-82.4898,0.0
-82.4798,0.0
-82.46979999999999,0.0
-82.4598,0.0
-82.4498,0.0
-82.43979999999999,0.0
-82.4298,0.0
-82.4198,0.0
-82.40979999999999,0.0
-82.3998,0.0
-82.3898,0.0
-82.3798,0.0
-82.3698,0.0
-82.35979999999999,0.0
-82.3498,0.0
-82.3398,0.0
-82.32979999999999,0.0
-82.3198,0.0
-82.3098,0.0
-82.29979999999999,0.0
-82.2898,0.0
-82.2798,0.0
-82.26979999999999,0.0
-82.2598,0.0
-82.2498,0.0
-82.2398,0.0
-82.2298,0.0
-82.21979999999999,0.0
-82.2098,0.0
-82.1998,0.0
-82.18979999999999,0.0
-82.1798,0.0
-82.1698,0.0
-82.15979999999999,0.0
-82.1498,0.0
-82.1398,0.0
-82.1298,0.0
-82.1198,0.0
-82.10979999999999,0.0
-82.0998,0.0
-82.0898,0.0
-82.07979999999999,0.0
-82.0698,0.0
-82.0598,0.0
-82.04979999999999,0.0
-82.0398,0.0
-82.0298,0.0
-82.01979999999999,0.0
-82.0098,0.0
-81.9998,0.0
-81.9898,0.0
-81.9798,0.0
-81.96979999999999,0.0
-81.9598,0.0
-81.9498,0.0
-81.93979999999999,0.0
-81.9298,0.0
-81.9198,0.0
-81.90979999999999,0.0
-81.8998,0.0
-81.8898,0.0
-81.8798,0.0
-81.8698,0.0
-81.85979999999999,0.0
-81.8498,0.0
-81.8398,0.0
-81.82979999999999,0.0
-81.8198,0.0
-81.8098,0.0
-81.79979999999999,0.0
-81.7898,0.0
-81.7798,0.0
-81.76979999999999,0.0
-81.7598,0.0
-81.7498,0.0
-81.7398,0.0
-81.7298,0.0
-81.71979999999999,0.0
-81.7098,0.0
-81.6998,0.0
-81.68979999999999,0.0
-81.6798,0.0
-81.6698,0.0
-81.65979999999999,0.0
-81.6498,0.0
-81.6398,0.0
-81.6298,0.0
-81.6198,0.0
-81.60979999999999,0.0
-81.5998,0.0
-81.5898,0.0
-81.57979999999999,0.0
-81.5698,0.0
-81.5598,0.0
-81.54979999999999,0.0
-81.5398,0.0
-81.5298,0.0
-81.51979999999999,0.0
-81.5098,0.0
-81.4998,0.0
-81.4898,0.0
-81.4798,0.0
-81.46979999999999,0.0
-81.4598,0.0
-81.4498,0.0
-81.43979999999999,0.0
-81.4298,0.0
-81.4198,0.0
-81.40979999999999,0.0
-81.3998,0.0
-81.3898,0.0
-81.3798,0.0
-81.3698,0.0
-81.35979999999999,0.0
-81.3498,0.0
-81.3398,0.0
-81.32979999999999,0.0
-81.3198,0.0
-81.3098,0.0
-81.29979999999999,0.0
-81.2898,0.0
-81.2798,0.0
-81.26979999999999,0.0
-81.2598,0.0
-81.2498,0.0
-81.2398,0.0
-81.2298,0.0
-81.21979999999999,0.0
-81.2098,0.0
-81.1998,0.0
-81.18979999999999,0.0
-81.1798,0.0
-81.1698,0.0
-81.15979999999999,0.0
-81.1498,0.0
-81.1398,0.0
-81.1298,0.0
-81.1198,0.0
-81.10979999999999,0.0
-81.0998,0.0
-81.0898,0.0
-81.07979999999999,0.0
-81.0698,0.0
-81.0598,0.0
-81.04979999999999,0.0
-81.0398,0.0
-81.0298,0.0
-81.01979999999999,0.0
-81.0098,0.0
-80.9998,0.0
-80.9898,0.0
-80.9798,0.0
-80.96979999999999,0.0
-80.9598,0.0
-80.9498,0.0
-80.93979999999999,0.0
-80.9298,0.0
-80.9198,0.0
-80.90979999999999,0.0
-80.8998,0.0
-80.8898,0.0
-80.8798,0.0
-80.8698,0.0
-80.85979999999999,0.0
-80.8498,0.0
-80.8398,0.0
-80.82979999999999,0.0
-80.8198,0.0
-80.8098,0.0
-80.79979999999999,0.0
-80.7898,0.0
-80.7798,0.0
-80.76979999999999,0.0
-80.7598,0.0
-80.7498,0.0
-80.7398,0.0
-80.7298,0.0
-80.71979999999999,0.0
-80.7098,0.0
-80.6998,0.0
-80.68979999999999,0.0
-80.6798,0.0
-80.6698,0.0
-80.65979999999999,0.0
-80.6498,0.0
-80.6398,0.0
-80.6298,0.0
-80.6198,0.0
-80.60979999999999,0.0
-80.5998,0.0
-80.5898,0.0
-80.57979999999999,0.0
-80.5698,0.0
-80.5598,0.0
-80.54979999999999,0.0
-80.5398,0.0
