,Mo_3px
-84.51979999999999,7.860490581175104e-10
-84.5098,1.2145449097238e-09
-84.4998,1.8582819240226008e-09
-84.4898,2.8094763890290996e-09
-84.4798,4.213874092061501e-09
-84.46979999999999,6.2293352947235986e-09
-84.4598,9.1153167932274e-09
-84.4498,1.3211603821068e-08
-84.43979999999999,1.8939584474628992e-08
-84.4298,2.6860577509209995e-08
-84.4198,3.7568232222056e-08
-84.40979999999999,5.2260250642486e-08
-84.3998,7.169240993142999e-08
-84.3898,9.741520008762901e-08
-84.3798,1.3085973905317003e-07
-84.3698,1.7393134741865004e-07
-84.35979999999999,2.2847417465324005e-07
-84.3498,2.9725977986775004e-07
-84.3398,3.8213873264471003e-07
-84.32979999999999,4.860450179101398e-07
-84.3198,6.124998540733698e-07
-84.3098,7.629374432511102e-07
-84.29979999999999,9.4070172749679e-07
-84.2898,1.1456381719102002e-06
-84.2798,1.3817705605273002e-06
-84.26979999999999,1.6473091884066999e-06
-84.2598,1.9460519165863996e-06
-84.2498,2.2700886889152997e-06
-84.2398,2.6214432812763998e-06
-84.2298,2.993679435496701e-06
-84.21979999999999,3.3843565045811984e-06
-84.2098,3.7836845547827986e-06
-84.1998,4.185002331199301e-06
-84.18979999999999,4.5840798773308e-06
-84.1798,4.9563465126001995e-06
-84.1698,5.297480836727299e-06
-84.15979999999999,5.623112090170099e-06
-84.1498,5.8945915307185015e-06
-84.1398,6.103916089140401e-06
-84.1298,6.250617646376801e-06
-84.1198,6.334493029146601e-06
-84.10979999999999,6.3553651705587985e-06
-84.0998,6.333421898613402e-06
-84.0898,6.208464374311403e-06
-84.07979999999999,6.0206715766228e-06
-84.0698,5.790594966858697e-06
-84.0598,5.498154805028101e-06
-84.04979999999999,5.186081732234199e-06
-84.0398,4.820476937166001e-06
-84.0298,4.4258299414256e-06
-84.01979999999999,4.046712295274001e-06
-84.0098,3.6453843118305e-06
-83.9998,3.2400764705498985e-06
-83.9898,2.8575995829005006e-06
-83.9798,2.4896000418892e-06
-83.96979999999999,2.1468821758241994e-06
-83.9598,1.8333562439614003e-06
-83.9498,1.5469621873588001e-06
-83.93979999999999,1.2919763009015e-06
-83.9298,1.06817464870952e-06
-83.9198,8.7179794868958e-07
-83.90979999999999,7.0656129186909e-07
-83.8998,5.6239943507323e-07
-83.8898,4.4569017426387994e-07
-83.8798,3.487013997910201e-07
-83.8698,2.7029089266750985e-07
-83.85979999999999,2.0694218038155009e-07
-83.8498,1.5678537751959995e-07
-83.8398,1.1748322351195003e-07
-83.82979999999999,8.7179692868858e-08
-83.8198,6.396677622142099e-08
-83.8098,4.650704459877402e-08
-83.79979999999999,3.332092998403699e-08
-83.7898,2.364213393784101e-08
-83.7798,1.6618932139808002e-08
-83.76979999999999,1.1559446443073001e-08
-83.7598,7.9435354848739e-09
-83.7498,5.3956075307272e-09
-83.7398,3.6231741907894006e-09
-83.7298,2.4185681100506e-09
-83.71979999999999,1.5909653221732003e-09
-83.7098,1.0367805454839501e-09
-83.6998,6.668836803021601e-10
-83.68979999999999,4.256237674267001e-10
-83.6798,2.6860577609320005e-10
-83.6698,1.674459100582e-10
-83.65979999999999,1.0347422682896296e-10
-83.6498,6.292901548513304e-11
-83.6398,3.8147664659120015e-11
-83.6298,2.2764951572083e-11
-83.6198,1.3462740310900001e-11
-83.60979999999999,7.860490902336202e-12
-83.5998,4.552778276117601e-12
-83.5898,2.6025719455152006e-12
-83.57979999999999,1.4737789753171006e-12
-83.5698,8.237617637216603e-13
-83.5598,4.559449226949799e-13
-83.54979999999999,2.5022450554623014e-13
-83.5398,1.3566348985420996e-13
-83.5298,7.274829057263901e-14
-83.51979999999999,3.8549197979354005e-14
-83.5098,2.0254795508611e-14
-83.4998,1.0515635890633798e-14
-83.4898,5.395587520727201e-15
-83.4798,2.7426518082455013e-15
-83.46979999999999,1.3797244023873002e-15
-83.4598,6.856959220650199e-16
-83.4498,3.3777156109301005e-16
-83.43979999999999,1.6409926071346003e-16
-83.4298,7.900851552819401e-17
-83.4198,3.7545826188025e-17
-83.40979999999999,0.0
-83.3998,0.0
-83.3898,0.0
-83.3798,0.0
-83.3698,0.0
-83.35979999999999,0.0
-83.3498,0.0
-83.3398,0.0
-83.32979999999999,0.0
-83.3198,0.0
-83.3098,0.0
-83.29979999999999,0.0
-83.2898,0.0
-83.2798,0.0
-83.26979999999999,0.0
-83.2598,0.0
-83.2498,0.0
-83.2398,0.0
-83.2298,0.0
-83.21979999999999,0.0
-83.2098,0.0
-83.1998,0.0
-83.18979999999999,0.0
-83.1798,0.0
-83.1698,0.0
-83.15979999999999,0.0
-83.1498,0.0
-83.1398,0.0
-83.1298,0.0
-83.1198,0.0
-83.10979999999999,0.0
-83.0998,0.0
-83.0898,0.0
-83.07979999999999,0.0
-83.0698,0.0
-83.0598,0.0
-83.04979999999999,0.0
-83.0398,0.0
-83.0298,0.0
-83.01979999999999,0.0
-83.0098,0.0
-82.9998,0.0
-82.9898,0.0
-82.9798,0.0
-82.96979999999999,0.0
-82.9598,0.0
-82.9498,0.0
-82.93979999999999,0.0
-82.9298,0.0
-82.9198,0.0
-82.90979999999999,0.0
-82.8998,0.0
-82.8898,0.0
-82.8798,0.0
-82.8698,0.0
-82.85979999999999,0.0
-82.8498,0.0
-82.8398,0.0
-82.82979999999999,0.0
-82.8198,0.0
-82.8098,0.0
-82.79979999999999,0.0
-82.7898,0.0
-82.7798,0.0
-82.76979999999999,0.0
-82.7598,0.0
-82.7498,0.0
-82.7398,0.0
-82.7298,0.0
-82.71979999999999,0.0
-82.7098,0.0
-82.6998,0.0
-82.68979999999999,0.0
-82.6798,0.0
-82.6698,0.0
-82.65979999999999,0.0
-82.6498,0.0
-82.6398,0.0
-82.6298,0.0
-82.6198,0.0
-82.60979999999999,0.0
-82.5998,0.0
-82.5898,0.0
-82.57979999999999,0.0
-82.5698,0.0
-82.5598,0.0
-82.54979999999999,0.0
-82.5398,0.0
-82.5298,0.0
-82.51979999999999,0.0
-82.5098,0.0
-82.4998,0.0
-82.4898,0.0
-82.4798,0.0
-82.46979999999999,0.0
-82.4598,0.0
-82.4498,0.0
-82.43979999999999,0.0
-82.4298,0.0
-82.4198,0.0
-82.40979999999999,0.0
-82.3998,0.0
-82.3898,0.0
-82.3798,0.0
-82.3698,0.0
-82.35979999999999,0.0
-82.3498,0.0
-82.3398,0.0
-82.32979999999999,0.0
-82.3198,0.0
-82.3098,0.0
-82.29979999999999,0.0
-82.2898,0.0
-82.2798,0.0
-82.26979999999999,0.0
-82.2598,0.0
-82.2498,0.0
-82.2398,0.0
-82.2298,0.0
-82.21979999999999,0.0
-82.2098,0.0
-82.1998,0.0
-82.18979999999999,0.0
-82.1798,0.0
-82.1698,0.0
-82.15979999999999,0.0
-82.1498,0.0
-82.1398,0.0
-82.1298,0.0
-82.1198,0.0
-82.10979999999999,0.0
-82.0998,0.0
-82.0898,0.0
-82.07979999999999,0.0
-82.0698,0.0
-82.0598,0.0
-82.04979999999999,0.0
-82.0398,0.0
-82.0298,0.0
-82.01979999999999,0.0
-82.0098,0.0
-81.9998,0.0
-81.9898,0.0
-81.9798,0.0
-81.96979999999999,0.0
-81.9598,0.0
-81.9498,0.0
-81.93979999999999,0.0
-81.9298,0.0
-81.9198,0.0
-81.90979999999999,0.0
-81.8998,0.0
-81.8898,0.0
-81.8798,0.0
-81.8698,0.0
-81.85979999999999,0.0
-81.8498,0.0
-81.8398,0.0
-81.82979999999999,0.0
-81.8198,0.0
-81.8098,0.0
-81.79979999999999,0.0
-81.7898,0.0
-81.7798,0.0
-81.76979999999999,0.0
-81.7598,0.0
-81.7498,0.0
-81.7398,0.0
-81.7298,0.0
-81.71979999999999,0.0
-81.7098,0.0
-81.6998,0.0
-81.68979999999999,0.0
-81.6798,0.0
-81.6698,0.0
-81.65979999999999,0.0
-81.6498,0.0
-81.6398,0.0
-81.6298,0.0
-81.6198,0.0
-81.60979999999999,0.0
-81.5998,0.0
-81.5898,0.0
-81.57979999999999,0.0
-81.5698,0.0
-81.5598,0.0
-81.54979999999999,0.0
-81.5398,0.0
-81.5298,0.0
-81.51979999999999,0.0
-81.5098,0.0
-81.4998,0.0
-81.4898,0.0
-81.4798,0.0
-81.46979999999999,0.0
-81.4598,0.0
-81.4498,0.0
-81.43979999999999,0.0
-81.4298,0.0
-81.4198,0.0
-81.40979999999999,0.0
-81.3998,0.0
-81.3898,0.0
-81.3798,0.0
-81.3698,0.0
-81.35979999999999,0.0
-81.3498,0.0
-81.3398,0.0
-81.32979999999999,0.0
-81.3198,0.0
-81.3098,0.0
-81.29979999999999,0.0
-81.2898,0.0
-81.2798,0.0
-81.26979999999999,0.0
-81.2598,0.0
-81.2498,0.0
-81.2398,0.0
-81.2298,0.0
-81.21979999999999,0.0
-81.2098,0.0
-81.1998,0.0
-81.18979999999999,0.0
-81.1798,0.0
-81.1698,0.0
-81.15979999999999,0.0
-81.1498,0.0
-81.1398,0.0
-81.1298,0.0
-81.1198,0.0
-81.10979999999999,0.0
-81.0998,0.0
-81.0898,0.0
-81.07979999999999,0.0
-81.0698,0.0
-81.0598,0.0
-81.04979999999999,0.0
-81.0398,0.0
-81.0298,0.0
-81.01979999999999,0.0
-81.0098,0.0
-80.9998,0.0
-80.9898,0.0
-80.9798,0.0
-80.96979999999999,0.0
-80.9598,0.0
-80.9498,0.0
-80.93979999999999,0.0
-80.9298,0.0
-80.9198,0.0
-80.90979999999999,0.0
-80.8998,0.0
-80.8898,0.0
-80.8798,0.0
-80.8698,0.0
-80.85979999999999,0.0
-80.8498,0.0
-80.8398,0.0
-80.82979999999999,0.0
-80.8198,0.0
-80.8098,0.0
-80.79979999999999,0.0
-80.7898,0.0
-80.7798,0.0
-80.76979999999999,0.0
-80.7598,0.0
-80.7498,0.0
-80.7398,0.0
-80.7298,0.0
-80.71979999999999,0.0
-80.7098,0.0
-80.6998,0.0
-80.68979999999999,0.0
-80.6798,0.0
-80.6698,0.0
-80.65979999999999,0.0
-80.6498,0.0
-80.6398,0.0
-80.6298,0.0
-80.6198,0.0
-80.60979999999999,0.0
-80.5998,0.0
-80.5898,0.0
-80.57979999999999,0.0
-80.5698,0.0
-80.5598,0.0
-80.54979999999999,0.0
-80.5398,0.0
-80.5298,0.0
-80.51979999999999,0.0
-80.5098,0.0
