,Mo_3pz
-84.51979999999999,1.39807411752e-09
-84.5098,2.16447366627e-09
-84.4998,3.3081059245000008e-09
-84.4898,5.0081154148e-09
-84.4798,7.465139775699997e-09
-84.46979999999999,1.1091127652600006e-08
-84.4598,1.6261323548499996e-08
-84.4498,2.353074330929999e-08
-84.43979999999999,3.3749558491000024e-08
-84.4298,4.780110197300001e-08
-84.4198,6.709696015600005e-08
-84.40979999999999,9.280821515499997e-08
-84.3998,1.2774080881899994e-07
-84.3898,1.7346577634500005e-07
-84.3798,2.3327503891499996e-07
-84.3698,3.0991918279000016e-07
-84.35979999999999,4.0734872626999995e-07
-84.3498,5.2971515569e-07
-84.3398,6.791762623499999e-07
-84.32979999999999,8.672137666300002e-07
-84.3198,1.0888702638999997e-06
-84.3098,1.3585190844699993e-06
-84.29979999999999,1.673825948630001e-06
-84.2898,2.0438040367899993e-06
-84.2798,2.4605407292400003e-06
-84.26979999999999,2.9380063254999994e-06
-84.2598,3.4622304164000014e-06
-84.2498,4.041113010700001e-06
-84.2398,4.671771988900001e-06
-84.2298,5.331727939800001e-06
-84.21979999999999,6.030197863000001e-06
-84.2098,6.7237313178e-06
-84.1998,7.460774372700001e-06
-84.18979999999999,8.136165626299998e-06
-84.1798,8.808232177999999e-06
-84.1698,9.475877626200002e-06
-84.15979999999999,1.0015233269099994e-05
-84.1498,1.0486815505599997e-05
-84.1398,1.0888005435000003e-05
-84.1298,1.1161830856100002e-05
-84.1198,1.129392846839999e-05
-84.10979999999999,1.1354592471299994e-05
-84.0998,1.1233258464999995e-05
-84.0898,1.1030766849299995e-05
-84.07979999999999,1.0756280425299997e-05
-84.0698,1.0288690693000004e-05
-84.0598,9.814745953699997e-06
-84.04979999999999,9.211755008999999e-06
-84.0398,8.602074859700002e-06
-84.0298,7.868696507199995e-06
-84.01979999999999,7.192982752599997e-06
-84.0098,6.474239497799998e-06
-83.9998,5.7686474432999974e-06
-83.9898,5.088268671199999e-06
-83.9798,4.436405240900003e-06
-83.96979999999999,3.825118094000001e-06
-83.9598,3.266468540899999e-06
-83.9498,2.7565480819099976e-06
-83.93979999999999,2.2993858267500007e-06
-83.9298,1.9019217761299998e-06
-83.9198,1.55316011929e-06
-83.90979999999999,1.2570967865300002e-06
-83.8998,1.0019895372100006e-06
-83.8898,7.934392010500001e-07
-83.8798,6.218778478100003e-07
-83.8698,4.813655260199999e-07
-83.85979999999999,3.6902662434000003e-07
-83.8498,2.7960941546999994e-07
-83.8398,2.0975627410100003e-07
-83.82979999999999,1.5531601192500003e-07
-83.8198,1.1364989775499998e-07
-83.8098,8.268584935499999e-08
-83.79979999999999,5.935983256000002e-08
-83.7898,4.215429733900001e-08
-83.7798,2.9583405674000002e-08
-83.76979999999999,2.0570466680299995e-08
-83.7598,1.4122809586400008e-08
-83.7498,9.614308039300003e-09
-83.7398,6.473238997600002e-09
-83.7298,4.308674901099999e-09
-83.71979999999999,2.8366404379699984e-09
-83.7098,1.84819337195e-09
-83.6998,1.19022395147e-09
-83.68979999999999,7.595506483099998e-10
-83.6798,4.786110397300002e-10
-83.6698,2.9846442194e-10
-83.65979999999999,1.84207266136e-10
-83.6498,1.1223225163799996e-10
-83.6398,6.789428721599999e-11
-83.6298,4.0542447314999974e-11
-83.6198,2.3936610041099995e-11
-83.60979999999999,1.3981073476099995e-11
-83.5998,8.131486622799997e-12
-83.5898,4.638227126200002e-12
-83.57979999999999,2.62175684169e-12
-83.5698,1.4720127628500003e-12
-83.5598,8.134853625500001e-13
-83.54979999999999,4.456858492599999e-13
-83.5398,2.4159343458300013e-13
-83.5298,1.29768090961e-13
-83.51979999999999,6.858492828199997e-14
-83.5098,3.610173486999999e-14
-83.4998,1.8754975240200004e-14
-83.4898,9.614307838899997e-15
-83.4798,4.8877167955999976e-15
-83.46979999999999,2.453450418619999e-15
-83.4598,1.2236412638099996e-15
-83.4498,6.002743861100004e-16
-83.43979999999999,2.91782449426e-16
-83.4298,1.40517644806e-16
-83.4198,6.6950640145e-17
-83.40979999999999,0.0
-83.3998,0.0
-83.3898,0.0
-83.3798,0.0
-83.3698,0.0
