,Mo_4dxy
-84.51979999999999,3.1655625654865006e-09
-84.5098,4.9031217047624e-09
-84.4998,7.493423913886601e-09
-84.4898,1.1330053259814e-08
-84.4798,1.6971625828624993e-08
-84.46979999999999,2.5125874553744e-08
-84.4598,3.673508838840101e-08
-84.4498,5.341473064626102e-08
-84.43979999999999,7.646453370555198e-08
-84.4298,1.0822457817478e-07
-84.4198,1.5186988156996007e-07
-84.40979999999999,2.1070810947340003e-07
-84.3998,2.8941900127915e-07
-84.3898,3.9263468502408e-07
-84.3798,5.2824237221795e-07
-84.3698,7.022333181846401e-07
-84.35979999999999,9.233151023380002e-07
-84.3498,1.1990877080750996e-06
-84.3398,1.5427634667828006e-06
-84.32979999999999,1.963723013105401e-06
-84.3198,2.4707899034289e-06
-84.3098,3.0796949612344996e-06
-84.29979999999999,3.7956207640843006e-06
-84.2898,4.619748782177399e-06
-84.2798,5.570309975706702e-06
-84.26979999999999,6.6451640451013986e-06
-84.2598,7.8462905198905e-06
-84.2498,9.1678395901398e-06
-84.2398,1.0579308585445001e-05
-84.2298,1.2078596624681993e-05
-84.21979999999999,1.3663094696089e-05
-84.2098,1.5252399190106005e-05
-84.1998,1.6881707584614e-05
-84.18979999999999,1.8468610857711002e-05
-84.1798,1.998999730779799e-05
-84.1698,2.1401762701472993e-05
-84.15979999999999,2.2658010938737003e-05
-84.1498,2.3756314490168998e-05
-84.1398,2.4616774028977997e-05
-84.1298,2.5235800457954997e-05
-84.1198,2.5588462774398995e-05
-84.10979999999999,2.5697483478409995e-05
-84.0998,2.5499447869387997e-05
-84.0898,2.5038962848633007e-05
-84.07979999999999,2.4331222517035005e-05
-84.0698,2.3382640072424995e-05
-84.0598,2.2217617899672005e-05
-84.04979999999999,2.0912871248607993e-05
-84.0398,1.9459394342432e-05
-84.0298,1.7895500680635007e-05
-84.01979999999999,1.6288397987036997e-05
-84.0098,1.4678889592729996e-05
-83.9998,1.3069785009972004e-05
-83.9898,1.1525690548275999e-05
-83.9798,1.0049011231139001e-05
-83.96979999999999,8.662345147713403e-06
-83.9598,7.403605939474499e-06
-83.9498,6.23518564663e-06
-83.93979999999999,5.219281179191799e-06
-83.9298,4.303558577587899e-06
-83.9198,3.514348431419299e-06
-83.90979999999999,2.845221090576e-06
-83.8998,2.2744924644148e-06
-83.8898,1.8005422736446004e-06
-83.8798,1.4083476116462994e-06
-83.8698,1.0909674050949001e-06
-83.85979999999999,8.354187703353999e-07
-83.8498,6.328904190590898e-07
-83.8398,4.746141837712701e-07
-83.82979999999999,3.5143484113993e-07
-83.8198,2.5808600583921e-07
-83.8098,1.8733557089943994e-07
-83.79979999999999,1.3445055697005998e-07
-83.7898,9.543116887593997e-08
-83.7798,6.706374837677997e-08
-83.76979999999999,4.6545360937928e-08
-83.7598,3.198299446970899e-08
-83.7498,2.1797441190326998e-08
-83.7398,1.4656784492430001e-08
-83.7298,9.743455088116001e-09
-83.71979999999999,6.422721554863001e-09
-83.7098,4.179205391922599e-09
-83.6998,2.695572283667399e-09
-83.68979999999999,1.7189565127946996e-09
-83.6798,1.0842457917478003e-09
-83.6698,6.765284340054598e-10
-83.65979999999999,4.1749726814314004e-10
-83.6498,2.5457142468776995e-10
-83.6398,1.5382421945016992e-10
-83.6298,9.170446111300002e-11
-83.6198,5.437571849058101e-11
-83.60979999999999,3.167602875746601e-11
-83.5998,1.8358286801690012e-11
-83.5898,1.0511996351753996e-11
-83.57979999999999,5.945549302612698e-12
-83.5698,3.3247025428662e-12
