,Pd_1s
-84.51979999999999,0.00101
-84.5098,0.00157
-84.4998,0.0024
-84.4898,0.00362
-84.4798,0.00542
-84.46979999999999,0.00803
-84.4598,0.0118
-84.4498,0.017
-84.43979999999999,0.0244
-84.4298,0.0346
-84.4198,0.0486
-84.40979999999999,0.0674
-84.3998,0.0925
-84.3898,0.126
-84.3798,0.169
-84.3698,0.224
-84.35979999999999,0.295
-84.3498,0.383
-84.3398,0.493
-84.32979999999999,0.628
-84.3198,0.79
-84.3098,0.984
-84.29979999999999,1.21
-84.2898,1.48
-84.2798,1.78
-84.26979999999999,2.13
-84.2598,2.51
-84.2498,2.93
-84.2398,3.38
-84.2298,3.86
-84.21979999999999,4.36
-84.2098,4.88
-84.1998,5.39
-84.18979999999999,5.9
-84.1798,6.39
-84.1698,6.84
-84.15979999999999,7.24
-84.1498,7.59
-84.1398,7.86
-84.1298,8.06
-84.1198,8.18
-84.10979999999999,8.21
-84.0998,8.15
-84.0898,8.0
-84.07979999999999,7.77
-84.0698,7.47
-84.0598,7.1
-84.04979999999999,6.68
-84.0398,6.21
-84.0298,5.72
-84.01979999999999,5.21
-84.0098,4.69
-83.9998,4.18
-83.9898,3.68
-83.9798,3.21
-83.96979999999999,2.77
-83.9598,2.36
-83.9498,1.99
-83.93979999999999,1.67
-83.9298,1.38
-83.9198,1.12
-83.90979999999999,0.909
-83.8998,0.727
-83.8898,0.575
-83.8798,0.45
-83.8698,0.349
-83.85979999999999,0.267
-83.8498,0.202
-83.8398,0.152
-83.82979999999999,0.112
-83.8198,0.0825
-83.8098,0.0598
-83.79979999999999,0.043
-83.7898,0.0305
-83.7798,0.0214
-83.76979999999999,0.0149
-83.7598,0.0102
-83.7498,0.00696
-83.7398,0.00468
-83.7298,0.00312
-83.71979999999999,0.00205
-83.7098,0.00134
-83.6998,0.000862
-83.68979999999999,0.000549
-83.6798,0.000346
-83.6698,0.000216
-83.65979999999999,0.000133
-83.6498,8.14e-05
-83.6398,4.91e-05
-83.6298,2.94e-05
-83.6198,1.73e-05
-83.60979999999999,1.01e-05
-83.5998,5.87e-06
-83.5898,3.36e-06
-83.57979999999999,1.9e-06
-83.5698,1.06e-06
-83.5598,5.89e-07
-83.54979999999999,3.23e-07
-83.5398,1.75e-07
-83.5298,9.38e-08
-83.51979999999999,4.98e-08
-83.5098,2.61e-08
-83.4998,1.36e-08
-83.4898,6.96e-09
-83.4798,3.54e-09
-83.46979999999999,1.78e-09
-83.4598,8.84e-10
-83.4498,4.35e-10
-83.43979999999999,2.11e-10
-83.4298,1.02e-10
-83.4198,4.85e-11
-83.40979999999999,0.0
-83.3998,0.0
-83.3898,0.0
-83.3798,0.0
-83.3698,0.0
-83.35979999999999,0.0
-83.3498,0.0
-83.3398,0.0
-83.32979999999999,0.0
-83.3198,0.0
-83.3098,0.0
-83.29979999999999,0.0
-83.2898,0.0
-83.2798,0.0
-83.26979999999999,0.0
-83.2598,0.0
-83.2498,0.0
-83.2398,0.0
-83.2298,0.0
-83.21979999999999,0.0
-83.2098,0.0
-83.1998,0.0
-83.18979999999999,0.0
-83.1798,0.0
-83.1698,0.0
-83.15979999999999,0.0
-83.1498,0.0
-83.1398,0.0
-83.1298,0.0
-83.1198,0.0
-83.10979999999999,0.0
-83.0998,0.0
-83.0898,0.0
-83.07979999999999,0.0
-83.0698,0.0
-83.0598,0.0
-83.04979999999999,0.0
-83.0398,0.0
-83.0298,0.0
-83.01979999999999,0.0
-83.0098,0.0
-82.9998,0.0
-82.9898,0.0
-82.9798,0.0
-82.96979999999999,0.0
-82.9598,0.0
-82.9498,0.0
-82.93979999999999,0.0
-82.9298,0.0
-82.9198,0.0
-82.90979999999999,0.0
-82.8998,0.0
-82.8898,0.0
-82.8798,0.0
-82.8698,0.0
-82.85979999999999,0.0
-82.8498,0.0
-82.8398,0.0
-82.82979999999999,0.0
-82.8198,0.0
-82.8098,0.0
-82.79979999999999,0.0
-82.7898,0.0
-82.7798,0.0
-82.76979999999999,0.0
-82.7598,0.0
-82.7498,0.0
-82.7398,0.0
-82.7298,0.0
-82.71979999999999,0.0
-82.7098,0.0
-82.6998,0.0
-82.68979999999999,0.0
-82.6798,0.0
-82.6698,0.0
-82.65979999999999,0.0
-82.6498,0.0
-82.6398,0.0
-82.6298,0.0
-82.6198,0.0
-82.60979999999999,0.0
-82.5998,0.0
-82.5898,0.0
-82.57979999999999,0.0
-82.5698,0.0
-82.5598,0.0
-82.54979999999999,0.0
-82.5398,0.0
-82.5298,0.0
-82.51979999999999,0.0
-82.5098,0.0
-82.4998,0.0
-82.4898,0.0
-82.4798,0.0
-82.46979999999999,0.0
-82.4598,0.0
-82.4498,0.0
-82.43979999999999,0.0
-82.4298,0.0
-82.4198,0.0
-82.40979999999999,0.0
-82.3998,0.0
-82.3898,0.0
-82.3798,0.0
-82.3698,0.0
-82.35979999999999,0.0
-82.3498,0.0
-82.3398,0.0
-82.32979999999999,0.0
-82.3198,0.0
-82.3098,0.0
-82.29979999999999,0.0
-82.2898,0.0
-82.2798,0.0
-82.26979999999999,0.0
-82.2598,0.0
-82.2498,0.0
-82.2398,0.0
-82.2298,0.0
-82.21979999999999,0.0
-82.2098,0.0
-82.1998,0.0
-82.18979999999999,0.0
-82.1798,0.0
-82.1698,0.0
-82.15979999999999,0.0
-82.1498,0.0
-82.1398,0.0
-82.1298,0.0
-82.1198,0.0
-82.10979999999999,0.0
-82.0998,0.0
-82.0898,0.0
-82.07979999999999,0.0
-82.0698,0.0
-82.0598,0.0
-82.04979999999999,0.0
-82.0398,0.0
-82.0298,0.0
-82.01979999999999,0.0
-82.0098,0.0
-81.9998,0.0
-81.9898,0.0
-81.9798,0.0
-81.96979999999999,0.0
-81.9598,0.0
-81.9498,0.0
-81.93979999999999,0.0
-81.9298,0.0
-81.9198,0.0
-81.90979999999999,0.0
-81.8998,0.0
