,Pd_4dz2
-84.51979999999999,3.16e-12
-84.5098,4.89e-12
-84.4998,7.48e-12
-84.4898,1.13e-11
-84.4798,1.69e-11
-84.46979999999999,2.51e-11
-84.4598,3.67e-11
-84.4498,5.32e-11
-84.43979999999999,7.62e-11
-84.4298,1.08e-10
-84.4198,1.52e-10
-84.40979999999999,2.1e-10
-84.3998,2.89e-10
-84.3898,3.92e-10
-84.3798,5.27e-10
-84.3698,7e-10
-84.35979999999999,9.2e-10
-84.3498,1.2e-09
-84.3398,1.54e-09
-84.32979999999999,1.96e-09
-84.3198,2.47e-09
-84.3098,3.07e-09
-84.29979999999999,3.79e-09
-84.2898,4.61e-09
-84.2798,5.56e-09
-84.26979999999999,6.64e-09
-84.2598,7.83e-09
-84.2498,9.14e-09
-84.2398,1.06e-08
-84.2298,1.21e-08
-84.21979999999999,1.36e-08
-84.2098,1.52e-08
-84.1998,1.68e-08
-84.18979999999999,1.84e-08
-84.1798,1.99e-08
-84.1698,2.14e-08
-84.15979999999999,2.26e-08
-84.1498,2.37e-08
-84.1398,2.46e-08
-84.1298,2.52e-08
-84.1198,2.55e-08
-84.10979999999999,2.56e-08
-84.0998,2.54e-08
-84.0898,2.5e-08
-84.07979999999999,2.43e-08
-84.0698,2.33e-08
-84.0598,2.22e-08
-84.04979999999999,2.09e-08
-84.0398,1.94e-08
-84.0298,1.79e-08
-84.01979999999999,1.63e-08
-84.0098,1.46e-08
-83.9998,1.3e-08
-83.9898,1.15e-08
-83.9798,1e-08
-83.96979999999999,8.65e-09
-83.9598,7.38e-09
-83.9498,6.23e-09
-83.93979999999999,5.2e-09
-83.9298,4.3e-09
-83.9198,3.51e-09
-83.90979999999999,2.84e-09
-83.8998,2.27e-09
-83.8898,1.8e-09
-83.8798,1.41e-09
-83.8698,1.09e-09
-83.85979999999999,8.34e-10
-83.8498,6.32e-10
-83.8398,4.73e-10
-83.82979999999999,3.51e-10
-83.8198,2.58e-10
-83.8098,1.87e-10
-83.79979999999999,1.34e-10
-83.7898,9.53e-11
-83.7798,6.69e-11
-83.76979999999999,4.65e-11
-83.7598,3.2e-11
-83.7498,2.17e-11
-83.7398,1.46e-11
-83.7298,9.74e-12
-83.71979999999999,6.41e-12
-83.7098,4.18e-12
-83.6998,2.69e-12
-83.68979999999999,1.71e-12
-83.6798,1.08e-12
-83.6698,6.74e-13
-83.65979999999999,4.16e-13
-83.6498,2.54e-13
-83.6398,1.53e-13
-83.6298,9.17e-14
-83.6198,5.42e-14
-83.60979999999999,3.17e-14
-83.5998,1.83e-14
-83.5898,1.05e-14
-83.57979999999999,5.93e-15
-83.5698,3.32e-15
-83.5598,1.84e-15
-83.54979999999999,1.01e-15
-83.5398,5.46e-16
-83.5298,2.93e-16
-83.51979999999999,1.55e-16
-83.5098,8.15e-17
-83.4998,4.23e-17
-83.4898,2.17e-17
-83.4798,1.1e-17
-83.46979999999999,5.55e-18
-83.4598,2.76e-18
-83.4498,1.36e-18
-83.43979999999999,6.6e-19
-83.4298,3.18e-19
-83.4198,1.51e-19
-83.40979999999999,0.0
-83.3998,0.0
-83.3898,0.0
-83.3798,0.0
-83.3698,0.0
-83.35979999999999,0.0
-83.3498,0.0
-83.3398,0.0
-83.32979999999999,0.0
-83.3198,0.0
-83.3098,0.0
-83.29979999999999,0.0
-83.2898,0.0
-83.2798,0.0
-83.26979999999999,0.0
-83.2598,0.0
-83.2498,0.0
-83.2398,0.0
-83.2298,0.0
-83.21979999999999,0.0
-83.2098,0.0
-83.1998,0.0
-83.18979999999999,0.0
-83.1798,0.0
-83.1698,0.0
-83.15979999999999,0.0
-83.1498,0.0
-83.1398,0.0
-83.1298,0.0
-83.1198,0.0
-83.10979999999999,0.0
-83.0998,0.0
-83.0898,0.0
-83.07979999999999,0.0
-83.0698,0.0
-83.0598,0.0
-83.04979999999999,0.0
-83.0398,0.0
-83.0298,0.0
-83.01979999999999,0.0
-83.0098,0.0
-82.9998,0.0
-82.9898,0.0
-82.9798,0.0
-82.96979999999999,0.0
-82.9598,0.0
-82.9498,0.0
-82.93979999999999,0.0
-82.9298,0.0
-82.9198,0.0
-82.90979999999999,0.0
-82.8998,0.0
-82.8898,0.0
-82.8798,0.0
-82.8698,0.0
-82.85979999999999,0.0
-82.8498,0.0
-82.8398,0.0
-82.82979999999999,0.0
-82.8198,0.0
-82.8098,0.0
-82.79979999999999,0.0
-82.7898,0.0
-82.7798,0.0
-82.76979999999999,0.0
-82.7598,0.0
-82.7498,0.0
-82.7398,0.0
-82.7298,0.0
-82.71979999999999,0.0
-82.7098,0.0
-82.6998,0.0
-82.68979999999999,0.0
-82.6798,0.0
-82.6698,0.0
-82.65979999999999,0.0
-82.6498,0.0
-82.6398,0.0
-82.6298,0.0
-82.6198,0.0
-82.60979999999999,0.0
-82.5998,0.0
-82.5898,0.0
-82.57979999999999,0.0
-82.5698,0.0
-82.5598,0.0
-82.54979999999999,0.0
-82.5398,0.0
-82.5298,0.0
-82.51979999999999,0.0
-82.5098,0.0
-82.4998,0.0
-82.4898,0.0
-82.4798,0.0
-82.46979999999999,0.0
-82.4598,0.0
-82.4498,0.0
-82.43979999999999,0.0
-82.4298,0.0
-82.4198,0.0
-82.40979999999999,0.0
-82.3998,0.0
-82.3898,0.0
-82.3798,0.0
-82.3698,0.0
-82.35979999999999,0.0
-82.3498,0.0
-82.3398,0.0
-82.32979999999999,0.0
-82.3198,0.0
-82.3098,0.0
-82.29979999999999,0.0
-82.2898,0.0
-82.2798,0.0
-82.26979999999999,0.0
-82.2598,0.0
-82.2498,0.0
-82.2398,0.0
-82.2298,0.0
-82.21979999999999,0.0
-82.2098,0.0
-82.1998,0.0
