,Pd_4dzx
-84.51979999999999,3.96e-17
-84.5098,6.13e-17
-84.4998,9.37e-17
-84.4898,1.42e-16
-84.4798,2.12e-16
-84.46979999999999,3.14e-16
-84.4598,4.6e-16
-84.4498,6.67e-16
-84.43979999999999,9.55e-16
-84.4298,1.35e-15
-84.4198,1.9e-15
-84.40979999999999,2.64e-15
-84.3998,3.62e-15
-84.3898,4.91e-15
-84.3798,6.6e-15
-84.3698,8.77e-15
-84.35979999999999,1.15e-14
-84.3498,1.5e-14
-84.3398,1.93e-14
-84.32979999999999,2.46e-14
-84.3198,3.09e-14
-84.3098,3.85e-14
-84.29979999999999,4.74e-14
-84.2898,5.78e-14
-84.2798,6.97e-14
-84.26979999999999,8.32e-14
-84.2598,9.81e-14
-84.2498,1.15e-13
-84.2398,1.32e-13
-84.2298,1.51e-13
-84.21979999999999,1.71e-13
-84.2098,1.91e-13
-84.1998,2.11e-13
-84.18979999999999,2.31e-13
-84.1798,2.5e-13
-84.1698,2.68e-13
-84.15979999999999,2.83e-13
-84.1498,2.97e-13
-84.1398,3.08e-13
-84.1298,3.16e-13
-84.1198,3.2e-13
-84.10979999999999,3.21e-13
-84.0998,3.19e-13
-84.0898,3.13e-13
-84.07979999999999,3.04e-13
-84.0698,2.92e-13
-84.0598,2.78e-13
-84.04979999999999,2.61e-13
-84.0398,2.43e-13
-84.0298,2.24e-13
-84.01979999999999,2.04e-13
-84.0098,1.83e-13
-83.9998,1.63e-13
-83.9898,1.44e-13
-83.9798,1.26e-13
-83.96979999999999,1.08e-13
-83.9598,9.25e-14
-83.9498,7.81e-14
-83.93979999999999,6.52e-14
-83.9298,5.39e-14
-83.9198,4.4e-14
-83.90979999999999,3.56e-14
-83.8998,2.85e-14
-83.8898,2.25e-14
-83.8798,1.76e-14
-83.8698,1.36e-14
-83.85979999999999,1.04e-14
-83.8498,7.92e-15
-83.8398,5.93e-15
-83.82979999999999,4.4e-15
-83.8198,3.23e-15
-83.8098,2.34e-15
-83.79979999999999,1.68e-15
-83.7898,1.19e-15
-83.7798,8.39e-16
-83.76979999999999,5.83e-16
-83.7598,4.01e-16
-83.7498,2.72e-16
-83.7398,1.83e-16
-83.7298,1.22e-16
-83.71979999999999,8.03e-17
-83.7098,5.23e-17
-83.6998,3.37e-17
-83.68979999999999,2.15e-17
-83.6798,1.36e-17
-83.6698,8.45e-18
-83.65979999999999,5.22e-18
-83.6498,3.18e-18
-83.6398,1.92e-18
-83.6298,1.15e-18
-83.6198,6.79e-19
-83.60979999999999,3.97e-19
-83.5998,2.3e-19
-83.5898,1.31e-19
-83.57979999999999,7.43e-20
-83.5698,4.16e-20
-83.5598,2.31e-20
-83.54979999999999,1.26e-20
-83.5398,6.85e-21
-83.5298,3.67e-21
-83.51979999999999,1.95e-21
-83.5098,1.02e-21
-83.4998,5.3e-22
-83.4898,2.72e-22
-83.4798,1.38e-22
-83.46979999999999,6.95e-23
-83.4598,3.46e-23
-83.4498,1.7e-23
-83.43979999999999,8.27e-24
-83.4298,3.98e-24
-83.4198,1.9e-24
-83.40979999999999,0.0
-83.3998,0.0
-83.3898,0.0
-83.3798,0.0
-83.3698,0.0
-83.35979999999999,0.0
-83.3498,0.0
-83.3398,0.0
-83.32979999999999,0.0
-83.3198,0.0
-83.3098,0.0
-83.29979999999999,0.0
-83.2898,0.0
-83.2798,0.0
-83.26979999999999,0.0
-83.2598,0.0
-83.2498,0.0
-83.2398,0.0
-83.2298,0.0
-83.21979999999999,0.0
-83.2098,0.0
-83.1998,0.0
-83.18979999999999,0.0
-83.1798,0.0
-83.1698,0.0
-83.15979999999999,0.0
-83.1498,0.0
-83.1398,0.0
-83.1298,0.0
-83.1198,0.0
-83.10979999999999,0.0
-83.0998,0.0
-83.0898,0.0
-83.07979999999999,0.0
-83.0698,0.0
-83.0598,0.0
-83.04979999999999,0.0
-83.0398,0.0
-83.0298,0.0
-83.01979999999999,0.0
-83.0098,0.0
-82.9998,0.0
-82.9898,0.0
-82.9798,0.0
-82.96979999999999,0.0
-82.9598,0.0
-82.9498,0.0
-82.93979999999999,0.0
-82.9298,0.0
-82.9198,0.0
-82.90979999999999,0.0
-82.8998,0.0
-82.8898,0.0
-82.8798,0.0
-82.8698,0.0
-82.85979999999999,0.0
-82.8498,0.0
-82.8398,0.0
-82.82979999999999,0.0
-82.8198,0.0
-82.8098,0.0
-82.79979999999999,0.0
-82.7898,0.0
-82.7798,0.0
-82.76979999999999,0.0
-82.7598,0.0
-82.7498,0.0
-82.7398,0.0
-82.7298,0.0
-82.71979999999999,0.0
-82.7098,0.0
-82.6998,0.0
-82.68979999999999,0.0
-82.6798,0.0
-82.6698,0.0
-82.65979999999999,0.0
-82.6498,0.0
-82.6398,0.0
-82.6298,0.0
-82.6198,0.0
-82.60979999999999,0.0
-82.5998,0.0
-82.5898,0.0
-82.57979999999999,0.0
-82.5698,0.0
-82.5598,0.0
-82.54979999999999,0.0
-82.5398,0.0
-82.5298,0.0
-82.51979999999999,0.0
-82.5098,0.0
-82.4998,0.0
-82.4898,0.0
-82.4798,0.0
-82.46979999999999,0.0
-82.4598,0.0
-82.4498,0.0
-82.43979999999999,0.0
-82.4298,0.0
-82.4198,0.0
-82.40979999999999,0.0
-82.3998,0.0
-82.3898,0.0
-82.3798,0.0
-82.3698,0.0
-82.35979999999999,0.0
-82.3498,0.0
-82.3398,0.0
-82.32979999999999,0.0
-82.3198,0.0
-82.3098,0.0
-82.29979999999999,0.0
-82.2898,0.0
-82.2798,0.0
-82.26979999999999,0.0
-82.2598,0.0
-82.2498,0.0
-82.2398,0.0
-82.2298,0.0
-82.21979999999999,0.0
-82.2098,0.0
-82.1998,0.0
-82.18979999999999,0.0
-82.1798,0.0
-82.1698,0.0
-82.15979999999999,0.0
-82.1498,0.0
-82.1398,0.0
-82.1298,0.0
-82.1198,0.0
-82.10979999999999,0.0
-82.0998,0.0
-82.0898,0.0
-82.07979999999999,0.0
-82.0698,0.0
-82.0598,0.0
-82.04979999999999,0.0
-82.0398,0.0
-82.0298,0.0
-82.01979999999999,0.0
-82.0098,0.0
-81.9998,0.0
-81.9898,0.0
-81.9798,0.0
-81.96979999999999,0.0
-81.9598,0.0
-81.9498,0.0
-81.93979999999999,0.0
-81.9298,0.0
-81.9198,0.0
-81.90979999999999,0.0
-81.8998,0.0
-81.8898,0.0
-81.8798,0.0
-81.8698,0.0
-81.85979999999999,0.0
-81.8498,0.0
-81.8398,0.0
-81.82979999999999,0.0
-81.8198,0.0
-81.8098,0.0
-81.79979999999999,0.0
-81.7898,0.0
-81.7798,0.0
-81.76979999999999,0.0
-81.7598,0.0
-81.7498,0.0
-81.7398,0.0
-81.7298,0.0
-81.71979999999999,0.0
-81.7098,0.0
-81.6998,0.0
-81.68979999999999,0.0
-81.6798,0.0
-81.6698,0.0
-81.65979999999999,0.0
-81.6498,0.0
-81.6398,0.0
-81.6298,0.0
-81.6198,0.0
-81.60979999999999,0.0
-81.5998,0.0
-81.5898,0.0
-81.57979999999999,0.0
-81.5698,0.0
-81.5598,0.0
-81.54979999999999,0.0
-81.5398,0.0
-81.5298,0.0
-81.51979999999999,0.0
-81.5098,0.0
-81.4998,0.0
-81.4898,0.0
-81.4798,0.0
-81.46979999999999,0.0
-81.4598,0.0
-81.4498,0.0
-81.43979999999999,0.0
-81.4298,0.0
-81.4198,0.0
-81.40979999999999,0.0
-81.3998,0.0
-81.3898,0.0
-81.3798,0.0
-81.3698,0.0
-81.35979999999999,0.0
-81.3498,0.0
-81.3398,0.0
-81.32979999999999,0.0
-81.3198,0.0
-81.3098,0.0
-81.29979999999999,0.0
-81.2898,0.0
-81.2798,0.0
-81.26979999999999,0.0
-81.2598,0.0
-81.2498,0.0
-81.2398,0.0
-81.2298,0.0
-81.21979999999999,0.0
-81.2098,0.0
-81.1998,0.0
-81.18979999999999,0.0
-81.1798,0.0
-81.1698,0.0
-81.15979999999999,0.0
-81.1498,0.0
-81.1398,0.0
-81.1298,0.0
-81.1198,0.0
-81.10979999999999,0.0
-81.0998,0.0
-81.0898,0.0
-81.07979999999999,0.0
-81.0698,0.0
-81.0598,0.0
-81.04979999999999,0.0
-81.0398,0.0
-81.0298,0.0
-81.01979999999999,0.0
-81.0098,0.0
-80.9998,0.0
-80.9898,0.0
-80.9798,0.0
-80.96979999999999,0.0
-80.9598,0.0
-80.9498,0.0
