,S_2px
-84.51979999999999,2.4383160609249725e-06
-84.5098,3.768296698531245e-06
-84.4998,5.76335851798615e-06
-84.4898,8.72554631204182e-06
-84.4798,1.3057918227454318e-05
-84.46979999999999,1.9345264250914497e-05
-84.4598,2.841270581590441e-05
-84.4498,4.1108092474935295e-05
-84.43979999999999,5.8842120458550114e-05
-84.4298,8.342614779833252e-05
-84.4198,0.00011707790209229174
-84.40979999999999,0.00016241853483768068
-84.3998,0.00022367212217474445
-84.3898,0.0003022704716937357
-84.3798,0.00040705089395133765
-84.3698,0.0005400516643899421
-84.35979999999999,0.0007093283168247607
-84.3498,0.0009229364055349475
-84.3398,0.0011889162972299426
-84.32979999999999,0.001511342703381868
-84.3198,0.0019042840863644492
-84.3098,0.002377783841038695
-84.29979999999999,0.0029218973585700384
-84.2898,0.0035667238292906383
-84.2798,0.004292199252722538
-84.26979999999999,0.00511841381962245
-84.2598,0.0060452531607251255
-84.2498,0.007052881490336363
-84.2398,0.008141018609144079
-84.2298,0.009309851258418744
-84.21979999999999,0.010518826222502574
-84.2098,0.011748091837904215
-84.1998,0.012997579564150912
-84.18979999999999,0.01422663165318791
-84.1798,0.015395352335114
-84.1698,0.016483551378545697
-84.15979999999999,0.01745088326058536
-84.1498,0.018277162876835035
-84.1398,0.01896230183302388
-84.1298,0.019425855570446918
-84.1198,0.019707789865845635
-84.10979999999999,0.019788332360248743
-84.0998,0.01962744199033734
-84.0898,0.019284534699310515
-84.07979999999999,0.018720646578572062
-84.0698,0.01799497322830322
-84.0598,0.017108401083884932
-84.04979999999999,0.01610057801385816
-84.0398,0.014972310451987571
-84.0298,0.013783526241414674
-84.01979999999999,0.012554081878383678
-84.0098,0.011304773170916207
-83.9998,0.010075467989926855
-83.9898,0.008866503781682352
-83.9798,0.007737999359873794
-83.96979999999999,0.0066699572481419035
-83.9598,0.005702670059197234
-83.9498,0.004816055752189064
-83.93979999999999,0.004010120323697843
-83.9298,0.003324893996518639
-83.9198,0.002700336634334921
-83.90979999999999,0.0021964439859010108
-83.8998,0.001752144004590117
-83.8898,0.0013863907171238784
-83.8798,0.001084128884841129
-83.8698,0.0008403016529453408
-83.85979999999999,0.0006428185806858674
-83.8498,0.0004876565835572342
-83.8398,0.00036473967863004126
-83.82979999999999,0.00027003046328328005
-83.8198,0.00019869115899182453
-83.8098,0.00014428220241071425
-83.79979999999999,0.00010357700848009026
-83.7898,7.355052116751936e-05
-83.7798,5.1587351656291434e-05
-83.76979999999999,3.586928625511731e-05
-83.7598,2.4584828024321035e-05
-83.7498,1.678574245139392e-05
-83.7398,1.1284749038210691e-05
-83.7298,7.516296225641087e-06
-83.71979999999999,4.947118081396037e-06
-83.7098,3.2241631163976917e-06
-83.6998,2.0755883953510113e-06
-83.68979999999999,1.323927708580933e-06
-83.6798,8.342614789934558e-07
-83.6698,5.199034476529598e-07
-83.65979999999999,3.204070599962441e-07
-83.6498,1.9606998618878828e-07
-83.6398,1.1848666468137324e-07
-83.6298,7.073152008897372e-08
-83.6198,4.1713557057215573e-08
-83.60979999999999,2.438318074279701e-08
-83.5998,1.4126071324335202e-08
-83.5898,8.080594531811619e-09
-83.57979999999999,4.574322420969808e-09
-83.5698,2.5592199434860794e-09
-83.5598,1.4186565792738212e-09
-83.54979999999999,7.778364656272427e-10
-83.5398,4.21161877487717e-10
-83.5298,2.2569561739571672e-10
-83.51979999999999,1.198996317865453e-10
-83.5098,6.287233172822229e-11
-83.4998,3.264504473296325e-11
-83.4898,1.676574233928391e-11
-83.4798,8.523924589641129e-12
-83.46979999999999,4.292128969078375e-12
-83.4598,2.135984020689186e-12
-83.4498,1.047853083809874e-12
-83.43979999999999,5.098224874862854e-13
-83.4298,2.4584104776313524e-13
-83.4198,1.1667741250985946e-13
-83.40979999999999,0.0
-83.3998,0.0
-83.3898,0.0
-83.3798,0.0
-83.3698,0.0
-83.35979999999999,0.0
-83.3498,0.0
-83.3398,0.0
-83.32979999999999,0.0
-83.3198,0.0
-83.3098,0.0
-83.29979999999999,0.0
-83.2898,0.0
-83.2798,0.0
-83.26979999999999,0.0
-83.2598,0.0
-83.2498,0.0
-83.2398,0.0
-83.2298,0.0
-83.21979999999999,0.0
-83.2098,0.0
-83.1998,0.0
-83.18979999999999,0.0
-83.1798,0.0
-83.1698,0.0
-83.15979999999999,0.0
-83.1498,0.0
-83.1398,0.0
-83.1298,0.0
-83.1198,0.0
-83.10979999999999,0.0
-83.0998,0.0
-83.0898,0.0
-83.07979999999999,0.0
-83.0698,0.0
-83.0598,0.0
-83.04979999999999,0.0
-83.0398,0.0
-83.0298,0.0
-83.01979999999999,0.0
-83.0098,0.0
-82.9998,0.0
-82.9898,0.0
-82.9798,0.0
-82.96979999999999,0.0
-82.9598,0.0
-82.9498,0.0
-82.93979999999999,0.0
-82.9298,0.0
-82.9198,0.0
