,Mo_3py
-83.82079999999999,8.353342849969201e-10
-83.8108,1.2916536409715196e-09
-83.8008,1.97188182071691e-09
-83.79079999999999,2.9891895577414993e-09
-83.7808,4.4705583630495995e-09
-83.7708,6.617174987980197e-09
-83.7608,9.695951185333898e-09
-83.7508,1.4040080447579099e-08
-83.7408,2.0106534669840404e-08
-83.7308,2.8556705298369904e-08
-83.7208,4.000320598805001e-08
-83.71079999999999,5.553697337588398e-08
-83.7008,7.618918726986701e-08
-83.6908,1.03623590949262e-07
-83.68079999999999,1.3916040246698704e-07
-83.6708,1.8492437028424704e-07
-83.6608,2.426300375858501e-07
-83.65079999999999,3.1635225689381e-07
-83.6408,4.0703195972252013e-07
-83.6308,5.176119001945099e-07
-83.6208,6.514047337242799e-07
-83.6108,8.109974702348398e-07
-83.60079999999999,9.997643014375005e-07
-83.5908,1.21843134646726e-06
-83.5808,1.4695477201971403e-06
-83.57079999999999,1.7526535291741297e-06
-83.5608,2.0682493573612296e-06
-83.5508,2.4185751117584414e-06
-83.54079999999999,2.7908692853477495e-06
-83.5308,3.1852309941181e-06
-83.5208,3.5998768399726005e-06
-83.5108,4.0187857699281e-06
-83.5008,4.448695938888601e-06
-83.4908,4.8637868307860015e-06
-83.4808,5.2708065405784015e-06
-83.4708,5.634353713145701e-06
-83.46079999999999,5.967378299457901e-06
-83.4508,6.2580689454549005e-06
-83.4408,6.4809557510467016e-06
-83.43079999999999,6.653267564185301e-06
-83.4208,6.749154062846602e-06
-83.4108,6.7706365469987e-06
-83.40079999999999,6.7142826766515e-06
-83.3908,6.595313723827097e-06
-83.3808,6.413729556505401e-06
-83.3708,6.1599613267775e-06
-83.3608,5.8508193066674996e-06
-83.35079999999999,5.508143558246299e-06
-83.3408,5.1203652215889014e-06
-83.3308,4.720115421742501e-06
-83.32079999999999,4.2912072898040005e-06
-83.3108,3.863098326855498e-06
-83.3008,3.444269221911099e-06
-83.29079999999999,3.034705410085601e-06
-83.2808,2.641847001394261e-06
-83.2708,2.28379495886699e-06
-83.2608,1.94831337154482e-06
-83.2508,1.6451016314307502e-06
-83.2408,1.3729387185308102e-06
-83.2308,1.1340461488759695e-06
-83.2208,9.275429991432401e-07
-83.21079999999999,7.5010795911042e-07
