,Mo_3pz
-83.82079999999999,1.74507573467e-09
-83.8108,2.696161729909998e-09
-83.8008,4.1380461530100004e-09
-83.79079999999999,6.241568831380002e-09
-83.7808,9.345970746e-09
-83.7708,1.3829263212599986e-08
-83.7608,2.0245740350400002e-08
-83.7508,2.935465328820001e-08
-83.7408,4.207833155939999e-08
-83.7308,5.964870921089999e-08
-83.7208,8.37906251e-08
-83.71079999999999,1.1620649430300005e-07
-83.7008,1.5931304390599998e-07
-83.6908,2.162377840109999e-07
-83.68079999999999,2.9082223877299986e-07
-83.6708,3.862499043140002e-07
-83.6608,5.071291488119999e-07
-83.65079999999999,6.589114944759999e-07
-83.6408,8.485545014900003e-07
-83.6308,1.0796948700699997e-06
-83.6208,1.36199901043e-06
-83.6108,1.6954306828200003e-06
-83.60079999999999,2.0896803474299993e-06
-83.5908,2.5447064143399996e-06
-83.5808,3.0687992537699994e-06
-83.57079999999999,3.6565388356400016e-06
-83.5608,4.3108949601699995e-06
-83.5508,5.034928286919999e-06
-83.54079999999999,5.828496615819997e-06
-83.5308,6.655569446469999e-06
-83.5208,7.518976278419999e-06
-83.5108,8.4127457116e-06
-83.5008,9.279275244499998e-06
-83.4908,1.0172743676699998e-05
-83.4808,1.1001557707599993e-05
-83.4708,1.1793225736499999e-05
-83.46079999999999,1.2484136362500008e-05
-83.4508,1.3070626284500003e-05
-83.4408,1.3553264402099997e-05
-83.43079999999999,1.3896989314899993e-05
-83.4208,1.4102629522299997e-05
-83.4108,1.4139323724099993e-05
-83.40079999999999,1.4035503620199995e-05
-83.3908,1.37925679111e-05
-83.3808,1.3380718496299999e-05
-83.3708,1.2862985576899998e-05
-83.3608,1.2241802153500003e-05
-83.35079999999999,1.1517828226299997e-05
-83.3408,1.0692097996600005e-05
-83.3308,9.860671865100003e-06
-83.32079999999999,8.967152532400002e-06
-83.3108,8.070633099400001e-06
-83.3008,7.2068443665800045e-06
-83.29079999999999,6.346569135100001e-06
-83.2808,5.519686905079996e-06
-83.2708,4.759290076879999e-06
-83.2608,4.06850025086e-06
-83.2508,3.4373457673699995e-06
-83.2408,2.8688591563000007e-06
-83.2308,2.3694087079e-06
-83.2208,1.93802517179e-06
-83.21079999999999,1.5657877180400003e-06
-83.2008,1.2520831864099998e-06
-83.1908,9.900397867299998e-07
-83.18079999999999,7.758300487600006e-07
-83.1708,6.001274722690001e-07
-83.1608,4.589683470490001e-07
-83.15079999999999,3.48380119919e-07
-83.1408,2.6123731467600003e-07
-83.1308,1.93792514177e-07
-83.1208,1.420808022629999e-07
-83.1108,1.03122484821e-07
-83.10079999999999,7.41284477423e-08
-83.0908,5.2440193947400016e-08
-83.0808,3.689801736880001e-08
-83.07079999999999,2.5659184050899977e-08
-83.0608,1.7635276253899996e-08
-83.0508,1.1999498444499996e-08
-83.04079999999999,8.070632499e-09
-83.0308,5.380161199100001e-09
-83.0208,3.5503466310699973e-09
-83.0108,2.30367204526e-09
-83.0008,1.4831294850000001e-09
-82.9908,9.451822650599999e-10
-82.9808,5.96489102111e-10
-82.9708,3.723104537879998e-10
-82.96079999999999,2.296710995139999e-10
-82.9508,1.4013871219400012e-10
-82.9408,8.451881813800005e-11
-82.93079999999999,5.06807908739e-11
-82.9208,2.990010870799999e-11
-82.9108,1.7482758947500007e-11
-82.90079999999999,1.0104007774599999e-11
-82.8908,5.792112514299997e-12
-82.8808,3.271769761090001e-12
-82.8708,1.831264457909999e-12
-82.8608,1.0139701876199998e-12
-82.85079999999999,5.552949806080001e-13
-82.8408,3.014253581640001e-13
-82.8308,1.6172727698900006e-13
-82.82079999999999,8.585303117800004e-14
-82.8108,4.485682566790003e-14
-82.8008,2.33477510659e-14
-82.79079999999999,1.1999497944299995e-14
-82.7808,6.102123225749996e-15
-82.7708,3.0627088434399974e-15
-82.7608,1.5210533064099993e-15
-82.7508,7.482693577679998e-16
-82.7408,3.6533468350299987e-16
-82.7308,1.7521363849599993e-16
-82.7208,8.346029909499997e-17
-82.71079999999999,0.0
-82.7008,0.0
-82.6908,0.0
-82.68079999999999,0.0
-82.6708,0.0
-82.6608,0.0
-82.65079999999999,0.0
-82.6408,0.0
-82.6308,0.0
-82.6208,0.0
-82.6108,0.0
-82.60079999999999,0.0
-82.5908,0.0
-82.5808,0.0
-82.57079999999999,0.0
-82.5608,0.0
-82.5508,0.0
-82.54079999999999,0.0
-82.5308,0.0
-82.5208,0.0
-82.5108,0.0
-82.5008,0.0
-82.4908,0.0
-82.4808,0.0
-82.4708,0.0
-82.46079999999999,0.0
-82.4508,0.0
-82.4408,0.0
-82.43079999999999,0.0
-82.4208,0.0
-82.4108,0.0
-82.40079999999999,0.0
-82.3908,0.0
-82.3808,0.0
-82.3708,0.0
-82.3608,0.0
-82.35079999999999,0.0
-82.3408,0.0
-82.3308,0.0
-82.32079999999999,0.0
-82.3108,0.0
-82.3008,0.0
-82.29079999999999,0.0
-82.2808,0.0
-82.2708,0.0
-82.2608,0.0
-82.2508,0.0
-82.2408,0.0
-82.2308,0.0
-82.2208,0.0
-82.21079999999999,0.0
-82.2008,0.0
-82.1908,0.0
-82.18079999999999,0.0
-82.1708,0.0
-82.1608,0.0
-82.15079999999999,0.0
-82.1408,0.0
-82.1308,0.0
-82.1208,0.0
-82.1108,0.0
-82.10079999999999,0.0
-82.0908,0.0
-82.0808,0.0
-82.07079999999999,0.0
-82.0608,0.0
-82.0508,0.0
-82.04079999999999,0.0
-82.0308,0.0
-82.0208,0.0
-82.0108,0.0
-82.0008,0.0
-81.9908,0.0
-81.9808,0.0
-81.9708,0.0
-81.96079999999999,0.0
-81.9508,0.0
-81.9408,0.0
-81.93079999999999,0.0
-81.9208,0.0
-81.9108,0.0
-81.90079999999999,0.0
-81.8908,0.0
-81.8808,0.0
-81.8708,0.0
-81.8608,0.0
-81.85079999999999,0.0
-81.8408,0.0
-81.8308,0.0
-81.82079999999999,0.0
-81.8108,0.0
-81.8008,0.0
-81.79079999999999,0.0
-81.7808,0.0
-81.7708,0.0
-81.7608,0.0
-81.7508,0.0
-81.7408,0.0
-81.7308,0.0
-81.7208,0.0
-81.71079999999999,0.0
-81.7008,0.0
-81.6908,0.0
-81.68079999999999,0.0
-81.6708,0.0
-81.6608,0.0
-81.65079999999999,0.0
-81.6408,0.0
-81.6308,0.0
-81.6208,0.0
-81.6108,0.0
-81.60079999999999,0.0
-81.5908,0.0
-81.5808,0.0
-81.57079999999999,0.0
-81.5608,0.0
-81.5508,0.0
-81.54079999999999,0.0
-81.5308,0.0
-81.5208,0.0
-81.5108,0.0
-81.5008,0.0
-81.4908,0.0
-81.4808,0.0
-81.4708,0.0
-81.46079999999999,0.0
-81.4508,0.0
-81.4408,0.0
-81.43079999999999,0.0
-81.4208,0.0
-81.4108,0.0
-81.40079999999999,0.0
-81.3908,0.0
-81.3808,0.0
-81.3708,0.0
-81.3608,0.0
-81.35079999999999,0.0
-81.3408,0.0
-81.3308,0.0
-81.32079999999999,0.0
-81.3108,0.0
-81.3008,0.0
-81.29079999999999,0.0
-81.2808,0.0
-81.2708,0.0
-81.2608,0.0
-81.2508,0.0
-81.2408,0.0
-81.2308,0.0
-81.2208,0.0
-81.21079999999999,0.0
-81.2008,0.0
-81.1908,0.0
-81.18079999999999,0.0
-81.1708,0.0
