,Mo_4dz2
-83.82079999999999,2.9300262577700003e-08
-83.8108,4.5268040452720004e-08
-83.8008,6.914667576512002e-08
-83.79079999999999,1.048110573294e-07
-83.7808,1.5688639721569996e-07
-83.7708,2.322228937794e-07
-83.7608,3.4102535725359994e-07
-83.7508,4.929893917485e-07
-83.7408,7.069034141556e-07
-83.7308,1.0015883582157e-06
-83.7208,1.4046841549502003e-06
-83.71079999999999,1.9490472906960024e-06
-83.7008,2.6758018211209995e-06
-83.6908,3.627868184084999e-06
-83.68079999999999,4.8681714991230005e-06
-83.6708,6.4801529069479945e-06
-83.6608,8.526444845275002e-06
-83.65079999999999,1.1089382761683004e-05
-83.6408,1.4262933457190003e-05
-83.6308,1.813783776938e-05
-83.6208,2.2850112518059994e-05
-83.6108,2.8462859018889996e-05
-83.60079999999999,3.5036063109729995e-05
-83.5908,4.278579479261002e-05
-83.5808,5.147206957236e-05
-83.57079999999999,6.139188416254996e-05
-83.5608,7.255127745106999e-05
-83.5508,8.464418903763999e-05
-83.54079999999999,9.766755400241e-05
-83.5308,0.00011162427608488996
-83.5208,0.00012618134074001994
-83.5108,0.00014106848424987007
-83.5008,0.00015595596404899994
-83.4908,0.0001707430817367
-83.4808,0.00018479979824910007
-83.4708,0.000197826175605
-83.46079999999999,0.00020959183574720006
-83.4508,0.00021952668154699996
-83.4408,0.00022757068600229996
-83.43079999999999,0.00023315336795789996
-83.4208,0.0002365750806241999
-83.4108,0.00023750551869020008
-83.40079999999999,0.00023564465645700006
-83.3908,0.00023129250261340006
-83.3808,0.00022477932948
-83.3708,0.00021610502687970004
-83.3608,0.0002052699530138
-83.35079999999999,0.00019317383773629994
-83.3408,0.00017971750634850002
-83.3308,0.0001652604318044999
-83.32079999999999,0.0001506732941157
-83.3108,0.00013548584710568
-83.3008,0.00012092869341703998
-83.29079999999999,0.00010644193746283001
-83.2808,9.291228342325998e-05
-83.2708,7.999799002128998e-05
-83.2608,6.821725200682998e-05
-83.2508,5.767010249153e-05
-83.2408,4.806242447593999e-05
-83.2308,3.969137136181999e-05
-83.2208,3.255382175645996e-05
-83.21079999999999,2.6292798434720004e-05
-83.2008,2.1022223481420005e-05
-83.1908,1.6649089597219993e-05
-83.18079999999999,1.302334995726999e-05
-83.1708,1.0075891960732004e-05
-83.1608,7.720356999825e-06
-83.15079999999999,5.859744073812999e-06
-83.1408,4.372233130076e-06
-83.1308,3.255381865536e-06
-83.1208,2.3843600298969987e-06
-83.1108,1.7300407011559994e-06
-83.10079999999999,1.2432043160507997e-06
-83.0908,8.835991299643e-07
-83.0808,6.201014014653998e-07
-83.07079999999999,4.3097958154549994e-07
-83.0608,2.960940153120001e-07
-83.0508,2.0141784030370002e-07
-83.04079999999999,1.3548583170496998e-07
-83.0308,9.022385912237002e-08
-83.0208,5.9424880385019997e-08
-83.0108,3.8754803761679984e-08
-83.0008,2.4927129884629997e-08
-82.9908,1.5874730057190002e-08
-82.9808,1.0015883703157996e-08
-82.9708,6.242538935031998e-09
-82.96079999999999,3.844875424159999e-09
-82.9508,2.3534461332440004e-09
-82.9408,1.4199924762770003e-09
-82.93079999999999,8.495330508999e-10
-82.9208,5.022639294182999e-10
-82.9108,2.933026627981998e-10
-82.90079999999999,1.6961261653830007e-10
-82.8908,9.703715897756003e-11
-82.8808,5.488171768024998e-11
-82.8708,3.0755970234160025e-11
-82.8608,1.7031281870469996e-11
-82.85079999999999,9.332735840799996e-12
-82.8408,5.054161651526002e-12
-82.8308,2.71302001824e-12
-82.82079999999999,1.4386016008209994e-12
-82.8108,7.564873199483998e-13
-82.8008,3.907006585276e-13
-82.79079999999999,2.0121784029270017e-13
-82.7808,1.0231975092963001e-13
-82.7708,5.1466035161699984e-14
-82.7608,2.5548439004660006e-14
-82.7508,1.2558126070658e-14
-82.7408,6.108276189986001e-15
-82.7308,2.942331229776001e-15
-82.7208,1.4013805317149996e-15
-82.71079999999999,0.0
-82.7008,0.0
-82.6908,0.0
-82.68079999999999,0.0
-82.6708,0.0
-82.6608,0.0
-82.65079999999999,0.0
-82.6408,0.0
-82.6308,0.0
-82.6208,0.0
-82.6108,0.0
-82.60079999999999,0.0
-82.5908,0.0
-82.5808,0.0
-82.57079999999999,0.0
-82.5608,0.0
-82.5508,0.0
-82.54079999999999,0.0
-82.5308,0.0
-82.5208,0.0
-82.5108,0.0
-82.5008,0.0
-82.4908,0.0
-82.4808,0.0
-82.4708,0.0
-82.46079999999999,0.0
-82.4508,0.0
-82.4408,0.0
-82.43079999999999,0.0
-82.4208,0.0
-82.4108,0.0
-82.40079999999999,0.0
-82.3908,0.0
-82.3808,0.0
-82.3708,0.0
-82.3608,0.0
-82.35079999999999,0.0
-82.3408,0.0
-82.3308,0.0
-82.32079999999999,0.0
-82.3108,0.0
-82.3008,0.0
-82.29079999999999,0.0
-82.2808,0.0
-82.2708,0.0
-82.2608,0.0
-82.2508,0.0
-82.2408,0.0
-82.2308,0.0
-82.2208,0.0
-82.21079999999999,0.0
-82.2008,0.0
-82.1908,0.0
-82.18079999999999,0.0
-82.1708,0.0
-82.1608,0.0
-82.15079999999999,0.0
-82.1408,0.0
-82.1308,0.0
-82.1208,0.0
-82.1108,0.0
-82.10079999999999,0.0
-82.0908,0.0
-82.0808,0.0
-82.07079999999999,0.0
-82.0608,0.0
-82.0508,0.0
-82.04079999999999,0.0
-82.0308,0.0
-82.0208,0.0
-82.0108,0.0
-82.0008,0.0
-81.9908,0.0
-81.9808,0.0
-81.9708,0.0
-81.96079999999999,0.0
