,Mo_4dzy
-83.82079999999999,3.4358780418208005e-08
-83.8108,5.31730919296e-08
-83.8008,8.143392455632998e-08
-83.79079999999999,1.2307370959361992e-07
-83.7808,1.8419006718630001e-07
-83.7708,2.7258249460047e-07
-83.7608,3.9974866922599983e-07
-83.7508,5.784635106687998e-07
-83.7408,8.295830906982996e-07
-83.7308,1.1753794404919004e-06
-83.7208,1.6484411433186998e-06
-83.71079999999999,2.2917748804766006e-06
-83.7008,3.1390393543961986e-06
-83.6908,4.260260344481e-06
-83.68079999999999,5.727479146244e-06
-83.6708,7.611887311432e-06
-83.6608,1.0013780930773e-05
-83.65079999999999,1.3025418015128005e-05
-83.6408,1.6734201535243012e-05
-83.6308,2.1351300212025e-05
-83.6208,2.6857157656258996e-05
-83.6108,3.337611504018999e-05
-83.60079999999999,4.117822082274996e-05
-83.5908,5.018431770555999e-05
-83.5808,6.044398368853e-05
-83.57079999999999,7.218760128309e-05
-83.5608,8.524478408803999e-05
-83.5508,9.948572770304e-05
-83.54079999999999,0.00011470999982691996
-83.5308,0.00013103698645829996
-83.5208,0.0001481059743971
-83.5108,0.00016559620683702004
-83.5008,0.00018310654328003998
-83.4908,0.00020009625311834
-83.4808,0.0002172229916504
-83.4708,0.00023184676157528
-83.46079999999999,0.00024544878768555003
-83.4508,0.00025720068118031004
-83.4408,0.00026676877715821
-83.43079999999999,0.0002741871920158499
-83.4208,0.00027819989664249996
-83.4108,0.00027860037064606
-83.40079999999999,0.00027669510823633003
-83.3908,0.0002720817314980001
-83.3808,0.00026425973843470995
-83.3708,0.00025326997774394996
-83.3608,0.00024107162024655007
-83.35079999999999,0.0002271120459313301
-83.3408,0.00021144673990372003
-83.3308,0.00019409748386854
-83.32079999999999,0.0001766985606273301
-83.3108,0.00015928731808589997
-83.3008,0.00014188789334513996
-83.29079999999999,0.00012493965090959003
-83.2808,0.00010905349808033
-83.2708,9.405046445921997e-05
-83.2608,8.015087904797e-05
-83.2508,6.769486234699002e-05
-83.2408,5.652270065659001e-05
-83.2308,4.671430877736e-05
-83.2208,3.821975536860002e-05
-83.21079999999999,3.0838824188686997e-05
-83.2008,2.4702955989431994e-05
-83.1908,1.9538134417662e-05
-83.18079999999999,1.5287945673408997e-05
-83.1708,1.1830033645528999e-05
-83.1608,9.068076283265998e-06
-83.15079999999999,6.862738715491999e-06
-83.1408,5.141787831578998e-06
-83.1308,3.821965526859001e-06
-83.1208,2.8020537106153998e-06
-83.1108,2.0362378774152e-06
-83.10079999999999,1.4591949847734999e-06
-83.0908,1.0351803383601003e-06
-83.0808,7.279908108767006e-07
-83.07079999999999,5.058536990796003e-07
-83.0608,3.4750018190709e-07
-83.0508,2.3679846700925005e-07
-83.04079999999999,1.5907700388439006e-07
-83.0308,1.0590451125440995e-07
-83.0208,6.967050346305003e-08
-83.0108,4.5360542867119994e-08
-83.0008,2.923397085609e-08
-82.9908,1.8657554370555008e-08
-82.9808,1.1753805424929002e-08
-82.9708,7.339094099194999e-09
-82.96079999999999,4.52801196654e-09
-82.9508,2.763948828355101e-09
-82.9408,1.6689914814698998e-09
-82.93079999999999,9.960656480548001e-10
-82.9208,5.88694824762e-10
-82.9108,3.446900322836899e-10
-82.90079999999999,1.9969349360836e-10
-82.8908,1.139478063205e-10
-82.8808,6.451537202085997e-11
-82.8708,3.609390935113999e-11
-82.8608,2.0006459431521e-11
-82.85079999999999,1.0969517948471002e-11
-82.8408,5.941084948016e-12
-82.8308,3.1801686466804986e-12
