,Pd_3px
-83.82079999999999,1.94e-17
-83.8108,3e-17
-83.8008,4.59e-17
-83.79079999999999,6.94e-17
-83.7808,1.04e-16
-83.7708,1.54e-16
-83.7608,2.25e-16
-83.7508,3.26e-16
-83.7408,4.67e-16
-83.7308,6.63e-16
-83.7208,9.3e-16
-83.71079999999999,1.29e-15
-83.7008,1.77e-15
-83.6908,2.4e-15
-83.68079999999999,3.23e-15
-83.6708,4.29e-15
-83.6608,5.64e-15
-83.65079999999999,7.34e-15
-83.6408,9.44e-15
-83.6308,1.2e-14
-83.6208,1.51e-14
-83.6108,1.88e-14
-83.60079999999999,2.32e-14
-83.5908,2.83e-14
-83.5808,3.41e-14
-83.57079999999999,4.07e-14
-83.5608,4.8e-14
-83.5508,5.6e-14
-83.54079999999999,6.47e-14
-83.5308,7.39e-14
-83.5208,8.35e-14
-83.5108,9.34e-14
-83.5008,1.03e-13
-83.4908,1.13e-13
-83.4808,1.22e-13
-83.4708,1.31e-13
-83.46079999999999,1.39e-13
-83.4508,1.45e-13
-83.4408,1.51e-13
-83.43079999999999,1.54e-13
-83.4208,1.57e-13
-83.4108,1.57e-13
-83.40079999999999,1.56e-13
-83.3908,1.53e-13
-83.3808,1.49e-13
-83.3708,1.43e-13
-83.3608,1.36e-13
-83.35079999999999,1.28e-13
-83.3408,1.19e-13
-83.3308,1.09e-13
-83.32079999999999,9.97e-14
-83.3108,8.98e-14
-83.3008,8e-14
-83.29079999999999,7.05e-14
-83.2808,6.15e-14
-83.2708,5.3e-14
-83.2608,4.52e-14
-83.2508,3.82e-14
-83.2408,3.19e-14
-83.2308,2.63e-14
-83.2208,2.15e-14
-83.21079999999999,1.74e-14
-83.2008,1.39e-14
-83.1908,1.1e-14
-83.18079999999999,8.62e-15
-83.1708,6.67e-15
-83.1608,5.11e-15
-83.15079999999999,3.87e-15
-83.1408,2.9e-15
-83.1308,2.15e-15
-83.1208,1.58e-15
-83.1108,1.15e-15
-83.10079999999999,8.22e-16
-83.0908,5.84e-16
-83.0808,4.1e-16
-83.07079999999999,2.85e-16
-83.0608,1.96e-16
-83.0508,1.33e-16
-83.04079999999999,8.97e-17
-83.0308,5.97e-17
-83.0208,3.93e-17
-83.0108,2.56e-17
-83.0008,1.65e-17
-82.9908,1.05e-17
-82.9808,6.63e-18
-82.9708,4.14e-18
-82.96079999999999,2.55e-18
-82.9508,1.56e-18
-82.9408,9.41e-19
-82.93079999999999,5.62e-19
-82.9208,3.32e-19
-82.9108,1.94e-19
-82.90079999999999,1.12e-19
-82.8908,6.43e-20
-82.8808,3.64e-20
-82.8708,2.04e-20
-82.8608,1.13e-20
-82.85079999999999,6.18e-21
-82.8408,3.35e-21
-82.8308,1.8e-21
-82.82079999999999,9.53e-22
-82.8108,5e-22
-82.8008,2.6e-22
-82.79079999999999,1.33e-22
-82.7808,6.77e-23
-82.7708,3.4e-23
-82.7608,1.69e-23
-82.7508,8.32e-24
-82.7408,4.05e-24
-82.7308,1.95e-24
-82.7208,9.28e-25
-82.71079999999999,0.0
-82.7008,0.0
-82.6908,0.0
-82.68079999999999,0.0
-82.6708,0.0
-82.6608,0.0
-82.65079999999999,0.0
-82.6408,0.0
-82.6308,0.0
-82.6208,0.0
-82.6108,0.0
-82.60079999999999,0.0
-82.5908,0.0
-82.5808,0.0
-82.57079999999999,0.0
-82.5608,0.0
-82.5508,0.0
-82.54079999999999,0.0
-82.5308,0.0
-82.5208,0.0
-82.5108,0.0
-82.5008,0.0
