,Mo_4dx2-y2
-83.2678,4.720173901705e-09
-83.2578,7.298140461683996e-09
-83.2478,1.1151734116612999e-08
-83.2378,1.6865728787802007e-08
-83.2278,2.5287819090930002e-08
-83.2178,3.741113282619799e-08
-83.20779999999999,5.4747968664340015e-08
-83.1978,7.921969054249002e-08
-83.1878,1.1356418640943997e-07
-83.17779999999999,1.6109456923311998e-07
-83.1678,2.2570648009126e-07
-83.1578,3.1419661609629e-07
-83.14779999999999,4.3073750337429984e-07
-83.1378,5.844877263655001e-07
-83.1278,7.850373222818003e-07
-83.1178,1.0436307682906999e-06
-83.1078,1.3727655316785003e-06
-83.09779999999999,1.7806890356619002e-06
-83.0878,2.2978711996206997e-06
-83.0778,2.925333616782598e-06
-83.06779999999999,3.6797455914763984e-06
-83.0578,4.5833682689789995e-06
-83.0478,5.643489849731001e-06
-83.03779999999999,6.879101433732e-06
-83.0278,8.289843231253004e-06
-83.0178,9.884513092372999e-06
-83.0078,1.1663301346863004e-05
-82.9978,1.3625649444827006e-05
-82.9878,1.5781258645027993e-05
-82.9778,1.7949852979476992e-05
-82.9678,2.0360390595442995e-05
-82.95779999999999,2.2691989191781997e-05
-82.9478,2.5144347688212e-05
-82.9378,2.7455285333142002e-05
-82.92779999999999,2.9744882177828995e-05
-82.9178,3.187106731849099e-05
-82.9078,3.373047945551699e-05
-82.89779999999999,3.528525858714699e-05
-82.8878,3.663497381196899e-05
-82.8778,3.7555714929593034e-05
-82.8678,3.8045281040806023e-05
-82.8578,3.8189752943578996e-05
-82.84779999999999,3.790269953772198e-05
-82.8378,3.7256881423924995e-05
-82.8278,3.618566880321902e-05
-82.81779999999999,3.479569197592399e-05
-82.8078,3.309667184274101e-05
-82.7978,3.111491840392199e-05
-82.78779999999999,2.8968572661878e-05
-82.7778,2.6657675418104996e-05
-82.7678,2.4224757360877e-05
-82.7578,2.1793748674446978e-05
-82.7478,1.946167042828901e-05
-82.7378,1.7171687183483987e-05
-82.7278,1.4954251020683002e-05
-82.7178,1.2889699670615998e-05
-82.70779999999999,1.099874143384501e-05
-82.6978,9.281413980583e-06
-82.6878,7.748237840741001e-06
-82.67779999999999,6.398894894512999e-06
-82.6678,5.241494011798998e-06
-82.6578,4.2317601523009976e-06
-82.64779999999999,3.387494115832099e-06
-82.6378,2.6820257421125e-06
-82.6278,2.0993718457284013e-06
-82.6178,1.6251986346015997e-06
-82.6078,1.2439487241567993e-06
-82.59779999999999,9.424179622999004e-07
-82.5878,7.053028607206e-07
-82.5778,5.231491981787998e-07
-82.56779999999999,3.8352134946573985e-07
-82.5578,2.7883270141472e-07
-82.5478,1.9954586818514e-07
-82.53779999999999,1.4207980386114995e-07
-82.5278,9.986511063977998e-08
-82.5178,6.930468184754e-08
-82.5078,4.767327492681999e-08
-82.4978,3.238465422990497e-08
-82.4878,2.1793538554415994e-08
-82.4778,1.4524785052153e-08
-82.4678,9.557366285819001e-09
-82.45779999999999,6.234948791010998e-09
-82.4478,4.0151145279845996e-09
-82.4378,2.5594672996750008e-09
-82.42779999999999,1.6109556943432996e-09
-82.4178,1.0058208125539001e-09
-82.4078,6.204538520610998e-10
-82.39779999999999,3.788057873658098e-10
-82.3878,2.2855811234712e-10
-82.3778,1.3666276025714001e-10
-82.3678,8.085158776950997e-11
-82.3578,4.722385961816999e-11
-82.34779999999999,2.7293703830288012e-11
-82.3378,1.5638808944424007e-11
-82.3278,8.841841931906997e-12
-82.31779999999999,4.951265676319e-12
-82.3078,2.7434164832940996e-12
-82.2978,1.5025834971643e-12
-82.28779999999999,8.146742358269e-13
-82.2778,4.3687667849160015e-13
-82.2678,2.316317448054999e-13
-82.2578,1.2153530236296e-13
-82.2478,6.316868742628996e-14
-82.2378,3.238464392980499e-14
-82.2278,1.6437098149463995e-14
-82.2178,8.279407020745997e-15
-82.20779999999999,4.111204729982e-15
-82.1978,2.023927965288799e-15
-82.1878,9.853545721349003e-16
-82.17779999999999,4.738844142127e-16
-82.1678,2.2550087268902e-16
-82.1578,0.0
-82.14779999999999,0.0
-82.1378,0.0
-82.1278,0.0
-82.1178,0.0
-82.1078,0.0
-82.09779999999999,0.0
-82.0878,0.0
-82.0778,0.0
-82.06779999999999,0.0
-82.0578,0.0
-82.0478,0.0
-82.03779999999999,0.0
-82.0278,0.0
-82.0178,0.0
-82.0078,0.0
-81.9978,0.0
-81.9878,0.0
-81.9778,0.0
-81.9678,0.0
-81.95779999999999,0.0
-81.9478,0.0
-81.9378,0.0
-81.92779999999999,0.0
-81.9178,0.0
-81.9078,0.0
-81.89779999999999,0.0
-81.8878,0.0
-81.8778,0.0
-81.8678,0.0
-81.8578,0.0
-81.84779999999999,0.0
-81.8378,0.0
-81.8278,0.0
-81.81779999999999,0.0
-81.8078,0.0
-81.7978,0.0
-81.78779999999999,0.0
-81.7778,0.0
-81.7678,0.0
-81.7578,0.0
-81.7478,0.0
-81.7378,0.0
-81.7278,0.0
-81.7178,0.0
-81.70779999999999,0.0
-81.6978,0.0
-81.6878,0.0
-81.67779999999999,0.0
-81.6678,0.0
-81.6578,0.0
-81.64779999999999,0.0
-81.6378,0.0
-81.6278,0.0
-81.6178,0.0
-81.6078,0.0
-81.59779999999999,0.0
