,Mo_4dz2
-83.2678,3.62525030589615e-09
-83.2578,5.575555357698102e-09
-83.2478,8.540680115091598e-09
-83.2378,1.29176684692127e-08
-83.2278,1.9345848489918994e-08
-83.2178,2.86378237471225e-08
-83.20779999999999,4.204082313382601e-08
-83.1978,6.072878691965398e-08
-83.1878,8.713323343362101e-08
-83.17779999999999,1.2348730585671315e-07
-83.1678,1.7324691445503912e-07
-83.1578,2.4037445887740787e-07
-83.14779999999999,3.290414053274352e-07
-83.1378,4.4783423355782997e-07
-83.1278,6.0221868151052e-07
-83.1178,8.0020735840502e-07
-83.1078,1.0510552392956602e-06
-83.09779999999999,1.3678962190974596e-06
-83.0878,1.7588668745314498e-06
-83.0778,2.23922936657767e-06
-83.06779999999999,2.8180534486551307e-06
-83.0578,3.5036686093558906e-06
-83.0478,4.326080068278898e-06
-83.03779999999999,5.270299083131299e-06
-83.0278,6.366877293026099e-06
-83.0178,7.586074997929202e-06
-83.0078,8.956653419822595e-06
-82.9978,1.04498510447464e-05
-82.9878,1.20643961234705e-05
-82.9778,1.37703196826049e-05
-82.9678,1.5568120591739415e-05
-82.95779999999999,1.7396012783634e-05
-82.9478,1.9243890987558695e-05
-82.9378,2.1051741918023296e-05
-82.92779999999999,2.2788269619307694e-05
-82.9178,2.439283567805179e-05
-82.9078,2.583473681729539e-05
-82.89779999999999,2.7073999974208506e-05
-82.8878,2.8058599842480982e-05
-82.8778,2.8769853500782794e-05
-82.8678,2.91858355770239e-05
-82.8578,2.928766406748409e-05
-82.84779999999999,2.90644170533536e-05
-82.8378,2.8546305256562284e-05
-82.8278,2.772383531668021e-05
-82.81779999999999,2.6647301946847504e-05
-82.8078,2.5337233261694094e-05
-82.7978,2.382418688362029e-05
-82.78779999999999,2.2168856520356097e-05
-82.7778,2.04017767753316e-05
-82.7678,1.8573904603666994e-05
-82.7578,1.6725416389812302e-05
-82.7478,1.4897565339207705e-05
-82.7378,1.3130974472293304e-05
-82.7278,1.1455122176709001e-05
-82.7178,9.871223282554996e-06
