,Mo_4dzx
-83.2678,1.3184370503527998e-08
-83.2578,2.0386610367002e-08
-83.2478,3.1221969647675994e-08
-83.2378,4.714158465861299e-08
-83.2278,7.060926473560301e-08
-83.2178,1.0448647612339202e-07
-83.20779999999999,1.5306159640614998e-07
-83.1978,2.2243069538232994e-07
-83.1878,3.1834321404481004e-07
-83.17779999999999,4.5099003677963005e-07
-83.1678,6.326140898152398e-07
-83.1578,8.775098284143401e-07
-83.14779999999999,1.2040368622472006e-06
-83.1378,1.6345851372410996e-06
-83.1278,2.203845110222499e-06
-83.1178,2.9182790080596012e-06
-83.1078,3.836640908501002e-06
-83.09779999999999,4.9796631006018986e-06
-83.0878,6.418089527291299e-06
-83.0778,8.163105251251709e-06
-83.06779999999999,1.0285342498401602e-05
-83.0578,1.2814736791199994e-05
-83.0478,1.5775801521753998e-05
-83.03779999999999,1.9234308183690995e-05
-83.0278,2.3262859897875004e-05
-83.0178,2.7752255946605e-05
-83.0078,3.2651497779487e-05
-82.9978,3.8161483466518e-05
-82.9878,4.407910248680302e-05
-82.9778,5.020386323674198e-05
-82.9678,5.673383861491398e-05
-82.95779999999999,6.346833460478601e-05
-82.9478,7.020203180188995e-05
-82.9378,7.673301828755199e-05
-82.92779999999999,8.306018632929101e-05
-82.9178,8.897780235649606e-05
-82.9078,9.428205972581598e-05
-82.89779999999999,9.8771574717588e-05
-82.8878,0.000102444703038542
-82.8778,0.00010489631995773604
-82.8678,0.00010652574439477
-82.8578,0.00010693309593030003
-82.84779999999999,0.00010611822356152598
-82.8378,0.000104079143589268
-82.8278,0.00010122028493442001
-82.81779999999999,9.714182697944304e-05
-82.8078,9.244531376568798e-05
-82.7978,8.693610967173699e-05
-82.78779999999999,8.081398714284997e-05
-82.7778,7.448640636929903e-05
-82.7678,6.775302058352696e-05
-82.7578,6.1019322386543005e-05
-82.7478,5.4284929995800995e-05
-82.7378,4.795735973016e-05
-82.7278,4.183491639278299e-05
-82.7178,3.6120005078319e-05
-82.70779999999999,3.081463091581e-05
-82.6978,2.5919105557766e-05
-82.6878,2.1633325475074004e-05
-82.67779999999999,1.7917590965633e-05
-82.6678,1.4631498742092999e-05
-82.6578,1.1836252375091005e-05
-82.64779999999999,9.469041015004898e-06
-82.6378,7.489505990445302e-06
-82.6278,5.857060337909101e-06
-82.6178,4.5306231907326e-06
-82.6078,3.4693291270295994e-06
-82.59779999999999,2.6326337128360998e-06
-82.5878,1.973435175804499e-06
-82.5778,1.4631498641079997e-06
-82.56779999999999,1.0734291907477996e-06
-82.5578,7.795511906905196e-07
-82.5478,5.591676873991502e-07
-82.53779999999999,3.9793325803232995e-07
-82.5278,2.795607706375401e-07
-82.5178,1.9387120638394006e-07
-82.5078,1.3326782397195002e-07
-82.4978,9.0609740304861e-08
-82.4878,6.101721008630297e-08
-82.4778,4.0610605478311e-08
-82.4678,2.6733772619156993e-08
-82.45779999999999,1.7407746390328e-08
-82.4478,1.1223855540065e-08
-82.4378,7.1427744705642e-09
-82.42779999999999,4.510000367796301e-09
-82.4178,2.816089697959299e-09
-82.4078,1.7345541100002003e-09
-82.39779999999999,1.05914607949075e-09
-82.3878,6.387718324017101e-10
-82.3778,3.8162888870229e-10
-82.3678,2.2650604140120003e-10
-82.3578,1.3204372944671997e-10
-82.34779999999999,7.6324382640827e-11
-82.3378,4.367187445745001e-11
-82.3278,2.4694395642005994e-11
-82.31779999999999,1.3836628192086999e-11
-82.3078,7.673060456579002e-12
