,Pd_1s
-83.2678,0.00102
-83.2578,0.00157
-83.2478,0.00241
-83.2378,0.00364
-83.2278,0.00545
-83.2178,0.00806
-83.20779999999999,0.0118
-83.1978,0.0171
-83.1878,0.0245
-83.17779999999999,0.0348
-83.1678,0.0488
-83.1578,0.0677
-83.14779999999999,0.0929
-83.1378,0.126
-83.1278,0.169
-83.1178,0.225
-83.1078,0.296
-83.09779999999999,0.385
-83.0878,0.495
-83.0778,0.63
-83.06779999999999,0.793
-83.0578,0.988
-83.0478,1.22
-83.03779999999999,1.48
-83.0278,1.79
-83.0178,2.13
-83.0078,2.52
-82.9978,2.94
-82.9878,3.39
-82.9778,3.88
-82.9678,4.38
-82.95779999999999,4.9
-82.9478,5.42
-82.9378,5.93
-82.92779999999999,6.41
-82.9178,6.87
-82.9078,7.27
-82.89779999999999,7.62
-82.8878,7.9
-82.8778,8.1
-82.8678,8.22
-82.8578,8.24
-82.84779999999999,8.18
-82.8378,8.04
-82.8278,7.81
-82.81779999999999,7.5
-82.8078,7.13
-82.7978,6.71
-82.78779999999999,6.24
-82.7778,5.74
-82.7678,5.23
-82.7578,4.71
-82.7478,4.2
-82.7378,3.7
-82.7278,3.22
-82.7178,2.78
-82.70779999999999,2.37
-82.6978,2.0
-82.6878,1.67
-82.67779999999999,1.38
-82.6678,1.13
-82.6578,0.913
-82.64779999999999,0.73
-82.6378,0.578
-82.6278,0.452
-82.6178,0.35
-82.6078,0.268
-82.59779999999999,0.203
-82.5878,0.152
-82.5778,0.113
-82.56779999999999,0.0828
-82.5578,0.0601
-82.5478,0.0431
-82.53779999999999,0.0306
-82.5278,0.0215
-82.5178,0.015
-82.5078,0.0103
-82.4978,0.00699
-82.4878,0.00471
-82.4778,0.00313
-82.4678,0.00206
-82.45779999999999,0.00134
-82.4478,0.000865
-82.4378,0.000552
-82.42779999999999,0.000348
-82.4178,0.000217
-82.4078,0.000134
-82.39779999999999,8.17e-05
-82.3878,4.93e-05
-82.3778,2.95e-05
-82.3678,1.74e-05
-82.3578,1.02e-05
-82.34779999999999,5.89e-06
-82.3378,3.37e-06
-82.3278,1.91e-06
-82.31779999999999,1.07e-06
-82.3078,5.92e-07
-82.2978,3.24e-07
-82.28779999999999,1.76e-07
-82.2778,9.42e-08
-82.2678,5e-08
-82.2578,2.62e-08
-82.2478,1.36e-08
-82.2378,6.99e-09
-82.2278,3.55e-09
-82.2178,1.78e-09
-82.20779999999999,8.87e-10
-82.1978,4.36e-10
-82.1878,2.12e-10
-82.17779999999999,1.02e-10
-82.1678,4.87e-11
-82.1578,0.0
-82.14779999999999,0.0
-82.1378,0.0
-82.1278,0.0
-82.1178,0.0
-82.1078,0.0
-82.09779999999999,0.0
-82.0878,0.0
-82.0778,0.0
-82.06779999999999,0.0
-82.0578,0.0
-82.0478,0.0
-82.03779999999999,0.0
-82.0278,0.0
-82.0178,0.0
-82.0078,0.0
-81.9978,0.0
-81.9878,0.0
-81.9778,0.0
-81.9678,0.0
-81.95779999999999,0.0
-81.9478,0.0
-81.9378,0.0
-81.92779999999999,0.0
-81.9178,0.0
-81.9078,0.0
-81.89779999999999,0.0
-81.8878,0.0
-81.8778,0.0
-81.8678,0.0
-81.8578,0.0
-81.84779999999999,0.0
-81.8378,0.0
-81.8278,0.0
-81.81779999999999,0.0
-81.8078,0.0
-81.7978,0.0
-81.78779999999999,0.0
-81.7778,0.0
-81.7678,0.0
-81.7578,0.0
-81.7478,0.0
-81.7378,0.0
-81.7278,0.0
-81.7178,0.0
-81.70779999999999,0.0
-81.6978,0.0
-81.6878,0.0
-81.67779999999999,0.0
-81.6678,0.0
-81.6578,0.0
-81.64779999999999,0.0
-81.6378,0.0
-81.6278,0.0
-81.6178,0.0
-81.6078,0.0
-81.59779999999999,0.0
-81.5878,0.0
-81.5778,0.0
-81.56779999999999,0.0
-81.5578,0.0
-81.5478,0.0
-81.53779999999999,0.0
-81.5278,0.0
-81.5178,0.0
-81.5078,0.0
-81.4978,0.0
-81.4878,0.0
-81.4778,0.0
-81.4678,0.0
-81.45779999999999,0.0
-81.4478,0.0
-81.4378,0.0
-81.42779999999999,0.0
-81.4178,0.0
-81.4078,0.0
-81.39779999999999,0.0
-81.3878,0.0
-81.3778,0.0
-81.3678,0.0
-81.3578,0.0
-81.34779999999999,0.0
-81.3378,0.0
-81.3278,0.0
-81.31779999999999,0.0
-81.3078,0.0
-81.2978,0.0
-81.28779999999999,0.0
-81.2778,0.0
-81.2678,0.0
-81.2578,0.0
-81.2478,0.0
-81.2378,0.0
-81.2278,0.0
-81.2178,0.0
-81.20779999999999,0.0
-81.1978,0.0
-81.1878,0.0
-81.17779999999999,0.0
-81.1678,0.0
-81.1578,0.0
-81.14779999999999,0.0
-81.1378,0.0
-81.1278,0.0
-81.1178,0.0
-81.1078,0.0
-81.09779999999999,0.0
-81.0878,0.0
-81.0778,0.0
-81.06779999999999,0.0
-81.0578,0.0
-81.0478,0.0
-81.03779999999999,0.0
-81.0278,0.0
-81.0178,0.0
-81.0078,0.0
-80.9978,0.0
-80.9878,0.0
-80.9778,0.0
-80.9678,0.0
-80.95779999999999,0.0
-80.9478,0.0
-80.9378,0.0
-80.92779999999999,0.0
-80.9178,0.0
-80.9078,0.0
-80.89779999999999,0.0
-80.8878,0.0
-80.8778,0.0
-80.8678,0.0
-80.8578,0.0
-80.84779999999999,0.0
-80.8378,0.0
-80.8278,0.0
-80.81779999999999,0.0
-80.8078,0.0
-80.7978,0.0
-80.78779999999999,0.0
-80.7778,0.0
-80.7678,0.0
-80.7578,0.0
-80.7478,0.0
-80.7378,0.0
-80.7278,0.0
-80.7178,0.0
-80.70779999999999,0.0
-80.6978,0.0
-80.6878,0.0
-80.67779999999999,0.0
-80.6678,0.0
-80.6578,0.0
-80.64779999999999,0.0
-80.6378,0.0
-80.6278,0.0
-80.6178,0.0
-80.6078,0.0
-80.59779999999999,0.0
-80.5878,0.0
-80.5778,0.0
-80.56779999999999,0.0
-80.5578,0.0
-80.5478,0.0
-80.53779999999999,0.0
-80.5278,0.0
-80.5178,0.0
-80.5078,0.0
-80.4978,0.0
-80.4878,0.0
-80.4778,0.0
-80.4678,0.0
-80.45779999999999,0.0
-80.4478,0.0
-80.4378,0.0
-80.42779999999999,0.0
-80.4178,0.0
-80.4078,0.0
-80.39779999999999,0.0
-80.3878,0.0
-80.3778,0.0
-80.3678,0.0
-80.3578,0.0
-80.34779999999999,0.0
-80.3378,0.0
-80.3278,0.0
-80.31779999999999,0.0
-80.3078,0.0
-80.2978,0.0
-80.28779999999999,0.0
-80.2778,0.0
-80.2678,0.0
-80.2578,0.0
-80.2478,0.0
-80.2378,0.0
-80.2278,0.0
-80.2178,0.0
-80.20779999999999,0.0
-80.1978,0.0
-80.1878,0.0
-80.17779999999999,0.0
-80.1678,0.0
-80.1578,0.0
-80.14779999999999,0.0
-80.1378,0.0
-80.1278,0.0
-80.1178,0.0
-80.1078,0.0
-80.09779999999999,0.0
-80.0878,0.0
-80.0778,0.0
-80.06779999999999,0.0
-80.0578,0.0
-80.0478,0.0
-80.03779999999999,0.0
-80.0278,0.0
-80.0178,0.0
-80.0078,0.0
-79.9978,0.0
-79.9878,0.0
-79.9778,0.0
-79.9678,0.0
-79.95779999999999,0.0
-79.9478,0.0
-79.9378,0.0
-79.92779999999999,0.0
-79.9178,0.0
-79.9078,0.0
-79.89779999999999,0.0
-79.8878,0.0
-79.8778,0.0
-79.8678,0.0
-79.8578,0.0
-79.84779999999999,0.0
-79.8378,0.0
-79.8278,0.0
-79.81779999999999,0.0
-79.8078,0.0
-79.7978,0.0
-79.78779999999999,0.0
-79.7778,0.0
-79.7678,0.0
-79.7578,0.0
-79.7478,0.0
-79.7378,0.0
-79.7278,0.0
-79.7178,0.0
-79.70779999999999,0.0
-79.6978,0.0
-79.6878,0.0
-79.67779999999999,0.0
-79.6678,0.0
-79.6578,0.0
-79.64779999999999,0.0
-79.6378,0.0
-79.6278,0.0
-79.6178,0.0
-79.6078,0.0
-79.59779999999999,0.0
-79.5878,0.0
-79.5778,0.0
-79.56779999999999,0.0
-79.5578,0.0
-79.5478,0.0
-79.53779999999999,0.0
-79.5278,0.0
-79.5178,0.0
-79.5078,0.0
-79.4978,0.0
-79.4878,0.0
-79.4778,0.0
-79.4678,0.0
-79.45779999999999,0.0
-79.4478,0.0
-79.4378,0.0
-79.42779999999999,0.0
-79.4178,0.0
-79.4078,0.0
-79.39779999999999,0.0
-79.3878,0.0
-79.3778,0.0
-79.3678,0.0
-79.3578,0.0
-79.34779999999999,0.0
-79.3378,0.0
-79.3278,0.0
-79.31779999999999,0.0
-79.3078,0.0
-79.2978,0.0
-79.28779999999999,0.0
-79.2778,0.0
