,Pd_4dxy
-83.2678,1.41e-17
-83.2578,2.19e-17
-83.2478,3.34e-17
-83.2378,5.06e-17
-83.2278,7.57e-17
-83.2178,1.12e-16
-83.20779999999999,1.64e-16
-83.1978,2.38e-16
-83.1878,3.41e-16
-83.17779999999999,4.83e-16
-83.1678,6.78e-16
-83.1578,9.4e-16
-83.14779999999999,1.29e-15
-83.1378,1.75e-15
-83.1278,2.35e-15
-83.1178,3.13e-15
-83.1078,4.11e-15
-83.09779999999999,5.35e-15
-83.0878,6.88e-15
-83.0778,8.76e-15
-83.06779999999999,1.1e-14
-83.0578,1.37e-14
-83.0478,1.69e-14
-83.03779999999999,2.06e-14
-83.0278,2.49e-14
-83.0178,2.97e-14
-83.0078,3.5e-14
-82.9978,4.08e-14
-82.9878,4.72e-14
-82.9778,5.39e-14
-82.9678,6.09e-14
-82.95779999999999,6.81e-14
-82.9478,7.53e-14
-82.9378,8.23e-14
-82.92779999999999,8.91e-14
-82.9178,9.54e-14
-82.9078,1.01e-13
-82.89779999999999,1.06e-13
-82.8878,1.1e-13
-82.8778,1.13e-13
-82.8678,1.14e-13
-82.8578,1.15e-13
-82.84779999999999,1.14e-13
-82.8378,1.12e-13
-82.8278,1.08e-13
-82.81779999999999,1.04e-13
-82.8078,9.91e-14
-82.7978,9.32e-14
-82.78779999999999,8.67e-14
-82.7778,7.98e-14
-82.7678,7.26e-14
-82.7578,6.54e-14
-82.7478,5.83e-14
-82.7378,5.14e-14
-82.7278,4.48e-14
-82.7178,3.86e-14
-82.70779999999999,3.3e-14
-82.6978,2.78e-14
-82.6878,2.32e-14
-82.67779999999999,1.92e-14
-82.6678,1.57e-14
-82.6578,1.27e-14
-82.64779999999999,1.01e-14
-82.6378,8.03e-15
-82.6278,6.28e-15
-82.6178,4.86e-15
-82.6078,3.73e-15
-82.59779999999999,2.82e-15
-82.5878,2.12e-15
-82.5778,1.57e-15
-82.56779999999999,1.15e-15
-82.5578,8.35e-16
-82.5478,5.99e-16
-82.53779999999999,4.26e-16
-82.5278,2.99e-16
-82.5178,2.08e-16
-82.5078,1.43e-16
-82.4978,9.72e-17
-82.4878,6.54e-17
-82.4778,4.35e-17
-82.4678,2.86e-17
-82.45779999999999,1.87e-17
-82.4478,1.2e-17
-82.4378,7.66e-18
-82.42779999999999,4.83e-18
-82.4178,3.01e-18
-82.4078,1.86e-18
-82.39779999999999,1.14e-18
-82.3878,6.86e-19
-82.3778,4.1e-19
-82.3678,2.42e-19
-82.3578,1.42e-19
-82.34779999999999,8.18e-20
-82.3378,4.68e-20
-82.3278,2.65e-20
-82.31779999999999,1.48e-20
-82.3078,8.22e-21
-82.2978,4.5e-21
-82.28779999999999,2.44e-21
-82.2778,1.31e-21
-82.2678,6.94e-22
-82.2578,3.64e-22
-82.2478,1.89e-22
-82.2378,9.71e-23
-82.2278,4.93e-23
-82.2178,2.48e-23
-82.20779999999999,1.23e-23
-82.1978,6.06e-24
-82.1878,2.95e-24
-82.17779999999999,1.42e-24
-82.1678,6.76e-25
-82.1578,0.0
-82.14779999999999,0.0
-82.1378,0.0
-82.1278,0.0
-82.1178,0.0
-82.1078,0.0
-82.09779999999999,0.0
-82.0878,0.0
-82.0778,0.0
-82.06779999999999,0.0
-82.0578,0.0
-82.0478,0.0
-82.03779999999999,0.0
-82.0278,0.0
-82.0178,0.0
-82.0078,0.0
-81.9978,0.0
-81.9878,0.0
-81.9778,0.0
-81.9678,0.0
-81.95779999999999,0.0
-81.9478,0.0
-81.9378,0.0
-81.92779999999999,0.0
-81.9178,0.0
-81.9078,0.0
-81.89779999999999,0.0
-81.8878,0.0
-81.8778,0.0
-81.8678,0.0
-81.8578,0.0
-81.84779999999999,0.0
-81.8378,0.0
-81.8278,0.0
-81.81779999999999,0.0
-81.8078,0.0
-81.7978,0.0
-81.78779999999999,0.0
-81.7778,0.0
-81.7678,0.0
-81.7578,0.0
-81.7478,0.0
-81.7378,0.0
-81.7278,0.0
-81.7178,0.0
-81.70779999999999,0.0
-81.6978,0.0
-81.6878,0.0
-81.67779999999999,0.0
-81.6678,0.0
-81.6578,0.0
-81.64779999999999,0.0
-81.6378,0.0
-81.6278,0.0
-81.6178,0.0
-81.6078,0.0
-81.59779999999999,0.0
-81.5878,0.0
-81.5778,0.0
-81.56779999999999,0.0
