,Pd_4dz2
-83.2678,1.41e-09
-83.2578,2.18e-09
-83.2478,3.33e-09
-83.2378,5.04e-09
-83.2278,7.55e-09
-83.2178,1.12e-08
-83.20779999999999,1.64e-08
-83.1978,2.37e-08
-83.1878,3.4e-08
-83.17779999999999,4.82e-08
-83.1678,6.76e-08
-83.1578,9.38e-08
-83.14779999999999,1.29e-07
-83.1378,1.75e-07
-83.1278,2.35e-07
-83.1178,3.12e-07
-83.1078,4.1e-07
-83.09779999999999,5.34e-07
-83.0878,6.87e-07
-83.0778,8.74e-07
-83.06779999999999,1.1e-06
-83.0578,1.37e-06
-83.0478,1.69e-06
-83.03779999999999,2.06e-06
-83.0278,2.48e-06
-83.0178,2.96e-06
-83.0078,3.49e-06
-82.9978,4.08e-06
-82.9878,4.71e-06
-82.9778,5.38e-06
-82.9678,6.08e-06
-82.95779999999999,6.79e-06
-82.9478,7.51e-06
-82.9378,8.22e-06
-82.92779999999999,8.89e-06
-82.9178,9.52e-06
-82.9078,1.01e-05
-82.89779999999999,1.06e-05
-82.8878,1.1e-05
-82.8778,1.12e-05
-82.8678,1.14e-05
-82.8578,1.14e-05
-82.84779999999999,1.13e-05
-82.8378,1.11e-05
-82.8278,1.08e-05
-82.81779999999999,1.04e-05
-82.8078,9.89e-06
-82.7978,9.3e-06
-82.78779999999999,8.65e-06
-82.7778,7.96e-06
-82.7678,7.25e-06
-82.7578,6.53e-06
-82.7478,5.82e-06
-82.7378,5.13e-06
-82.7278,4.47e-06
-82.7178,3.86e-06
-82.70779999999999,3.29e-06
-82.6978,2.78e-06
-82.6878,2.32e-06
-82.67779999999999,1.92e-06
-82.6678,1.57e-06
-82.6578,1.27e-06
-82.64779999999999,1.01e-06
-82.6378,8.01e-07
-82.6278,6.27e-07
-82.6178,4.85e-07
-82.6078,3.72e-07
-82.59779999999999,2.82e-07
-82.5878,2.11e-07
-82.5778,1.57e-07
-82.56779999999999,1.15e-07
-82.5578,8.33e-08
-82.5478,5.98e-08
-82.53779999999999,4.25e-08
-82.5278,2.98e-08
-82.5178,2.07e-08
-82.5078,1.43e-08
-82.4978,9.7e-09
-82.4878,6.52e-09
-82.4778,4.34e-09
-82.4678,2.86e-09
-82.45779999999999,1.86e-09
-82.4478,1.2e-09
