,Pd_4dzx
-83.2678,7.34e-18
-83.2578,1.14e-17
-83.2478,1.74e-17
-83.2378,2.63e-17
-83.2278,3.93e-17
-83.2178,5.82e-17
-83.20779999999999,8.52e-17
-83.1978,1.23e-16
-83.1878,1.77e-16
-83.17779999999999,2.51e-16
-83.1678,3.52e-16
-83.1578,4.88e-16
-83.14779999999999,6.7e-16
-83.1378,9.1e-16
-83.1278,1.22e-15
-83.1178,1.62e-15
-83.1078,2.14e-15
-83.09779999999999,2.78e-15
-83.0878,3.57e-15
-83.0778,4.55e-15
-83.06779999999999,5.73e-15
-83.0578,7.13e-15
-83.0478,8.79e-15
-83.03779999999999,1.07e-14
-83.0278,1.29e-14
-83.0178,1.54e-14
-83.0078,1.82e-14
-82.9978,2.12e-14
-82.9878,2.45e-14
-82.9778,2.8e-14
-82.9678,3.16e-14
-82.95779999999999,3.54e-14
-82.9478,3.91e-14
-82.9378,4.28e-14
-82.92779999999999,4.63e-14
-82.9178,4.96e-14
-82.9078,5.25e-14
-82.89779999999999,5.5e-14
-82.8878,5.7e-14
-82.8778,5.84e-14
-82.8678,5.93e-14
-82.8578,5.95e-14
-82.84779999999999,5.91e-14
-82.8378,5.8e-14
-82.8278,5.63e-14
-82.81779999999999,5.41e-14
-82.8078,5.15e-14
-82.7978,4.84e-14
-82.78779999999999,4.5e-14
-82.7778,4.14e-14
-82.7678,3.77e-14
-82.7578,3.4e-14
-82.7478,3.03e-14
-82.7378,2.67e-14
-82.7278,2.33e-14
-82.7178,2.01e-14
-82.70779999999999,1.71e-14
-82.6978,1.45e-14
-82.6878,1.21e-14
-82.67779999999999,9.97e-15
-82.6678,8.15e-15
-82.6578,6.59e-15
-82.64779999999999,5.27e-15
-82.6378,4.17e-15
-82.6278,3.26e-15
-82.6178,2.53e-15
-82.6078,1.94e-15
-82.59779999999999,1.47e-15
-82.5878,1.1e-15
-82.5778,8.15e-16
-82.56779999999999,5.98e-16
-82.5578,4.34e-16
-82.5478,3.11e-16
-82.53779999999999,2.21e-16
-82.5278,1.55e-16
-82.5178,1.08e-16
-82.5078,7.42e-17
-82.4978,5.05e-17
-82.4878,3.4e-17
-82.4778,2.26e-17
-82.4678,1.49e-17
-82.45779999999999,9.69e-18
-82.4478,6.24e-18
-82.4378,3.98e-18
-82.42779999999999,2.51e-18
-82.4178,1.57e-18
-82.4078,9.66e-19
-82.39779999999999,5.9e-19
-82.3878,3.56e-19
-82.3778,2.13e-19
-82.3678,1.26e-19
-82.3578,7.35e-20
-82.34779999999999,4.25e-20
-82.3378,2.43e-20
-82.3278,1.38e-20
-82.31779999999999,7.71e-21
-82.3078,4.27e-21
-82.2978,2.34e-21
-82.28779999999999,1.27e-21
-82.2778,6.8e-22
-82.2678,3.61e-22
-82.2578,1.89e-22
-82.2478,9.82e-23
-82.2378,5.05e-23
-82.2278,2.56e-23
-82.2178,1.29e-23
-82.20779999999999,6.4e-24
-82.1978,3.15e-24
-82.1878,1.53e-24
-82.17779999999999,7.38e-25
-82.1678,3.51e-25
-82.1578,0.0
-82.14779999999999,0.0
-82.1378,0.0
-82.1278,0.0
-82.1178,0.0
-82.1078,0.0
-82.09779999999999,0.0
-82.0878,0.0
-82.0778,0.0
-82.06779999999999,0.0
-82.0578,0.0
-82.0478,0.0
-82.03779999999999,0.0
-82.0278,0.0
-82.0178,0.0
-82.0078,0.0
-81.9978,0.0
-81.9878,0.0
-81.9778,0.0
-81.9678,0.0
-81.95779999999999,0.0
-81.9478,0.0
-81.9378,0.0
-81.92779999999999,0.0
-81.9178,0.0
-81.9078,0.0
-81.89779999999999,0.0
-81.8878,0.0
-81.8778,0.0
-81.8678,0.0
-81.8578,0.0
-81.84779999999999,0.0
-81.8378,0.0
-81.8278,0.0
-81.81779999999999,0.0
-81.8078,0.0
-81.7978,0.0
-81.78779999999999,0.0
-81.7778,0.0
-81.7678,0.0
-81.7578,0.0
-81.7478,0.0
-81.7378,0.0
-81.7278,0.0
-81.7178,0.0
-81.70779999999999,0.0
-81.6978,0.0
-81.6878,0.0
-81.67779999999999,0.0
-81.6678,0.0
-81.6578,0.0
-81.64779999999999,0.0
-81.6378,0.0
