,S_2py
-83.2678,2.5727512242301e-08
-83.2578,3.9776083775666016e-08
-83.2478,6.075505327927e-08
-83.2378,9.1951616541568e-08
-83.2278,1.3771350653958007e-07
-83.2178,2.0390463576890996e-07
-83.20779999999999,2.9863904254401993e-07
-83.1978,4.3305284116362984e-07
-83.1878,6.198540777825599e-07
-83.17779999999999,8.784665396946103e-07
-83.1678,1.2335179263650993e-06
-83.1578,1.7097438872443997e-06
-83.14779999999999,2.3489676884634007e-06
-83.1378,3.1895723882000003e-06
-83.1278,4.2894931221775995e-06
-83.1178,5.685516200626699e-06
-83.1078,7.471305978096602e-06
-83.09779999999999,9.728893699249e-06
-83.0878,1.2520199656145e-05
-83.0778,1.5946684329688002e-05
-83.06779999999999,2.0052931258939995e-05
-83.0578,2.4979555849979003e-05
-83.0478,3.078788386140299e-05
-83.03779999999999,3.753004250069001e-05
-83.0278,4.535742543259099e-05
-83.0178,5.3981052574479015e-05
-83.0078,6.362838498775307e-05
-82.9978,7.429956715339898e-05
-82.9878,8.5791873739678e-05
-82.9778,9.800520856932e-05
-82.9678,0.00011083388577519999
-82.95779999999999,0.0001237676163654599
-82.9478,0.00013690763118411
-82.9378,0.00014982420526660998
-82.92779999999999,0.00016213576431725008
-82.9178,0.00017363978768562995
-82.9078,0.00018390926169446997
-82.89779999999999,0.00019262398496763
-82.8878,0.00019969986590471998
-82.8778,0.00020483408289400005
-82.8678,0.00020770419391810002
-82.8578,0.00020843248876735985
-82.84779999999999,0.00020689650743431996
-82.8378,0.00020319618103115
-82.8278,0.00019725409927829005
-82.81779999999999,0.00018965215343234003
-82.8078,0.00018021208492263
-82.7978,0.00016953566751210005
-82.78779999999999,0.00015783000206316005
-82.7778,0.00014511463046775
-82.7678,0.00013217989605167994
-82.7578,0.00011904419123008
-82.7478,0.0001061126538643
-82.7378,9.338861353194502e-05
-82.7278,8.148541820149703e-05
-82.7178,7.039668017637502e-05
-82.70779999999999,6.003405945164998e-05
-82.6978,5.049481460009401e-05
-82.6878,4.2231066222829015e-05
-82.67779999999999,3.494434192795701e-05
-82.6678,2.854998489696701e-05
-82.6578,2.3079273089704e-05
-82.64779999999999,1.8451874686385008e-05
-82.6378,1.4592397663900004e-05
-82.6278,1.1432319174486e-05
-82.6178,8.866267468187497e-06
-82.6078,6.7732957729441024e-06
-82.59779999999999,5.131413588410102e-06
-82.5878,3.850433461376803e-06
-82.5778,2.8549972775945e-06
-82.56779999999999,2.0946245557545993e-06
-82.5578,1.5188737990037997e-06
-82.5478,1.0898847341703e-06
-82.53779999999999,7.757928568218403e-07
-82.5278,5.4391702989012e-07
-82.5178,3.782710967133199e-07
-82.5078,2.6004449158348e-07
-82.4978,1.7691467056710009e-07
-82.4878,1.1894177089769996e-07
-82.4778,7.922295535007102e-08
-82.4678,5.2131723371024e-08
-82.45779999999999,3.3957614633271e-08
-82.4478,2.1878449440756e-08
-82.4378,1.3957373911999997e-08
-82.42779999999999,8.784666698057198e-09
-82.4178,5.480244007371401e-09
-82.4078,3.384471100842102e-09
-82.39779999999999,2.0657394526588006e-09
-82.3878,1.2479061275671998e-09
-82.3778,7.450792037970601e-10
-82.3678,4.4126196023098985e-10
-82.3578,2.5747937503743006e-10
-82.34779999999999,1.4891612875518002e-10
-82.3378,8.517828186616397e-11
-82.3278,4.823190726682699e-11
-82.31779999999999,2.7011264356494008e-11
-82.3078,1.496215922987499e-11
-82.2978,8.189653437607498e-12
-82.28779999999999,4.453641456683498e-12
-82.2778,2.3829002567605003e-12
-82.2678,1.2643095419872002e-12
-82.2578,6.629491409745002e-13
-82.2478,3.4420754227107003e-13
-82.2378,1.7681464035300009e-13
-82.2278,8.989681707300196e-14
-82.2178,4.495294481115301e-14
-82.20779999999999,2.243442135988101e-14
-82.1978,1.1032239541258005e-14
-82.1878,5.377327570405602e-15
-82.17779999999999,2.5840941067021995e-15
-82.1678,1.2294692058666998e-15
-82.1578,0.0
-82.14779999999999,0.0
-82.1378,0.0
-82.1278,0.0
-82.1178,0.0
-82.1078,0.0
-82.09779999999999,0.0
-82.0878,0.0
-82.0778,0.0
-82.06779999999999,0.0
-82.0578,0.0
-82.0478,0.0
-82.03779999999999,0.0
-82.0278,0.0
-82.0178,0.0
-82.0078,0.0
-81.9978,0.0
-81.9878,0.0
-81.9778,0.0
-81.9678,0.0
-81.95779999999999,0.0
-81.9478,0.0
-81.9378,0.0
-81.92779999999999,0.0
-81.9178,0.0
-81.9078,0.0
-81.89779999999999,0.0
-81.8878,0.0
-81.8778,0.0
-81.8678,0.0
-81.8578,0.0
-81.84779999999999,0.0
-81.8378,0.0
-81.8278,0.0
-81.81779999999999,0.0
-81.8078,0.0
-81.7978,0.0
-81.78779999999999,0.0
-81.7778,0.0
-81.7678,0.0
-81.7578,0.0
-81.7478,0.0
-81.7378,0.0
-81.7278,0.0
-81.7178,0.0
-81.70779999999999,0.0
-81.6978,0.0
-81.6878,0.0
-81.67779999999999,0.0
-81.6678,0.0
-81.6578,0.0
-81.64779999999999,0.0
-81.6378,0.0
-81.6278,0.0
-81.6178,0.0
-81.6078,0.0
-81.59779999999999,0.0
-81.5878,0.0
-81.5778,0.0
-81.56779999999999,0.0
-81.5578,0.0
-81.5478,0.0
-81.53779999999999,0.0
-81.5278,0.0
-81.5178,0.0
-81.5078,0.0
-81.4978,0.0
-81.4878,0.0
-81.4778,0.0
-81.4678,0.0
-81.45779999999999,0.0
-81.4478,0.0
-81.4378,0.0
-81.42779999999999,0.0
-81.4178,0.0
-81.4078,0.0
-81.39779999999999,0.0
-81.3878,0.0
-81.3778,0.0
-81.3678,0.0
-81.3578,0.0
-81.34779999999999,0.0
-81.3378,0.0
-81.3278,0.0
-81.31779999999999,0.0
-81.3078,0.0
-81.2978,0.0
-81.28779999999999,0.0
-81.2778,0.0
-81.2678,0.0
-81.2578,0.0
-81.2478,0.0
-81.2378,0.0
-81.2278,0.0
-81.2178,0.0
-81.20779999999999,0.0
-81.1978,0.0
-81.1878,0.0
-81.17779999999999,0.0
-81.1678,0.0
-81.1578,0.0
-81.14779999999999,0.0
-81.1378,0.0
-81.1278,0.0
-81.1178,0.0
-81.1078,0.0
-81.09779999999999,0.0
-81.0878,0.0
-81.0778,0.0
-81.06779999999999,0.0
-81.0578,0.0
-81.0478,0.0
-81.03779999999999,0.0
-81.0278,0.0
-81.0178,0.0
-81.0078,0.0
-80.9978,0.0
-80.9878,0.0
-80.9778,0.0
-80.9678,0.0
-80.95779999999999,0.0
-80.9478,0.0
-80.9378,0.0
-80.92779999999999,0.0
-80.9178,0.0
-80.9078,0.0
-80.89779999999999,0.0
-80.8878,0.0
-80.8778,0.0
-80.8678,0.0
-80.8578,0.0
-80.84779999999999,0.0
-80.8378,0.0
-80.8278,0.0
-80.81779999999999,0.0
-80.8078,0.0
-80.7978,0.0
-80.78779999999999,0.0
-80.7778,0.0
-80.7678,0.0
-80.7578,0.0
-80.7478,0.0
-80.7378,0.0
-80.7278,0.0
-80.7178,0.0
-80.70779999999999,0.0
-80.6978,0.0
-80.6878,0.0
-80.67779999999999,0.0
-80.6678,0.0
-80.6578,0.0
-80.64779999999999,0.0
-80.6378,0.0
-80.6278,0.0
-80.6178,0.0
-80.6078,0.0
-80.59779999999999,0.0
-80.5878,0.0
-80.5778,0.0
-80.56779999999999,0.0
-80.5578,0.0
-80.5478,0.0
-80.53779999999999,0.0
-80.5278,0.0
-80.5178,0.0
-80.5078,0.0
-80.4978,0.0
-80.4878,0.0
-80.4778,0.0
-80.4678,0.0
-80.45779999999999,0.0
-80.4478,0.0
-80.4378,0.0
-80.42779999999999,0.0
-80.4178,0.0
-80.4078,0.0
-80.39779999999999,0.0
-80.3878,0.0
-80.3778,0.0
-80.3678,0.0
-80.3578,0.0
-80.34779999999999,0.0
-80.3378,0.0
-80.3278,0.0
-80.31779999999999,0.0
-80.3078,0.0
-80.2978,0.0
-80.28779999999999,0.0
-80.2778,0.0
-80.2678,0.0
-80.2578,0.0
-80.2478,0.0
-80.2378,0.0
-80.2278,0.0
-80.2178,0.0
-80.20779999999999,0.0
-80.1978,0.0
-80.1878,0.0
-80.17779999999999,0.0
-80.1678,0.0
-80.1578,0.0
-80.14779999999999,0.0
-80.1378,0.0
-80.1278,0.0
-80.1178,0.0
-80.1078,0.0
-80.09779999999999,0.0
-80.0878,0.0
-80.0778,0.0
-80.06779999999999,0.0
-80.0578,0.0
-80.0478,0.0
-80.03779999999999,0.0
-80.0278,0.0
-80.0178,0.0
-80.0078,0.0
-79.9978,0.0
-79.9878,0.0
-79.9778,0.0
-79.9678,0.0
-79.95779999999999,0.0
-79.9478,0.0
-79.9378,0.0
-79.92779999999999,0.0
-79.9178,0.0
-79.9078,0.0
-79.89779999999999,0.0
-79.8878,0.0
-79.8778,0.0
-79.8678,0.0
-79.8578,0.0
-79.84779999999999,0.0
-79.8378,0.0
-79.8278,0.0
-79.81779999999999,0.0
-79.8078,0.0
-79.7978,0.0
-79.78779999999999,0.0
-79.7778,0.0
-79.7678,0.0
-79.7578,0.0
-79.7478,0.0
-79.7378,0.0
-79.7278,0.0
-79.7178,0.0
-79.70779999999999,0.0
-79.6978,0.0
-79.6878,0.0
-79.67779999999999,0.0
-79.6678,0.0
-79.6578,0.0
-79.64779999999999,0.0
-79.6378,0.0
-79.6278,0.0
-79.6178,0.0
-79.6078,0.0
-79.59779999999999,0.0
-79.5878,0.0
-79.5778,0.0
-79.56779999999999,0.0
-79.5578,0.0
-79.5478,0.0
-79.53779999999999,0.0
-79.5278,0.0
-79.5178,0.0
-79.5078,0.0
-79.4978,0.0
-79.4878,0.0
-79.4778,0.0
-79.4678,0.0
-79.45779999999999,0.0
-79.4478,0.0
-79.4378,0.0
-79.42779999999999,0.0
-79.4178,0.0
-79.4078,0.0
-79.39779999999999,0.0
-79.3878,0.0
-79.3778,0.0
-79.3678,0.0
-79.3578,0.0
-79.34779999999999,0.0
