,Mo_1s
-62.351400000000005,0.009562749999999997
-62.3414,0.015319310000000006
-62.331399999999995,0.02427264
-62.321400000000004,0.03809567999999999
-62.3114,0.059114780000000006
-62.301399999999994,0.09078939999999998
-62.2914,0.13803039999999997
-62.2814,0.2077106
-62.27140000000001,0.3092155
-62.2614,0.45587699999999987
-62.2514,0.6646678999999998
-62.241400000000006,0.9592020000000003
-62.2314,1.3694039999999998
-62.221399999999996,1.9355899999999997
-62.211400000000005,2.7074109999999996
-62.2014,3.7471769999999993
-62.191399999999994,5.131906
-62.181400000000004,6.95882
-62.1714,9.334550000000004
-62.16140000000001,12.397120000000003
-62.1514,16.281909999999996
-62.1414,21.161969999999997
-62.131400000000006,27.23340000000001
-62.1214,34.67832
-62.111399999999996,43.68491
-62.101400000000005,54.4674
-62.0914,67.19999999999999
-62.081399999999995,82.04420000000003
-62.071400000000004,99.18249999999996
-62.0614,118.60349999999998
-62.051399999999994,140.33800000000005
-62.0414,164.41699999999997
-62.0314,190.52200000000008
-62.02140000000001,218.45400000000006
-62.0114,247.94499999999994
-62.0014,278.4370000000001
-61.991400000000006,309.43300000000005
-61.9814,340.37600000000003
-61.971399999999996,370.4470000000001
-61.961400000000005,398.961
-61.9514,425.2310000000001
-61.941399999999994,448.54999999999984
-61.931400000000004,468.2000000000001
-61.9214,483.6700000000001
-61.91140000000001,494.32999999999987
-61.9014,500.2300000000002
-61.8914,500.6599999999997
-61.881400000000006,496.09999999999974
-61.8714,486.5299999999999
-61.861399999999996,472.0
-61.851400000000005,453.4899999999998
-61.8414,431.08000000000015
-61.831399999999995,405.6299999999999
-61.821400000000004,377.7999999999999
-61.8114,348.4200000000002
-61.801399999999994,317.9900000000002
-61.7914,287.34000000000003
-61.7814,257.13999999999993
-61.77140000000001,227.83000000000007
-61.7614,199.95999999999998
-61.7514,173.75999999999996
-61.741400000000006,149.59
-61.7314,127.63999999999999
-61.721399999999996,107.99900000000007
-61.711400000000005,90.48400000000002
-61.7014,75.10900000000002
-61.691399999999994,61.969000000000015
-61.681400000000004,50.679
-61.6714,41.13899999999998
-61.66140000000001,33.14400000000001
-61.6514,26.526999999999983
-61.6414,21.098999999999993
-61.631400000000006,16.6773
-61.6214,13.109800000000009
-61.611399999999996,10.253299999999996
-61.601400000000005,7.9774
-61.5914,6.177399999999999
