,S_1s
-62.351400000000005,2.4994999999999997e-05
-62.3414,3.9853999999999995e-05
-62.331399999999995,6.287699999999995e-05
-62.321400000000004,9.811100000000004e-05
-62.3114,0.00015158499999999995
-62.301399999999994,0.00023164299999999986
-62.2914,0.00035046999999999997
-62.2814,0.0005246299999999998
-62.27140000000001,0.0007769700000000001
-62.2614,0.0011392199999999996
-62.2514,0.001652200000000001
-62.241400000000006,0.0023705
-62.2314,0.0033678999999999975
-62.221399999999996,0.004733599999999998
-62.211400000000005,0.006583299999999997
-62.2014,0.009060900000000002
-62.191399999999994,0.0123419
-62.181400000000004,0.016620199999999995
-62.1714,0.022183999999999992
-62.16140000000001,0.02927800000000002
-62.1514,0.03822799999999996
-62.1414,0.049402999999999975
-62.131400000000006,0.06318100000000004
-62.1214,0.07995500000000001
-62.111399999999996,0.10011300000000005
-62.101400000000005,0.12411299999999996
-62.0914,0.15215
-62.081399999999995,0.18469399999999994
-62.071400000000004,0.2218700000000001
-62.0614,0.26342999999999983
-62.051399999999994,0.3097500000000001
-62.0414,0.3603100000000001
-62.0314,0.41502
-62.02140000000001,0.4729300000000002
-62.0114,0.53308
-62.0014,0.5947800000000002
-61.991400000000006,0.65682
-61.9814,0.7175000000000002
-61.971399999999996,0.7756999999999997
-61.961400000000005,0.82995
-61.9514,0.8785500000000007
-61.941399999999994,0.9205099999999999
-61.931400000000004,0.9544999999999987
-61.9214,0.9793899999999999
-61.91140000000001,0.9942299999999998
-61.9014,0.9988100000000012
-61.8914,0.9933400000000001
-61.881400000000006,0.9774299999999996
-61.8714,0.9518599999999996
-61.861399999999996,0.9174299999999995
-61.851400000000005,0.8752100000000003
-61.8414,0.8262899999999996
-61.831399999999995,0.7721499999999994
-61.821400000000004,0.71424
-61.8114,0.6541100000000003
-61.801399999999994,0.5928799999999999
-61.7914,0.53218
-61.7814,0.47289000000000014
-61.77140000000001,0.41618000000000027
-61.7614,0.3626500000000002
-61.7514,0.3129699999999998
-61.741400000000006,0.2676600000000002
-61.7314,0.22677000000000014
-61.721399999999996,0.19050600000000012
-61.711400000000005,0.15862300000000004
-61.7014,0.13100300000000006
-61.691399999999994,0.107319
-61.681400000000004,0.08723300000000002
-61.6714,0.07039299999999996
-61.66140000000001,0.056401999999999994
-61.6514,0.044917000000000006
-61.6414,0.03554300000000002
-61.631400000000006,0.02797760000000001
-61.6214,0.0218947
-61.611399999999996,0.017067699999999998
-61.601400000000005,0.013242999999999994
-61.5914,0.010236099999999998
-61.581399999999995,0.007879599999999997
-61.571400000000004,0.006044199999999997
-61.5614,0.004617039999999997
-61.551399999999994,0.003516270000000001
-61.5414,0.0026651099999999974
-61.5314,0.002014279999999999
-61.52140000000001,0.0015141299999999985
-61.5114,0.00113478
-61.5014,0.0008441670000000004
-61.491400000000006,0.0006252890000000008
-61.4814,0.00045979099999999987
-61.471399999999996,0.00033609799999999957
-61.461400000000005,0.00024399000000000022
-61.4514,0.00017587320000000002
-61.441399999999994,0.00012571320000000008
-61.431400000000004,8.903620000000002e-05
-61.4214,6.268860000000004e-05
-61.41140000000001,4.367010000000003e-05
-61.4014,3.015241999999994e-05
-61.3914,2.063194e-05
-61.381400000000006,1.3988190000000016e-05
-61.3714,9.373529999999995e-06
-61.361399999999996,6.228424000000001e-06
-61.351400000000005,4.1025410000000065e-06
-61.3414,2.672014999999999e-06
-61.331399999999995,1.7226919999999983e-06
-61.321400000000004,1.0986286000000018e-06
-61.3114,6.931329999999998e-07
-61.301399999999994,4.340071999999995e-07
-61.2914,2.683563000000002e-07
-61.2814,1.642823e-07
-61.27140000000001,9.954896000000003e-08
-61.2614,5.955482999999994e-08
-61.2514,3.531544e-08
-61.241400000000006,2.072316899999999e-08
-61.2314,1.2028592999999999e-08
-61.221399999999996,6.912851999999993e-09
-61.211400000000005,3.9173379e-09
-61.2014,2.201198000000003e-09
-61.191399999999994,1.2228587500000011e-09
-61.181400000000004,6.726922028301005e-10
-61.1714,3.657487210098341e-10
-61.16140000000001,1.968537252434007e-10
-61.1514,1.0493695717238873e-10
-61.1414,5.5223949223436905e-11
-61.131400000000006,2.88091986282241e-11
-61.1214,1.4846547593486072e-11
-61.111399999999996,7.578167296239015e-12
-61.101400000000005,3.821657785208089e-12
-61.0914,1.9077724525068862e-12
-61.081399999999995,9.422094043855989e-13
-61.071400000000004,4.600437532493152e-13
-61.0614,2.2235507533480805e-13
-61.051399999999994,1.0627774981551317e-13
-61.0414,0.0
-61.0314,0.0
-61.02140000000001,0.0
-61.0114,0.0
-61.0014,0.0
-60.991400000000006,0.0
-60.9814,0.0
-60.971399999999996,0.0
-60.961400000000005,0.0
-60.9514,0.0
-60.941399999999994,0.0
-60.931400000000004,0.0
-60.9214,0.0
-60.91140000000001,0.0
-60.9014,0.0
-60.8914,0.0
-60.881400000000006,0.0
-60.8714,0.0
-60.861399999999996,0.0
-60.851400000000005,0.0
-60.8414,0.0
-60.831399999999995,0.0
-60.821400000000004,0.0
-60.8114,0.0
-60.801399999999994,0.0
-60.7914,0.0
-60.7814,0.0
-60.77140000000001,0.0
-60.7614,0.0
-60.7514,0.0
-60.741400000000006,0.0
-60.7314,0.0
-60.721399999999996,0.0
-60.711400000000005,0.0
-60.7014,0.0
-60.691399999999994,0.0
-60.681400000000004,0.0
-60.6714,0.0
-60.66140000000001,0.0
-60.6514,0.0
-60.6414,0.0
-60.631400000000006,0.0
-60.6214,0.0
-60.611399999999996,0.0
-60.601400000000005,0.0
-60.5914,0.0
-60.581399999999995,0.0
-60.571400000000004,0.0
-60.5614,0.0
-60.551399999999994,0.0
-60.5414,0.0
-60.5314,0.0
-60.52140000000001,0.0
-60.5114,0.0
-60.5014,0.0
-60.491400000000006,0.0
-60.4814,0.0
-60.471399999999996,0.0
-60.461400000000005,0.0
-60.4514,0.0
-60.441399999999994,0.0
-60.431400000000004,0.0
-60.4214,0.0
-60.41140000000001,0.0
-60.4014,0.0
-60.3914,0.0
-60.381400000000006,0.0
-60.3714,0.0
-60.361399999999996,0.0
-60.351400000000005,0.0
-60.3414,0.0
-60.331399999999995,0.0
-60.321400000000004,0.0
-60.3114,0.0
-60.301399999999994,0.0
-60.2914,0.0
-60.2814,0.0
-60.27140000000001,0.0
-60.2614,0.0
-60.2514,0.0
-60.241400000000006,0.0
-60.2314,0.0
-60.221399999999996,0.0
-60.211400000000005,0.0
-60.2014,0.0
-60.191399999999994,0.0
-60.181400000000004,0.0
-60.1714,0.0
-60.16140000000001,0.0
-60.1514,0.0
-60.1414,0.0
-60.131400000000006,0.0
-60.1214,0.0
-60.111399999999996,0.0
-60.101400000000005,0.0
-60.0914,0.0
-60.081399999999995,0.0
-60.071400000000004,0.0
-60.0614,0.0
-60.051399999999994,0.0
-60.0414,0.0
-60.0314,0.0
-60.02140000000001,0.0
-60.0114,0.0
-60.0014,0.0
-59.991400000000006,0.0
-59.9814,0.0
-59.971399999999996,0.0
-59.961400000000005,0.0
-59.9514,0.0
-59.941399999999994,0.0
-59.931400000000004,0.0
-59.9214,0.0
-59.91140000000001,0.0
-59.9014,0.0
-59.8914,0.0
-59.881400000000006,0.0
-59.8714,0.0
-59.861399999999996,0.0
-59.851400000000005,0.0
-59.8414,0.0
-59.831399999999995,0.0
-59.821400000000004,0.0
-59.8114,0.0
-59.801399999999994,0.0
-59.7914,0.0
-59.7814,0.0
-59.77140000000001,0.0
-59.7614,0.0
-59.7514,0.0
-59.741400000000006,0.0
-59.7314,0.0
-59.721399999999996,0.0
-59.711400000000005,0.0
-59.7014,0.0
-59.691399999999994,0.0
-59.681400000000004,0.0
-59.6714,0.0
-59.66140000000001,0.0
