,Mo_4dzx
-62.149499999999996,5.103599999999999e-10
-62.139500000000005,8.067599999999998e-10
-62.1295,1.2619999999999998e-09
-62.119499999999995,1.9540999999999993e-09
-62.109500000000004,2.9929999999999987e-09
-62.0995,4.5368e-09
-62.089499999999994,6.802300000000002e-09
-62.0795,1.0087799999999993e-08
-62.0695,1.4818000000000004e-08
-62.05949999999999,2.1520000000000007e-08
-62.0495,3.092000000000001e-08
-62.0395,4.3956000000000026e-08
-62.029500000000006,6.186600000000002e-08
-62.0195,8.612700000000003e-08
-62.009499999999996,1.1859999999999998e-07
-61.999500000000005,1.6163999999999998e-07
-61.9895,2.1801e-07
-61.979499999999994,2.909599999999998e-07
-61.969500000000004,3.8423000000000015e-07
-61.9595,5.021799999999999e-07
-61.94949999999999,6.491100000000001e-07
-61.9395,8.298699999999998e-07
-61.9295,1.0512299999999998e-06
-61.919500000000006,1.3172999999999992e-06
-61.9095,1.6314999999999991e-06
-61.899499999999996,2.0007999999999995e-06
-61.889500000000005,2.4284000000000003e-06
-61.8795,2.915400000000001e-06
-61.869499999999995,3.4637999999999998e-06
-61.859500000000004,4.0746999999999984e-06
-61.8495,4.741599999999998e-06
-61.839499999999994,5.456699999999998e-06
-61.8295,6.213299999999998e-06
-61.8195,7.0089e-06
-61.80949999999999,7.821199999999999e-06
-61.7995,8.629900000000002e-06
-61.7895,9.430800000000001e-06
-61.779500000000006,1.0186499999999998e-05
-61.7695,1.0907100000000003e-05
-61.759499999999996,1.1540000000000006e-05
-61.749500000000005,1.2093e-05
-61.7395,1.2536000000000005e-05
-61.729499999999994,1.2868999999999997e-05
-61.719500000000004,1.3050000000000005e-05
-61.7095,1.3113000000000005e-05
-61.69949999999999,1.3036999999999994e-05
-61.6895,1.2830999999999993e-05
-61.6795,1.249699999999999e-05
-61.669500000000006,1.2034000000000005e-05
-61.6595,1.1487500000000001e-05
-61.649499999999996,1.083690000000001e-05
-61.639500000000005,1.0122499999999998e-05
-61.6295,9.350500000000001e-06
-61.619499999999995,8.556999999999996e-06
-61.609500000000004,7.734400000000002e-06
-61.5995,6.930500000000002e-06
-61.589499999999994,6.1423000000000005e-06
-61.5795,5.391899999999997e-06
-61.5695,4.682700000000002e-06
-61.55949999999999,4.024299999999999e-06
-61.5495,3.4223000000000003e-06
-61.5395,2.8797999999999995e-06
-61.529500000000006,2.397200000000001e-06
-61.5195,1.9761999999999994e-06
-61.509499999999996,1.6141999999999997e-06
-61.499500000000005,1.3029000000000007e-06
-61.4895,1.0399799999999997e-06
-61.479499999999994,8.229899999999999e-07
-61.469500000000004,6.4357e-07
-61.4595,4.9864e-07
-61.44949999999999,3.8211999999999977e-07
-61.4395,2.9009e-07
-61.4295,2.1772e-07
-61.419500000000006,1.6169999999999997e-07
-61.4095,1.1896499999999993e-07
-61.399499999999996,8.6598e-08
-61.389500000000005,6.2374e-08
-61.3795,4.445300000000002e-08
-61.369499999999995,3.1369e-08
-61.359500000000004,2.1899000000000013e-08
-61.3495,1.5135e-08
-61.339499999999994,1.0347499999999996e-08
-61.3295,7.0078e-09
-61.3195,4.691900000000001e-09
-61.30949999999999,3.111199999999998e-09
-61.2995,2.0406000000000006e-09
-61.2895,1.3248199999999994e-09
-61.279500000000006,8.511000000000004e-10
-61.2695,5.413499999999998e-10
-61.259499999999996,3.408e-10
-61.249500000000005,2.1226999999999998e-10
-61.2395,1.3075799999999998e-10
-61.229499999999994,7.983900000000001e-11
-61.219500000000004,4.816600000000001e-11
-61.2095,2.8766000000000012e-11
-61.19949999999999,1.7003e-11
-61.1895,9.955400000000003e-12
-61.1795,5.7620000000000015e-12
-61.169500000000006,3.2997999999999993e-12
-61.1595,1.8710299999999996e-12
-61.149499999999996,1.0497100000000004e-12
-61.139500000000005,5.832300000000001e-13
-61.1295,3.205699999999998e-13
-61.119499999999995,1.74305e-13
-61.109500000000004,9.383500000000001e-14
-61.0995,4.994700000000002e-14
-61.089499999999994,2.6330999999999993e-14
-61.0795,1.3733200000000008e-14
-61.0695,7.0794000000000014e-15
-61.05949999999999,3.6193e-15
-61.0495,1.82818e-15
-61.0395,9.133300000000002e-16
-61.029500000000006,4.432300000000002e-16
-61.0195,2.0154999999999997e-16
-61.009499999999996,9.505000000000001e-17
-60.999500000000005,4.1050000000000015e-17
-60.9895,1.4139385263699995e-17
-60.979499999999994,5.655222644499998e-18
-60.969500000000004,0.0
-60.9595,0.0
-60.94949999999999,0.0
-60.9395,0.0
-60.9295,0.0
-60.919500000000006,0.0
-60.9095,0.0
-60.899499999999996,0.0
-60.889500000000005,0.0
-60.8795,0.0
-60.869499999999995,0.0
-60.859500000000004,0.0
-60.8495,0.0
-60.839499999999994,0.0
-60.8295,0.0
-60.8195,0.0
-60.80949999999999,0.0
-60.7995,0.0
