,Mo_4dzy
-62.149499999999996,5.1049e-10
-62.139500000000005,8.071499999999994e-10
-62.1295,1.2620000000000002e-09
-62.119499999999995,1.9540000000000013e-09
-62.109500000000004,2.994099999999999e-09
-62.0995,4.5377e-09
-62.089499999999994,6.8007e-09
-62.0795,1.0088799999999998e-08
-62.0695,1.4820000000000001e-08
-62.05949999999999,2.152000000000001e-08
-62.0495,3.092100000000001e-08
-62.0395,4.3968e-08
-62.029500000000006,6.1849e-08
-62.0195,8.612100000000003e-08
-62.009499999999996,1.1857999999999998e-07
-61.999500000000005,1.6166e-07
-61.9895,2.1801000000000008e-07
-61.979499999999994,2.9092999999999997e-07
-61.969500000000004,3.842500000000001e-07
-61.9595,5.0181e-07
-61.94949999999999,6.4898e-07
-61.9395,8.300699999999996e-07
-61.9295,1.0511299999999998e-06
-61.919500000000006,1.3173999999999994e-06
-61.9095,1.6318999999999998e-06
-61.899499999999996,2.0005999999999995e-06
-61.889500000000005,2.4282000000000003e-06
-61.8795,2.9149999999999988e-06
-61.869499999999995,3.465099999999999e-06
-61.859500000000004,4.073499999999998e-06
-61.8495,4.7412000000000004e-06
-61.839499999999994,5.455800000000001e-06
-61.8295,6.215699999999997e-06
-61.8195,7.01e-06
-61.80949999999999,7.8203e-06
-61.7995,8.629400000000004e-06
-61.7895,9.430099999999995e-06
-61.779500000000006,1.0188499999999997e-05
-61.7695,1.0911100000000003e-05
-61.759499999999996,1.1537000000000007e-05
-61.749500000000005,1.2090999999999998e-05
-61.7395,1.2537000000000002e-05
-61.729499999999994,1.2869e-05
-61.719500000000004,1.3049000000000003e-05
-61.7095,1.3110000000000007e-05
-61.69949999999999,1.3040999999999993e-05
-61.6895,1.2823e-05
-61.6795,1.2497999999999998e-05
-61.669500000000006,1.2032999999999998e-05
-61.6595,1.14844e-05
-61.649499999999996,1.0831700000000003e-05
-61.639500000000005,1.0119900000000003e-05
-61.6295,9.351800000000004e-06
-61.619499999999995,8.553899999999996e-06
-61.609500000000004,7.7323e-06
-61.5995,6.929700000000002e-06
-61.589499999999994,6.1462e-06
-61.5795,5.3916999999999996e-06
-61.5695,4.6811999999999985e-06
-61.55949999999999,4.0213e-06
-61.5495,3.4213000000000014e-06
-61.5395,2.8773999999999993e-06
-61.529500000000006,2.3969000000000003e-06
-61.5195,1.9765999999999994e-06
-61.509499999999996,1.6132999999999988e-06
-61.499500000000005,1.3022e-06
-61.4895,1.0399300000000002e-06
-61.479499999999994,8.227999999999999e-07
-61.469500000000004,6.438399999999998e-07
-61.4595,4.985100000000001e-07
-61.44949999999999,3.821699999999999e-07
-61.4395,2.8996e-07
-61.4295,2.1764e-07
-61.419500000000006,1.6170000000000003e-07
-61.4095,1.18955e-07
-61.399499999999996,8.654900000000006e-08
-61.389500000000005,6.233599999999998e-08
-61.3795,4.443900000000001e-08
-61.369499999999995,3.136200000000001e-08
-61.359500000000004,2.1893000000000016e-08
-61.3495,1.5125999999999996e-08
-61.339499999999994,1.03456e-08
-61.3295,7.004499999999999e-09
-61.3195,4.6896e-09
-61.30949999999999,3.1081999999999984e-09
-61.2995,2.040200000000001e-09
-61.2895,1.3233199999999995e-09
