,S_2px
-62.149499999999996,6.8157e-05
-62.139500000000005,0.00010934999999999995
-62.1295,0.00017357999999999978
-62.119499999999995,0.0002725410000000002
-62.109500000000004,0.0004237400000000003
-62.0995,0.0006517500000000005
-62.089499999999994,0.0009917399999999999
-62.0795,0.00149385
-62.0695,0.0022230899999999987
-62.05949999999999,0.00328
-62.0495,0.004783000000000001
-62.0395,0.0069026000000000035
-62.029500000000006,0.009858600000000002
-62.0195,0.013913400000000003
-62.009499999999996,0.019451499999999997
-61.999500000000005,0.02695299999999996
-61.9895,0.03685600000000002
-61.979499999999994,0.04993600000000004
-61.969500000000004,0.06692000000000001
-61.9595,0.08874499999999992
-61.94949999999999,0.11642799999999992
-61.9395,0.15089699999999995
-61.9295,0.1939539999999999
-61.919500000000006,0.24661999999999992
-61.9095,0.31004999999999966
-61.899499999999996,0.3860199999999996
-61.889500000000005,0.4751300000000002
-61.8795,0.5789299999999998
-61.869499999999995,0.6977000000000001
-61.859500000000004,0.83196
-61.8495,0.9817099999999993
-61.839499999999994,1.14596
-61.8295,1.3235499999999984
-61.8195,1.5130800000000018
-61.80949999999999,1.7121800000000016
-61.7995,1.9169999999999956
-61.7895,2.121299999999998
-61.779500000000006,2.3237000000000005
-61.7695,2.5156000000000005
-61.759499999999996,2.698100000000003
-61.749500000000005,2.8627999999999982
-61.7395,3.0037000000000034
-61.729499999999994,3.122200000000002
-61.719500000000004,3.2105999999999963
-61.7095,3.2623999999999977
-61.69949999999999,3.2861999999999973
-61.6895,3.2678999999999965
-61.6795,3.219199999999999
-61.669500000000006,3.1405999999999965
-61.6595,3.0272999999999963
-61.649499999999996,2.887900000000002
-61.639500000000005,2.7249000000000034
-61.6295,2.5434000000000005
-61.619499999999995,2.351999999999999
-61.609500000000004,2.149499999999998
-61.5995,1.9452999999999996
-61.589499999999994,1.741800000000002
-61.5795,1.5410500000000005
-61.5695,1.3503099999999981
-61.55949999999999,1.1709800000000001
-61.5495,1.00439
-61.5395,0.8522000000000003
-61.529500000000006,0.7153799999999995
-61.5195,0.5945
-61.509499999999996,0.4886600000000006
-61.499500000000005,0.3973099999999999
-61.4895,0.3196999999999999
-61.479499999999994,0.25443999999999994
-61.469500000000004,0.20032999999999973
-61.4595,0.15616099999999983
-61.44949999999999,0.12045299999999994
-61.4395,0.09189499999999995
-61.4295,0.06934800000000002
-61.419500000000006,0.05178300000000003
-61.4095,0.038257000000000034
-61.399499999999996,0.027986999999999998
-61.389500000000005,0.020213900000000007
-61.3795,0.01445649999999999
-61.369499999999995,0.010251400000000004
-61.359500000000004,0.007181699999999999
-61.3495,0.004977300000000002
-61.339499999999994,0.0034143999999999976
-61.3295,0.002316140000000001
-61.3195,0.0015535999999999987
-61.30949999999999,0.0010326200000000004
-61.2995,0.0006783700000000001
-61.2895,0.0004409799999999997
-61.279500000000006,0.00028377999999999997
-61.2695,0.00018057300000000003
-61.259499999999996,0.00011371000000000001
-61.249500000000005,7.085500000000001e-05
-61.2395,4.365500000000001e-05
-61.229499999999994,2.6624200000000022e-05
-61.219500000000004,1.6054900000000008e-05
-61.2095,9.5924e-06
-61.19949999999999,5.6633000000000005e-06
-61.1895,3.3107799999999975e-06
-61.1795,1.9141299999999987e-06
-61.169500000000006,1.09478e-06
-61.1595,6.195500000000007e-07
-61.149499999999996,3.4694599999999996e-07
-61.139500000000005,1.9222399999999994e-07
-61.1295,1.0535399999999989e-07
-61.119499999999995,5.7166000000000024e-08
-61.109500000000004,3.065769999999998e-08
-61.0995,1.6288300000000006e-08
-61.089499999999994,8.551300000000003e-09
-61.0795,4.442799999999998e-09
-61.0695,2.2853099999999994e-09
-61.05949999999999,1.1620500000000001e-09
-61.0495,5.8497e-10
-61.0395,2.9123900000000017e-10
-61.029500000000006,1.4311199999999995e-10
-61.0195,6.848999999999999e-11
-61.009499999999996,3.24922e-11
-60.999500000000005,1.2792730000000001e-11
-60.9895,1.9328535802128492e-12
-60.979499999999994,7.74892769668821e-13
-60.969500000000004,0.0
-60.9595,0.0
-60.94949999999999,0.0
-60.9395,0.0
-60.9295,0.0
-60.919500000000006,0.0
-60.9095,0.0
-60.899499999999996,0.0
-60.889500000000005,0.0
-60.8795,0.0
-60.869499999999995,0.0
-60.859500000000004,0.0
-60.8495,0.0
-60.839499999999994,0.0
-60.8295,0.0
-60.8195,0.0
-60.80949999999999,0.0
-60.7995,0.0
-60.7895,0.0
-60.779500000000006,0.0
-60.7695,0.0
-60.759499999999996,0.0
-60.749500000000005,0.0
-60.7395,0.0
-60.729499999999994,0.0
-60.719500000000004,0.0
-60.7095,0.0
-60.69949999999999,0.0
-60.6895,0.0
-60.6795,0.0
-60.669500000000006,0.0
-60.6595,0.0
-60.649499999999996,0.0
-60.639500000000005,0.0
-60.6295,0.0
-60.619499999999995,0.0
-60.609500000000004,0.0
-60.5995,0.0
-60.589499999999994,0.0
-60.5795,0.0
-60.5695,0.0
-60.55949999999999,0.0
-60.5495,0.0
-60.5395,0.0
-60.529500000000006,0.0
-60.5195,0.0
-60.509499999999996,0.0
-60.499500000000005,0.0
-60.4895,0.0
-60.479499999999994,0.0
-60.469500000000004,0.0
-60.4595,0.0
-60.44949999999999,0.0
-60.4395,0.0
-60.4295,0.0
-60.419500000000006,0.0
-60.4095,0.0
-60.399499999999996,0.0
-60.389500000000005,0.0
-60.3795,0.0
-60.369499999999995,0.0
-60.359500000000004,0.0
-60.3495,0.0
-60.339499999999994,0.0
-60.3295,0.0
-60.3195,0.0
-60.30949999999999,0.0
-60.2995,0.0
-60.2895,0.0
-60.279500000000006,0.0
-60.2695,0.0
-60.259499999999996,0.0
-60.249500000000005,0.0
-60.2395,0.0
-60.229499999999994,0.0
-60.219500000000004,0.0
-60.2095,0.0
-60.19949999999999,0.0
-60.1895,0.0
-60.1795,0.0
-60.169500000000006,0.0
-60.1595,0.0
-60.149499999999996,0.0
-60.139500000000005,0.0
-60.1295,0.0
-60.119499999999995,0.0
-60.109500000000004,0.0
-60.0995,0.0
-60.089499999999994,0.0
-60.0795,0.0
-60.0695,0.0
-60.05949999999999,0.0
-60.0495,0.0
-60.0395,0.0
-60.029500000000006,0.0
-60.0195,0.0
-60.009499999999996,0.0
-59.999500000000005,0.0
-59.9895,0.0
-59.979499999999994,0.0
-59.969500000000004,0.0
-59.9595,0.0
-59.94949999999999,0.0
-59.9395,0.0
-59.9295,0.0
-59.919500000000006,0.0
-59.9095,0.0
