,H_1s
-62.2698,3.05e-08
-62.259800000000006,4.83e-08
-62.2498,7.55e-08
-62.239799999999995,1.17e-07
-62.229800000000004,1.79e-07
-62.2198,2.71e-07
-62.209799999999994,4.07e-07
-62.1998,6.04e-07
-62.1898,8.87e-07
-62.17979999999999,1.29e-06
-62.1698,1.86e-06
-62.1598,2.64e-06
-62.149800000000006,3.72e-06
-62.1398,5.19e-06
-62.129799999999996,7.17e-06
-62.119800000000005,9.8e-06
-62.1098,1.33e-05
-62.099799999999995,1.78e-05
-62.089800000000004,2.36e-05
-62.0798,3.09e-05
-62.069799999999994,4.02e-05
-62.0598,5.18e-05
-62.0498,6.6e-05
-62.03979999999999,8.34e-05
-62.0298,0.000104
-62.0198,0.000129
-62.009800000000006,0.000159
-61.9998,0.000194
-61.989799999999995,0.000234
-61.979800000000004,0.00028
-61.9698,0.000332
-61.959799999999994,0.00039
-61.9498,0.000456
-61.9398,0.000527
-61.92979999999999,0.000606
-61.9198,0.000691
-61.9098,0.000781
-61.899800000000006,0.000877
-61.8898,0.000978
-61.879799999999996,0.00108
-61.869800000000005,0.00119
-61.8598,0.0013
-61.849799999999995,0.00141
-61.839800000000004,0.00152
-61.8298,0.00162
-61.819799999999994,0.00172
-61.8098,0.00181
-61.7998,0.0019
-61.78979999999999,0.00197
-61.7798,0.00203
-61.7698,0.00207
-61.759800000000006,0.0021
-61.7498,0.00212
-61.739799999999995,0.00211
-61.729800000000004,0.00209
-61.7198,0.00205
-61.709799999999994,0.002
-61.6998,0.00192
-61.6898,0.00184
-61.67979999999999,0.00174
-61.6698,0.00163
-61.6598,0.00152
-61.649800000000006,0.0014
-61.6398,0.00127
-61.629799999999996,0.00115
-61.619800000000005,0.00102
-61.6098,0.000906
-61.599799999999995,0.000794
-61.589800000000004,0.000688
-61.5798,0.00059
-61.569799999999994,0.000501
-61.5598,0.000421
-61.5498,0.00035
-61.53979999999999,0.000288
-61.5298,0.000235
-61.5198,0.000189
-61.509800000000006,0.000151
-61.4998,0.000119
-61.489799999999995,9.28e-05
-61.479800000000004,7.17e-05
-61.4698,5.48e-05
-61.459799999999994,4.14e-05
-61.4498,3.1e-05
-61.4398,2.29e-05
-61.42979999999999,1.68e-05
-61.4198,1.22e-05
-61.4098,8.72e-06
-61.399800000000006,6.19e-06
-61.3898,4.34e-06
-61.379799999999996,3.01e-06
-61.369800000000005,2.07e-06
-61.3598,1.4e-06
-61.349799999999995,9.44e-07
-61.339800000000004,6.27e-07
-61.3298,4.13e-07
-61.319799999999994,2.68e-07
-61.3098,1.73e-07
-61.2998,1.1e-07
-61.28979999999999,6.93e-08
-61.2798,4.32e-08
-61.2698,2.66e-08
-61.259800000000006,1.62e-08
-61.2498,9.79e-09
-61.239799999999995,5.84e-09
-61.229800000000004,3.45e-09
-61.2198,2.01e-09
-61.209799999999994,1.16e-09
-61.1998,6.65e-10
-61.1898,3.76e-10
-61.17979999999999,2.1e-10
-61.1698,1.16e-10
-61.1598,6.37e-11
-61.149800000000006,3.45e-11
-61.1398,1.85e-11
-61.129799999999996,9.8e-12
-61.119800000000005,5.14e-12
-61.1098,2.66e-12
-61.099799999999995,1.37e-12
-61.089800000000004,6.94e-13
-61.0798,3.48e-13
-61.069799999999994,1.73e-13
-61.0598,8.5e-14
-61.0498,4.13e-14
-61.03979999999999,1.99e-14
-61.0298,9.45e-15
-61.0198,0.0
-61.009800000000006,0.0
-60.9998,0.0
-60.989799999999995,0.0
-60.979800000000004,0.0
-60.9698,0.0
-60.959799999999994,0.0
-60.9498,0.0
-60.9398,0.0
-60.92979999999999,0.0
-60.9198,0.0
-60.9098,0.0
-60.899800000000006,0.0
-60.8898,0.0
-60.879799999999996,0.0
-60.869800000000005,0.0
-60.8598,0.0
-60.849799999999995,0.0
-60.839800000000004,0.0
-60.8298,0.0
-60.819799999999994,0.0
-60.8098,0.0
-60.7998,0.0
-60.78979999999999,0.0
-60.7798,0.0
-60.7698,0.0
-60.759800000000006,0.0
-60.7498,0.0
-60.739799999999995,0.0
-60.729800000000004,0.0
-60.7198,0.0
-60.709799999999994,0.0
-60.6998,0.0
-60.6898,0.0
-60.67979999999999,0.0
-60.6698,0.0
-60.6598,0.0
-60.649800000000006,0.0
-60.6398,0.0
-60.629799999999996,0.0
-60.619800000000005,0.0
-60.6098,0.0
-60.599799999999995,0.0
-60.589800000000004,0.0
-60.5798,0.0
-60.569799999999994,0.0
-60.5598,0.0
-60.5498,0.0
-60.53979999999999,0.0
-60.5298,0.0
-60.5198,0.0
-60.509800000000006,0.0
-60.4998,0.0
-60.489799999999995,0.0
-60.479800000000004,0.0
-60.4698,0.0
-60.459799999999994,0.0
-60.4498,0.0
-60.4398,0.0
-60.42979999999999,0.0
-60.4198,0.0
-60.4098,0.0
-60.399800000000006,0.0
-60.3898,0.0
-60.379799999999996,0.0
-60.369800000000005,0.0
-60.3598,0.0
-60.349799999999995,0.0
-60.339800000000004,0.0
-60.3298,0.0
-60.319799999999994,0.0
-60.3098,0.0
-60.2998,0.0
-60.28979999999999,0.0
-60.2798,0.0
-60.2698,0.0
-60.259800000000006,0.0
-60.2498,0.0
-60.239799999999995,0.0
-60.229800000000004,0.0
-60.2198,0.0
-60.209799999999994,0.0
-60.1998,0.0
-60.1898,0.0
-60.17979999999999,0.0
-60.1698,0.0
-60.1598,0.0
-60.149800000000006,0.0
-60.1398,0.0
-60.129799999999996,0.0
-60.119800000000005,0.0
-60.1098,0.0
-60.099799999999995,0.0
-60.089800000000004,0.0
-60.0798,0.0
-60.069799999999994,0.0
-60.0598,0.0
-60.0498,0.0
-60.03979999999999,0.0
-60.0298,0.0
-60.0198,0.0
-60.009800000000006,0.0
-59.9998,0.0
-59.989799999999995,0.0
-59.979800000000004,0.0
-59.9698,0.0
-59.959799999999994,0.0
-59.9498,0.0
-59.9398,0.0
-59.92979999999999,0.0
-59.9198,0.0
-59.9098,0.0
-59.899800000000006,0.0
-59.8898,0.0
-59.879799999999996,0.0
-59.869800000000005,0.0
-59.8598,0.0
-59.849799999999995,0.0
-59.839800000000004,0.0
-59.8298,0.0
-59.819799999999994,0.0
-59.8098,0.0
-59.7998,0.0
-59.78979999999999,0.0
-59.7798,0.0
-59.7698,0.0
-59.759800000000006,0.0
-59.7498,0.0
-59.739799999999995,0.0
-59.729800000000004,0.0
-59.7198,0.0
-59.709799999999994,0.0
-59.6998,0.0
-59.6898,0.0
-59.67979999999999,0.0
-59.6698,0.0
-59.6598,0.0
-59.649800000000006,0.0
-59.6398,0.0
-59.629799999999996,0.0
-59.619800000000005,0.0
-59.6098,0.0
-59.599799999999995,0.0
-59.589800000000004,0.0
-59.5798,0.0
-59.569799999999994,0.0
-59.5598,0.0
-59.5498,0.0
-59.53979999999999,0.0
-59.5298,0.0
-59.5198,0.0
-59.509800000000006,0.0
-59.4998,0.0
-59.489799999999995,0.0
-59.479800000000004,0.0
-59.4698,0.0
-59.459799999999994,0.0
-59.4498,0.0
-59.4398,0.0
-59.42979999999999,0.0
-59.4198,0.0
-59.4098,0.0
-59.399800000000006,0.0
-59.3898,0.0
-59.379799999999996,0.0
-59.369800000000005,0.0
-59.3598,0.0
-59.349799999999995,0.0
-59.339800000000004,0.0
-59.3298,0.0
-59.319799999999994,0.0
-59.3098,0.0
-59.2998,0.0
-59.28979999999999,0.0
-59.2798,0.0
-59.2698,0.0
-59.259800000000006,0.0
-59.2498,0.0
-59.239799999999995,0.0
-59.229800000000004,0.0
-59.2198,0.0
-59.209799999999994,0.0
-59.1998,0.0
-59.1898,0.0
-59.17979999999999,0.0
-59.1698,0.0
-59.1598,0.0
-59.149800000000006,0.0
-59.1398,0.0
-59.129799999999996,0.0
-59.119800000000005,0.0
-59.1098,0.0
-59.0998,0.0
-59.0898,0.0
-59.0798,0.0
-59.0698,0.0
-59.0598,0.0
-59.0498,0.0
-59.0398,0.0
-59.0298,0.0
-59.0198,0.0
-59.0098,0.0
-58.9998,0.0
-58.9898,0.0
-58.9798,0.0
-58.9698,0.0
-58.9598,0.0
-58.949799999999996,0.0
-58.9398,0.0
-58.9298,0.0
-58.9198,0.0
-58.9098,0.0
-58.8998,0.0
-58.8898,0.0
-58.8798,0.0
-58.8698,0.0
-58.8598,0.0
-58.8498,0.0
-58.8398,0.0
-58.8298,0.0
-58.8198,0.0
-58.8098,0.0
-58.7998,0.0
-58.7898,0.0
-58.7798,0.0
-58.7698,0.0
-58.7598,0.0
-58.7498,0.0
-58.7398,0.0
-58.7298,0.0
-58.7198,0.0
-58.7098,0.0
-58.699799999999996,0.0
-58.6898,0.0
-58.6798,0.0
-58.6698,0.0
-58.6598,0.0
-58.6498,0.0
-58.6398,0.0
-58.6298,0.0
-58.6198,0.0
-58.6098,0.0
-58.5998,0.0
-58.5898,0.0
-58.5798,0.0
-58.5698,0.0
-58.5598,0.0
-58.5498,0.0
-58.5398,0.0
-58.5298,0.0
-58.5198,0.0
-58.5098,0.0
-58.4998,0.0
-58.4898,0.0
-58.4798,0.0
-58.4698,0.0
-58.4598,0.0
-58.449799999999996,0.0
-58.4398,0.0
-58.4298,0.0
-58.4198,0.0
-58.4098,0.0
-58.3998,0.0
-58.3898,0.0
-58.3798,0.0
-58.3698,0.0
-58.3598,0.0
-58.3498,0.0
-58.3398,0.0
-58.3298,0.0
-58.3198,0.0
-58.3098,0.0
-58.2998,0.0
-58.2898,0.0
-58.2798,0.0
-58.2698,0.0
-58.2598,0.0
-58.2498,0.0
-58.2398,0.0
-58.2298,0.0
-58.2198,0.0
-58.2098,0.0
-58.199799999999996,0.0
-58.1898,0.0
-58.1798,0.0
-58.1698,0.0
-58.1598,0.0
-58.1498,0.0
-58.1398,0.0
-58.1298,0.0
-58.1198,0.0
-58.1098,0.0
-58.0998,0.0
-58.0898,0.0
-58.0798,0.0
-58.0698,0.0
-58.0598,0.0
-58.0498,0.0
-58.0398,0.0
-58.0298,0.0
-58.0198,0.0
-58.0098,0.0
-57.9998,0.0
-57.9898,0.0
-57.9798,0.0
-57.9698,0.0
-57.9598,0.0
-57.949799999999996,0.0
-57.9398,0.0
-57.9298,0.0
-57.9198,0.0
-57.9098,0.0
-57.8998,0.0
-57.8898,0.0
-57.8798,0.0
-57.8698,0.0
-57.8598,0.0
-57.8498,0.0
-57.8398,0.0
-57.8298,0.0
-57.8198,0.0
-57.8098,0.0
-57.7998,0.0
-57.7898,0.0
-57.7798,0.0
-57.7698,0.0
-57.7598,0.0
-57.7498,0.0
-57.7398,0.0
-57.7298,0.0
-57.7198,0.0
-57.7098,0.0
-57.699799999999996,0.0
-57.6898,0.0
-57.6798,0.0
-57.6698,0.0
-57.6598,0.0
-57.6498,0.0
-57.6398,0.0
-57.6298,0.0
-57.6198,0.0
-57.6098,0.0
-57.5998,0.0
-57.5898,0.0
-57.5798,0.0
-57.5698,0.0
-57.5598,0.0
-57.5498,0.0
-57.5398,0.0
-57.5298,0.0
-57.5198,0.0
-57.5098,0.0
-57.4998,0.0
-57.4898,0.0
-57.4798,0.0
-57.4698,0.0
-57.4598,0.0
-57.449799999999996,0.0
-57.4398,0.0
-57.4298,0.0
-57.4198,0.0
-57.4098,0.0
-57.3998,0.0
-57.3898,0.0
-57.3798,0.0
-57.3698,0.0
-57.3598,0.0
-57.3498,0.0
-57.3398,0.0
-57.3298,0.0
-57.3198,0.0
-57.3098,0.0
-57.2998,0.0
-57.2898,0.0
-57.2798,0.0
-57.2698,0.0
-57.2598,0.0
-57.2498,0.0
-57.2398,0.0
-57.2298,0.0
-57.2198,0.0
-57.2098,0.0
-57.199799999999996,0.0
-57.1898,0.0
-57.1798,0.0
-57.1698,0.0
-57.1598,0.0
-57.1498,0.0
-57.1398,0.0
-57.1298,0.0
-57.1198,0.0
-57.1098,0.0
-57.0998,0.0
-57.0898,0.0
-57.0798,0.0
-57.0698,0.0
-57.0598,0.0
-57.0498,0.0
-57.0398,0.0
-57.0298,0.0
-57.0198,0.0
-57.0098,0.0
