,Mo_1s
-62.2698,0.011446580000000005
-62.259800000000006,0.018274980000000003
-62.2498,0.028902299999999985
-62.239799999999995,0.0452246
-62.229800000000004,0.07002350000000002
-62.2198,0.10721529999999993
-62.209799999999994,0.16267529999999994
-62.1998,0.24405100000000005
-62.1898,0.36244900000000013
-62.17979999999999,0.5325700000000001
-62.1698,0.7744500000000003
-62.1598,1.1128700000000002
-62.149800000000006,1.5855899999999998
-62.1398,2.2339500000000005
-62.129799999999996,3.113219999999999
-62.119800000000005,4.2937699999999985
-62.1098,5.86252
-62.099799999999995,7.919319999999999
-62.089800000000004,10.589969999999997
-62.0798,13.996600000000006
-62.069799999999994,18.320700000000006
-62.0598,23.7406
-62.0498,30.421899999999997
-62.03979999999999,38.584399999999995
-62.0298,48.44009999999999
-62.0198,60.159
-62.009800000000006,73.82400000000004
-61.9998,89.901
-61.989799999999995,108.07799999999997
-61.979800000000004,128.80800000000005
-61.9698,151.71299999999997
-61.959799999999994,177.06699999999998
-61.9498,204.0910000000001
-61.9398,233.06899999999987
-61.92979999999999,263.3849999999999
-61.9198,294.57999999999987
-61.9098,325.84999999999997
-61.899800000000006,356.7300000000001
-61.8898,386.5100000000001
-61.879799999999996,414.2900000000002
-61.869800000000005,439.54999999999984
-61.8598,461.5199999999998
-61.849799999999995,479.39
-61.839800000000004,492.8200000000003
-61.8298,501.31000000000006
-61.819799999999994,504.8499999999997
-61.8098,502.78000000000026
-61.7998,495.69999999999976
-61.78979999999999,483.6400000000001
-61.7798,467.05999999999995
-61.7698,446.15999999999974
-61.759800000000006,421.8899999999999
-61.7498,394.89000000000016
-61.739799999999995,365.6299999999998
-61.729800000000004,335.2
-61.7198,304.06
-61.709799999999994,272.9800000000001
-61.6998,242.50000000000006
-61.6898,213.35000000000005
-61.67979999999999,185.74999999999994
-61.6698,160.07999999999998
-61.6598,136.54000000000002
-61.649800000000006,115.31000000000002
-61.6398,96.38000000000001
-61.629799999999996,79.71800000000003
-61.619800000000005,65.24
-61.6098,52.986000000000004
-61.599799999999995,42.54999999999999
-61.589800000000004,33.839
-61.5798,26.642999999999997
-61.569799999999994,20.778
-61.5598,16.05
-61.5498,12.274999999999999
-61.53979999999999,9.2932
-61.5298,6.9826
-61.5198,5.188799999999999
-61.509800000000006,3.821799999999999
-61.4998,2.7896
-61.489799999999995,2.0176
-61.479800000000004,1.4461499999999996
-61.4698,1.0259499999999997
-61.459799999999994,0.7225299999999998
-61.4498,0.50487
-61.4398,0.3493
-61.42979999999999,0.23928000000000002
-61.4198,0.16262599999999997
-61.4098,0.10950600000000003
-61.399800000000006,0.073214
-61.3898,0.04850999999999999
-61.379799999999996,0.03189
-61.369800000000005,0.0207825
-61.3598,0.013432899999999998
-61.349799999999995,0.0086013
-61.339800000000004,0.005465499999999998
-61.3298,0.0034450300000000004
-61.319799999999994,0.00214933
-61.3098,0.0013313700000000003
-61.2998,0.0008180399999999998
-61.28979999999999,0.0004983380000000001
-61.2798,0.00030072300000000003
-61.2698,0.000179637
-61.259800000000006,0.00010657299999999998
-61.2498,6.261879999999999e-05
-61.239799999999995,3.65429e-05
-61.229800000000004,2.10868e-05
-61.2198,1.20437e-05
-61.209799999999994,6.82321e-06
-61.1998,3.82875e-06
-61.1898,2.1275400000000002e-06
-61.17979999999999,1.1734539999999996e-06
-61.1698,6.396450000000001e-07
-61.1598,3.454660000000001e-07
-61.149800000000006,1.85028e-07
-61.1398,9.786310000000001e-08
-61.129799999999996,5.0971000000000014e-08
-61.119800000000005,2.6039423000000008e-08
-61.1098,1.2896843700000001e-08
-61.099799999999995,6.418233012054671e-09
-61.089800000000004,3.2546813568284543e-09
-61.0798,1.632421168516738e-09
-61.069799999999994,8.131199941588567e-10
-61.0598,3.994733669579126e-10
-61.0498,1.9366114438224375e-10
-61.03979999999999,9.338120162761323e-11
-61.0298,4.441037777370154e-11
-61.0198,0.0
-61.009800000000006,0.0
-60.9998,0.0
-60.989799999999995,0.0
-60.979800000000004,0.0
-60.9698,0.0
-60.959799999999994,0.0
-60.9498,0.0
-60.9398,0.0
-60.92979999999999,0.0
-60.9198,0.0
-60.9098,0.0
-60.899800000000006,0.0
-60.8898,0.0
-60.879799999999996,0.0
-60.869800000000005,0.0
-60.8598,0.0
-60.849799999999995,0.0
-60.839800000000004,0.0
-60.8298,0.0
-60.819799999999994,0.0
-60.8098,0.0
-60.7998,0.0
-60.78979999999999,0.0
-60.7798,0.0
-60.7698,0.0
-60.759800000000006,0.0
-60.7498,0.0
-60.739799999999995,0.0
-60.729800000000004,0.0
-60.7198,0.0
-60.709799999999994,0.0
-60.6998,0.0
-60.6898,0.0
-60.67979999999999,0.0
-60.6698,0.0
-60.6598,0.0
-60.649800000000006,0.0
-60.6398,0.0
-60.629799999999996,0.0
-60.619800000000005,0.0
-60.6098,0.0
-60.599799999999995,0.0
-60.589800000000004,0.0
-60.5798,0.0
-60.569799999999994,0.0
-60.5598,0.0
-60.5498,0.0
-60.53979999999999,0.0
-60.5298,0.0
-60.5198,0.0
-60.509800000000006,0.0
-60.4998,0.0
-60.489799999999995,0.0
-60.479800000000004,0.0
-60.4698,0.0
-60.459799999999994,0.0
-60.4498,0.0
-60.4398,0.0
-60.42979999999999,0.0
-60.4198,0.0
-60.4098,0.0
-60.399800000000006,0.0
-60.3898,0.0
-60.379799999999996,0.0
-60.369800000000005,0.0
-60.3598,0.0
-60.349799999999995,0.0
-60.339800000000004,0.0
-60.3298,0.0
-60.319799999999994,0.0
-60.3098,0.0
-60.2998,0.0
-60.28979999999999,0.0
-60.2798,0.0
-60.2698,0.0
-60.259800000000006,0.0
-60.2498,0.0
-60.239799999999995,0.0
-60.229800000000004,0.0
-60.2198,0.0
-60.209799999999994,0.0
-60.1998,0.0
-60.1898,0.0
-60.17979999999999,0.0
-60.1698,0.0
-60.1598,0.0
-60.149800000000006,0.0
-60.1398,0.0
-60.129799999999996,0.0
-60.119800000000005,0.0
-60.1098,0.0
-60.099799999999995,0.0
-60.089800000000004,0.0
-60.0798,0.0
-60.069799999999994,0.0
-60.0598,0.0
-60.0498,0.0
-60.03979999999999,0.0
-60.0298,0.0
-60.0198,0.0
-60.009800000000006,0.0
-59.9998,0.0
-59.989799999999995,0.0
-59.979800000000004,0.0
-59.9698,0.0
-59.959799999999994,0.0
