,Mo_3py
-62.2698,1.3523000000000006e-08
-62.259800000000006,2.1403000000000003e-08
-62.2498,3.352099999999999e-08
-62.239799999999995,5.195699999999997e-08
-62.229800000000004,7.966999999999997e-08
-62.2198,1.2088999999999994e-07
-62.209799999999994,1.8162000000000006e-07
-62.1998,2.6983e-07
-62.1898,3.9654e-07
-62.17979999999999,5.768299999999999e-07
-62.1698,8.304000000000002e-07
-62.1598,1.1816999999999996e-06
-62.149800000000006,1.6661000000000004e-06
-62.1398,2.321299999999999e-06
-62.129799999999996,3.203500000000001e-06
-62.119800000000005,4.371399999999998e-06
-62.1098,5.904900000000002e-06
-62.099799999999995,7.881999999999995e-06
-62.089800000000004,1.0423000000000005e-05
-62.0798,1.3654999999999997e-05
-62.069799999999994,1.7674999999999993e-05
-62.0598,2.263199999999999e-05
-62.0498,2.8682999999999996e-05
-62.03979999999999,3.598100000000002e-05
-62.0298,4.466200000000002e-05
-62.0198,5.4851999999999996e-05
-62.009800000000006,6.6636e-05
-61.9998,8.013999999999997e-05
-61.989799999999995,9.533999999999999e-05
-61.979800000000004,0.00011220000000000007
-61.9698,0.00013065
-61.959799999999994,0.00015069000000000004
-61.9498,0.00017178999999999998
-61.9398,0.00019399000000000003
-61.92979999999999,0.00021660999999999997
-61.9198,0.00023943999999999994
-61.9098,0.0002618300000000001
-61.899800000000006,0.00028328
-61.8898,0.00030348999999999996
-61.879799999999996,0.0003215800000000001
-61.869800000000005,0.0003371999999999999
-61.8598,0.00034978999999999994
-61.849799999999995,0.00035918000000000007
-61.839800000000004,0.00036505999999999995
-61.8298,0.00036706999999999983
-61.819799999999994,0.00036543
-61.8098,0.00035972999999999973
-61.7998,0.00035061000000000006
-61.78979999999999,0.0003381199999999998
-61.7798,0.00032294000000000013
-61.7698,0.00030496999999999984
-61.759800000000006,0.0002851199999999999
-61.7498,0.00026388999999999997
-61.739799999999995,0.00024163000000000008
-61.729800000000004,0.00021915999999999998
-61.7198,0.00019661999999999992
-61.709799999999994,0.00017452000000000003
-61.6998,0.00015350999999999999
-61.6898,0.00013354999999999997
-61.67979999999999,0.00011495000000000006
-61.6698,9.809999999999999e-05
-61.6598,8.2747e-05
-61.649800000000006,6.913200000000002e-05
-61.6398,5.7264999999999974e-05
-61.629799999999996,4.693899999999998e-05
-61.619800000000005,3.8074000000000015e-05
-61.6098,3.0597999999999994e-05
-61.599799999999995,2.4349999999999985e-05
-61.589800000000004,1.919499999999999e-05
-61.5798,1.4978999999999992e-05
-61.569799999999994,1.1593000000000004e-05
-61.5598,8.8883e-06
-61.5498,6.741199999999997e-06
-61.53979999999999,5.0686999999999994e-06
-61.5298,3.7773999999999983e-06
-61.5198,2.7925000000000004e-06
-61.509800000000006,2.0439e-06
-61.4998,1.4830000000000005e-06
-61.489799999999995,1.0677800000000005e-06
-61.479800000000004,7.620100000000001e-07
-61.4698,5.388199999999998e-07
-61.459799999999994,3.7825999999999974e-07
-61.4498,2.6326999999999995e-07
-61.4398,1.8158e-07
-61.42979999999999,1.24387e-07
-61.4198,8.444099999999998e-08
-61.4098,5.6866000000000014e-08
-61.399800000000006,3.801599999999999e-08
-61.3898,2.5207999999999993e-08
-61.379799999999996,1.657010000000001e-08
-61.369800000000005,1.0827599999999998e-08
-61.3598,7.007799999999999e-09
-61.349799999999995,4.498899999999999e-09
-61.339800000000004,2.8671800000000004e-09
-61.3298,1.8108799999999996e-09
-61.319799999999994,1.1347799999999999e-09
-61.3098,7.060000000000001e-10
-61.2998,4.3492999999999986e-10
-61.28979999999999,2.65649e-10
-61.2798,1.6106299999999996e-10
-61.2698,9.671900000000001e-11
-61.259800000000006,5.752949999999996e-11
-61.2498,3.3973e-11
-61.239799999999995,1.9876399999999996e-11
-61.229800000000004,1.1510600000000001e-11
-61.2198,6.607799999999999e-12
-61.209799999999994,3.7584000000000014e-12
-61.1998,2.1160200000000005e-12
