,Mo_3pz
-62.2698,2.4464000000000005e-10
-62.259800000000006,3.8663999999999987e-10
-62.2498,6.047899999999999e-10
-62.239799999999995,9.3588e-10
-62.229800000000004,1.4323000000000005e-09
-62.2198,2.1700000000000006e-09
-62.209799999999994,3.2547e-09
-62.1998,4.8274000000000026e-09
-62.1898,7.084299999999999e-09
-62.17979999999999,1.0295999999999998e-08
-62.1698,1.4801000000000001e-08
-62.1598,2.1057e-08
-62.149800000000006,2.9646999999999994e-08
-62.1398,4.1299e-08
-62.129799999999996,5.693100000000001e-08
-62.119800000000005,7.7755e-08
-62.1098,1.0493000000000001e-07
-62.099799999999995,1.4023999999999996e-07
-62.089800000000004,1.8552999999999997e-07
-62.0798,2.4303e-07
-62.069799999999994,3.1492e-07
-62.0598,4.039400000000001e-07
-62.0498,5.132400000000002e-07
-62.03979999999999,6.442599999999999e-07
-62.0298,8.024999999999996e-07
-62.0198,9.89e-07
-62.009800000000006,1.2074000000000005e-06
-61.9998,1.4572999999999992e-06
-61.989799999999995,1.742500000000001e-06
-61.979800000000004,2.0641000000000003e-06
-61.9698,2.421300000000001e-06
-61.959799999999994,2.8116999999999997e-06
-61.9498,3.235600000000001e-06
-61.9398,3.6876999999999977e-06
-61.92979999999999,4.1649000000000006e-06
-61.9198,4.6607999999999995e-06
-61.9098,5.1682e-06
-61.899800000000006,5.680499999999998e-06
-61.8898,6.1868e-06
-61.879799999999996,6.678400000000002e-06
-61.869800000000005,7.146699999999997e-06
-61.8598,7.595100000000002e-06
-61.849799999999995,7.9956e-06
-61.839800000000004,8.344799999999998e-06
-61.8298,8.6496e-06
-61.819799999999994,8.881999999999999e-06
-61.8098,9.0692e-06
-61.7998,9.166599999999996e-06
-61.78979999999999,9.1991e-06
-61.7798,9.174900000000001e-06
-61.7698,9.075500000000001e-06
-61.759800000000006,8.9128e-06
-61.7498,8.684100000000002e-06
-61.739799999999995,8.396900000000001e-06
-61.729800000000004,8.060900000000001e-06
-61.7198,7.6857e-06
-61.709799999999994,7.266500000000002e-06
-61.6998,6.8211e-06
-61.6898,6.3449e-06
-61.67979999999999,5.8615e-06
-61.6698,5.374e-06
-61.6598,4.883100000000001e-06
-61.649800000000006,4.4125000000000005e-06
-61.6398,3.9378e-06
-61.629799999999996,3.492e-06
-61.619800000000005,3.0718400000000002e-06
-61.6098,2.6744500000000007e-06
-61.599799999999995,2.30951e-06
-61.589800000000004,1.97349e-06
-61.5798,1.6745099999999999e-06
-61.569799999999994,1.41022e-06
-61.5598,1.1713000000000003e-06
-61.5498,9.6494e-07
-61.53979999999999,7.872899999999999e-07
-61.5298,6.36768e-07
-61.5198,5.09969e-07
-61.509800000000006,4.03778e-07
-61.4998,3.1621599999999995e-07
-61.489799999999995,2.4553400000000006e-07
-61.479800000000004,1.8904700000000004e-07
-61.4698,1.4425699999999997e-07
-61.459799999999994,1.0833250000000001e-07
-61.4498,8.07741e-08
-61.4398,5.96327e-08
-61.42979999999999,4.35131e-08
-61.4198,3.1478e-08
-61.4098,2.2523450000000007e-08
-61.399800000000006,1.5866619999999997e-08
-61.3898,1.115088e-08
-61.379799999999996,7.714949999999999e-09
-61.369800000000005,5.287820000000001e-09
-61.3598,3.589075e-09
-61.349799999999995,2.403227e-09
-61.339800000000004,1.5995839999999998e-09
-61.3298,1.0499499999999999e-09
-61.319799999999994,6.823039999999998e-10
-61.3098,4.383414999999999e-10
-61.2998,2.786819e-10
-61.28979999999999,1.7581809999999998e-10
-61.2798,1.0978370000000001e-10
-61.2698,6.739822999999998e-11
-61.259800000000006,4.1042590000000004e-11
-61.2498,2.4735560000000002e-11
-61.239799999999995,1.4809909999999998e-11
-61.229800000000004,8.715732000000002e-12
-61.2198,5.0856370000000004e-12
-61.209799999999994,2.937549e-12
-61.1998,1.6765657000000003e-12
-61.1898,9.493273999999999e-13
-61.17979999999999,5.307362e-13
-61.1698,2.933622e-13
-61.1598,1.6119125e-13
-61.149800000000006,8.703026e-14
-61.1398,4.6570919999999996e-14
-61.129799999999996,2.4731412e-14
-61.119800000000005,1.2984015e-14
-61.1098,6.705341699999999e-15
-61.099799999999995,3.4442761581509995e-15
-61.089800000000004,1.7430941113920002e-15
-61.0798,8.767101600485e-16
-61.069799999999994,4.357076268723001e-16
-61.0598,2.1373675882386e-16
-61.0498,1.0375908582505001e-16
-61.03979999999999,5.0007710451279995e-17
-61.0298,2.375997876789e-17
-61.0198,0.0
-61.009800000000006,0.0
-60.9998,0.0
-60.989799999999995,0.0
-60.979800000000004,0.0
-60.9698,0.0
-60.959799999999994,0.0
-60.9498,0.0
-60.9398,0.0
-60.92979999999999,0.0
-60.9198,0.0
-60.9098,0.0
-60.899800000000006,0.0
-60.8898,0.0
-60.879799999999996,0.0
-60.869800000000005,0.0
-60.8598,0.0
-60.849799999999995,0.0
-60.839800000000004,0.0
-60.8298,0.0
-60.819799999999994,0.0
-60.8098,0.0
-60.7998,0.0
-60.78979999999999,0.0
-60.7798,0.0
-60.7698,0.0
-60.759800000000006,0.0
-60.7498,0.0
-60.739799999999995,0.0
-60.729800000000004,0.0
-60.7198,0.0
-60.709799999999994,0.0
-60.6998,0.0
-60.6898,0.0
-60.67979999999999,0.0
-60.6698,0.0
-60.6598,0.0
-60.649800000000006,0.0
-60.6398,0.0
-60.629799999999996,0.0
-60.619800000000005,0.0
-60.6098,0.0
-60.599799999999995,0.0
-60.589800000000004,0.0
-60.5798,0.0
-60.569799999999994,0.0
-60.5598,0.0
-60.5498,0.0
-60.53979999999999,0.0
-60.5298,0.0
-60.5198,0.0
-60.509800000000006,0.0
-60.4998,0.0
-60.489799999999995,0.0
-60.479800000000004,0.0
-60.4698,0.0
-60.459799999999994,0.0
-60.4498,0.0
-60.4398,0.0
-60.42979999999999,0.0
-60.4198,0.0
-60.4098,0.0
-60.399800000000006,0.0
-60.3898,0.0
-60.379799999999996,0.0
-60.369800000000005,0.0
-60.3598,0.0
-60.349799999999995,0.0
-60.339800000000004,0.0
-60.3298,0.0
-60.319799999999994,0.0
-60.3098,0.0
-60.2998,0.0
-60.28979999999999,0.0
-60.2798,0.0
-60.2698,0.0
-60.259800000000006,0.0
-60.2498,0.0
-60.239799999999995,0.0
-60.229800000000004,0.0
-60.2198,0.0
-60.209799999999994,0.0
-60.1998,0.0
-60.1898,0.0
-60.17979999999999,0.0
-60.1698,0.0
-60.1598,0.0
-60.149800000000006,0.0
-60.1398,0.0
-60.129799999999996,0.0
-60.119800000000005,0.0
-60.1098,0.0
-60.099799999999995,0.0
-60.089800000000004,0.0
-60.0798,0.0
-60.069799999999994,0.0
-60.0598,0.0
-60.0498,0.0
-60.03979999999999,0.0
-60.0298,0.0
-60.0198,0.0
-60.009800000000006,0.0
-59.9998,0.0
-59.989799999999995,0.0
-59.979800000000004,0.0
-59.9698,0.0
-59.959799999999994,0.0
-59.9498,0.0
-59.9398,0.0
-59.92979999999999,0.0
-59.9198,0.0
-59.9098,0.0
-59.899800000000006,0.0
-59.8898,0.0
-59.879799999999996,0.0
-59.869800000000005,0.0
-59.8598,0.0
-59.849799999999995,0.0
-59.839800000000004,0.0
-59.8298,0.0
-59.819799999999994,0.0
-59.8098,0.0
-59.7998,0.0
-59.78979999999999,0.0
-59.7798,0.0
-59.7698,0.0
-59.759800000000006,0.0
-59.7498,0.0
-59.739799999999995,0.0
-59.729800000000004,0.0
-59.7198,0.0
-59.709799999999994,0.0
-59.6998,0.0
-59.6898,0.0
-59.67979999999999,0.0
-59.6698,0.0
-59.6598,0.0
-59.649800000000006,0.0
-59.6398,0.0
-59.629799999999996,0.0
-59.619800000000005,0.0
-59.6098,0.0
-59.599799999999995,0.0
-59.589800000000004,0.0
-59.5798,0.0
-59.569799999999994,0.0
-59.5598,0.0
-59.5498,0.0
-59.53979999999999,0.0
-59.5298,0.0
-59.5198,0.0
-59.509800000000006,0.0
-59.4998,0.0
-59.489799999999995,0.0
-59.479800000000004,0.0
-59.4698,0.0
-59.459799999999994,0.0
-59.4498,0.0
-59.4398,0.0
-59.42979999999999,0.0
-59.4198,0.0
-59.4098,0.0
-59.399800000000006,0.0
-59.3898,0.0
-59.379799999999996,0.0
-59.369800000000005,0.0
-59.3598,0.0
-59.349799999999995,0.0
-59.339800000000004,0.0
-59.3298,0.0
-59.319799999999994,0.0
-59.3098,0.0
-59.2998,0.0
-59.28979999999999,0.0
-59.2798,0.0
-59.2698,0.0
-59.259800000000006,0.0
-59.2498,0.0
-59.239799999999995,0.0
-59.229800000000004,0.0
-59.2198,0.0
-59.209799999999994,0.0
-59.1998,0.0
-59.1898,0.0
-59.17979999999999,0.0
-59.1698,0.0
-59.1598,0.0
