,Mo_4dzx
-62.2698,8.254699999999998e-10
-62.259800000000006,1.31395e-09
-62.2498,2.0701199999999995e-09
-62.239799999999995,3.2231999999999994e-09
-62.229800000000004,4.964199999999999e-09
-62.2198,7.5773e-09
-62.209799999999994,1.14351e-08
-62.1998,1.7082699999999995e-08
-62.1898,2.5239e-08
-62.17979999999999,3.691799999999999e-08
-62.1698,5.339000000000002e-08
-62.1598,7.642399999999998e-08
-62.149800000000006,1.0827e-07
-62.1398,1.5166999999999995e-07
-62.129799999999996,2.10472e-07
-62.119800000000005,2.8914000000000006e-07
-62.1098,3.9225999999999994e-07
-62.099799999999995,5.2686e-07
-62.089800000000004,7.014699999999998e-07
-62.0798,9.233000000000001e-07
-62.069799999999994,1.2029e-06
-62.0598,1.5507399999999999e-06
-62.0498,1.97939e-06
-62.03979999999999,2.5012e-06
-62.0298,3.1256999999999996e-06
-62.0198,3.8658e-06
-62.009800000000006,4.729299999999999e-06
-61.9998,5.733299999999999e-06
-61.989799999999995,6.890399999999999e-06
-61.979800000000004,8.177999999999999e-06
-61.9698,9.6303e-06
-61.959799999999994,1.1212300000000003e-05
-61.9498,1.2945799999999997e-05
-61.9398,1.4789100000000002e-05
-61.92979999999999,1.6740699999999997e-05
-61.9198,1.8767100000000002e-05
-61.9098,2.0808100000000005e-05
-61.899800000000006,2.2940600000000005e-05
-61.8898,2.4994e-05
-61.879799999999996,2.6988e-05
-61.869800000000005,2.8952999999999995e-05
-61.8598,3.0726e-05
-61.849799999999995,3.2353999999999996e-05
-61.839800000000004,3.3702000000000004e-05
-61.8298,3.4896999999999995e-05
-61.819799999999994,3.5789e-05
-61.8098,3.6489e-05
-61.7998,3.6907000000000004e-05
-61.78979999999999,3.6992999999999996e-05
-61.7798,3.6803e-05
-61.7698,3.6253999999999995e-05
-61.759800000000006,3.5520200000000006e-05
-61.7498,3.4571700000000006e-05
-61.739799999999995,3.33518e-05
-61.729800000000004,3.192750000000001e-05
-61.7198,3.03438e-05
-61.709799999999994,2.8624400000000013e-05
-61.6998,2.6808299999999985e-05
-61.6898,2.4884199999999998e-05
-61.67979999999999,2.2956399999999996e-05
-61.6698,2.0969299999999996e-05
-61.6598,1.90295e-05
-61.649800000000006,1.7128699999999994e-05
-61.6398,1.5293300000000005e-05
-61.629799999999996,1.3529399999999998e-05
-61.619800000000005,1.1871700000000002e-05
-61.6098,1.032971e-05
-61.599799999999995,8.910590000000002e-06
-61.589800000000004,7.617249999999993e-06
-61.5798,6.450199999999999e-06
-61.569799999999994,5.414310000000003e-06
-61.5598,4.493799999999998e-06
-61.5498,3.71026e-06
-61.53979999999999,3.0239800000000005e-06
-61.5298,2.44119e-06
-61.5198,1.9524539999999995e-06
-61.509800000000006,1.5478420000000001e-06
-61.4998,1.213532e-06
-61.489799999999995,9.424060000000001e-07
-61.479800000000004,7.247029999999998e-07
-61.4698,5.50576e-07
-61.459799999999994,4.147999999999999e-07
-61.4498,3.09329e-07
-61.4398,2.2824420000000005e-07
-61.42979999999999,1.6666330000000007e-07
-61.4198,1.202986e-07
-61.4098,8.61152e-08
-61.399800000000006,6.085127999999999e-08
-61.3898,4.2574510000000005e-08
-61.379799999999996,2.9528520000000005e-08
-61.369800000000005,2.0244550000000012e-08
-61.3598,1.372426e-08
-61.349799999999995,9.218399000000002e-09
-61.339800000000004,6.122535000000002e-09
-61.3298,4.0235470000000005e-09
-61.319799999999994,2.6143129999999987e-09
-61.3098,1.6796968999999991e-09
-61.2998,1.0697952e-09
-61.28979999999999,6.728055e-10
-61.2798,4.192998999999998e-10
-61.2698,2.580542300000001e-10
-61.259800000000006,1.5745381999999994e-10
-61.2498,9.492494999999997e-11
-61.239799999999995,5.661029999999997e-11
-61.229800000000004,3.348146299999999e-11
-61.2198,1.950144500000001e-11
-61.209799999999994,1.1266668000000006e-11
-61.1998,6.437137000000003e-12
-61.1898,3.6401008e-12
-61.17979999999999,2.0370951e-12
-61.1698,1.1265084000000003e-12
-61.1598,6.166476000000003e-13
-61.149800000000006,3.341054300000001e-13
-61.1398,1.786160100000001e-13
-61.129799999999996,9.4683083e-14
-61.119800000000005,4.963228099999999e-14
-61.1098,2.5733869399999992e-14
-61.099799999999995,1.3206288415804403e-14
-61.089800000000004,6.7038227611952e-15
-61.0798,3.3670873504085993e-15
-61.069799999999994,1.6715047319259e-15
-61.0598,8.208386137943901e-16
-61.0498,3.984348253971e-16
-61.03979999999999,1.9192930166170998e-16
-61.0298,9.119036653264597e-17
-61.0198,0.0
-61.009800000000006,0.0
-60.9998,0.0
-60.989799999999995,0.0
-60.979800000000004,0.0
-60.9698,0.0
-60.959799999999994,0.0
-60.9498,0.0
-60.9398,0.0
-60.92979999999999,0.0
-60.9198,0.0
-60.9098,0.0
-60.899800000000006,0.0
-60.8898,0.0
-60.879799999999996,0.0
-60.869800000000005,0.0
-60.8598,0.0
-60.849799999999995,0.0
-60.839800000000004,0.0
-60.8298,0.0
-60.819799999999994,0.0
-60.8098,0.0
-60.7998,0.0
-60.78979999999999,0.0
-60.7798,0.0
-60.7698,0.0
-60.759800000000006,0.0
-60.7498,0.0
-60.739799999999995,0.0
-60.729800000000004,0.0
-60.7198,0.0
-60.709799999999994,0.0
-60.6998,0.0
-60.6898,0.0
-60.67979999999999,0.0
-60.6698,0.0
-60.6598,0.0
-60.649800000000006,0.0
-60.6398,0.0
-60.629799999999996,0.0
-60.619800000000005,0.0
-60.6098,0.0
-60.599799999999995,0.0
-60.589800000000004,0.0
-60.5798,0.0
-60.569799999999994,0.0
-60.5598,0.0
-60.5498,0.0
-60.53979999999999,0.0
-60.5298,0.0
-60.5198,0.0
-60.509800000000006,0.0
-60.4998,0.0
-60.489799999999995,0.0
-60.479800000000004,0.0
-60.4698,0.0
-60.459799999999994,0.0
-60.4498,0.0
-60.4398,0.0
-60.42979999999999,0.0
-60.4198,0.0
-60.4098,0.0
-60.399800000000006,0.0
-60.3898,0.0
-60.379799999999996,0.0
-60.369800000000005,0.0
-60.3598,0.0
-60.349799999999995,0.0
-60.339800000000004,0.0
-60.3298,0.0
-60.319799999999994,0.0
-60.3098,0.0
-60.2998,0.0
-60.28979999999999,0.0
-60.2798,0.0
-60.2698,0.0
-60.259800000000006,0.0
-60.2498,0.0
-60.239799999999995,0.0
-60.229800000000004,0.0
-60.2198,0.0
-60.209799999999994,0.0
-60.1998,0.0
-60.1898,0.0
-60.17979999999999,0.0
-60.1698,0.0
-60.1598,0.0
-60.149800000000006,0.0
-60.1398,0.0
-60.129799999999996,0.0
-60.119800000000005,0.0
-60.1098,0.0
-60.099799999999995,0.0
-60.089800000000004,0.0
-60.0798,0.0
-60.069799999999994,0.0
-60.0598,0.0
-60.0498,0.0
-60.03979999999999,0.0
-60.0298,0.0
-60.0198,0.0
-60.009800000000006,0.0
-59.9998,0.0
-59.989799999999995,0.0
-59.979800000000004,0.0
-59.9698,0.0
-59.959799999999994,0.0
-59.9498,0.0
-59.9398,0.0
-59.92979999999999,0.0
-59.9198,0.0
-59.9098,0.0
-59.899800000000006,0.0
-59.8898,0.0
-59.879799999999996,0.0
-59.869800000000005,0.0
-59.8598,0.0
-59.849799999999995,0.0
-59.839800000000004,0.0
-59.8298,0.0
-59.819799999999994,0.0
-59.8098,0.0
-59.7998,0.0
-59.78979999999999,0.0
-59.7798,0.0
-59.7698,0.0
-59.759800000000006,0.0
-59.7498,0.0
-59.739799999999995,0.0
-59.729800000000004,0.0
-59.7198,0.0
-59.709799999999994,0.0
-59.6998,0.0
-59.6898,0.0
-59.67979999999999,0.0
-59.6698,0.0
-59.6598,0.0
-59.649800000000006,0.0
-59.6398,0.0
-59.629799999999996,0.0
-59.619800000000005,0.0
-59.6098,0.0
-59.599799999999995,0.0
-59.589800000000004,0.0
-59.5798,0.0
-59.569799999999994,0.0
-59.5598,0.0
-59.5498,0.0
-59.53979999999999,0.0
-59.5298,0.0
-59.5198,0.0
-59.509800000000006,0.0
-59.4998,0.0
-59.489799999999995,0.0
-59.479800000000004,0.0
-59.4698,0.0
-59.459799999999994,0.0
-59.4498,0.0
-59.4398,0.0
-59.42979999999999,0.0
-59.4198,0.0
-59.4098,0.0
-59.399800000000006,0.0
-59.3898,0.0
-59.379799999999996,0.0
-59.369800000000005,0.0
-59.3598,0.0
-59.349799999999995,0.0
-59.339800000000004,0.0
-59.3298,0.0
-59.319799999999994,0.0
-59.3098,0.0
-59.2998,0.0
-59.28979999999999,0.0
-59.2798,0.0
-59.2698,0.0
-59.259800000000006,0.0
-59.2498,0.0
-59.239799999999995,0.0
-59.229800000000004,0.0
-59.2198,0.0
-59.209799999999994,0.0
-59.1998,0.0
-59.1898,0.0
-59.17979999999999,0.0
-59.1698,0.0
-59.1598,0.0
-59.149800000000006,0.0
-59.1398,0.0
-59.129799999999996,0.0
-59.119800000000005,0.0
-59.1098,0.0
-59.0998,0.0
-59.0898,0.0
-59.0798,0.0
-59.0698,0.0
-59.0598,0.0
-59.0498,0.0
-59.0398,0.0
-59.0298,0.0
-59.0198,0.0
-59.0098,0.0
-58.9998,0.0
-58.9898,0.0
-58.9798,0.0
-58.9698,0.0
-58.9598,0.0
-58.949799999999996,0.0
-58.9398,0.0
-58.9298,0.0
-58.9198,0.0
-58.9098,0.0
-58.8998,0.0
-58.8898,0.0
-58.8798,0.0
-58.8698,0.0
-58.8598,0.0
-58.8498,0.0
-58.8398,0.0
-58.8298,0.0
-58.8198,0.0
-58.8098,0.0
-58.7998,0.0
-58.7898,0.0
-58.7798,0.0
-58.7698,0.0
-58.7598,0.0
-58.7498,0.0
-58.7398,0.0
-58.7298,0.0
-58.7198,0.0
-58.7098,0.0
-58.699799999999996,0.0
-58.6898,0.0
-58.6798,0.0
-58.6698,0.0
-58.6598,0.0
-58.6498,0.0
-58.6398,0.0
-58.6298,0.0
-58.6198,0.0
-58.6098,0.0
-58.5998,0.0
-58.5898,0.0
-58.5798,0.0
-58.5698,0.0
-58.5598,0.0
-58.5498,0.0
-58.5398,0.0
-58.5298,0.0
-58.5198,0.0
-58.5098,0.0
-58.4998,0.0
-58.4898,0.0
-58.4798,0.0
-58.4698,0.0
-58.4598,0.0
-58.449799999999996,0.0
-58.4398,0.0
-58.4298,0.0
-58.4198,0.0
-58.4098,0.0
-58.3998,0.0
-58.3898,0.0
-58.3798,0.0
-58.3698,0.0
-58.3598,0.0
-58.3498,0.0
-58.3398,0.0
-58.3298,0.0
-58.3198,0.0
-58.3098,0.0
-58.2998,0.0
-58.2898,0.0
-58.2798,0.0
-58.2698,0.0
-58.2598,0.0
-58.2498,0.0
-58.2398,0.0
-58.2298,0.0
-58.2198,0.0
-58.2098,0.0
-58.199799999999996,0.0
-58.1898,0.0
-58.1798,0.0
-58.1698,0.0
-58.1598,0.0
-58.1498,0.0
-58.1398,0.0
-58.1298,0.0
-58.1198,0.0
-58.1098,0.0
-58.0998,0.0
-58.0898,0.0
-58.0798,0.0
-58.0698,0.0
-58.0598,0.0
-58.0498,0.0
-58.0398,0.0
-58.0298,0.0
-58.0198,0.0
-58.0098,0.0
-57.9998,0.0
-57.9898,0.0
-57.9798,0.0
-57.9698,0.0
-57.9598,0.0
-57.949799999999996,0.0
-57.9398,0.0
-57.9298,0.0
-57.9198,0.0
-57.9098,0.0
-57.8998,0.0
-57.8898,0.0
-57.8798,0.0
-57.8698,0.0
-57.8598,0.0
-57.8498,0.0
-57.8398,0.0
-57.8298,0.0
-57.8198,0.0
-57.8098,0.0
-57.7998,0.0
-57.7898,0.0
-57.7798,0.0
-57.7698,0.0
-57.7598,0.0
-57.7498,0.0
-57.7398,0.0
-57.7298,0.0
-57.7198,0.0
-57.7098,0.0
-57.699799999999996,0.0
-57.6898,0.0
-57.6798,0.0
-57.6698,0.0
-57.6598,0.0
-57.6498,0.0
-57.6398,0.0
-57.6298,0.0
-57.6198,0.0
-57.6098,0.0
-57.5998,0.0
-57.5898,0.0
-57.5798,0.0
-57.5698,0.0
-57.5598,0.0
-57.5498,0.0
-57.5398,0.0
-57.5298,0.0
-57.5198,0.0
-57.5098,0.0
-57.4998,0.0
-57.4898,0.0
-57.4798,0.0
-57.4698,0.0
-57.4598,0.0
-57.449799999999996,0.0
-57.4398,0.0
-57.4298,0.0
-57.4198,0.0
-57.4098,0.0
-57.3998,0.0
-57.3898,0.0
-57.3798,0.0
-57.3698,0.0
-57.3598,0.0
-57.3498,0.0
-57.3398,0.0
-57.3298,0.0
-57.3198,0.0
-57.3098,0.0
-57.2998,0.0
-57.2898,0.0
-57.2798,0.0
-57.2698,0.0
-57.2598,0.0
-57.2498,0.0
-57.2398,0.0
-57.2298,0.0
-57.2198,0.0
-57.2098,0.0
-57.199799999999996,0.0
-57.1898,0.0
-57.1798,0.0
-57.1698,0.0
-57.1598,0.0
-57.1498,0.0
-57.1398,0.0
-57.1298,0.0
-57.1198,0.0
-57.1098,0.0
-57.0998,0.0
-57.0898,0.0
-57.0798,0.0
-57.0698,0.0
-57.0598,0.0
-57.0498,0.0
-57.0398,0.0
-57.0298,0.0
-57.0198,0.0
-57.0098,0.0
-56.9998,0.0
-56.9898,0.0
-56.9798,0.0
-56.9698,0.0
-56.9598,0.0
-56.949799999999996,0.0
-56.9398,0.0
-56.9298,0.0
-56.9198,0.0
-56.9098,0.0
-56.8998,0.0
-56.8898,0.0
-56.8798,0.0
-56.8698,0.0
-56.8598,0.0
-56.8498,0.0
-56.8398,0.0
-56.8298,0.0
-56.8198,0.0
-56.8098,0.0
-56.7998,0.0
-56.7898,0.0
-56.7798,0.0
-56.7698,0.0
-56.7598,0.0
-56.7498,0.0
-56.7398,0.0
-56.7298,0.0
-56.7198,0.0
-56.7098,0.0
-56.699799999999996,0.0
-56.6898,0.0
-56.6798,0.0
-56.6698,0.0
-56.6598,0.0
-56.6498,0.0
-56.6398,0.0
-56.6298,0.0
-56.6198,0.0
-56.6098,0.0
-56.5998,0.0
-56.5898,0.0
-56.5798,0.0
-56.5698,0.0
-56.5598,0.0
-56.5498,0.0
-56.5398,0.0
-56.5298,0.0
-56.5198,0.0
-56.5098,0.0
-56.4998,0.0
-56.4898,0.0
-56.4798,0.0
-56.4698,0.0
-56.4598,0.0
-56.449799999999996,0.0
-56.4398,0.0
-56.4298,0.0
-56.4198,0.0
-56.4098,0.0
-56.3998,0.0
-56.3898,0.0
-56.3798,0.0
-56.3698,0.0
-56.3598,0.0
-56.3498,0.0
-56.3398,0.0
-56.3298,0.0
-56.3198,0.0
-56.3098,0.0
-56.2998,0.0
-56.2898,0.0
-56.2798,0.0
-56.2698,0.0
-56.2598,0.0
-56.2498,0.0
-56.2398,0.0
