,S_1s
-62.2698,2.9934000000000036e-05
-62.259800000000006,4.758900000000003e-05
-62.2498,7.487499999999999e-05
-62.239799999999995,0.00011658799999999993
-62.229800000000004,0.00017966699999999992
-62.2198,0.00027353
-62.209799999999994,0.00041283
-62.1998,0.00061609
-62.1898,0.0009098099999999998
-62.17979999999999,0.0013294500000000011
-62.1698,0.0019213000000000001
-62.1598,0.0027512000000000027
-62.149800000000006,0.003892899999999997
-62.1398,0.005453400000000001
-62.129799999999996,0.0075582000000000045
-62.119800000000005,0.010364500000000007
-62.1098,0.01406279999999999
-62.099799999999995,0.01889259999999998
-62.089800000000004,0.025113000000000007
-62.0798,0.03300399999999999
-62.069799999999994,0.04293099999999995
-62.0598,0.05526900000000001
-62.0498,0.07040100000000002
-62.03979999999999,0.08873899999999997
-62.0298,0.11068999999999993
-62.0198,0.13662099999999994
-62.009800000000006,0.16682199999999994
-61.9998,0.20140000000000013
-61.989799999999995,0.24096999999999996
-61.979800000000004,0.28509
-61.9698,0.33394
-61.959799999999994,0.38684999999999986
-61.9498,0.4432899999999996
-61.9398,0.5029100000000002
-61.92979999999999,0.56453
-61.9198,0.6269199999999999
-61.9098,0.6888399999999999
-61.899800000000006,0.7492700000000001
-61.8898,0.8062800000000003
-61.879799999999996,0.8585699999999994
-61.869800000000005,0.9047999999999995
-61.8598,0.9433699999999999
-61.849799999999995,0.9732899999999994
-61.839800000000004,0.9937300000000001
-61.8298,1.0039800000000005
-61.819799999999994,1.0040600000000013
-61.8098,0.9933900000000011
-61.7998,0.97269
-61.78979999999999,0.9426800000000001
-61.7798,0.9039599999999993
-61.7698,0.8578199999999997
-61.759800000000006,0.8056399999999996
-61.7498,0.74867
-61.739799999999995,0.6888399999999995
-61.729800000000004,0.62708
-61.7198,0.5649200000000003
-61.709799999999994,0.5038700000000004
-61.6998,0.4448699999999998
-61.6898,0.3886500000000001
-61.67979999999999,0.3361400000000001
-61.6698,0.2879299999999999
-61.6598,0.24383999999999986
-61.649800000000006,0.2045700000000001
-61.6398,0.169944
-61.629799999999996,0.13981300000000002
-61.619800000000005,0.11373400000000004
-61.6098,0.09168700000000006
-61.599799999999995,0.07320800000000002
-61.589800000000004,0.05786399999999998
-61.5798,0.045292999999999965
-61.569799999999994,0.03514699999999999
-61.5598,0.027003999999999976
-61.5498,0.02054149999999999
-61.53979999999999,0.015505600000000005
-61.5298,0.011573100000000005
-61.5198,0.008565699999999999
-61.509800000000006,0.006283800000000005
-61.4998,0.004569500000000002
-61.489799999999995,0.0032929000000000005
-61.479800000000004,0.0023507800000000015
-61.4698,0.00166891
-61.459799999999994,0.0011704899999999997
-61.4498,0.0008148999999999999
-61.4398,0.0005628199999999998
-61.42979999999999,0.000385435
-61.4198,0.00026182200000000004
-61.4098,0.000176444
-61.399800000000006,0.00011789900000000003
-61.3898,7.815699999999996e-05
-61.379799999999996,5.139640000000004e-05
-61.369800000000005,3.350859999999999e-05
-61.3598,2.1688899999999998e-05
-61.349799999999995,1.3906600000000008e-05
-61.339800000000004,8.8556e-06
-61.3298,5.590320000000007e-06
-61.319799999999994,3.4972899999999997e-06
-61.3098,2.1738199999999995e-06
-61.2998,1.3365799999999989e-06
-61.28979999999999,8.156629999999993e-07
-61.2798,4.944309999999999e-07
-61.2698,2.9669e-07
-61.259800000000006,1.7653900000000007e-07
-61.2498,1.0394390000000004e-07
-61.239799999999995,6.077e-08
-61.229800000000004,3.517010000000002e-08
-61.2198,2.0172600000000003e-08
-61.209799999999994,1.1461519999999995e-08
-61.1998,6.452690000000003e-09
-61.1898,3.5990399999999963e-09
-61.17979999999999,1.9857819999999995e-09
-61.1698,1.0843009999999996e-09
-61.1598,5.881179999999999e-10
-61.149800000000006,3.1525229999999993e-10
-61.1398,1.6698199999999994e-10
-61.129799999999996,8.666110000000004e-11
-61.119800000000005,4.427946999999997e-11
-61.1098,2.2315532000000003e-11
-61.099799999999995,1.1294272486305148e-11
-61.089800000000004,5.749763693424387e-12
-61.0798,2.884574597181958e-12
-61.069799999999994,1.4311680677710285e-12
-61.0598,7.023418901554952e-13
-61.0498,3.420446687496257e-13
-61.03979999999999,1.6423730385180817e-13
-61.0298,7.82108412391921e-14
-61.0198,0.0
-61.009800000000006,0.0
-60.9998,0.0
-60.989799999999995,0.0
-60.979800000000004,0.0
-60.9698,0.0
-60.959799999999994,0.0
-60.9498,0.0
-60.9398,0.0
-60.92979999999999,0.0
-60.9198,0.0
-60.9098,0.0
-60.899800000000006,0.0
-60.8898,0.0
-60.879799999999996,0.0
-60.869800000000005,0.0
-60.8598,0.0
-60.849799999999995,0.0
-60.839800000000004,0.0
-60.8298,0.0
-60.819799999999994,0.0
-60.8098,0.0
-60.7998,0.0
-60.78979999999999,0.0
-60.7798,0.0
-60.7698,0.0
-60.759800000000006,0.0
-60.7498,0.0
-60.739799999999995,0.0
-60.729800000000004,0.0
-60.7198,0.0
-60.709799999999994,0.0
-60.6998,0.0
-60.6898,0.0
-60.67979999999999,0.0
-60.6698,0.0
-60.6598,0.0
-60.649800000000006,0.0
-60.6398,0.0
-60.629799999999996,0.0
-60.619800000000005,0.0
-60.6098,0.0
-60.599799999999995,0.0
-60.589800000000004,0.0
-60.5798,0.0
-60.569799999999994,0.0
-60.5598,0.0
-60.5498,0.0
-60.53979999999999,0.0
-60.5298,0.0
-60.5198,0.0
-60.509800000000006,0.0
-60.4998,0.0
-60.489799999999995,0.0
-60.479800000000004,0.0
-60.4698,0.0
-60.459799999999994,0.0
-60.4498,0.0
-60.4398,0.0
-60.42979999999999,0.0
-60.4198,0.0
-60.4098,0.0
-60.399800000000006,0.0
-60.3898,0.0
-60.379799999999996,0.0
-60.369800000000005,0.0
-60.3598,0.0
-60.349799999999995,0.0
-60.339800000000004,0.0
-60.3298,0.0
-60.319799999999994,0.0
-60.3098,0.0
-60.2998,0.0
-60.28979999999999,0.0
-60.2798,0.0
-60.2698,0.0
-60.259800000000006,0.0
-60.2498,0.0
-60.239799999999995,0.0
-60.229800000000004,0.0
-60.2198,0.0
-60.209799999999994,0.0
-60.1998,0.0
-60.1898,0.0
-60.17979999999999,0.0
-60.1698,0.0
-60.1598,0.0
-60.149800000000006,0.0
-60.1398,0.0
-60.129799999999996,0.0
-60.119800000000005,0.0
-60.1098,0.0
-60.099799999999995,0.0
-60.089800000000004,0.0
-60.0798,0.0
-60.069799999999994,0.0
-60.0598,0.0
-60.0498,0.0
-60.03979999999999,0.0
-60.0298,0.0
-60.0198,0.0
-60.009800000000006,0.0
-59.9998,0.0
-59.989799999999995,0.0
-59.979800000000004,0.0
-59.9698,0.0
-59.959799999999994,0.0
-59.9498,0.0
-59.9398,0.0
-59.92979999999999,0.0
-59.9198,0.0
-59.9098,0.0
-59.899800000000006,0.0
-59.8898,0.0
-59.879799999999996,0.0
-59.869800000000005,0.0
-59.8598,0.0
-59.849799999999995,0.0
-59.839800000000004,0.0
-59.8298,0.0
-59.819799999999994,0.0
-59.8098,0.0
-59.7998,0.0
-59.78979999999999,0.0
-59.7798,0.0
-59.7698,0.0
-59.759800000000006,0.0
-59.7498,0.0
-59.739799999999995,0.0
-59.729800000000004,0.0
-59.7198,0.0
-59.709799999999994,0.0
-59.6998,0.0
-59.6898,0.0
-59.67979999999999,0.0
-59.6698,0.0
-59.6598,0.0
-59.649800000000006,0.0
-59.6398,0.0
-59.629799999999996,0.0
-59.619800000000005,0.0
-59.6098,0.0
-59.599799999999995,0.0
-59.589800000000004,0.0
-59.5798,0.0
-59.569799999999994,0.0
-59.5598,0.0
-59.5498,0.0
-59.53979999999999,0.0
-59.5298,0.0
-59.5198,0.0
-59.509800000000006,0.0
-59.4998,0.0
-59.489799999999995,0.0
-59.479800000000004,0.0
-59.4698,0.0
-59.459799999999994,0.0
-59.4498,0.0
-59.4398,0.0
-59.42979999999999,0.0
-59.4198,0.0
-59.4098,0.0
-59.399800000000006,0.0
-59.3898,0.0
-59.379799999999996,0.0
