,Mo_1s
-62.86,0.00254859605
-62.849999999999994,0.004033858230000001
-62.84,0.006317337099999999
-62.83,0.009795695899999998
-62.81999999999999,0.0150330076
-62.81,0.022865200299999992
-62.8,0.034379728000000005
-62.78999999999999,0.05123409799999998
-62.78,0.07541363200000001
-62.769999999999996,0.11010450400000003
-62.75999999999999,0.15918482000000003
-62.75,0.22762442000000002
-62.739999999999995,0.32250618999999997
-62.730000000000004,0.45249191999999994
-62.72,0.6284757
-62.709999999999994,0.864378
-62.7,1.1757335000000002
-62.69,1.5855550000000003
-62.67999999999999,2.1175205000000004
-62.67,2.798943000000001
-62.66,3.666092000000001
-62.64999999999999,4.753789000000001
-62.64,6.103197
-62.629999999999995,7.772738000000002
-62.61999999999999,9.79182
-62.61,12.210849999999999
-62.599999999999994,15.11626
-62.59,18.518770000000007
-62.58,22.48779
-62.56999999999999,27.053900000000006
-62.56,32.288900000000005
-62.55,38.170000000000016
-62.53999999999999,44.781199999999984
-62.53,52.074799999999996
-62.519999999999996,60.06939999999999
-62.50999999999999,68.80790000000002
-62.5,78.20600000000002
-62.489999999999995,88.28199999999997
-62.480000000000004,99.00600000000001
-62.47,110.35900000000001
-62.459999999999994,122.26599999999995
-62.45,134.78199999999995
-62.44,147.80599999999995
-62.42999999999999,161.47500000000002
-62.42,175.60200000000006
-62.41,190.30999999999995
-62.39999999999999,205.63000000000008
-62.39,221.35000000000002
-62.379999999999995,237.70999999999995
-62.36999999999999,254.45000000000013
-62.36,271.50000000000006
-62.349999999999994,288.8600000000002
-62.34,306.1700000000002
-62.33,323.4000000000001
-62.31999999999999,340.03999999999985
-62.31,356.00000000000006
-62.3,370.79000000000013
-62.28999999999999,383.96999999999997
-62.28,395.25000000000017
-62.269999999999996,404.20000000000005
-62.25999999999999,410.46999999999997
-62.25,413.8099999999996
-62.239999999999995,414.03000000000003
-62.230000000000004,410.831
-62.22,404.2389999999998
-62.209999999999994,394.32099999999986
-62.2,381.236
-62.19,365.13399999999984
-62.17999999999999,346.60000000000014
-62.17,325.82500000000005
-62.16,303.40600000000006
-62.14999999999999,279.7389999999999
-62.14,255.47780000000017
-62.129999999999995,230.88699999999992
-62.11999999999999,206.69039999999998
-62.11,183.07979999999998
-62.099999999999994,160.60740000000004
-62.09,139.36060000000006
-62.08,119.75318000000006
-62.06999999999999,101.80607999999998
-62.06,85.74030000000002
-62.05,71.35624000000001
-62.03999999999999,58.85055999999998
-62.03,48.006779999999985
-62.019999999999996,38.791253
-62.00999999999999,30.998024000000004
-62.0,24.512972000000005
-61.989999999999995,19.176184
-61.980000000000004,14.850478999999996
-61.97,11.378313699999994
-61.959999999999994,8.630457499999999
-61.95,6.475446900000001
-61.94,4.810729799999998
-61.92999999999999,3.5314368000000003
-61.92,2.567218019999999
-61.91,1.8471036300000003
-61.89999999999999,1.31498505
-61.89,0.9258594599999999
-61.879999999999995,0.6453211730000001
-61.86999999999999,0.44484996
-61.86,0.30369784499999997
-61.849999999999994,0.20505311499999998
-61.84,0.13700875309999994
-61.83,0.09053950520000002
-61.81999999999999,0.05922582179999999
-61.81,0.03834719445
-61.8,0.024545734109999995
-61.78999999999999,0.015549930419999991
-61.78,0.009752394080000002
-61.769999999999996,0.0060476599
-61.75999999999999,0.0037100350940000005
-61.75,0.002254369462999999
-61.739999999999995,0.0013547953624000004
-61.730000000000004,0.0008055577614
-61.72,0.0004736288549
-61.709999999999994,0.00027573429209000005
-61.7,0.00015881509394
-61.69,9.047396829099997e-05
-61.67999999999999,5.102341326099999e-05
-61.67,2.8451094296e-05
-61.66,1.5700900017533e-05
-61.64999999999999,8.574200009305003e-06
-61.64,4.630500004891e-06
-61.629999999999995,2.4751000025400018e-06
-61.61999999999999,1.3092600013079998e-06
-61.61,6.850000006657e-07
-61.599999999999994,3.544800003354e-07
-61.59,1.8159800016681997e-07
-61.58,9.205200008184997e-08
-61.56999999999999,4.6118000038100015e-08
-61.56,2.2791800016805996e-08
-61.55,1.1041500007991e-08
-61.53999999999999,5.124000001332303e-09
