,Mo_3pz
-62.86,2.679664524999999e-10
-62.849999999999994,4.18950054e-10
-62.84,6.471446920000001e-10
-62.83,9.89744352e-10
-62.81999999999999,1.49727226e-09
-62.81,2.2420083e-09
-62.8,3.3214353499999994e-09
-62.78999999999999,4.864821880000001e-09
-62.78,7.068493799999999e-09
-62.769999999999996,1.01303524e-08
-62.75999999999999,1.4393322399999999e-08
-62.75,2.0224455400000006e-08
-62.739999999999995,2.8110621699999993e-08
-62.730000000000004,3.855611699999999e-08
-62.72,5.260002800000001e-08
-62.709999999999994,7.0877602e-08
-62.7,9.456430299999999e-08
-62.69,1.2465608000000003e-07
-62.67999999999999,1.6270921999999998e-07
-62.67,2.1019846000000001e-07
-62.66,2.6868151999999995e-07
-62.64999999999999,3.3992323e-07
-62.64,4.255407999999999e-07
-62.629999999999995,5.265066000000001e-07
-62.61999999999999,6.460134e-07
-62.61,7.844979e-07
-62.599999999999994,9.424878000000001e-07
-62.59,1.1217252999999997e-06
-62.58,1.3203700000000003e-06
-62.56999999999999,1.5374710000000001e-06
-62.56,1.7747590000000005e-06
-62.55,2.027254000000001e-06
-62.53999999999999,2.294333e-06
-62.53,2.5718460000000005e-06
-62.519999999999996,2.854414e-06
-62.50999999999999,3.1395699999999996e-06
-62.5,3.4237200000000005e-06
-62.489999999999995,3.7005499999999997e-06
-62.480000000000004,3.967349999999999e-06
-62.47,4.21591e-06
-62.459999999999994,4.4632799999999996e-06
-62.45,4.669820000000002e-06
-62.44,4.858299999999999e-06
-62.42999999999999,5.028409999999999e-06
-62.42,5.1803999999999996e-06
-62.41,5.3137000000000005e-06
-62.39999999999999,5.417899999999998e-06
-62.39,5.508900000000001e-06
-62.379999999999995,5.5896999999999975e-06
-62.36999999999999,5.659700000000003e-06
-62.36,5.721799999999998e-06
-62.349999999999994,5.777099999999999e-06
-62.34,5.827100000000001e-06
-62.33,5.869700000000001e-06
-62.31999999999999,5.905700000000002e-06
-62.31,5.934500000000004e-06
-62.3,5.949900000000001e-06
-62.28999999999999,5.953e-06
-62.28,5.9380999999999966e-06
-62.269999999999996,5.892900000000002e-06
-62.25999999999999,5.822199999999998e-06
-62.25,5.735000000000001e-06
-62.239999999999995,5.615699999999997e-06
-62.230000000000004,5.458000000000004e-06
-62.22,5.260299999999999e-06
-62.209999999999994,5.0446e-06
-62.2,4.7991e-06
-62.19,4.526700000000001e-06
-62.17999999999999,4.2341000000000015e-06
-62.17,3.924899999999999e-06
-62.16,3.6071000000000014e-06
-62.14999999999999,3.2840999999999988e-06
-62.14,2.962199999999999e-06
-62.129999999999995,2.6471999999999994e-06
-62.11999999999999,2.342299999999999e-06
-62.11,2.0527e-06
-62.099999999999994,1.7803000000000008e-06
-62.09,1.5302999999999991e-06
-62.08,1.3008999999999997e-06
-62.06999999999999,1.09611e-06
-62.06,9.1398e-07
-62.05,7.539400000000001e-07
-62.03999999999999,6.1603e-07
-62.03,4.979999999999999e-07
-62.019999999999996,3.9884000000000004e-07
-62.00999999999999,3.1605999999999993e-07
-62.0,2.478499999999999e-07
-61.989999999999995,1.9245999999999996e-07
-61.980000000000004,1.47822e-07
-61.97,1.1244099999999997e-07
-61.959999999999994,8.459100000000002e-08
-61.95,6.3091e-08
-61.94,4.648300000000001e-08
-61.92999999999999,3.391899999999999e-08
-61.92,2.4496999999999988e-08
-61.91,1.75122e-08
-61.89999999999999,1.2386500000000001e-08
