,Mo_4dzy
-62.86,2.2570244620000003e-10
-62.849999999999994,3.5307559299999997e-10
-62.84,5.486306630000001e-10
-62.83,8.405908800000001e-10
-62.81999999999999,1.2760838e-09
-62.81,1.9179502900000002e-09
-62.8,2.853934600000001e-09
-62.78999999999999,4.187413830000001e-09
-62.78,6.100846099999999e-09
-62.769999999999996,8.789144899999998e-09
-62.75999999999999,1.2521509099999997e-08
-62.75,1.76645921e-08
-62.739999999999995,2.4648671999999996e-08
-62.730000000000004,3.402417599999999e-08
-62.72,4.6472491999999986e-08
-62.709999999999994,6.295430999999998e-08
-62.7,8.423395e-08
-62.69,1.1157239999999997e-07
-62.67999999999999,1.4622497999999998e-07
-62.67,1.8978783999999998e-07
-62.66,2.436880000000001e-07
-62.64999999999999,3.095684e-07
-62.64,3.901194e-07
-62.629999999999995,4.856233000000001e-07
-62.61999999999999,5.985589000000001e-07
-62.61,7.310453000000001e-07
-62.599999999999994,8.826557000000002e-07
-62.59,1.0578140000000002e-06
-62.58,1.2520780000000003e-06
-62.56999999999999,1.4697110000000002e-06
-62.56,1.709376e-06
-62.55,1.9689949999999998e-06
-62.53999999999999,2.246922e-06
-62.53,2.54151e-06
-62.519999999999996,2.851429999999999e-06
-62.50999999999999,3.1708499999999995e-06
-62.5,3.4999400000000004e-06
-62.489999999999995,3.828649999999999e-06
-62.480000000000004,4.167669999999999e-06
-62.47,4.50578e-06
-62.459999999999994,4.8412500000000004e-06
-62.45,5.17193e-06
-62.44,5.492699999999999e-06
-62.42999999999999,5.821000000000001e-06
-62.42,6.138399999999999e-06
-62.41,6.4546e-06
-62.39999999999999,6.773099999999998e-06
-62.39,7.093199999999998e-06
-62.379999999999995,7.407599999999999e-06
-62.36999999999999,7.735899999999998e-06
-62.36,8.054900000000003e-06
-62.349999999999994,8.376500000000004e-06
-62.34,8.7e-06
-62.33,9.007700000000004e-06
-62.31999999999999,9.2976e-06
-62.31,9.565000000000002e-06
-62.3,9.799800000000004e-06
-62.28999999999999,9.991000000000005e-06
-62.28,1.0142000000000006e-05
-62.269999999999996,1.0231e-05
-62.25999999999999,1.0246999999999999e-05
-62.25,1.0181000000000001e-05
-62.239999999999995,1.0069e-05
-62.230000000000004,9.857000000000004e-06
-62.22,9.574000000000007e-06
-62.209999999999994,9.228000000000002e-06
-62.2,8.8156e-06
-62.19,8.332499999999997e-06
-62.17999999999999,7.814499999999998e-06
-62.17,7.258699999999997e-06
-62.16,6.6719000000000004e-06
-62.14999999999999,6.0766e-06
-62.14,5.478500000000001e-06
-62.129999999999995,4.891899999999998e-06
-62.11999999999999,4.3267e-06
-62.11,3.7845e-06
-62.099999999999994,3.277699999999999e-06
-62.09,2.8106000000000002e-06
-62.08,2.3849000000000007e-06
-62.06999999999999,2.003400000000001e-06
-62.06,1.6657000000000002e-06
-62.05,1.3702000000000007e-06
-62.03999999999999,1.1159099999999994e-06
-62.03,8.992199999999997e-07
-62.019999999999996,7.170999999999998e-07
-62.00999999999999,5.661000000000002e-07
-62.0,4.4241999999999996e-07
-61.989999999999995,3.4211e-07
-61.980000000000004,2.6176e-07
-61.97,1.9819999999999994e-07
-61.959999999999994,1.4852000000000004e-07
-61.95,1.10186e-07
-61.94,8.081599999999997e-08
-61.92999999999999,5.8704e-08
-61.92,4.220799999999999e-08
-61.91,3.0015999999999996e-08
-61.89999999999999,2.1119e-08
-61.89,1.4712400000000001e-08
-61.879999999999995,1.01424e-08
-61.86999999999999,6.916999999999998e-09
-61.86,4.669099999999999e-09
-61.849999999999994,3.119999999999999e-09
-61.84,2.0621000000000006e-09
-61.83,1.34898e-09
-61.81999999999999,8.732100000000004e-10
-61.81,5.5924e-10
-61.8,3.5470000000000003e-10
-61.78999999999999,2.2246999999999998e-10
-61.78,1.3809699999999997e-10
-61.769999999999996,8.4821e-11
-61.75999999999999,5.1536e-11
-61.75,3.1019999999999993e-11
-61.739999999999995,1.8463000000000003e-11
-61.730000000000004,1.0876300000000002e-11
-61.72,6.3381e-12
-61.709999999999994,3.6565e-12
-61.7,2.0870000000000003e-12
-61.69,1.1789099999999997e-12
-61.67999999999999,6.586500000000001e-13
-61.67,3.6438000000000006e-13
-61.66,1.9939299999999994e-13
-61.64999999999999,1.0799100000000006e-13
-61.64,5.7865e-14
-61.629999999999995,3.06823e-14
-61.61999999999999,1.6095700000000003e-14
-61.61,8.354800000000002e-15
-61.599999999999994,4.2945e-15
-61.59,2.18356e-15
-61.58,1.09862e-15
-61.56999999999999,5.4428e-16
-61.56,2.623979999999999e-16
-61.55,1.23234e-16
-61.53999999999999,5.36389e-17
-61.53,1.978804978000001e-17
-61.519999999999996,7.206014535999999e-18
-61.50999999999999,8.387934534399999e-19
-61.5,0.0
-61.489999999999995,0.0
-61.480000000000004,0.0
-61.47,0.0
-61.459999999999994,0.0
-61.45,0.0
-61.44,0.0
-61.42999999999999,0.0
-61.42,0.0
-61.41,0.0
-61.39999999999999,0.0
-61.39,0.0
-61.379999999999995,0.0
-61.36999999999999,0.0
-61.36,0.0
-61.349999999999994,0.0
-61.34,0.0
-61.33,0.0
-61.31999999999999,0.0
-61.31,0.0
-61.3,0.0
-61.28999999999999,0.0
-61.28,0.0
-61.269999999999996,0.0
-61.25999999999999,0.0
-61.25,0.0
-61.239999999999995,0.0
-61.230000000000004,0.0
-61.22,0.0
-61.209999999999994,0.0
-61.2,0.0
-61.19,0.0
-61.17999999999999,0.0
-61.17,0.0
-61.16,0.0
-61.14999999999999,0.0
-61.14,0.0
-61.129999999999995,0.0
-61.11999999999999,0.0
-61.11,0.0
-61.099999999999994,0.0
-61.09,0.0
-61.08,0.0
-61.06999999999999,0.0
-61.06,0.0
-61.05,0.0
-61.03999999999999,0.0
-61.03,0.0
-61.019999999999996,0.0
-61.00999999999999,0.0
-61.0,0.0
-60.989999999999995,0.0
-60.980000000000004,0.0
-60.97,0.0
-60.959999999999994,0.0
-60.95,0.0
-60.94,0.0
-60.92999999999999,0.0
-60.92,0.0
-60.91,0.0
-60.89999999999999,0.0
-60.89,0.0
-60.879999999999995,0.0
-60.86999999999999,0.0
-60.86,0.0
-60.849999999999994,0.0
-60.84,0.0
-60.83,0.0
-60.81999999999999,0.0
-60.81,0.0
-60.8,0.0
-60.78999999999999,0.0
-60.78,0.0
-60.769999999999996,0.0
-60.75999999999999,0.0
-60.75,0.0
-60.739999999999995,0.0
-60.730000000000004,0.0
-60.72,0.0
-60.709999999999994,0.0
-60.7,0.0
-60.69,0.0
-60.67999999999999,0.0
-60.67,0.0
-60.66,0.0
-60.64999999999999,0.0
-60.64,0.0
-60.629999999999995,0.0
-60.61999999999999,0.0
-60.61,0.0
-60.599999999999994,0.0
-60.59,0.0
-60.58,0.0
-60.56999999999999,0.0
-60.56,0.0
-60.55,0.0
-60.53999999999999,0.0
-60.53,0.0
-60.519999999999996,0.0
-60.50999999999999,0.0
-60.5,0.0
-60.489999999999995,0.0
-60.480000000000004,0.0
-60.47,0.0
-60.459999999999994,0.0
-60.45,0.0
-60.44,0.0
-60.42999999999999,0.0
-60.42,0.0
-60.41,0.0
-60.39999999999999,0.0
-60.39,0.0
-60.379999999999995,0.0
-60.36999999999999,0.0
-60.36,0.0
-60.349999999999994,0.0
-60.34,0.0
-60.33,0.0
-60.31999999999999,0.0
-60.31,0.0
-60.3,0.0
-60.28999999999999,0.0
-60.28,0.0
-60.269999999999996,0.0
-60.25999999999999,0.0
-60.25,0.0
-60.239999999999995,0.0
-60.230000000000004,0.0
-60.22,0.0
-60.209999999999994,0.0
-60.2,0.0
-60.19,0.0
-60.17999999999999,0.0
-60.17,0.0
-60.16,0.0
-60.14999999999999,0.0
-60.14,0.0
-60.129999999999995,0.0
-60.11999999999999,0.0
-60.11,0.0
-60.099999999999994,0.0
-60.09,0.0
-60.08,0.0
-60.06999999999999,0.0
-60.06,0.0
-60.05,0.0
-60.03999999999999,0.0
-60.03,0.0
-60.019999999999996,0.0
-60.00999999999999,0.0
-60.0,0.0
-59.989999999999995,0.0
-59.980000000000004,0.0
-59.97,0.0
-59.959999999999994,0.0
-59.95,0.0
-59.94,0.0
-59.92999999999999,0.0
-59.92,0.0
-59.91,0.0
-59.89999999999999,0.0
-59.89,0.0
-59.879999999999995,0.0
-59.86999999999999,0.0
-59.86,0.0
-59.849999999999994,0.0
-59.84,0.0
-59.83,0.0
-59.81999999999999,0.0
-59.81,0.0
-59.8,0.0
-59.78999999999999,0.0
-59.78,0.0
-59.769999999999996,0.0
-59.75999999999999,0.0
-59.75,0.0
-59.739999999999995,0.0
-59.730000000000004,0.0
-59.72,0.0
-59.709999999999994,0.0
-59.7,0.0
-59.69,0.0
-59.67999999999999,0.0
-59.669999999999995,0.0
-59.66,0.0
-59.65,0.0
-59.64,0.0
-59.629999999999995,0.0
-59.62,0.0
-59.61,0.0
-59.599999999999994,0.0
-59.589999999999996,0.0
-59.58,0.0
-59.57,0.0
-59.559999999999995,0.0
-59.55,0.0
-59.54,0.0
-59.529999999999994,0.0
-59.519999999999996,0.0
-59.51,0.0
-59.5,0.0
-59.489999999999995,0.0
-59.48,0.0
-59.47,0.0
-59.459999999999994,0.0
-59.449999999999996,0.0
-59.44,0.0
-59.43,0.0
-59.419999999999995,0.0
-59.41,0.0
-59.4,0.0
-59.39,0.0
-59.379999999999995,0.0
-59.37,0.0
-59.36,0.0
-59.349999999999994,0.0
-59.339999999999996,0.0
-59.33,0.0
-59.32,0.0
-59.309999999999995,0.0
-59.3,0.0
-59.29,0.0
-59.279999999999994,0.0
-59.269999999999996,0.0
-59.26,0.0
-59.25,0.0
-59.239999999999995,0.0
-59.23,0.0
-59.22,0.0
-59.209999999999994,0.0
-59.199999999999996,0.0
-59.19,0.0
-59.18,0.0
-59.169999999999995,0.0
-59.16,0.0
-59.15,0.0
-59.14,0.0
-59.129999999999995,0.0
-59.12,0.0
-59.11,0.0
-59.099999999999994,0.0
-59.089999999999996,0.0
-59.08,0.0
-59.07,0.0
-59.059999999999995,0.0
-59.05,0.0
-59.04,0.0
-59.029999999999994,0.0
-59.019999999999996,0.0
-59.01,0.0
-59.0,0.0
-58.989999999999995,0.0
-58.98,0.0
-58.97,0.0
-58.959999999999994,0.0
-58.949999999999996,0.0
-58.94,0.0
-58.93,0.0
-58.919999999999995,0.0
-58.91,0.0
-58.9,0.0
-58.89,0.0
-58.879999999999995,0.0
-58.87,0.0
-58.86,0.0
-58.849999999999994,0.0
-58.839999999999996,0.0
-58.83,0.0
-58.82,0.0
-58.809999999999995,0.0
-58.8,0.0
-58.79,0.0
-58.779999999999994,0.0
-58.769999999999996,0.0
-58.76,0.0
-58.75,0.0
-58.739999999999995,0.0
-58.73,0.0
-58.72,0.0
-58.709999999999994,0.0
-58.699999999999996,0.0
-58.69,0.0
-58.68,0.0
-58.669999999999995,0.0
-58.66,0.0
-58.65,0.0
-58.64,0.0
-58.629999999999995,0.0
-58.62,0.0
-58.61,0.0
-58.599999999999994,0.0
-58.589999999999996,0.0
-58.58,0.0
-58.57,0.0
-58.559999999999995,0.0
-58.55,0.0
-58.54,0.0
-58.529999999999994,0.0
-58.519999999999996,0.0
-58.51,0.0
-58.5,0.0
-58.489999999999995,0.0
-58.48,0.0
-58.47,0.0
-58.459999999999994,0.0
-58.449999999999996,0.0
-58.44,0.0
-58.43,0.0
-58.419999999999995,0.0
-58.41,0.0
-58.4,0.0
-58.39,0.0
-58.379999999999995,0.0
-58.37,0.0
-58.36,0.0
-58.349999999999994,0.0
-58.339999999999996,0.0
-58.33,0.0
-58.32,0.0
-58.309999999999995,0.0
-58.3,0.0
-58.29,0.0
-58.279999999999994,0.0
-58.269999999999996,0.0
-58.26,0.0
-58.25,0.0
-58.239999999999995,0.0
-58.23,0.0
-58.22,0.0
-58.209999999999994,0.0
-58.199999999999996,0.0
-58.19,0.0
-58.18,0.0
-58.169999999999995,0.0
-58.16,0.0
-58.15,0.0
-58.14,0.0
-58.129999999999995,0.0
-58.12,0.0
-58.11,0.0
-58.099999999999994,0.0
-58.089999999999996,0.0
-58.08,0.0
-58.07,0.0
-58.059999999999995,0.0
-58.05,0.0
-58.04,0.0
-58.029999999999994,0.0
-58.019999999999996,0.0
-58.01,0.0
-58.0,0.0
-57.989999999999995,0.0
-57.98,0.0
-57.97,0.0
-57.959999999999994,0.0
-57.949999999999996,0.0
-57.94,0.0
-57.93,0.0
-57.919999999999995,0.0
-57.91,0.0
-57.9,0.0
-57.89,0.0
-57.879999999999995,0.0
-57.87,0.0
-57.86,0.0
-57.849999999999994,0.0
-57.839999999999996,0.0
-57.83,0.0
-57.82,0.0
-57.809999999999995,0.0
-57.8,0.0
-57.79,0.0
-57.779999999999994,0.0
-57.769999999999996,0.0
-57.76,0.0
-57.75,0.0
-57.739999999999995,0.0
-57.73,0.0
-57.72,0.0
-57.709999999999994,0.0
-57.699999999999996,0.0
-57.69,0.0
-57.68,0.0
-57.669999999999995,0.0
-57.66,0.0
-57.65,0.0
-57.64,0.0
-57.629999999999995,0.0
-57.62,0.0
-57.61,0.0
-57.599999999999994,0.0
-57.589999999999996,0.0
-57.58,0.0
-57.57,0.0
-57.559999999999995,0.0
-57.55,0.0
-57.54,0.0
-57.529999999999994,0.0
-57.519999999999996,0.0
-57.51,0.0
-57.5,0.0
-57.489999999999995,0.0
-57.48,0.0
-57.47,0.0
-57.459999999999994,0.0
-57.449999999999996,0.0
-57.44,0.0
-57.43,0.0
-57.419999999999995,0.0
-57.41,0.0
-57.4,0.0
-57.39,0.0
-57.379999999999995,0.0
-57.37,0.0
-57.36,0.0
-57.349999999999994,0.0
-57.339999999999996,0.0
-57.33,0.0
-57.32,0.0
-57.309999999999995,0.0
-57.3,0.0
-57.29,0.0
-57.279999999999994,0.0
-57.269999999999996,0.0
-57.26,0.0
-57.25,0.0
-57.239999999999995,0.0
-57.23,0.0
-57.22,0.0
-57.209999999999994,0.0
-57.199999999999996,0.0
-57.19,0.0
-57.18,0.0
-57.169999999999995,0.0
-57.16,0.0
-57.15,0.0
-57.14,0.0
-57.129999999999995,0.0
-57.12,0.0
-57.11,0.0
-57.099999999999994,0.0
-57.089999999999996,0.0
-57.08,0.0
-57.07,0.0
-57.059999999999995,0.0
-57.05,0.0
-57.04,0.0
-57.029999999999994,0.0
-57.019999999999996,0.0
-57.01,0.0
-57.0,0.0
-56.989999999999995,0.0
-56.98,0.0
-56.97,0.0
-56.959999999999994,0.0
-56.949999999999996,0.0
-56.94,0.0
-56.93,0.0
-56.919999999999995,0.0
-56.91,0.0
-56.9,0.0
