,S_1s
-62.86,6.374476220000003e-06
-62.849999999999994,1.0058960310000002e-05
-62.84,1.5689037799999992e-05
-62.83,2.425122670000001e-05
-62.81999999999999,3.7062646299999994e-05
-62.81,5.614412939999997e-05
-62.8,8.420547999999998e-05
-62.78999999999999,0.000124771557
-62.78,0.00018338348599999997
-62.769999999999996,0.00026653970999999997
-62.75999999999999,0.00038365478000000006
-62.75,0.0005464558800000002
-62.739999999999995,0.0007711520600000001
-62.730000000000004,0.0010765282000000003
-62.72,0.0014887168
-62.709999999999994,0.0020381569
-62.7,0.002761185900000002
-62.69,0.003705424600000001
-62.67999999999999,0.004928908999999998
-62.67,0.006486146999999998
-62.66,0.008454408
-62.64999999999999,0.010908651000000002
-62.64,0.013944406999999997
-62.629999999999995,0.017642589999999993
-62.61999999999999,0.022128340000000003
-62.61,0.027487610000000013
-62.599999999999994,0.033845739999999985
-62.59,0.04125994999999998
-62.58,0.04984798
-62.56999999999999,0.05970919999999999
-62.56,0.07086900000000002
-62.55,0.08342469999999999
-62.53999999999999,0.09739459999999998
-62.53,0.11271789999999995
-62.519999999999996,0.12951669999999998
-62.50999999999999,0.14764499999999986
-62.5,0.16713800000000006
-62.489999999999995,0.18794899999999992
-62.480000000000004,0.2099930000000001
-62.47,0.23328600000000005
-62.459999999999994,0.25774199999999997
-62.45,0.28326800000000024
-62.44,0.30997399999999997
-62.42999999999999,0.33777199999999996
-62.42,0.3665699999999998
-62.41,0.3968700000000005
-62.39999999999999,0.4280600000000002
-62.39,0.46020000000000005
-62.379999999999995,0.4933299999999996
-62.36999999999999,0.5274800000000004
-62.36,0.5620400000000001
-62.349999999999994,0.5966899999999997
-62.34,0.6314800000000003
-62.33,0.6654599999999999
-62.31999999999999,0.69809
-62.31,0.7285899999999997
-62.3,0.7564500000000005
-62.28999999999999,0.7805699999999997
-62.28,0.8003800000000005
-62.269999999999996,0.81511
-62.25999999999999,0.8241100000000005
-62.25,0.8268699999999995
-62.239999999999995,0.8229530000000006
-62.230000000000004,0.8122540000000008
-62.22,0.7948519999999998
-62.209999999999994,0.7708780000000008
-62.2,0.7410039999999998
-62.19,0.7056380000000003
-62.17999999999999,0.6656480000000001
-62.17,0.6219119999999996
-62.16,0.5754680000000003
-62.14999999999999,0.5272849999999994
-62.14,0.4784303000000002
-62.129999999999995,0.42960119999999963
-62.11999999999999,0.3820052999999998
-62.11,0.3362725000000002
-62.099999999999994,0.292947
-62.09,0.25268129999999994
-62.08,0.21570527999999997
-62.06999999999999,0.18213266
-62.06,0.15238336000000002
-62.05,0.12610431999999996
-62.03999999999999,0.10328614000000005
-62.03,0.08368243999999996
-62.019999999999996,0.06712583099999998
-62.00999999999999,0.05328141399999997
-62.0,0.04185955999999998
-61.989999999999995,0.03253339099999999
-61.980000000000004,0.025025369999999974
-61.97,0.019061004399999998
-61.959999999999994,0.014357499600000012
-61.95,0.010691392099999997
-61.94,0.0078920105
-61.92999999999999,0.0057618765
-61.92,0.00416158565
-61.91,0.002974576190000003
-61.89999999999999,0.0021037338400000005
-61.89,0.0014719450200000005
-61.879999999999995,0.0010197965019999994
-61.86999999999999,0.0006986730799999999
-61.86,0.000473855301
-61.849999999999994,0.0003179352240000002
-61.84,0.00021111671750000002
-61.83,0.00013870507990000006
-61.81999999999999,9.019421850000003e-05
-61.81,5.79867301e-05
-61.8,3.6908190970000006e-05
-61.78999999999999,2.3246961939999993e-05
-61.78,1.448256677e-05
-61.769999999999996,8.931926680000003e-06
-61.75999999999999,5.448985104000003e-06
-61.75,3.289053156999999e-06
-61.739999999999995,1.9649818059999984e-06
-61.730000000000004,1.1613934079e-06
-61.72,6.789628926999999e-07
-61.709999999999994,3.9292185110000017e-07
-61.7,2.249621885799999e-07
-61.69,1.2743811156999993e-07
-61.67999999999999,7.142148433e-08
-61.67,3.9623631226000013e-08
-61.66,2.1744891749999998e-08
-61.64999999999999,1.1805354075000009e-08
-61.64,6.338080521e-09
-61.629999999999995,3.3711416180000028e-09
-61.61999999999999,1.7731812955999987e-09
-61.61,9.224307792999997e-10
-61.599999999999994,4.7502039808e-10
-61.59,2.419816759899999e-10
-61.58,1.2200029572999998e-10
-61.56999999999999,6.072457341900002e-11
-61.56,2.969661274780001e-11
-61.55,1.4083187768100004e-11
-61.53999999999999,6.3631481026400036e-12
-61.53,2.6754325706310153e-12
-61.519999999999996,7.92892479435693e-13
-61.50999999999999,1.1842979151822643e-14
-61.5,0.0
-61.489999999999995,0.0
-61.480000000000004,0.0
-61.47,0.0
-61.459999999999994,0.0
-61.45,0.0
-61.44,0.0
-61.42999999999999,0.0
-61.42,0.0
-61.41,0.0
-61.39999999999999,0.0
-61.39,0.0
-61.379999999999995,0.0
-61.36999999999999,0.0
-61.36,0.0
-61.349999999999994,0.0
-61.34,0.0
-61.33,0.0
-61.31999999999999,0.0
-61.31,0.0
-61.3,0.0
-61.28999999999999,0.0
-61.28,0.0
-61.269999999999996,0.0
-61.25999999999999,0.0
-61.25,0.0
-61.239999999999995,0.0
-61.230000000000004,0.0
-61.22,0.0
-61.209999999999994,0.0
-61.2,0.0
-61.19,0.0
-61.17999999999999,0.0
-61.17,0.0
-61.16,0.0
-61.14999999999999,0.0
-61.14,0.0
-61.129999999999995,0.0
-61.11999999999999,0.0
-61.11,0.0
-61.099999999999994,0.0
-61.09,0.0
-61.08,0.0
-61.06999999999999,0.0
-61.06,0.0
-61.05,0.0
-61.03999999999999,0.0
-61.03,0.0
-61.019999999999996,0.0
-61.00999999999999,0.0
-61.0,0.0
-60.989999999999995,0.0
-60.980000000000004,0.0
-60.97,0.0
-60.959999999999994,0.0
-60.95,0.0
-60.94,0.0
-60.92999999999999,0.0
-60.92,0.0
-60.91,0.0
-60.89999999999999,0.0
-60.89,0.0
-60.879999999999995,0.0
-60.86999999999999,0.0
-60.86,0.0
-60.849999999999994,0.0
-60.84,0.0
-60.83,0.0
-60.81999999999999,0.0
-60.81,0.0
-60.8,0.0
-60.78999999999999,0.0
-60.78,0.0
-60.769999999999996,0.0
-60.75999999999999,0.0
-60.75,0.0
-60.739999999999995,0.0
-60.730000000000004,0.0
-60.72,0.0
-60.709999999999994,0.0
-60.7,0.0
-60.69,0.0
-60.67999999999999,0.0
-60.67,0.0
-60.66,0.0
-60.64999999999999,0.0
-60.64,0.0
-60.629999999999995,0.0
-60.61999999999999,0.0
-60.61,0.0
-60.599999999999994,0.0
-60.59,0.0
-60.58,0.0
-60.56999999999999,0.0
-60.56,0.0
-60.55,0.0
-60.53999999999999,0.0
-60.53,0.0
-60.519999999999996,0.0
-60.50999999999999,0.0
-60.5,0.0
-60.489999999999995,0.0
-60.480000000000004,0.0
-60.47,0.0
-60.459999999999994,0.0
-60.45,0.0
-60.44,0.0
-60.42999999999999,0.0
-60.42,0.0
-60.41,0.0
-60.39999999999999,0.0
-60.39,0.0
-60.379999999999995,0.0
-60.36999999999999,0.0
-60.36,0.0
-60.349999999999994,0.0
-60.34,0.0
-60.33,0.0
-60.31999999999999,0.0
-60.31,0.0
-60.3,0.0
-60.28999999999999,0.0
-60.28,0.0
-60.269999999999996,0.0
-60.25999999999999,0.0
-60.25,0.0
-60.239999999999995,0.0
-60.230000000000004,0.0
-60.22,0.0
-60.209999999999994,0.0
-60.2,0.0
-60.19,0.0
-60.17999999999999,0.0
-60.17,0.0
-60.16,0.0
-60.14999999999999,0.0
-60.14,0.0
-60.129999999999995,0.0
-60.11999999999999,0.0
-60.11,0.0
-60.099999999999994,0.0
-60.09,0.0
-60.08,0.0
-60.06999999999999,0.0
-60.06,0.0
-60.05,0.0
-60.03999999999999,0.0
-60.03,0.0
-60.019999999999996,0.0
-60.00999999999999,0.0
-60.0,0.0
-59.989999999999995,0.0
-59.980000000000004,0.0
-59.97,0.0
-59.959999999999994,0.0
-59.95,0.0
-59.94,0.0
-59.92999999999999,0.0
-59.92,0.0
-59.91,0.0
-59.89999999999999,0.0
-59.89,0.0
-59.879999999999995,0.0
-59.86999999999999,0.0
-59.86,0.0
-59.849999999999994,0.0
-59.84,0.0
-59.83,0.0
-59.81999999999999,0.0
-59.81,0.0
-59.8,0.0
-59.78999999999999,0.0
-59.78,0.0
-59.769999999999996,0.0
-59.75999999999999,0.0
-59.75,0.0
-59.739999999999995,0.0
-59.730000000000004,0.0
-59.72,0.0
-59.709999999999994,0.0
-59.7,0.0
-59.69,0.0
-59.67999999999999,0.0
-59.669999999999995,0.0
-59.66,0.0
-59.65,0.0
-59.64,0.0
-59.629999999999995,0.0
-59.62,0.0
-59.61,0.0
