,Mo_3py
-83.7565,8.298334844365299e-10
-83.7465,1.2825325603375895e-09
-83.73649999999999,1.9602395213493303e-09
-83.7265,2.961927801248681e-09
-83.7165,4.443213940276509e-09
-83.70649999999999,6.56865475513515e-09
-83.6965,9.6291452301499e-09
-83.6865,1.3955671033485302e-08
-83.67649999999999,1.9992112716827807e-08
-83.6665,2.8386072650675212e-08
-83.6565,3.97597615117193e-08
-83.64649999999999,5.511165600776842e-08
-83.6365,7.56812006997739e-08
-83.6265,1.02833449119928e-07
-83.6165,1.38118304520851e-07
-83.6065,1.8338211512414802e-07
-83.59649999999999,2.412058204341589e-07
-83.5865,3.136240087757891e-07
-83.5765,4.0367653637140103e-07
-83.56649999999999,5.13558731345137e-07
-83.5565,6.467336786209019e-07
-83.5465,8.05506727024699e-07
-83.53649999999999,9.928238076771303e-07
-83.5265,1.2083101416906994e-06
-83.5165,1.4577058189116099e-06
-83.5065,1.7396320103947605e-06
-83.4965,2.0553873061558504e-06
-83.48649999999999,2.3941938521979703e-06
-83.4765,2.7648259964564297e-06
-83.4665,3.15698753694992e-06
-83.45649999999999,3.568613395592428e-06
-83.4465,3.997421407302951e-06
-83.4365,4.4115525920684794e-06
-83.42649999999999,4.835233591726988e-06
-83.4165,5.231484086242488e-06
-83.4065,5.600832080518942e-06
-83.39649999999999,5.933856557428359e-06
-83.3865,6.212537938960709e-06
-83.3765,6.4444554409629875e-06
-83.3665,6.601557381400187e-06
-83.3565,6.697444188241311e-06
-83.34649999999999,6.719116602433339e-06
-83.3365,6.6677627439932715e-06
-83.3265,6.5487833619461315e-06
-83.31649999999999,6.366208787291892e-06
-83.3065,6.11443102110159e-06
-83.2965,5.8162984054072074e-06
-83.28649999999999,5.468611782348778e-06
-83.2765,5.091033414993311e-06
-83.2665,4.681572628390809e-06
-83.2565,4.25766368568029e-06
-83.2465,3.839754401968761e-06
-83.23649999999999,3.413886520261241e-06
-83.2265,3.0164417406607397e-06
-83.2165,2.62620432724996e-06
-83.20649999999999,2.2695134180610103e-06
-83.1965,1.9346720451173005e-06
-83.1865,1.6320600564440288e-06
-83.17649999999999,1.3635177000606907e-06
-83.1665,1.1271648784678005e-06
-83.1565,9.198213322454399e-07
-83.14649999999999,7.444280386828228e-07
-83.1365,5.954518051645381e-07
-83.1265,4.706465018653838e-07
-83.1165,3.684067576608572e-07
-83.1065,2.857292637244539e-07
-83.09649999999999,2.190748835331911e-07
-83.0865,1.6553866976505511e-07
-83.0765,1.24047946497644e-07
-83.06649999999999,9.198213312434403e-08
-83.0565,6.745028188722381e-08
-83.0465,4.898058766349083e-08
-83.03649999999999,3.511736306102359e-08
-83.0265,2.493283800078899e-08
-83.0165,1.7540371805203793e-08
-83.0065,1.2201928447793097e-08
-82.9965,8.386961421148403e-09
-82.98649999999999,5.70193914443307e-09
-82.9765,3.836733370931759e-09
-82.9665,2.5507008635759696e-09
-82.95649999999999,1.6797545908664794e-09
-82.9465,1.0959744615790598e-09
-82.9365,7.05516110539675e-10
-82.92649999999999,4.49279911078158e-10
-82.9165,2.83862727707052e-10
-82.9065,1.7684212596388905e-10
-82.89649999999999,1.0906541998467503e-10
-82.8865,6.66134139191326e-11
-82.8765,4.020331019571988e-11
-82.8665,2.4078950022502806e-11
-82.8565,1.4199549665712598e-11
-82.84649999999999,8.308734896440296e-12
-82.8365,4.802351961458959e-12
-82.8265,2.7459406183044102e-12
-82.81649999999999,1.5533161697639305e-12
-82.8065,8.6988656599988e-13
-82.7965,4.820813188638979e-13
-82.78649999999999,2.6436075863754797e-13
-82.7765,1.4333279026667805e-13
-82.7665,7.677748060935529e-14
-82.7565,4.074887068047051e-14
-82.7465,2.1378339309100494e-14
-82.73649999999999,1.1104396453115791e-14
-82.7265,5.7019391144210714e-15
-82.7165,2.8974864696005898e-15
-82.70649999999999,1.45544556387571e-15
-82.6965,7.232814577994972e-16
-82.6865,3.56308907048241e-16
-82.67649999999999,1.7306894393094513e-16
-82.6665,8.321547460690302e-17
-82.6565,3.962754049072918e-17
-82.64649999999999,0.0
-82.6365,0.0
-82.6265,0.0
-82.6165,0.0
-82.6065,0.0
-82.59649999999999,0.0
-82.5865,0.0
-82.5765,0.0
-82.56649999999999,0.0
-82.5565,0.0
-82.5465,0.0
-82.53649999999999,0.0
-82.5265,0.0
-82.5165,0.0
-82.5065,0.0
-82.4965,0.0
-82.48649999999999,0.0
-82.4765,0.0
-82.4665,0.0
-82.45649999999999,0.0
-82.4465,0.0
-82.4365,0.0
-82.42649999999999,0.0
-82.4165,0.0
-82.4065,0.0
-82.39649999999999,0.0
-82.3865,0.0
-82.3765,0.0
-82.3665,0.0
-82.3565,0.0
-82.34649999999999,0.0
-82.3365,0.0
-82.3265,0.0
-82.31649999999999,0.0
-82.3065,0.0
-82.2965,0.0
-82.28649999999999,0.0
-82.2765,0.0
-82.2665,0.0
-82.2565,0.0
-82.2465,0.0
-82.23649999999999,0.0
-82.2265,0.0
-82.2165,0.0
-82.20649999999999,0.0
-82.1965,0.0
-82.1865,0.0
-82.17649999999999,0.0
-82.1665,0.0
-82.1565,0.0
-82.14649999999999,0.0
-82.1365,0.0
-82.1265,0.0
-82.1165,0.0
-82.1065,0.0
-82.09649999999999,0.0
-82.0865,0.0
-82.0765,0.0
-82.06649999999999,0.0
-82.0565,0.0
-82.0465,0.0
-82.03649999999999,0.0
-82.0265,0.0
-82.0165,0.0
-82.0065,0.0
-81.9965,0.0
-81.98649999999999,0.0
-81.9765,0.0
-81.9665,0.0
-81.95649999999999,0.0
-81.9465,0.0
-81.9365,0.0
-81.92649999999999,0.0
-81.9165,0.0
-81.9065,0.0
-81.89649999999999,0.0
-81.8865,0.0
-81.8765,0.0
-81.8665,0.0
-81.8565,0.0
-81.84649999999999,0.0
-81.8365,0.0
-81.8265,0.0
-81.81649999999999,0.0
-81.8065,0.0
-81.7965,0.0
-81.78649999999999,0.0
-81.7765,0.0
-81.7665,0.0
-81.7565,0.0
-81.7465,0.0
-81.73649999999999,0.0
-81.7265,0.0
-81.7165,0.0
-81.70649999999999,0.0
-81.6965,0.0
-81.6865,0.0
-81.67649999999999,0.0
-81.6665,0.0
-81.6565,0.0
-81.64649999999999,0.0
-81.6365,0.0
-81.6265,0.0
-81.6165,0.0
-81.6065,0.0
-81.59649999999999,0.0
-81.5865,0.0
-81.5765,0.0
-81.56649999999999,0.0
-81.5565,0.0
-81.5465,0.0
-81.53649999999999,0.0
-81.5265,0.0
-81.5165,0.0
-81.5065,0.0
-81.4965,0.0
-81.48649999999999,0.0
-81.4765,0.0
-81.4665,0.0
-81.45649999999999,0.0
-81.4465,0.0
-81.4365,0.0
-81.42649999999999,0.0
-81.4165,0.0
-81.4065,0.0
-81.39649999999999,0.0
-81.3865,0.0
-81.3765,0.0
-81.3665,0.0
-81.3565,0.0
-81.34649999999999,0.0
-81.3365,0.0
-81.3265,0.0
-81.31649999999999,0.0
-81.3065,0.0
-81.2965,0.0
-81.28649999999999,0.0
-81.2765,0.0
-81.2665,0.0
-81.2565,0.0
-81.2465,0.0
-81.23649999999999,0.0
-81.2265,0.0
-81.2165,0.0
-81.20649999999999,0.0
-81.1965,0.0
-81.1865,0.0
-81.17649999999999,0.0
-81.1665,0.0
-81.1565,0.0
-81.14649999999999,0.0
-81.1365,0.0
-81.1265,0.0
-81.1165,0.0
-81.1065,0.0
-81.09649999999999,0.0
-81.0865,0.0
-81.0765,0.0
-81.06649999999999,0.0
-81.0565,0.0
-81.0465,0.0
-81.03649999999999,0.0
-81.0265,0.0
-81.0165,0.0
-81.0065,0.0
-80.9965,0.0
-80.98649999999999,0.0
-80.9765,0.0
-80.9665,0.0
-80.95649999999999,0.0
-80.9465,0.0
-80.9365,0.0
-80.92649999999999,0.0
-80.9165,0.0
-80.9065,0.0
-80.89649999999999,0.0
-80.8865,0.0
-80.8765,0.0
-80.8665,0.0
-80.8565,0.0
-80.84649999999999,0.0
-80.8365,0.0
-80.8265,0.0
-80.81649999999999,0.0
-80.8065,0.0
-80.7965,0.0
-80.78649999999999,0.0
-80.7765,0.0
-80.7665,0.0
-80.7565,0.0
-80.7465,0.0
-80.73649999999999,0.0
