,Mo_4dz2
-83.7565,2.8881039261450095e-08
-83.7465,4.465569024219439e-08
-83.73649999999999,6.822615222299261e-08
-83.7265,1.03280263915091e-07
-83.7165,1.5452520467344904e-07
-83.70649999999999,2.2886111972245598e-07
-83.6965,3.34932756947407e-07
-83.6865,4.868358098671698e-07
-83.67649999999999,6.956880256824607e-07
-83.6665,9.862806389141402e-07
-83.6565,1.3830733848808892e-06
-83.64649999999999,1.9207318800474996e-06
-83.6365,2.6358813191977506e-06
-83.6265,3.5666381990653897e-06
-83.6165,4.806835936182491e-06
-83.6065,6.388305136243059e-06
-83.59649999999999,8.40378257935155e-06
-83.5865,1.0916296288399504e-05
-83.5765,1.40468242612705e-05
-83.56649999999999,1.7891699755301103e-05
-83.5565,2.2513935477930704e-05
-83.5465,2.8053610341967502e-05
-83.53649999999999,3.44267928663826e-05
-83.5265,4.21734683728508e-05
-83.5165,5.0854685182316305e-05
-83.5065,6.0473450584855196e-05
-83.4965,7.16297295699712e-05
-83.48649999999999,8.341949603705079e-05
-83.4765,9.643681346537798e-05
-83.4665,0.00011009340650297897
-83.45649999999999,0.00012435037642805302
-83.4465,0.000138937417494751
-83.4365,0.000153824758964466
-83.42649999999999,0.000168281784430376
-83.4165,0.00018203840188894097
-83.4065,0.000195064539136766
-83.39649999999999,0.00020653018976633697
-83.3865,0.00021643502538104203
-83.3765,0.00022420892047386598
-83.3665,0.00022989159303979498
-83.3565,0.000233203276870033
-83.34649999999999,0.00023411370608696102
-83.3365,0.00023228283666559403
-83.3265,0.00022813070351841797
-83.31649999999999,0.00022151761474605702
-83.3065,0.00021304331243840203
-83.2965,0.000202508389320473
-83.28649999999999,0.00019041236038358102
-83.2765,0.00017707612873163898
-83.2665,0.000163099168569363
-83.2565,0.00014854213960311603
-83.2465,0.000133654795334302
-83.23649999999999,0.000119067757566007
-83.2265,0.00010491109415506001
-83.2165,9.148156897988098e-05
-83.20649999999999,7.907332164599768e-05
-83.1965,6.729574237264361e-05
-83.1865,5.67535964814618e-05
-83.17649999999999,4.7447055404720696e-05
-83.1665,3.92790556099343e-05
-83.1565,3.194457110818021e-05
-83.14649999999999,2.5923593277059105e-05
-83.1365,2.07260631982774e-05
-83.1265,1.6402962878180203e-05
-83.1165,1.2837227637265399e-05
-83.1065,9.9328166070682e-06
-83.09649999999999,7.5978957493800496e-06
-83.0865,5.767901210114801e-06
-83.0765,4.310899266587771e-06
-83.06649999999999,3.1944570708169993e-06
-83.0565,2.350741673938149e-06
-83.0465,1.7057271985727101e-06
-83.03649999999999,1.22489478405056e-06
-83.0265,8.683425327751581e-07
-83.0165,6.10916772103864e-07
-83.0065,4.2482607366936e-07
-82.9965,2.9180174144413005e-07
-82.98649999999999,1.9845627657661501e-07
-82.9765,1.3365479393178998e-07
-82.9665,8.899618047961502e-08
-82.95649999999999,5.86064370222414e-08
-82.9465,3.814250651757769e-08
