,Mo_4dzx
-83.7565,3.3858719510708284e-08
-83.7465,5.24527208372003e-08
-83.73649999999999,8.00534857799423e-08
-83.7265,1.2115340670059227e-07
-83.7165,1.8132978709376823e-07
-83.70649999999999,2.677826744109709e-07
-83.6965,3.93547594879549e-07
-83.6865,5.694625138775901e-07
-83.67649999999999,8.161811259871779e-07
-83.6665,1.1573752489196469e-06
-83.6565,1.6247475901200484e-06
-83.64649999999999,2.2525694706044493e-06
-83.6365,3.0950341891990987e-06
-83.6265,4.198248756145382e-06
-83.6165,5.642458181681301e-06
-83.6065,7.5038711142046706e-06
-83.59649999999999,9.84874149486134e-06
-83.5865,1.2817383583825796e-05
-83.5765,1.648800407653971e-05
-83.56649999999999,2.0961272775584812e-05
-83.5565,2.6477032982863905e-05
-83.5465,3.2815967271673e-05
-83.53649999999999,4.043832986264421e-05
-83.5265,4.9344152518237576e-05
-83.5165,5.95738692596735e-05
-83.5065,7.110719460179129e-05
-83.4965,8.374446945984172e-05
-83.48649999999999,9.788547463531132e-05
-83.4765,0.00011312992913678422
-83.4665,0.000129176559452663
-83.45649999999999,0.00014582522149357376
-83.4465,0.00016307579122595625
-83.4365,0.00018032656216778785
-83.42649999999999,0.00019737481690909812
-83.4165,0.0002136230609269439
-83.4065,0.00022866755302750402
-83.39649999999999,0.00024210700070014104
-83.3865,0.0002537397857214421
-83.3765,0.00026256689071154694
-83.3665,0.000270186513537955
-83.3565,0.00027299793781887104
-83.34649999999999,0.00027520126473341806
-83.3365,0.00027279429989337
-83.3265,0.0002675814366955049
-83.31649999999999,0.0002597582870445189
-83.3065,0.000249528048241224
-83.2965,0.0002374922426049811
-83.28649999999999,0.000223251973418493
-83.2765,0.00020760566081539308
-83.2665,0.00019115791458672906
-83.2565,0.0001739073457450987
-83.2465,0.00015665657740107522
-83.23649999999999,0.00013960811856967686
-83.2265,0.0001231591696410957
-83.2165,0.00010731334382589524
-83.20649999999999,9.267009813689139e-05
-83.1965,7.899038742395293e-05
-83.1865,6.667458157077337e-05
-83.17649999999999,5.56424692130093e-05
-83.1665,4.595436014105671e-05
-83.1565,3.7549762344905304e-05
-83.14649999999999,3.04287841221419e-05
-83.1365,2.43108526514924e-05
