,Mo_4dzy
-83.7565,3.386881064314329e-08
-83.7465,5.235277518054361e-08
-83.73649999999999,8.01135606112573e-08
-83.7265,1.2123337253057703e-07
-83.7165,1.8122969614898796e-07
-83.70649999999999,2.6798320547620094e-07
-83.6965,3.933458999293899e-07
-83.6865,5.690593072704882e-07
-83.67649999999999,8.173794456698111e-07
-83.6665,1.1569750825099307e-06
-83.6565,1.6229379653047704e-06
-83.64649999999999,2.247964624192061e-06
-83.6365,3.091004840240751e-06
-83.6265,4.194272100260429e-06
-83.6165,5.643447329513941e-06
-83.6065,7.493874194246449e-06
-83.59649999999999,9.850740431854701e-06
-83.5865,1.2821372047604e-05
-83.5765,1.64801694499683e-05
-83.56649999999999,2.101524748633639e-05
-83.5565,2.6397038846138198e-05
-83.5465,3.28859678395416e-05
-83.53649999999999,4.0548341667560996e-05
-83.5265,4.94040209996268e-05
-83.5165,5.96036629265612e-05
-83.5065,7.10170530583478e-05
-83.4965,8.370441915498399e-05
-83.48649999999999,9.7745333645937e-05
-83.4765,0.00011308957746103701
-83.4665,0.00012909653547948797
-83.45649999999999,0.00014574538977046102
-83.4465,0.000163054875413097
-83.4365,0.00018024598215624202
-83.42649999999999,0.00019713464261750702
-83.4165,0.000212942431077075
-83.4065,0.00022836671333118793
-83.39649999999999,0.00024216573148013503
-83.3865,0.00025371929802283104
-83.3765,0.00026336570065580106
-83.3665,0.00026958610538149004
-83.3565,0.00027339649229448
-83.34649999999999,0.00027400126689853095
-83.3365,0.00027209580739019304
-83.3265,0.000267678630874239
-83.31649999999999,0.00025985747434546596
-83.3065,0.000249786718107646
-83.2965,0.000237892577363099
-83.28649999999999,0.00022293102111217892
-83.2765,0.000208165222455792
-83.2665,0.000191137206505233
-83.2565,0.00017404821487280694
-83.2465,0.00015673690912995191
-83.23649999999999,0.000139647427608127
-83.2265,0.00012299921173780502
-83.2165,0.000107213080060496
-83.20649999999999,9.263007418677e-05
-83.1965,7.8910533777559e-05
-83.1865,6.665453455276901e-05
-83.17649999999999,5.5682599832565596e-05
-83.1665,4.6024413817289285e-05
-83.1565,3.75997816568461e-05
-83.14649999999999,3.0348699220639903e-05
-83.1365,2.4364820608384798e-05
-83.1265,1.92221035929712e-05
-83.1165,1.50529143167621e-05
-83.1065,1.1656001024392702e-05
-83.09649999999999,8.926048133465801e-06
-83.0865,6.767744976587928e-06
-83.0765,5.074778239450199e-06
-83.06649999999999,3.757977955672511e-06
-83.0565,2.7560395770223403e-06
-83.0465,2.0036318572763098e-06
-83.03649999999999,1.4355890712228897e-06
-83.0265,1.02077437680913e-06
-83.0165,7.162914129048229e-07
-83.0065,4.978527458106631e-07
-82.9965,3.423985771448101e-07
-82.98649999999999,2.3261933714677798e-07
-82.9765,1.5661668901982503e-07
-82.9665,1.0416401112909503e-07
-82.95649999999999,6.87200645895239e-08
-82.9465,4.46904471226855e-08
-82.9365,2.87740282747426e-08
-82.92649999999999,1.83615181898078e-08
