,Pd_3pz
-83.7565,3.5e-08
-83.7465,5.41e-08
-83.73649999999999,8.28e-08
-83.7265,1.25e-07
-83.7165,1.87e-07
-83.70649999999999,2.78e-07
-83.6965,4.06e-07
-83.6865,5.89e-07
-83.67649999999999,8.44e-07
-83.6665,1.2e-06
-83.6565,1.68e-06
-83.64649999999999,2.33e-06
-83.6365,3.2e-06
-83.6265,4.34e-06
-83.6165,5.83e-06
-83.6065,7.75e-06
-83.59649999999999,1.02e-05
-83.5865,1.32e-05
-83.5765,1.7e-05
-83.56649999999999,2.17e-05
-83.5565,2.73e-05
-83.5465,3.4e-05
-83.53649999999999,4.19e-05
-83.5265,5.11e-05
-83.5165,6.16e-05
-83.5065,7.35e-05
-83.4965,8.67e-05
-83.48649999999999,0.000101
-83.4765,0.000117
-83.4665,0.000133
-83.45649999999999,0.000151
-83.4465,0.000169
-83.4365,0.000186
-83.42649999999999,0.000204
-83.4165,0.000221
-83.4065,0.000236
-83.39649999999999,0.00025
-83.3865,0.000262
-83.3765,0.000272
-83.3665,0.000279
-83.3565,0.000283
-83.34649999999999,0.000284
-83.3365,0.000282
-83.3265,0.000277
-83.31649999999999,0.000269
-83.3065,0.000258
-83.2965,0.000245
-83.28649999999999,0.000231
-83.2765,0.000215
-83.2665,0.000198
-83.2565,0.00018
-83.2465,0.000162
-83.23649999999999,0.000144
-83.2265,0.000127
-83.2165,0.000111
-83.20649999999999,9.57e-05
-83.1965,8.17e-05
-83.1865,6.9e-05
-83.17649999999999,5.76e-05
-83.1665,4.76e-05
-83.1565,3.89e-05
-83.14649999999999,3.14e-05
-83.1365,2.51e-05
-83.1265,1.99e-05
-83.1165,1.56e-05
-83.1065,1.21e-05
-83.09649999999999,9.23e-06
-83.0865,6.99e-06
-83.0765,5.24e-06
-83.06649999999999,3.89e-06
-83.0565,2.85e-06
-83.0465,2.07e-06
-83.03649999999999,1.49e-06
-83.0265,1.05e-06
-83.0165,7.41e-07
-83.0065,5.15e-07
-82.9965,3.54e-07
-82.98649999999999,2.41e-07
-82.9765,1.62e-07
-82.9665,1.08e-07
-82.95649999999999,7.1e-08
-82.9465,4.62e-08
-82.9365,2.98e-08
-82.92649999999999,1.9e-08
-82.9165,1.2e-08
-82.9065,7.47e-09
-82.89649999999999,4.61e-09
-82.8865,2.81e-09
-82.8765,1.7e-09
-82.8665,1.01e-09
-82.8565,6e-10
-82.84649999999999,3.51e-10
-82.8365,2.03e-10
-82.8265,1.16e-10
-82.81649999999999,6.57e-11
-82.8065,3.68e-11
-82.7965,2.04e-11
-82.78649999999999,1.12e-11
-82.7765,6.05e-12
-82.7665,3.24e-12
-82.7565,1.72e-12
-82.7465,9.03e-13
-82.73649999999999,4.69e-13
-82.7265,2.41e-13
-82.7165,1.22e-13
-82.70649999999999,6.14e-14
-82.6965,3.05e-14
-82.6865,1.5e-14
-82.67649999999999,7.31e-15
-82.6665,3.52e-15
-82.6565,1.68e-15
-82.64649999999999,0.0
-82.6365,0.0
-82.6265,0.0
-82.6165,0.0
-82.6065,0.0
-82.59649999999999,0.0
-82.5865,0.0
-82.5765,0.0
-82.56649999999999,0.0
-82.5565,0.0
-82.5465,0.0
-82.53649999999999,0.0
-82.5265,0.0
-82.5165,0.0
-82.5065,0.0
-82.4965,0.0
-82.48649999999999,0.0
-82.4765,0.0
-82.4665,0.0
-82.45649999999999,0.0
-82.4465,0.0
-82.4365,0.0
-82.42649999999999,0.0
-82.4165,0.0
-82.4065,0.0
-82.39649999999999,0.0
-82.3865,0.0
-82.3765,0.0
-82.3665,0.0
-82.3565,0.0
-82.34649999999999,0.0
-82.3365,0.0
-82.3265,0.0
-82.31649999999999,0.0
-82.3065,0.0
-82.2965,0.0
-82.28649999999999,0.0
-82.2765,0.0
-82.2665,0.0
-82.2565,0.0
-82.2465,0.0
-82.23649999999999,0.0
-82.2265,0.0
-82.2165,0.0
-82.20649999999999,0.0
-82.1965,0.0
-82.1865,0.0
-82.17649999999999,0.0
-82.1665,0.0
-82.1565,0.0
-82.14649999999999,0.0
-82.1365,0.0
-82.1265,0.0
-82.1165,0.0
-82.1065,0.0
-82.09649999999999,0.0
-82.0865,0.0
-82.0765,0.0
-82.06649999999999,0.0
-82.0565,0.0
-82.0465,0.0
-82.03649999999999,0.0
-82.0265,0.0
-82.0165,0.0
-82.0065,0.0
-81.9965,0.0
-81.98649999999999,0.0
-81.9765,0.0
-81.9665,0.0
-81.95649999999999,0.0
-81.9465,0.0
-81.9365,0.0
-81.92649999999999,0.0
-81.9165,0.0
-81.9065,0.0
-81.89649999999999,0.0
-81.8865,0.0
-81.8765,0.0
-81.8665,0.0
-81.8565,0.0
-81.84649999999999,0.0
-81.8365,0.0
-81.8265,0.0
-81.81649999999999,0.0
-81.8065,0.0
-81.7965,0.0
-81.78649999999999,0.0
-81.7765,0.0
-81.7665,0.0
-81.7565,0.0
-81.7465,0.0
-81.73649999999999,0.0
-81.7265,0.0
-81.7165,0.0
-81.70649999999999,0.0
-81.6965,0.0
-81.6865,0.0
-81.67649999999999,0.0
-81.6665,0.0
-81.6565,0.0
-81.64649999999999,0.0
-81.6365,0.0
-81.6265,0.0
-81.6165,0.0
-81.6065,0.0
-81.59649999999999,0.0
-81.5865,0.0
-81.5765,0.0
-81.56649999999999,0.0
-81.5565,0.0
-81.5465,0.0
-81.53649999999999,0.0
-81.5265,0.0
-81.5165,0.0
-81.5065,0.0
-81.4965,0.0
-81.48649999999999,0.0
-81.4765,0.0
-81.4665,0.0
-81.45649999999999,0.0
-81.4465,0.0
-81.4365,0.0
-81.42649999999999,0.0
-81.4165,0.0
-81.4065,0.0
-81.39649999999999,0.0
-81.3865,0.0
-81.3765,0.0
-81.3665,0.0
-81.3565,0.0
-81.34649999999999,0.0
-81.3365,0.0
-81.3265,0.0
-81.31649999999999,0.0
-81.3065,0.0
-81.2965,0.0
-81.28649999999999,0.0
-81.2765,0.0
-81.2665,0.0
-81.2565,0.0
-81.2465,0.0
-81.23649999999999,0.0
-81.2265,0.0
-81.2165,0.0
-81.20649999999999,0.0
-81.1965,0.0
-81.1865,0.0
-81.17649999999999,0.0
-81.1665,0.0
-81.1565,0.0
-81.14649999999999,0.0
-81.1365,0.0
-81.1265,0.0
-81.1165,0.0
-81.1065,0.0
-81.09649999999999,0.0
-81.0865,0.0
-81.0765,0.0
-81.06649999999999,0.0
-81.0565,0.0
-81.0465,0.0
-81.03649999999999,0.0
-81.0265,0.0
-81.0165,0.0
-81.0065,0.0
-80.9965,0.0
-80.98649999999999,0.0
-80.9765,0.0
-80.9665,0.0
-80.95649999999999,0.0
-80.9465,0.0
-80.9365,0.0
-80.92649999999999,0.0
-80.9165,0.0
-80.9065,0.0
-80.89649999999999,0.0
-80.8865,0.0
-80.8765,0.0
-80.8665,0.0
-80.8565,0.0
-80.84649999999999,0.0
-80.8365,0.0
-80.8265,0.0
-80.81649999999999,0.0
-80.8065,0.0
-80.7965,0.0
-80.78649999999999,0.0
-80.7765,0.0
-80.7665,0.0
-80.7565,0.0
-80.7465,0.0
-80.73649999999999,0.0
-80.7265,0.0
-80.7165,0.0
-80.70649999999999,0.0
-80.6965,0.0
-80.6865,0.0
-80.67649999999999,0.0
-80.6665,0.0
-80.6565,0.0
-80.64649999999999,0.0
-80.6365,0.0
-80.6265,0.0
-80.6165,0.0
-80.6065,0.0
-80.59649999999999,0.0
-80.5865,0.0
-80.5765,0.0
-80.56649999999999,0.0
-80.5565,0.0
-80.5465,0.0
-80.53649999999999,0.0
-80.5265,0.0
-80.5165,0.0
-80.5065,0.0
-80.4965,0.0
-80.48649999999999,0.0
-80.4765,0.0
-80.4665,0.0
-80.45649999999999,0.0
-80.4465,0.0
-80.4365,0.0
-80.42649999999999,0.0
-80.4165,0.0
-80.4065,0.0
-80.39649999999999,0.0
-80.3865,0.0
-80.3765,0.0
-80.3665,0.0
-80.3565,0.0
-80.34649999999999,0.0
-80.3365,0.0
-80.3265,0.0
-80.31649999999999,0.0
-80.3065,0.0
-80.2965,0.0
-80.28649999999999,0.0
-80.2765,0.0
-80.2665,0.0
-80.2565,0.0
-80.2465,0.0
-80.23649999999999,0.0
-80.2265,0.0
-80.2165,0.0
-80.20649999999999,0.0
-80.1965,0.0
-80.1865,0.0
-80.17649999999999,0.0
-80.1665,0.0
-80.1565,0.0
-80.14649999999999,0.0
-80.1365,0.0
-80.1265,0.0
-80.1165,0.0
-80.1065,0.0
-80.09649999999999,0.0
-80.0865,0.0
-80.0765,0.0
-80.06649999999999,0.0
-80.0565,0.0
-80.0465,0.0
-80.03649999999999,0.0
-80.0265,0.0
-80.0165,0.0
-80.0065,0.0
-79.9965,0.0
-79.98649999999999,0.0
-79.9765,0.0
