,Pd_4dx2-y2
-83.7565,4.45e-17
-83.7465,6.88e-17
-83.73649999999999,1.05e-16
-83.7265,1.59e-16
-83.7165,2.38e-16
-83.70649999999999,3.53e-16
-83.6965,5.17e-16
-83.6865,7.49e-16
-83.67649999999999,1.07e-15
-83.6665,1.52e-15
-83.6565,2.13e-15
-83.64649999999999,2.96e-15
-83.6365,4.07e-15
-83.6265,5.52e-15
-83.6165,7.42e-15
-83.6065,9.85e-15
-83.59649999999999,1.3e-14
-83.5865,1.68e-14
-83.5765,2.17e-14
-83.56649999999999,2.76e-14
-83.5565,3.47e-14
-83.5465,4.33e-14
-83.53649999999999,5.33e-14
-83.5265,6.5e-14
-83.5165,7.83e-14
-83.5065,9.34e-14
-83.4965,1.1e-13
-83.48649999999999,1.29e-13
-83.4765,1.49e-13
-83.4665,1.7e-13
-83.45649999999999,1.92e-13
-83.4465,2.14e-13
-83.4365,2.37e-13
-83.42649999999999,2.59e-13
-83.4165,2.81e-13
-83.4065,3.01e-13
-83.39649999999999,3.18e-13
-83.3865,3.34e-13
-83.3765,3.46e-13
-83.3665,3.54e-13
-83.3565,3.6e-13
-83.34649999999999,3.61e-13
-83.3365,3.58e-13
-83.3265,3.52e-13
-83.31649999999999,3.42e-13
-83.3065,3.28e-13
-83.2965,3.12e-13
-83.28649999999999,2.94e-13
-83.2765,2.73e-13
-83.2665,2.51e-13
-83.2565,2.29e-13
-83.2465,2.06e-13
-83.23649999999999,1.84e-13
-83.2265,1.62e-13
-83.2165,1.41e-13
-83.20649999999999,1.22e-13
-83.1965,1.04e-13
-83.1865,8.77e-14
-83.17649999999999,7.32e-14
-83.1665,6.05e-14
-83.1565,4.94e-14
-83.14649999999999,4e-14
-83.1365,3.2e-14
-83.1265,2.53e-14
-83.1165,1.98e-14
-83.1065,1.53e-14
-83.09649999999999,1.17e-14
-83.0865,8.89e-15
-83.0765,6.66e-15
-83.06649999999999,4.94e-15
-83.0565,3.63e-15
-83.0465,2.63e-15
-83.03649999999999,1.89e-15
-83.0265,1.34e-15
-83.0165,9.42e-16
-83.0065,6.55e-16
-82.9965,4.5e-16
-82.98649999999999,3.06e-16
-82.9765,2.06e-16
-82.9665,1.37e-16
-82.95649999999999,9.02e-17
-82.9465,5.88e-17
-82.9365,3.79e-17
-82.92649999999999,2.41e-17
-82.9165,1.52e-17
-82.9065,9.49e-18
-82.89649999999999,5.86e-18
-82.8865,3.58e-18
-82.8765,2.16e-18
-82.8665,1.29e-18
-82.8565,7.63e-19
-82.84649999999999,4.46e-19
-82.8365,2.58e-19
-82.8265,1.48e-19
-82.81649999999999,8.35e-20
-82.8065,4.67e-20
-82.7965,2.59e-20
-82.78649999999999,1.42e-20
-82.7765,7.69e-21
