,S_2pz
-83.7565,3.036570545875732e-06
-83.7465,4.69014569268713e-06
-83.73649999999999,7.15552421016907e-06
-83.7265,1.0853490448660917e-05
-83.7165,1.623507673634554e-05
-83.70649999999999,2.4022088048970046e-05
-83.6965,3.5176247408079385e-05
-83.6865,5.1110315868673824e-05
-83.67649999999999,7.305833735142553e-05
-83.6665,0.0001037243524169889
-83.6565,0.00014521493417323013
-83.64649999999999,0.00020163590604003914
-83.6365,0.0002767992473642147
-83.6265,0.0003758136621143882
-83.6165,0.0005050930877386134
-83.6065,0.0006704537254097635
-83.59649999999999,0.0008809099747840414
-83.5865,0.0011454854550386495
-83.5765,0.0014761968335128607
-83.56649999999999,0.001878063133576913
-83.5565,0.0023631089905220455
-83.5465,0.0029433682087635776
-83.53649999999999,0.003637865426630645
-83.5265,0.004419569811350481
-83.5165,0.0053215429372132275
-83.5065,0.006363788032018886
-83.4965,0.0075162636319375045
-83.48649999999999,0.008748974595728853
-83.4765,0.010101926213152678
-83.4665,0.0115450246533187
-83.45649999999999,0.013048293545636209
-83.4465,0.014581629859584711
-83.4365,0.01614505670372335
-83.42649999999999,0.017648150346551258
-83.4165,0.019121521447447547
-83.4065,0.020464269714361286
-83.39649999999999,0.021676979896761234
-83.3865,0.022699145812777342
-83.3765,0.02354106124166817
-83.3665,0.024142414832332936
-83.3565,0.02447310459463148
-83.34649999999999,0.024563121597453587
-83.3365,0.02438277603099929
-83.3265,0.02393176384585816
-83.31649999999999,0.023260387962060838
-83.3065,0.022338355860438364
-83.2965,0.021255970501890733
-83.28649999999999,0.019993245017819072
-83.2765,0.018580188359164772
-83.2665,0.01710710424743745
-83.2565,0.015573750663748977
-83.2465,0.01404040189995073
-83.23649999999999,0.012507090336502474
-83.2265,0.01100386633464527
-83.2165,0.009620814115460105
-83.20649999999999,0.008297953999327003
-83.1965,0.007065321616946652
-83.1865,0.005982938108549139
-83.17649999999999,0.004990793832914535
-83.1665,0.00411892130369292
-83.1565,0.003367286786454066
-83.14649999999999,0.002720890825949946
-83.1365,0.002176710222952381
-83.1265,0.00172174330810201
-83.1165,0.0013469190010296664
-83.1065,0.0010432606334240724
-83.09649999999999,0.0007997305188949558
-83.0865,0.000604310847126127
-83.0765,0.0004539838549483369
-83.06649999999999,0.0003367286755324045
-83.0565,0.0002468345528132657
-83.0465,0.0001791881148512753
-83.03649999999999,0.00012857851368821077
-83.0265,9.139782778558089e-05
-83.0165,6.403894433850247e-05
-83.0065,4.449668705571302e-05
-82.9965,3.0666384899365676e-05
-82.98649999999999,2.0835267137370885e-05
-82.9765,1.4010371099460348e-05
-82.9665,9.320219745713187e-06
-82.95649999999999,6.133312714533475e-06
-82.9465,3.99867912459996e-06
-82.9365,2.5785839120244422e-06
-82.92649999999999,1.6435733313720621e-06
-82.9165,1.0372446981768932e-06
-82.9065,6.463994225491508e-07
-82.89649999999999,3.9986468393096584e-07
-82.8865,2.4352769540058244e-07
-82.8765,1.4701868753187587e-07
-82.8665,8.779033166559454e-08
-82.8565,5.20123695716969e-08
-82.84649999999999,3.036571306955818e-08
-82.8365,1.7558119502728585e-08
-82.8265,1.0041752770470864e-08
-82.81649999999999,5.682322718352017e-09
-82.8065,3.1868996900895108e-09
-82.7965,1.7618136015390492e-09
-82.78649999999999,9.650937077241238e-10
-82.7765,5.231337486830812e-10
-82.7665,2.80809277898515e-10
-82.7565,1.488227477979177e-10
-82.7465,7.816923132835271e-11
-82.73649999999999,4.058784367611369e-11
-82.7265,2.083526712726066e-11
-82.7165,1.0582926479524483e-11
-82.70649999999999,5.321520494602918e-12
-82.6965,2.6427211243000656e-12
-82.6865,1.3008189053904788e-12
-82.67649999999999,6.313718300868053e-13
-82.6665,3.036604671316097e-13
-82.6565,1.4491422186062163e-13
-82.64649999999999,0.0
-82.6365,0.0
-82.6265,0.0
-82.6165,0.0
-82.6065,0.0
-82.59649999999999,0.0
-82.5865,0.0
-82.5765,0.0
-82.56649999999999,0.0
-82.5565,0.0
-82.5465,0.0
-82.53649999999999,0.0
-82.5265,0.0
-82.5165,0.0
-82.5065,0.0
-82.4965,0.0
-82.48649999999999,0.0
-82.4765,0.0
-82.4665,0.0
-82.45649999999999,0.0
-82.4465,0.0
-82.4365,0.0
-82.42649999999999,0.0
-82.4165,0.0
-82.4065,0.0
-82.39649999999999,0.0
-82.3865,0.0
-82.3765,0.0
-82.3665,0.0
-82.3565,0.0
-82.34649999999999,0.0
-82.3365,0.0
-82.3265,0.0
-82.31649999999999,0.0
-82.3065,0.0
-82.2965,0.0
-82.28649999999999,0.0
-82.2765,0.0
-82.2665,0.0
-82.2565,0.0
-82.2465,0.0
-82.23649999999999,0.0
-82.2265,0.0
-82.2165,0.0
-82.20649999999999,0.0
-82.1965,0.0
-82.1865,0.0
-82.17649999999999,0.0
-82.1665,0.0
-82.1565,0.0
-82.14649999999999,0.0
-82.1365,0.0
-82.1265,0.0
-82.1165,0.0
-82.1065,0.0
-82.09649999999999,0.0
-82.0865,0.0
-82.0765,0.0
-82.06649999999999,0.0
-82.0565,0.0
-82.0465,0.0
-82.03649999999999,0.0
-82.0265,0.0
-82.0165,0.0
-82.0065,0.0
-81.9965,0.0
-81.98649999999999,0.0
-81.9765,0.0
-81.9665,0.0
-81.95649999999999,0.0
-81.9465,0.0
-81.9365,0.0
-81.92649999999999,0.0
-81.9165,0.0
-81.9065,0.0
-81.89649999999999,0.0
-81.8865,0.0
-81.8765,0.0
-81.8665,0.0
-81.8565,0.0
-81.84649999999999,0.0
-81.8365,0.0
-81.8265,0.0
-81.81649999999999,0.0
-81.8065,0.0
-81.7965,0.0
-81.78649999999999,0.0
-81.7765,0.0
-81.7665,0.0
-81.7565,0.0
-81.7465,0.0
-81.73649999999999,0.0
-81.7265,0.0
-81.7165,0.0
-81.70649999999999,0.0
-81.6965,0.0
-81.6865,0.0
-81.67649999999999,0.0
-81.6665,0.0
-81.6565,0.0
-81.64649999999999,0.0
-81.6365,0.0
