,Mo_4dxy
-84.4652,3.1661049692747e-09
-84.4552,4.905983635439802e-09
-84.4452,7.496750169366199e-09
-84.4352,1.1354045388477698e-08
-84.4252,1.6998209015747002e-08
-84.4152,2.5156792604822e-08
-84.40520000000001,3.675050871731401e-08
-84.3952,5.344333114509102e-08
-84.3852,7.649679305960198e-08
-84.3752,1.0848038746223701e-07
-84.3652,1.5213340958067002e-07
-84.3552,2.1101561607019995e-07
-84.3452,2.8966079072445015e-07
-84.3352,3.9269120728546004e-07
-84.3252,5.2854819419605e-07
-84.3152,7.024351288458101e-07
-84.3052,9.237606165347803e-07
-84.2952,1.2014977407359595e-06
-84.2852,1.5434190368531002e-06
-84.2752,1.9666461803466996e-06
-84.26520000000001,2.4750008586435993e-06
-84.2552,3.0842069054229e-06
-84.2452,3.7963637567647014e-06
-84.2352,4.6243857332196e-06
-84.2252,5.5731628550996e-06
-84.2152,6.648073782404301e-06
-84.2052,7.849822335104e-06
-84.1952,9.171394232605902e-06
-84.1852,1.0602987425028202e-05
-84.1752,1.2083497850921798e-05
-84.1652,1.3669321410150201e-05
-84.15520000000001,1.5278856890712e-05
-84.1452,1.6890389772383998e-05
-84.1352,1.849771814232699e-05
-84.1252,2.0019427978327998e-05
-84.1152,2.1428517760146997e-05
-84.1052,2.2686886776248992e-05
-84.0952,2.3789507343941007e-05
-84.0852,2.4647891581756994e-05
-84.0752,2.5266019608511997e-05
-84.0652,2.5621386025069e-05
-84.0552,2.5728409829129006e-05
-84.0452,2.5530471021705e-05
-84.0352,2.5067979700865e-05
-84.0252,2.4362928769654004e-05
-84.01520000000001,2.3413828627670007e-05
-84.0052,2.2246698656039e-05
-83.9952,2.0923621819179998e-05
-83.9852,1.9468616415127997e-05
-83.9752,1.7904298666805995e-05
-83.9652,1.6314967086559e-05
-83.9552,1.4685332304783699e-05
-83.9452,1.3095901624836304e-05
-83.9352,1.1551680676614198e-05
-83.9252,1.0054776061482003e-05
-83.9152,8.6656919908842e-06
-83.90520000000001,7.406828205028901e-06
-83.8952,6.2582700143766e-06
-83.8852,5.2199474191976e-06
-83.8752,4.306389999172399e-06
-83.8652,3.5148877246738007e-06
-83.8552,2.8487182349767e-06
-83.8452,2.2775702700721e-06
-83.8352,1.8034420210988e-06
-83.8252,1.4109809719370203e-06
-83.8152,1.0913555879567804e-06
-83.8052,8.357727077191996e-07
-83.7952,6.329909368257401e-07
-83.7852,4.7468005487344994e-07
-83.7752,3.514877614653399e-07
-83.76520000000001,2.5839439034829e-07
-83.7552,1.8760768963715995e-07
-83.7452,1.3459179511000302e-07
-83.7352,9.546872519828201e-08
-83.7252,6.709387474785399e-08
-83.7152,4.6771734150728016e-08
-83.7052,3.200832390907798e-08
-83.6952,2.1826301347421e-08
-83.6852,1.4683228994178597e-08
-83.6752,9.767115629008001e-09
-83.6652,6.4258291124318e-09
-83.65520000000001,4.181994914057701e-09
-83.6452,2.6988870185266994e-09
-83.6352,1.7218353215897e-09
-83.6252,1.08480399463237e-09
-83.6152,6.769295667124399e-10
-83.6052,4.175661993303699e-10
-83.5952,2.5508163717775004e-10
-83.5852,1.5409079645790992e-10
-83.5752,9.193899043999301e-11
-83.5652,5.4382332183958996e-11
-83.5552,3.1691358095367e-11
-83.5452,1.8387494486946006e-11
-83.5352,1.0515472181779198e-11
-83.5252,5.9484089312461e-12
-83.51520000000001,3.3252377862335e-12
-83.5052,1.8454809419707994e-12
-83.4952,1.0119888494032798e-12
-83.4852,5.477052440674299e-13
-83.4752,2.9394063191194e-13
-83.4652,1.5588819334935e-13
-83.4552,8.179989779364503e-14
-83.4452,4.2430770765197e-14
-83.4352,2.1816299347118e-14
-83.4252,1.1068687656490001e-14
-83.4152,5.568890384555601e-15
-83.40520000000001,2.7691518714651996e-15
-83.3952,1.36045108878105e-15
-83.3852,6.617368630873401e-16
-83.3752,3.1924384099812005e-16
-83.3652,1.5191134436844e-16
-83.3552,0.0
-83.3452,0.0
-83.3352,0.0
-83.3252,0.0
-83.3152,0.0
-83.3052,0.0
-83.2952,0.0
-83.2852,0.0
-83.2752,0.0
-83.26520000000001,0.0
-83.2552,0.0
-83.2452,0.0
-83.2352,0.0
-83.2252,0.0
-83.2152,0.0
-83.2052,0.0
-83.1952,0.0
-83.1852,0.0
-83.1752,0.0
-83.1652,0.0
-83.15520000000001,0.0
-83.1452,0.0
-83.1352,0.0
-83.1252,0.0
-83.1152,0.0
-83.1052,0.0
-83.0952,0.0
-83.0852,0.0
-83.0752,0.0
-83.0652,0.0
