,Pd_2s
-84.4652,1.92e-07
-84.4552,2.96e-07
-84.4452,4.53e-07
-84.4352,6.85e-07
-84.4252,1.03e-06
-84.4152,1.52e-06
-84.40520000000001,2.22e-06
-84.3952,3.22e-06
-84.3852,4.62e-06
-84.3752,6.54e-06
-84.3652,9.18e-06
-84.3552,1.27e-05
-84.3452,1.75e-05
-84.3352,2.37e-05
-84.3252,3.19e-05
-84.3152,4.24e-05
-84.3052,5.57e-05
-84.2952,7.25e-05
-84.2852,9.32e-05
-84.2752,0.000119
-84.26520000000001,0.000149
-84.2552,0.000186
-84.2452,0.000229
-84.2352,0.000279
-84.2252,0.000337
-84.2152,0.000402
-84.2052,0.000474
-84.1952,0.000553
-84.1852,0.000639
-84.1752,0.00073
-84.1652,0.000825
-84.15520000000001,0.000922
-84.1452,0.00102
-84.1352,0.00112
-84.1252,0.00121
-84.1152,0.00129
-84.1052,0.00137
-84.0952,0.00143
-84.0852,0.00149
-84.0752,0.00152
-84.0652,0.00155
-84.0552,0.00155
-84.0452,0.00154
-84.0352,0.00151
-84.0252,0.00147
-84.01520000000001,0.00141
-84.0052,0.00134
-83.9952,0.00126
-83.9852,0.00117
-83.9752,0.00108
-83.9652,0.000984
-83.9552,0.000886
-83.9452,0.00079
-83.9352,0.000696
-83.9252,0.000607
-83.9152,0.000524
-83.90520000000001,0.000447
-83.8952,0.000377
-83.8852,0.000315
-83.8752,0.00026
-83.8652,0.000213
-83.8552,0.000172
-83.8452,0.000137
-83.8352,0.000109
-83.8252,8.51e-05
-83.8152,6.59e-05
-83.8052,5.05e-05
-83.7952,3.82e-05
-83.7852,2.87e-05
-83.7752,2.13e-05
-83.76520000000001,1.56e-05
-83.7552,1.13e-05
-83.7452,8.12e-06
-83.7352,5.77e-06
-83.7252,4.05e-06
-83.7152,2.82e-06
-83.7052,1.94e-06
-83.6952,1.32e-06
-83.6852,8.86e-07
-83.6752,5.89e-07
-83.6652,3.88e-07
-83.65520000000001,2.53e-07
-83.6452,1.63e-07
-83.6352,1.04e-07
-83.6252,6.55e-08
-83.6152,4.08e-08
-83.6052,2.52e-08
-83.5952,1.54e-08
-83.5852,9.29e-09
-83.5752,5.55e-09
-83.5652,3.28e-09
-83.5552,1.92e-09
-83.5452,1.11e-09
-83.5352,6.34e-10
-83.5252,3.59e-10
-83.51520000000001,2.01e-10
-83.5052,1.11e-10
-83.4952,6.1e-11
-83.4852,3.31e-11
-83.4752,1.77e-11
-83.4652,9.41e-12
-83.4552,4.94e-12
-83.4452,2.56e-12
-83.4352,1.32e-12
-83.4252,6.69e-13
