,Pd_3py
-84.4652,6.14e-17
-84.4552,9.5e-17
-84.4452,1.45e-16
-84.4352,2.2e-16
-84.4252,3.29e-16
-84.4152,4.87e-16
-84.40520000000001,7.13e-16
-84.3952,1.03e-15
-84.3852,1.48e-15
-84.3752,2.1e-15
-84.3652,2.94e-15
-84.3552,4.09e-15
-84.3452,5.61e-15
-84.3352,7.62e-15
-84.3252,1.02e-14
-84.3152,1.36e-14
-84.3052,1.79e-14
-84.2952,2.32e-14
-84.2852,2.99e-14
-84.2752,3.81e-14
-84.26520000000001,4.79e-14
-84.2552,5.97e-14
-84.2452,7.35e-14
-84.2352,8.96e-14
-84.2252,1.08e-13
-84.2152,1.29e-13
-84.2052,1.52e-13
-84.1952,1.77e-13
-84.1852,2.05e-13
-84.1752,2.34e-13
-84.1652,2.65e-13
-84.15520000000001,2.96e-13
-84.1452,3.27e-13
-84.1352,3.58e-13
-84.1252,3.87e-13
-84.1152,4.15e-13
-84.1052,4.39e-13
-84.0952,4.6e-13
-84.0852,4.77e-13
-84.0752,4.89e-13
-84.0652,4.96e-13
-84.0552,4.98e-13
-84.0452,4.94e-13
-84.0352,4.85e-13
-84.0252,4.71e-13
-84.01520000000001,4.53e-13
-84.0052,4.31e-13
-83.9952,4.05e-13
-83.9852,3.77e-13
-83.9752,3.47e-13
-83.9652,3.16e-13
-83.9552,2.84e-13
-83.9452,2.53e-13
-83.9352,2.23e-13
-83.9252,1.95e-13
-83.9152,1.68e-13
-83.90520000000001,1.43e-13
-83.8952,1.21e-13
-83.8852,1.01e-13
-83.8752,8.34e-14
-83.8652,6.82e-14
-83.8552,5.51e-14
-83.8452,4.41e-14
-83.8352,3.49e-14
-83.8252,2.73e-14
-83.8152,2.11e-14
-83.8052,1.62e-14
-83.7952,1.23e-14
-83.7852,9.19e-15
-83.7752,6.82e-15
-83.76520000000001,5e-15
-83.7552,3.63e-15
-83.7452,2.61e-15
-83.7352,1.85e-15
-83.7252,1.3e-15
-83.7152,9.03e-16
-83.7052,6.21e-16
-83.6952,4.22e-16
-83.6852,2.84e-16
-83.6752,1.89e-16
-83.6652,1.24e-16
-83.65520000000001,8.11e-17
-83.6452,5.22e-17
-83.6352,3.33e-17
-83.6252,2.1e-17
-83.6152,1.31e-17
-83.6052,8.08e-18
-83.5952,4.93e-18
-83.5852,2.98e-18
-83.5752,1.78e-18
-83.5652,1.05e-18
-83.5552,6.15e-19
-83.5452,3.56e-19
-83.5352,2.04e-19
-83.5252,1.15e-19
-83.51520000000001,6.45e-20
-83.5052,3.57e-20
-83.4952,1.96e-20
-83.4852,1.06e-20
-83.4752,5.69e-21
-83.4652,3.02e-21
-83.4552,1.58e-21
-83.4452,8.22e-22
-83.4352,4.22e-22
-83.4252,2.14e-22
-83.4152,1.08e-22
-83.40520000000001,5.36e-23
-83.3952,2.64e-23
-83.3852,1.28e-23
-83.3752,6.17e-24
-83.3652,2.94e-24
-83.3552,0.0
-83.3452,0.0
-83.3352,0.0
-83.3252,0.0
-83.3152,0.0
-83.3052,0.0
-83.2952,0.0
-83.2852,0.0
-83.2752,0.0
-83.26520000000001,0.0
-83.2552,0.0
-83.2452,0.0
-83.2352,0.0
-83.2252,0.0
-83.2152,0.0
-83.2052,0.0
-83.1952,0.0
-83.1852,0.0
-83.1752,0.0
-83.1652,0.0
-83.15520000000001,0.0
-83.1452,0.0
-83.1352,0.0
-83.1252,0.0
-83.1152,0.0
-83.1052,0.0
-83.0952,0.0
-83.0852,0.0
-83.0752,0.0
-83.0652,0.0
-83.0552,0.0
-83.0452,0.0
-83.0352,0.0
-83.0252,0.0
-83.01520000000001,0.0
-83.0052,0.0
-82.9952,0.0
-82.9852,0.0
-82.9752,0.0
-82.9652,0.0
-82.9552,0.0
-82.9452,0.0
-82.9352,0.0
-82.9252,0.0
-82.9152,0.0
-82.90520000000001,0.0
-82.8952,0.0
-82.8852,0.0
-82.8752,0.0
-82.8652,0.0
-82.8552,0.0
-82.8452,0.0
-82.8352,0.0
-82.8252,0.0
-82.8152,0.0
-82.8052,0.0
-82.7952,0.0
-82.7852,0.0
-82.7752,0.0
-82.76520000000001,0.0
-82.7552,0.0
-82.7452,0.0
-82.7352,0.0
-82.7252,0.0
-82.7152,0.0
-82.7052,0.0
-82.6952,0.0
-82.6852,0.0
-82.6752,0.0
-82.6652,0.0
-82.65520000000001,0.0
-82.6452,0.0
-82.6352,0.0
-82.6252,0.0
-82.6152,0.0
-82.6052,0.0
-82.5952,0.0
-82.5852,0.0
-82.5752,0.0
-82.5652,0.0
-82.5552,0.0
-82.5452,0.0
-82.5352,0.0
-82.5252,0.0
-82.51520000000001,0.0
-82.5052,0.0
-82.4952,0.0
-82.4852,0.0
-82.4752,0.0
-82.4652,0.0
-82.4552,0.0
-82.4452,0.0
-82.4352,0.0
-82.4252,0.0
-82.4152,0.0
-82.40520000000001,0.0
-82.3952,0.0
-82.3852,0.0
-82.3752,0.0
-82.3652,0.0
-82.3552,0.0
-82.3452,0.0
-82.3352,0.0
-82.3252,0.0
-82.3152,0.0
-82.3052,0.0
-82.2952,0.0
-82.2852,0.0
-82.2752,0.0
-82.26520000000001,0.0
-82.2552,0.0
-82.2452,0.0
-82.2352,0.0
-82.2252,0.0
-82.2152,0.0
-82.2052,0.0
-82.1952,0.0
-82.1852,0.0
-82.1752,0.0
-82.1652,0.0
-82.15520000000001,0.0
-82.1452,0.0
-82.1352,0.0
-82.1252,0.0
-82.1152,0.0
-82.1052,0.0
-82.0952,0.0
-82.0852,0.0
-82.0752,0.0
-82.0652,0.0
-82.0552,0.0
-82.0452,0.0
-82.0352,0.0
-82.0252,0.0
-82.01520000000001,0.0
-82.0052,0.0
-81.9952,0.0
-81.9852,0.0
-81.9752,0.0
-81.9652,0.0
-81.9552,0.0
-81.9452,0.0
-81.9352,0.0
-81.9252,0.0
-81.9152,0.0
-81.90520000000001,0.0
-81.8952,0.0
-81.8852,0.0
-81.8752,0.0
-81.8652,0.0
-81.8552,0.0
-81.8452,0.0
-81.8352,0.0
-81.8252,0.0
-81.8152,0.0
-81.8052,0.0
-81.7952,0.0
-81.7852,0.0
-81.7752,0.0
-81.76520000000001,0.0
-81.7552,0.0
-81.7452,0.0
-81.7352,0.0
-81.7252,0.0
-81.7152,0.0
-81.7052,0.0
-81.6952,0.0
-81.6852,0.0
-81.6752,0.0
-81.6652,0.0
-81.65520000000001,0.0
-81.6452,0.0
-81.6352,0.0
-81.6252,0.0
-81.6152,0.0
-81.6052,0.0
-81.5952,0.0
-81.5852,0.0
-81.5752,0.0
-81.5652,0.0
-81.5552,0.0
-81.5452,0.0
-81.5352,0.0
-81.5252,0.0
-81.51520000000001,0.0
-81.5052,0.0
-81.4952,0.0
-81.4852,0.0
-81.4752,0.0
-81.4652,0.0
-81.4552,0.0
-81.4452,0.0
-81.4352,0.0
-81.4252,0.0
-81.4152,0.0
-81.40520000000001,0.0
-81.3952,0.0
-81.3852,0.0
-81.3752,0.0
-81.3652,0.0
-81.3552,0.0
-81.3452,0.0
-81.3352,0.0
-81.3252,0.0
-81.3152,0.0
-81.3052,0.0
-81.2952,0.0
-81.2852,0.0
-81.2752,0.0
-81.26520000000001,0.0
-81.2552,0.0
-81.2452,0.0
-81.2352,0.0
-81.2252,0.0
-81.2152,0.0
-81.2052,0.0
-81.1952,0.0
-81.1852,0.0
-81.1752,0.0
-81.1652,0.0
-81.15520000000001,0.0
-81.1452,0.0
-81.1352,0.0
-81.1252,0.0
-81.1152,0.0
-81.1052,0.0
-81.0952,0.0
-81.0852,0.0
-81.0752,0.0
-81.0652,0.0
-81.0552,0.0
-81.0452,0.0
-81.0352,0.0
