,Pd_4dz2
-84.4652,2.25e-12
-84.4552,3.48e-12
-84.4452,5.32e-12
-84.4352,8.05e-12
-84.4252,1.2e-11
-84.4152,1.78e-11
-84.40520000000001,2.61e-11
-84.3952,3.78e-11
-84.3852,5.42e-11
-84.3752,7.69e-11
-84.3652,1.08e-10
-84.3552,1.5e-10
-84.3452,2.05e-10
-84.3352,2.79e-10
-84.3252,3.75e-10
-84.3152,4.98e-10
-84.3052,6.54e-10
-84.2952,8.51e-10
-84.2852,1.09e-09
-84.2752,1.39e-09
-84.26520000000001,1.75e-09
-84.2552,2.18e-09
-84.2452,2.69e-09
-84.2352,3.28e-09
-84.2252,3.96e-09
-84.2152,4.72e-09
-84.2052,5.57e-09
-84.1952,6.5e-09
-84.1852,7.51e-09
-84.1752,8.57e-09
-84.1652,9.69e-09
-84.15520000000001,1.08e-08
-84.1452,1.2e-08
-84.1352,1.31e-08
-84.1252,1.42e-08
-84.1152,1.52e-08
-84.1052,1.61e-08
-84.0952,1.69e-08
-84.0852,1.75e-08
-84.0752,1.79e-08
-84.0652,1.82e-08
-84.0552,1.82e-08
-84.0452,1.81e-08
-84.0352,1.78e-08
-84.0252,1.73e-08
-84.01520000000001,1.66e-08
-84.0052,1.58e-08
-83.9952,1.48e-08
-83.9852,1.38e-08
-83.9752,1.27e-08
-83.9652,1.16e-08
-83.9552,1.04e-08
-83.9452,9.28e-09
-83.9352,8.18e-09
-83.9252,7.13e-09
-83.9152,6.15e-09
-83.90520000000001,5.25e-09
-83.8952,4.43e-09
-83.8852,3.7e-09
-83.8752,3.06e-09
-83.8652,2.5e-09
-83.8552,2.02e-09
-83.8452,1.61e-09
-83.8352,1.28e-09
-83.8252,1e-09
-83.8152,7.74e-10
-83.8052,5.93e-10
-83.7952,4.49e-10
-83.7852,3.37e-10
-83.7752,2.5e-10
-83.76520000000001,1.83e-10
-83.7552,1.33e-10
-83.7452,9.54e-11
-83.7352,6.77e-11
-83.7252,4.76e-11
-83.7152,3.31e-11
-83.7052,2.27e-11
-83.6952,1.55e-11
-83.6852,1.04e-11
-83.6752,6.92e-12
-83.6652,4.56e-12
-83.65520000000001,2.97e-12
-83.6452,1.91e-12
-83.6352,1.22e-12
-83.6252,7.69e-13
-83.6152,4.8e-13
-83.6052,2.96e-13
-83.5952,1.81e-13
-83.5852,1.09e-13
-83.5752,6.52e-14
-83.5652,3.85e-14
-83.5552,2.25e-14
-83.5452,1.3e-14
-83.5352,7.45e-15
-83.5252,4.22e-15
-83.51520000000001,2.36e-15
-83.5052,1.31e-15
-83.4952,7.17e-16
-83.4852,3.88e-16
-83.4752,2.08e-16
-83.4652,1.11e-16
-83.4552,5.8e-17
-83.4452,3.01e-17
-83.4352,1.55e-17
-83.4252,7.85e-18
-83.4152,3.95e-18
-83.40520000000001,1.96e-18
-83.3952,9.65e-19
-83.3852,4.7e-19
-83.3752,2.26e-19
-83.3652,1.08e-19
-83.3552,0.0
-83.3452,0.0
-83.3352,0.0
-83.3252,0.0
-83.3152,0.0
-83.3052,0.0
-83.2952,0.0
-83.2852,0.0
-83.2752,0.0
-83.26520000000001,0.0
-83.2552,0.0
-83.2452,0.0
-83.2352,0.0
-83.2252,0.0
-83.2152,0.0
-83.2052,0.0
-83.1952,0.0
-83.1852,0.0
-83.1752,0.0
-83.1652,0.0
-83.15520000000001,0.0
-83.1452,0.0
-83.1352,0.0
-83.1252,0.0
-83.1152,0.0
-83.1052,0.0
-83.0952,0.0
-83.0852,0.0
-83.0752,0.0
-83.0652,0.0
-83.0552,0.0
-83.0452,0.0
-83.0352,0.0
-83.0252,0.0
-83.01520000000001,0.0
-83.0052,0.0
-82.9952,0.0
-82.9852,0.0
-82.9752,0.0
-82.9652,0.0
-82.9552,0.0
-82.9452,0.0
-82.9352,0.0
-82.9252,0.0
-82.9152,0.0
-82.90520000000001,0.0
-82.8952,0.0
-82.8852,0.0
-82.8752,0.0
-82.8652,0.0
-82.8552,0.0
-82.8452,0.0
-82.8352,0.0
-82.8252,0.0
-82.8152,0.0
-82.8052,0.0
-82.7952,0.0
-82.7852,0.0
-82.7752,0.0
-82.76520000000001,0.0
-82.7552,0.0
-82.7452,0.0
-82.7352,0.0
-82.7252,0.0
-82.7152,0.0
-82.7052,0.0
-82.6952,0.0
-82.6852,0.0
-82.6752,0.0
-82.6652,0.0
-82.65520000000001,0.0
-82.6452,0.0
-82.6352,0.0
-82.6252,0.0
-82.6152,0.0
-82.6052,0.0
-82.5952,0.0
-82.5852,0.0
-82.5752,0.0
-82.5652,0.0
-82.5552,0.0
-82.5452,0.0
-82.5352,0.0
-82.5252,0.0
-82.51520000000001,0.0
-82.5052,0.0
-82.4952,0.0
-82.4852,0.0
-82.4752,0.0
-82.4652,0.0
-82.4552,0.0
-82.4452,0.0
-82.4352,0.0
-82.4252,0.0
-82.4152,0.0
-82.40520000000001,0.0
-82.3952,0.0
-82.3852,0.0
-82.3752,0.0
-82.3652,0.0
-82.3552,0.0
-82.3452,0.0
-82.3352,0.0
-82.3252,0.0
-82.3152,0.0
-82.3052,0.0
-82.2952,0.0
-82.2852,0.0
-82.2752,0.0
-82.26520000000001,0.0
-82.2552,0.0
-82.2452,0.0
-82.2352,0.0
-82.2252,0.0
-82.2152,0.0
-82.2052,0.0
-82.1952,0.0
-82.1852,0.0
-82.1752,0.0
-82.1652,0.0
-82.15520000000001,0.0
-82.1452,0.0
-82.1352,0.0
-82.1252,0.0
-82.1152,0.0
-82.1052,0.0
-82.0952,0.0
-82.0852,0.0
-82.0752,0.0
-82.0652,0.0
-82.0552,0.0
-82.0452,0.0
-82.0352,0.0
-82.0252,0.0
-82.01520000000001,0.0
-82.0052,0.0
-81.9952,0.0
-81.9852,0.0
-81.9752,0.0
-81.9652,0.0
-81.9552,0.0
-81.9452,0.0
-81.9352,0.0
-81.9252,0.0
-81.9152,0.0
-81.90520000000001,0.0
-81.8952,0.0
-81.8852,0.0
-81.8752,0.0
-81.8652,0.0
-81.8552,0.0
-81.8452,0.0
-81.8352,0.0
-81.8252,0.0
-81.8152,0.0
-81.8052,0.0
-81.7952,0.0
-81.7852,0.0
-81.7752,0.0
-81.76520000000001,0.0
-81.7552,0.0
-81.7452,0.0
-81.7352,0.0
-81.7252,0.0
-81.7152,0.0
-81.7052,0.0
-81.6952,0.0
-81.6852,0.0
-81.6752,0.0
-81.6652,0.0
-81.65520000000001,0.0
-81.6452,0.0
-81.6352,0.0
-81.6252,0.0
-81.6152,0.0
-81.6052,0.0
-81.5952,0.0
-81.5852,0.0
-81.5752,0.0
-81.5652,0.0
-81.5552,0.0
-81.5452,0.0
-81.5352,0.0
-81.5252,0.0
-81.51520000000001,0.0
-81.5052,0.0
-81.4952,0.0
-81.4852,0.0
-81.4752,0.0
-81.4652,0.0
-81.4552,0.0
-81.4452,0.0
-81.4352,0.0
-81.4252,0.0
-81.4152,0.0
-81.40520000000001,0.0
-81.3952,0.0
-81.3852,0.0
-81.3752,0.0
-81.3652,0.0
-81.3552,0.0
-81.3452,0.0
-81.3352,0.0
-81.3252,0.0
-81.3152,0.0
-81.3052,0.0
-81.2952,0.0
-81.2852,0.0
-81.2752,0.0
-81.26520000000001,0.0
-81.2552,0.0
-81.2452,0.0
-81.2352,0.0
-81.2252,0.0
-81.2152,0.0
-81.2052,0.0
-81.1952,0.0
-81.1852,0.0
-81.1752,0.0
-81.1652,0.0
-81.15520000000001,0.0
-81.1452,0.0
-81.1352,0.0
-81.1252,0.0
-81.1152,0.0
-81.1052,0.0
-81.0952,0.0
-81.0852,0.0
-81.0752,0.0
-81.0652,0.0
-81.0552,0.0
-81.0452,0.0
-81.0352,0.0
-81.0252,0.0
-81.01520000000001,0.0
-81.0052,0.0
-80.9952,0.0
-80.9852,0.0
-80.9752,0.0
-80.9652,0.0
-80.9552,0.0
-80.9452,0.0
-80.9352,0.0
-80.9252,0.0
-80.9152,0.0
-80.90520000000001,0.0
-80.8952,0.0
-80.8852,0.0
-80.8752,0.0
-80.8652,0.0
-80.8552,0.0
-80.8452,0.0
-80.8352,0.0
-80.8252,0.0
-80.8152,0.0
-80.8052,0.0
-80.7952,0.0
-80.7852,0.0
-80.7752,0.0
-80.76520000000001,0.0
-80.7552,0.0
-80.7452,0.0
-80.7352,0.0
-80.7252,0.0
-80.7152,0.0
-80.7052,0.0
-80.6952,0.0
-80.6852,0.0
-80.6752,0.0
-80.6652,0.0
-80.65520000000001,0.0
-80.6452,0.0
-80.6352,0.0
-80.6252,0.0
-80.6152,0.0
-80.6052,0.0
-80.5952,0.0
-80.5852,0.0
-80.5752,0.0
-80.5652,0.0
-80.5552,0.0
-80.5452,0.0
-80.5352,0.0
-80.5252,0.0
-80.51520000000001,0.0
-80.5052,0.0
-80.4952,0.0
-80.4852,0.0
-80.4752,0.0
-80.4652,0.0
-80.4552,0.0
-80.4452,0.0
-80.4352,0.0
-80.4252,0.0
-80.4152,0.0
-80.40520000000001,0.0
-80.3952,0.0
-80.3852,0.0
-80.3752,0.0
-80.3652,0.0
-80.3552,0.0
-80.3452,0.0
-80.3352,0.0
-80.3252,0.0
-80.3152,0.0
-80.3052,0.0
-80.2952,0.0
-80.2852,0.0
-80.2752,0.0
-80.26520000000001,0.0
-80.2552,0.0
-80.2452,0.0
-80.2352,0.0
-80.2252,0.0
-80.2152,0.0
-80.2052,0.0
-80.1952,0.0
-80.1852,0.0
-80.1752,0.0
-80.1652,0.0
-80.15520000000001,0.0
-80.1452,0.0
-80.1352,0.0
-80.1252,0.0
-80.1152,0.0
-80.1052,0.0
-80.0952,0.0
-80.0852,0.0
-80.0752,0.0
-80.0652,0.0
-80.0552,0.0
-80.0452,0.0
-80.0352,0.0
-80.0252,0.0
-80.01520000000001,0.0
-80.0052,0.0
-79.9952,0.0
-79.9852,0.0
-79.9752,0.0
-79.9652,0.0
-79.9552,0.0
-79.9452,0.0
-79.9352,0.0
-79.9252,0.0
-79.9152,0.0
-79.90520000000001,0.0
-79.8952,0.0
-79.8852,0.0
-79.8752,0.0
-79.8652,0.0
-79.8552,0.0
-79.8452,0.0
-79.8352,0.0
-79.8252,0.0
-79.8152,0.0
-79.8052,0.0
-79.7952,0.0
-79.7852,0.0
-79.7752,0.0
-79.76520000000001,0.0
-79.7552,0.0
-79.7452,0.0
-79.7352,0.0
-79.7252,0.0
-79.7152,0.0
-79.7052,0.0
-79.6952,0.0
-79.6852,0.0
-79.6752,0.0
-79.6652,0.0
-79.65520000000001,0.0
-79.6452,0.0
-79.6352,0.0
-79.6252,0.0
-79.6152,0.0
-79.6052,0.0
-79.5952,0.0
-79.5852,0.0
-79.5752,0.0
-79.5652,0.0
-79.5552,0.0
-79.5452,0.0
-79.5352,0.0
-79.5252,0.0
-79.51520000000001,0.0
-79.5052,0.0
-79.4952,0.0
-79.4852,0.0
-79.4752,0.0
-79.4652,0.0
-79.4552,0.0
-79.4452,0.0
-79.4352,0.0
-79.4252,0.0
-79.4152,0.0
-79.40520000000001,0.0
-79.3952,0.0
-79.3852,0.0
-79.3752,0.0
-79.3652,0.0
-79.3552,0.0
-79.3452,0.0
-79.3352,0.0
-79.3252,0.0
-79.3152,0.0
-79.3052,0.0
-79.2952,0.0
-79.2852,0.0
-79.2752,0.0
-79.26520000000001,0.0
-79.2552,0.0
-79.2452,0.0
-79.2352,0.0
-79.2252,0.0
-79.2152,0.0
-79.2052,0.0
-79.1952,0.0
-79.1852,0.0
-79.1752,0.0
-79.1652,0.0
-79.15520000000001,0.0
-79.1452,0.0
-79.1352,0.0
-79.1252,0.0
-79.1152,0.0
-79.1052,0.0
-79.0952,0.0
-79.0852,0.0
-79.0752,0.0
-79.0652,0.0
-79.0552,0.0
-79.0452,0.0
-79.0352,0.0
-79.0252,0.0
-79.01520000000001,0.0
-79.0052,0.0
-78.9952,0.0
-78.9852,0.0
-78.9752,0.0
-78.9652,0.0
-78.9552,0.0
-78.9452,0.0
-78.9352,0.0
-78.9252,0.0
-78.9152,0.0
-78.90520000000001,0.0
-78.8952,0.0
-78.8852,0.0
-78.8752,0.0
-78.8652,0.0
-78.8552,0.0
-78.8452,0.0
-78.8352,0.0
-78.8252,0.0
-78.8152,0.0
-78.8052,0.0
-78.7952,0.0
-78.7852,0.0
-78.7752,0.0
-78.76520000000001,0.0
-78.7552,0.0
-78.7452,0.0
-78.7352,0.0
-78.7252,0.0
-78.7152,0.0
-78.7052,0.0
-78.6952,0.0
-78.6852,0.0
-78.6752,0.0
-78.6652,0.0
-78.65520000000001,0.0
-78.6452,0.0
-78.6352,0.0
-78.6252,0.0
-78.6152,0.0
-78.6052,0.0
-78.5952,0.0
-78.5852,0.0
-78.5752,0.0
-78.5652,0.0
-78.5552,0.0
-78.5452,0.0
-78.5352,0.0
-78.5252,0.0
-78.51520000000001,0.0
-78.5052,0.0
-78.4952,0.0
-78.4852,0.0
-78.4752,0.0
-78.4652,0.0
-78.4552,0.0
-78.4452,0.0
-78.4352,0.0
-78.4252,0.0
-78.4152,0.0
-78.40520000000001,0.0
-78.3952,0.0
-78.3852,0.0
-78.3752,0.0
-78.3652,0.0
-78.3552,0.0
-78.3452,0.0
-78.3352,0.0
-78.3252,0.0
-78.3152,0.0
-78.3052,0.0
-78.2952,0.0
-78.2852,0.0
-78.2752,0.0
-78.26520000000001,0.0
-78.2552,0.0
-78.2452,0.0
-78.2352,0.0
-78.2252,0.0
-78.2152,0.0
-78.2052,0.0
-78.1952,0.0
-78.1852,0.0
-78.1752,0.0
-78.1652,0.0
-78.15520000000001,0.0
-78.1452,0.0
-78.1352,0.0
-78.1252,0.0
-78.1152,0.0
-78.1052,0.0
-78.0952,0.0
-78.0852,0.0
-78.0752,0.0
-78.0652,0.0
-78.0552,0.0
-78.0452,0.0
-78.0352,0.0
-78.0252,0.0
-78.01520000000001,0.0
-78.0052,0.0
-77.9952,0.0
-77.9852,0.0
-77.9752,0.0
-77.9652,0.0
-77.9552,0.0
-77.9452,0.0
-77.9352,0.0
-77.9252,0.0
-77.9152,0.0
-77.90520000000001,0.0
-77.8952,0.0
-77.8852,0.0
-77.8752,0.0
-77.8652,0.0
-77.8552,0.0
-77.8452,0.0
-77.8352,0.0
-77.8252,0.0
-77.8152,0.0
-77.8052,0.0
-77.7952,0.0
-77.7852,0.0
-77.7752,0.0
-77.76520000000001,0.0
-77.7552,0.0
-77.7452,0.0
-77.7352,0.0
-77.7252,0.0
-77.7152,0.0
-77.7052,0.0
-77.6952,0.0
-77.6852,0.0
-77.6752,0.0
-77.6652,0.0
-77.65520000000001,0.0
-77.6452,0.0
-77.6352,0.0
-77.6252,0.0
-77.6152,0.0
-77.6052,0.0
-77.5952,0.0
-77.5852,0.0
-77.5752,0.0
-77.5652,0.0
-77.5552,0.0
-77.5452,0.0
-77.5352,0.0
-77.5252,0.0
-77.51520000000001,0.0
-77.5052,0.0
-77.4952,0.0
-77.4852,0.0
-77.4752,0.0
-77.4652,0.0
-77.4552,0.0
-77.4452,0.0
-77.4352,0.0
-77.4252,0.0
-77.4152,0.0
-77.40520000000001,0.0
-77.3952,0.0
-77.3852,0.0
-77.3752,0.0
-77.3652,0.0
-77.3552,0.0
-77.3452,0.0
-77.3352,0.0
-77.3252,0.0
-77.3152,0.0
-77.3052,0.0
-77.2952,0.0
-77.2852,0.0
-77.2752,0.0
-77.26520000000001,0.0
-77.2552,0.0
-77.2452,0.0
-77.2352,0.0
-77.2252,0.0
-77.2152,0.0
-77.2052,0.0
-77.1952,0.0
-77.1852,0.0
-77.1752,0.0
-77.1652,0.0
-77.15520000000001,0.0
-77.1452,0.0
-77.1352,0.0
-77.1252,0.0
-77.1152,0.0
-77.1052,0.0
-77.0952,0.0
-77.0852,0.0
-77.0752,0.0
-77.0652,0.0
-77.0552,0.0
-77.0452,0.0
-77.0352,0.0
-77.0252,0.0
-77.01520000000001,0.0
-77.0052,0.0
-76.9952,0.0
-76.9852,0.0
-76.9752,0.0
-76.9652,0.0
-76.9552,0.0
-76.9452,0.0
-76.9352,0.0
-76.9252,0.0
-76.9152,0.0
-76.90520000000001,0.0
-76.8952,0.0
-76.8852,0.0
-76.8752,0.0
-76.8652,0.0
-76.8552,0.0
-76.8452,0.0
-76.8352,0.0
-76.8252,0.0
-76.8152,0.0
-76.8052,0.0
-76.7952,0.0
-76.7852,0.0
-76.7752,0.0
-76.76520000000001,0.0
-76.7552,0.0
-76.7452,0.0
-76.7352,0.0
-76.7252,0.0
-76.7152,0.0
-76.7052,0.0
-76.6952,0.0
-76.6852,0.0
-76.6752,0.0
-76.6652,0.0
-76.65520000000001,0.0
-76.6452,0.0
-76.6352,0.0
-76.6252,0.0
-76.6152,0.0
-76.6052,0.0
-76.5952,0.0
-76.5852,0.0
-76.5752,0.0
-76.5652,0.0
-76.5552,0.0
-76.5452,0.0
-76.5352,0.0
-76.5252,0.0
-76.51520000000001,0.0
-76.5052,0.0
-76.4952,0.0
-76.4852,0.0
-76.4752,0.0
-76.4652,0.0
-76.4552,0.0
-76.4452,0.0
-76.4352,0.0
-76.4252,0.0
-76.4152,0.0
-76.40520000000001,0.0
-76.3952,0.0
-76.3852,0.0
-76.3752,0.0
-76.3652,0.0
-76.3552,0.0
-76.3452,0.0
-76.3352,0.0
-76.3252,0.0
-76.3152,0.0
-76.3052,0.0
-76.2952,0.0
-76.2852,0.0
-76.2752,0.0
-76.26520000000001,0.0
-76.2552,0.0
-76.2452,0.0
-76.2352,0.0
-76.2252,0.0
-76.2152,0.0
-76.2052,0.0
-76.1952,0.0
-76.1852,0.0
-76.1752,0.0
-76.1652,0.0
-76.15520000000001,0.0
-76.1452,0.0
-76.1352,0.0
-76.1252,0.0
-76.1152,0.0
-76.1052,0.0
-76.0952,0.0
-76.0852,0.0
-76.0752,0.0
-76.0652,0.0
-76.0552,0.0
-76.0452,0.0
-76.0352,0.0
-76.0252,0.0
-76.01520000000001,0.0
-76.0052,0.0
-75.9952,0.0
-75.9852,0.0
-75.9752,0.0
-75.9652,0.0
-75.9552,0.0
-75.9452,0.0
-75.9352,0.0
-75.9252,0.0
-75.9152,0.0
-75.90520000000001,0.0
-75.8952,0.0
-75.8852,0.0
-75.8752,0.0
-75.8652,0.0
-75.8552,0.0
-75.8452,0.0
-75.8352,0.0
-75.8252,0.0
-75.8152,0.0
-75.8052,0.0
-75.7952,0.0
-75.7852,0.0
-75.7752,0.0
-75.76520000000001,0.0
-75.7552,0.0
-75.7452,0.0
-75.7352,0.0
-75.7252,0.0
-75.7152,0.0
-75.7052,0.0
-75.6952,0.0
-75.6852,0.0
-75.6752,0.0
-75.6652,0.0
-75.65520000000001,0.0
-75.6452,0.0
-75.6352,0.0
-75.6252,0.0
-75.6152,0.0
-75.6052,0.0
-75.5952,0.0
-75.5852,0.0
-75.5752,0.0
-75.5652,0.0
-75.5552,0.0
-75.5452,0.0
-75.5352,0.0
-75.5252,0.0
-75.51520000000001,0.0
-75.5052,0.0
-75.4952,0.0
-75.4852,0.0
-75.4752,0.0
-75.4652,0.0
-75.4552,0.0
-75.4452,0.0
-75.4352,0.0
-75.4252,0.0
-75.4152,0.0
-75.40520000000001,0.0
-75.3952,0.0
-75.3852,0.0
-75.3752,0.0
-75.3652,0.0
-75.3552,0.0
-75.3452,0.0
-75.3352,0.0
-75.3252,0.0
-75.3152,0.0
-75.3052,0.0
-75.2952,0.0
-75.2852,0.0
-75.2752,0.0
-75.26520000000001,0.0
-75.2552,0.0
-75.2452,0.0
-75.2352,0.0
-75.2252,0.0
-75.2152,0.0
-75.2052,0.0
-75.1952,0.0
-75.1852,0.0
-75.1752,0.0
-75.1652,0.0
-75.15520000000001,0.0
-75.1452,0.0
-75.1352,0.0
-75.1252,0.0
-75.1152,0.0
-75.1052,0.0
