,S_1s
-84.4652,5.296898250266121e-07
-84.4552,8.194933673210229e-07
-84.4452,1.2554737304622099e-06
-84.4352,1.8976390125862287e-06
-84.4252,2.8384530575987056e-06
-84.4152,4.20640270113968e-06
-84.40520000000001,6.168702304601249e-06
-84.3952,8.91158046627612e-06
-84.3852,1.2776362310318152e-05
-84.3752,1.8133442764681236e-05
-84.3652,2.5425181905473016e-05
-84.3552,3.5211809859918296e-05
-84.3452,4.829879246260552e-05
-84.3352,6.57444091162868e-05
-84.3252,8.848473885374888e-05
-84.3152,0.00011745276969472282
-84.3052,0.0001542325527835414
-84.2952,0.00020064934362629713
-84.2852,0.0002582822839466261
-84.2752,0.0003272145319315769
-84.26520000000001,0.00041438888005170503
-84.2552,0.0005141427982683282
-84.2452,0.0006355878052098069
-84.2352,0.000772776848715265
-84.2252,0.0009316656335102273
-84.2152,0.0011123592632956982
-84.2052,0.0013118967110556947
-84.1952,0.0015329176974081587
-84.1852,0.0017697073483270713
-84.1752,0.002022258167428345
-84.1652,0.0022839018930228584
-84.15520000000001,0.0025549595968085703
-84.1452,0.00282598798723834
-84.1352,0.0030909740525069083
-84.1252,0.0033342619096962496
-84.1152,0.0035830546783071396
-84.1052,0.00380094712231542
-84.0952,0.0039876541625739215
-84.0852,0.00411308668804956
-84.0752,0.00423687426548708
-84.0652,0.004269351737025611
-84.0552,0.004299761922332029
-84.0452,0.004268520660592219
-84.0352,0.00417563238972428
-84.0252,0.0040813740659023
-84.01520000000001,0.0039255657121214016
-84.0052,0.00370806569349254
-83.9952,0.00349005048626005
-83.9852,0.0032409088025480213
-83.9752,0.0029942721282815343
-83.9652,0.002726255756906876
-83.9552,0.0024551942364581373
-83.9452,0.002187199646174436
-83.9352,0.001928563101017004
-83.9252,0.0016823642796278569
-83.9152,0.001448935118523106
-83.90520000000001,0.0012370056051447928
-83.8952,0.001043829621561005
-83.8852,0.0008724072148630095
-83.8752,0.0007197687961560359
-83.8652,0.0005888720911256572
-83.8552,0.00047669312453464603
-83.8452,0.0003801445569603728
-83.8352,0.00030130735787450293
-83.8252,0.00023584832004206849
-83.8152,0.00018257938082604324
-83.8052,0.00013988977861858177
-83.7952,0.00010593782647093726
-83.7852,7.94517683707465e-05
-83.7752,5.8887209072365696e-05
-83.76520000000001,4.33062421878855e-05
-83.7552,3.1463322146070304e-05
-83.7452,2.2496288849459938e-05
-83.7352,1.598398967731766e-05
-83.7252,1.121701049721949e-05
-83.7152,7.789820945646094e-06
-83.7052,5.35927875064652e-06
-83.6952,3.645514387804779e-06
-83.6852,2.4521848922260712e-06
-83.6752,1.6326746607776568e-06
-83.6652,1.0749571308967548e-06
-83.65520000000001,7.0100905826423e-07
-83.6452,4.5177042934092816e-07
-83.6352,2.8760266434786064e-07
-83.6252,1.8133442796901328e-07
-83.6152,1.1311966418271615e-07
-83.6052,6.979456119040779e-08
-83.5952,4.268473900505091e-08
-83.5852,2.5737645782440363e-08
-83.5752,1.5362728490812797e-08
-83.5652,9.097700351298168e-09
-83.5552,5.297534814421231e-09
-83.5452,3.0722030501565e-09
-83.5352,1.757263825562761e-09
-83.5252,9.939780633907645e-10
-83.51520000000001,5.577161729567577e-10
-83.5052,3.0846249734397693e-10
-83.4952,1.688764206034083e-10
-83.4852,9.160475702158119e-11
-83.4752,4.922429792888221e-11
-83.4652,2.6049971490618624e-11
-83.4552,1.3678827076490333e-11
-83.4452,7.103888395832748e-12
-83.4352,3.645514067794742e-12
-83.4252,1.850974634080125e-12
-83.4152,9.315902651641682e-13
-83.40520000000001,4.641902928216191e-13
-83.3952,2.2745220127706717e-13
-83.3852,1.1061513365705712e-13
-83.3752,5.3281489359026014e-14
-83.3652,2.536159092417193e-14
-83.3552,0.0
-83.3452,0.0
-83.3352,0.0
-83.3252,0.0
-83.3152,0.0
-83.3052,0.0
-83.2952,0.0
-83.2852,0.0
-83.2752,0.0
-83.26520000000001,0.0
-83.2552,0.0
-83.2452,0.0
-83.2352,0.0
-83.2252,0.0
-83.2152,0.0
-83.2052,0.0
-83.1952,0.0
-83.1852,0.0
-83.1752,0.0
-83.1652,0.0
-83.15520000000001,0.0
-83.1452,0.0
-83.1352,0.0
-83.1252,0.0
-83.1152,0.0
-83.1052,0.0
-83.0952,0.0
-83.0852,0.0
-83.0752,0.0
-83.0652,0.0
-83.0552,0.0
-83.0452,0.0
-83.0352,0.0
-83.0252,0.0
-83.01520000000001,0.0
-83.0052,0.0
-82.9952,0.0
-82.9852,0.0
-82.9752,0.0
-82.9652,0.0
-82.9552,0.0
-82.9452,0.0
-82.9352,0.0
-82.9252,0.0
-82.9152,0.0
-82.90520000000001,0.0
-82.8952,0.0
-82.8852,0.0
-82.8752,0.0
-82.8652,0.0
-82.8552,0.0
-82.8452,0.0
-82.8352,0.0
-82.8252,0.0
-82.8152,0.0
-82.8052,0.0
-82.7952,0.0
-82.7852,0.0
-82.7752,0.0
-82.76520000000001,0.0
-82.7552,0.0
-82.7452,0.0
-82.7352,0.0
-82.7252,0.0
-82.7152,0.0
-82.7052,0.0
-82.6952,0.0
-82.6852,0.0
-82.6752,0.0
-82.6652,0.0
-82.65520000000001,0.0
-82.6452,0.0
-82.6352,0.0
-82.6252,0.0
-82.6152,0.0
-82.6052,0.0
-82.5952,0.0
-82.5852,0.0
-82.5752,0.0
-82.5652,0.0
-82.5552,0.0
-82.5452,0.0
-82.5352,0.0
-82.5252,0.0
-82.51520000000001,0.0
-82.5052,0.0
-82.4952,0.0
-82.4852,0.0
-82.4752,0.0
-82.4652,0.0
-82.4552,0.0
-82.4452,0.0
-82.4352,0.0
-82.4252,0.0
-82.4152,0.0
-82.40520000000001,0.0
-82.3952,0.0
-82.3852,0.0
-82.3752,0.0
-82.3652,0.0
-82.3552,0.0
-82.3452,0.0
-82.3352,0.0
-82.3252,0.0
-82.3152,0.0
-82.3052,0.0
-82.2952,0.0
-82.2852,0.0
-82.2752,0.0
-82.26520000000001,0.0
-82.2552,0.0
-82.2452,0.0
-82.2352,0.0
-82.2252,0.0
-82.2152,0.0
-82.2052,0.0
-82.1952,0.0
-82.1852,0.0
-82.1752,0.0
-82.1652,0.0
-82.15520000000001,0.0
-82.1452,0.0
-82.1352,0.0
-82.1252,0.0
-82.1152,0.0
-82.1052,0.0
-82.0952,0.0
