,S_2px
-84.4652,2.4183526531163896e-06
-84.4552,3.7483905520682027e-06
-84.4452,5.723427429416845e-06
-84.4352,8.665733334886806e-06
-84.4252,1.2958310238789863e-05
-84.4152,1.9185661806197267e-05
-84.40520000000001,2.8013229344515843e-05
-84.3952,4.070860942241406e-05
-84.3852,5.844267765701927e-05
-84.3752,8.282801022709253e-05
-84.3652,0.00011607995531377637
-84.3552,0.0001610202012256529
-84.3452,0.0002216758004850478
-84.3352,0.00030027391292963184
-84.3252,0.0004030561585935544
-84.3152,0.0005360623802418385
-84.3052,0.000705341912049184
-84.2952,0.0009169452198217183
-84.2852,0.0011789345262619585
-84.2752,0.0014993617442578796
-84.26520000000001,0.0018883223834230776
-84.2552,0.0023578205102776028
-84.2452,0.0029019538458654914
-84.2352,0.0035267738883395738
-84.2252,0.004252290802461025
-84.2152,0.005078524987543932
-84.2052,0.005985501859530663
-84.1952,0.006993125462874086
-84.1852,0.008081245756937729
-84.1752,0.009230018262007077
-84.1652,0.010439010234113142
-84.15520000000001,0.011668297300066547
-84.1452,0.012897756605409264
-84.1352,0.014106823804032614
-84.1252,0.015275761653884602
-84.1152,0.016343819695551157
-84.1052,0.017311288286286676
-84.0952,0.01813754631264734
-84.0852,0.01880266482352737
-84.0752,0.019286034855990893
-84.0652,0.019548191291317168
-84.0552,0.019628719817795078
-84.0452,0.019467620430626196
-84.0352,0.019124923388707863
-84.0252,0.018580830645563432
-84.01520000000001,0.017855357835311742
-84.0052,0.016968788332681794
-83.9952,0.015961147840504383
-83.9852,0.014852720228392687
-83.9752,0.013663518463915001
-83.9652,0.012434286019994701
-83.9552,0.011204978865613382
-83.9452,0.009995638071646192
-83.9352,0.008806708765587284
-83.9252,0.007678225127076583
-83.9152,0.006610223707096089
-83.90520000000001,0.0056427389733600215
-83.8952,0.004776145075378092
-83.8852,0.003990192115005836
-83.8752,0.0032849501206652296
-83.8652,0.0026803810633389616
-83.8552,0.002176480798795062
-83.8452,0.001737180484265748
-83.8352,0.0013744298370908408
-83.8252,0.0010761462730444142
-83.8152,0.0008323243884049359
-83.8052,0.0006388452055070511
-83.7952,0.00048366551936663936
-83.7852,0.0003627488747786186
-83.7752,0.0002680379062238761
-83.76520000000001,0.0001970950408080975
-83.7552,0.00014308413471769232
-83.7452,0.00010277689029350474
-83.7352,7.295277039112251e-05
-83.7252,5.1188451903930555e-05
-83.7152,3.566982638953306e-05
-83.7052,2.4385673779388922e-05
-83.6952,1.664612874880748e-05
-83.6852,1.120495480159876e-05
-83.6752,7.456540176358295e-06
-83.6652,4.917206386200903e-06
-83.65520000000001,3.204235261585212e-06
-83.6452,2.0556031879126624e-06
-83.6352,1.3119652035587537e-06
-83.6252,8.282804053809356e-07
-83.6152,5.15914558264885e-07
-83.6052,3.184162955522605e-07
-83.5952,1.944737786607988e-07
-83.5852,1.1749070109249195e-07
-83.5752,7.013198294214668e-08
-83.5652,4.151457346459939e-08
-83.5552,2.4183627785497523e-08
-83.5452,1.4026243795125647e-08
-83.5352,8.020804106476513e-09
-83.5252,4.534413709669563e-09
-83.51520000000001,2.5392524246479956e-09
-83.5052,1.408677808611208e-09
-83.4952,7.7185905412066e-10
-83.4852,4.191712464241123e-10
-83.4752,2.236990947347828e-10
-83.4652,1.1890168261247138e-10
-83.4552,6.247301759449072e-11
-83.4452,3.2445584728477756e-11
-83.4352,1.6646128628705083e-11
-83.4252,8.444153655097485e-12
-83.4152,4.252220496098666e-12
-83.40520000000001,2.1160188823446286e-12
-83.3952,1.0378934992591967e-12
-83.3852,5.05830614618057e-13
-83.3752,2.4384430664402773e-13
-83.3652,1.1587726892615516e-13
-83.3552,0.0
-83.3452,0.0
-83.3352,0.0
-83.3252,0.0
-83.3152,0.0
-83.3052,0.0
-83.2952,0.0
-83.2852,0.0
-83.2752,0.0
-83.26520000000001,0.0
-83.2552,0.0
-83.2452,0.0
-83.2352,0.0
-83.2252,0.0
-83.2152,0.0
-83.2052,0.0
-83.1952,0.0
-83.1852,0.0
-83.1752,0.0
-83.1652,0.0
-83.15520000000001,0.0
-83.1452,0.0
-83.1352,0.0
-83.1252,0.0
-83.1152,0.0
-83.1052,0.0
-83.0952,0.0
-83.0852,0.0
-83.0752,0.0
-83.0652,0.0
-83.0552,0.0
-83.0452,0.0
-83.0352,0.0
-83.0252,0.0
-83.01520000000001,0.0
-83.0052,0.0
-82.9952,0.0
-82.9852,0.0
-82.9752,0.0
-82.9652,0.0
-82.9552,0.0
-82.9452,0.0
-82.9352,0.0
-82.9252,0.0
-82.9152,0.0
-82.90520000000001,0.0
-82.8952,0.0
-82.8852,0.0
-82.8752,0.0
-82.8652,0.0
-82.8552,0.0
-82.8452,0.0
-82.8352,0.0
-82.8252,0.0
-82.8152,0.0
-82.8052,0.0
-82.7952,0.0
-82.7852,0.0
-82.7752,0.0
-82.76520000000001,0.0
-82.7552,0.0
-82.7452,0.0
-82.7352,0.0
-82.7252,0.0
-82.7152,0.0
-82.7052,0.0
-82.6952,0.0
-82.6852,0.0
-82.6752,0.0
-82.6652,0.0
-82.65520000000001,0.0
-82.6452,0.0
-82.6352,0.0
-82.6252,0.0
-82.6152,0.0
-82.6052,0.0
-82.5952,0.0
-82.5852,0.0
-82.5752,0.0
-82.5652,0.0
-82.5552,0.0
-82.5452,0.0
-82.5352,0.0
-82.5252,0.0
-82.51520000000001,0.0
-82.5052,0.0
-82.4952,0.0
-82.4852,0.0
-82.4752,0.0
-82.4652,0.0
-82.4552,0.0
-82.4452,0.0
-82.4352,0.0
-82.4252,0.0
-82.4152,0.0
-82.40520000000001,0.0
-82.3952,0.0
-82.3852,0.0
-82.3752,0.0
-82.3652,0.0
