,S_2py
-84.4652,2.420356189855757e-06
-84.4552,3.746375029292486e-06
-84.4452,5.727402200632701e-06
-84.4352,8.655598024550705e-06
-84.4252,1.2958265446040472e-05
-84.4152,1.9185497013937927e-05
-84.40520000000001,2.811300854278397e-05
-84.3952,4.068861216601041e-05
-84.3852,5.834258118164545e-05
-84.3752,8.272727749323702e-05
-84.3652,0.00011608020320496484
-84.3552,0.00016142125209448187
-84.3452,0.00022087480174326517
-84.3352,0.0003006757302591691
-84.3252,0.00040345803650021717
-84.3152,0.0005362596878556507
-84.3052,0.0007053450750440922
-84.2952,0.0009169456926468502
-84.2852,0.0011789318968611034
-84.2752,0.0014993744600927078
-84.26520000000001,0.0018883189973075262
-84.2552,0.0023558300082802586
-84.2452,0.0028999702643878107
-84.2352,0.0035347676296692524
-84.2252,0.004260272491588294
-84.2152,0.005078547651977878
-84.2052,0.005997487324131047
-84.1952,0.007003076612212318
-84.1852,0.008091172955645551
-84.1752,0.009240028166709786
-84.1652,0.010439054001531623
-84.15520000000001,0.011658426907274503
-84.1452,0.012887810255209896
-84.1352,0.014096980543521724
-84.1252,0.015275799106927475
-84.1152,0.016323855245889883
-84.1052,0.01735126548553904
-84.0952,0.01813756934592105
-84.0852,0.0187626505471297
-84.0752,0.01932612664008225
-84.0652,0.01950817317448614
-84.0552,0.01964863441732117
-84.0452,0.019487641889364034
-84.0352,0.01916493794011307
-84.0252,0.01858085775332855
-84.01520000000001,0.017835323472315347
-84.0052,0.016948767869313833
-83.9952,0.01600096670977984
-83.9852,0.014862668174162295
-83.9752,0.013663602664206662
-83.9652,0.012444359399989335
-83.9552,0.01120498498191916
-83.9452,0.009985642929417235
-83.9352,0.0088067741271186
-83.9252,0.007678206015947645
-83.9152,0.006610231117077492
-83.90520000000001,0.005650782001657076
-83.8952,0.004764122520376302
-83.8852,0.003978173387051851
-83.8752,0.003292946423087231
-83.8652,0.0026903888650769616
-83.8552,0.0021744684131581567
-83.8452,0.0017371758479454522
-83.8352,0.0013744201189661617
-83.8252,0.0010761633298787684
-83.8152,0.0008333156358229986
-83.8052,0.0006388390247030015
-83.7952,0.00048366632181927246
-83.7852,0.00036264752648227543
-83.7752,0.0002690378862975739
-83.76520000000001,0.00019669481736397766
-83.7552,0.00014308339889069433
-83.7452,0.0001026782933997265
-83.7352,7.295326401926147e-05
-83.7252,5.1228886503100005e-05
-83.7152,3.564980873318685e-05
-83.7052,2.4485452010760124e-05
-83.6952,1.662620127520757e-05
-83.6852,1.1194842557685432e-05
-83.6752,7.446439617476129e-06
-83.6652,4.911149580746476e-06
-83.65520000000001,3.1922286547357405e-06
-83.6452,2.05760508772896e-06
-83.6352,1.312950907933221e-06
-83.6252,8.282737760335007e-07
-83.6152,5.167179296502259e-07
-83.6052,3.1881551890842805e-07
-83.5952,1.9487389564119406e-07
-83.5852,1.173905291417986e-07
-83.5752,7.013191513103428e-08
-83.5652,4.1434585843653395e-08
-83.5552,2.420360413580101e-08
-83.5452,1.4026362036762638e-08
-83.5352,8.03084234853408e-09
-83.5252,4.536445159667859e-09
-83.51520000000001,2.5392841745712686e-09
-83.5052,1.4086713177959429e-09
-83.4952,7.718549859789447e-10
-83.4852,4.1856946034196536e-10
-83.4752,2.2389922408088388e-10
-83.4652,1.190022683229834e-10
-83.4552,6.237281473239818e-11
-83.4452,3.236580571550295e-11
-83.4352,1.6626100264104545e-11
-83.4252,8.45399620642244e-12
-83.4152,4.248229402345858e-12
-83.40520000000001,2.1140063592062392e-12
-83.3952,1.0388809989005989e-12
-83.3852,5.050324510861552e-13
-83.3752,2.4324465460859366e-13
-83.3652,1.1587811222625578e-13
-83.3552,0.0
-83.3452,0.0
-83.3352,0.0
-83.3252,0.0
-83.3152,0.0
-83.3052,0.0
-83.2952,0.0
-83.2852,0.0
-83.2752,0.0
-83.26520000000001,0.0
-83.2552,0.0
-83.2452,0.0
-83.2352,0.0
-83.2252,0.0
-83.2152,0.0
-83.2052,0.0
-83.1952,0.0
-83.1852,0.0
-83.1752,0.0
-83.1652,0.0
-83.15520000000001,0.0
-83.1452,0.0
-83.1352,0.0
-83.1252,0.0
-83.1152,0.0
-83.1052,0.0
-83.0952,0.0
-83.0852,0.0
-83.0752,0.0
-83.0652,0.0
-83.0552,0.0
-83.0452,0.0
-83.0352,0.0
-83.0252,0.0
-83.01520000000001,0.0
-83.0052,0.0
-82.9952,0.0
-82.9852,0.0
-82.9752,0.0
-82.9652,0.0
-82.9552,0.0
-82.9452,0.0
-82.9352,0.0
-82.9252,0.0
-82.9152,0.0
-82.90520000000001,0.0
-82.8952,0.0
-82.8852,0.0
-82.8752,0.0
-82.8652,0.0
-82.8552,0.0
-82.8452,0.0
-82.8352,0.0
-82.8252,0.0
-82.8152,0.0
-82.8052,0.0
-82.7952,0.0
-82.7852,0.0
-82.7752,0.0
-82.76520000000001,0.0
-82.7552,0.0
-82.7452,0.0
-82.7352,0.0
-82.7252,0.0
-82.7152,0.0
-82.7052,0.0
-82.6952,0.0
-82.6852,0.0
-82.6752,0.0
-82.6652,0.0
-82.65520000000001,0.0
-82.6452,0.0
-82.6352,0.0
-82.6252,0.0
-82.6152,0.0
-82.6052,0.0
-82.5952,0.0
-82.5852,0.0
-82.5752,0.0
-82.5652,0.0
-82.5552,0.0
-82.5452,0.0
-82.5352,0.0
-82.5252,0.0
-82.51520000000001,0.0
-82.5052,0.0
-82.4952,0.0
-82.4852,0.0
-82.4752,0.0
-82.4652,0.0
-82.4552,0.0
-82.4452,0.0
-82.4352,0.0
-82.4252,0.0
-82.4152,0.0
-82.40520000000001,0.0
-82.3952,0.0
-82.3852,0.0
-82.3752,0.0
-82.3652,0.0
-82.3552,0.0
-82.3452,0.0
-82.3352,0.0
-82.3252,0.0
-82.3152,0.0
-82.3052,0.0
-82.2952,0.0
-82.2852,0.0
-82.2752,0.0
-82.26520000000001,0.0
-82.2552,0.0
-82.2452,0.0
-82.2352,0.0
-82.2252,0.0
-82.2152,0.0
-82.2052,0.0
-82.1952,0.0
-82.1852,0.0
-82.1752,0.0
-82.1652,0.0
-82.15520000000001,0.0
-82.1452,0.0
-82.1352,0.0
-82.1252,0.0
-82.1152,0.0
-82.1052,0.0
-82.0952,0.0
-82.0852,0.0
-82.0752,0.0
-82.0652,0.0
-82.0552,0.0
-82.0452,0.0
-82.0352,0.0
-82.0252,0.0
-82.01520000000001,0.0
-82.0052,0.0
-81.9952,0.0
-81.9852,0.0
-81.9752,0.0
-81.9652,0.0
-81.9552,0.0
-81.9452,0.0
-81.9352,0.0
