,Mo_2s
-83.3039,2.3823728143509e-07
-83.2939,3.6954856603475017e-07
-83.28389999999999,5.620174447359e-07
-83.2739,8.521435420922601e-07
-83.26389999999999,1.2756911910057705e-06
-83.25389999999999,1.8875754122430996e-06
-83.2439,2.7651144530443e-06
-83.23389999999999,4.001223454331999e-06
-83.2239,5.742130460657197e-06
-83.2139,8.154714251295002e-06
-83.20389999999999,1.14230571766325e-05
-83.1939,1.5851784345192007e-05
-83.1839,2.1746715547892997e-05
-83.17389999999999,2.953484533368e-05
-83.1639,3.97054127885e-05
-83.1539,5.283754270952101e-05
-83.14389999999999,6.9332666323647e-05
-83.1339,9.010242895080001e-05
-83.12389999999999,0.00011606147433746701
-83.11389999999999,0.00014752223565857997
-83.1039,0.00018580137248804996
-83.09389999999999,0.00023141489995052002
-83.0839,0.00028506692911272
-83.0739,0.0003481753909783401
-83.06389999999999,0.00041844639225913994
-83.0539,0.00050088589315134
-83.0439,0.00058948190025496
-83.03389999999999,0.0006872444092780301
-83.0239,0.0007941343449868697
-83.01389999999999,0.0009071476769795403
-83.00389999999999,0.00102624830014296
-82.9939,0.0011484009907257898
-82.98389999999999,0.0012675407435199198
-82.9739,0.0013876774098979404
-82.9639,0.0015027238028030004
-82.95389999999999,0.0016085996868050003
-82.9439,0.0017042849919607001
-82.9339,0.0017837095909695995
-82.92389999999999,0.0018499032267782001
-82.9139,0.0018967458993681
-82.9039,0.0019242073637002997
-82.89389999999999,0.0019303277107545994
-82.8839,0.0019160568975787999
-82.87389999999999,0.0018814249651859002
-82.86389999999999,0.0018274919375087001
-82.8539,0.0017562279976291
-82.84389999999999,0.0016707031945756997
-82.8339,0.0015698976393395004
-82.8239,0.0014609615283978
-82.81389999999999,0.00134390496777265
-82.8039,0.0012247383791681198
-82.7939,0.00110260650628148
-82.78389999999999,0.0009834648267951602
-82.7739,0.00086639533707085
-82.76389999999999,0.0007544221213922897
-82.75389999999999,0.0006505763254197801
-82.7439,0.0005558809901397597
-82.73389999999999,0.00047034115567648
-82.7239,0.00039096986032248997
-82.7139,0.00032375407408853
-82.70389999999999,0.00026450077435774
-82.6939,0.00021380293683200997
-82.6839,0.00017103954380584996
-82.67389999999999,0.00013530454694559
-82.6639,0.000105981305393168
-82.6539,8.1856973809364e-05
-82.64389999999999,6.291560254401199e-05
-82.6339,4.7645455515818996e-05
-82.62389999999999,3.573378792922499e-05
-82.61389999999999,2.6450076425562994e-05
-82.6039,1.9394682188808e-05
-82.59389999999999,1.4080385000275801e-05
-82.5839,1.0109673986534503e-05
-82.5739,7.1775103543063e-06
-82.56389999999999,5.0395812300656e-06
-82.5539,3.5122753251191004e-06
-82.5439,2.4078045856605e-06
-82.53389999999999,1.6371213531541005e-06
-82.5239,1.10259148517818e-06
-82.51389999999999,7.330419158335397e-07
-82.50389999999999,4.825809475459303e-07
-82.4939,3.1458553687303e-07
-82.48389999999999,2.0260230179565e-07
-82.4739,1.2919620823984802e-07
-82.4639,8.154724351315999e-08
-82.45389999999999,5.070283549606598e-08
-82.4439,3.1456949895946e-08
-82.4339,1.9140167155686004e-08
-82.42389999999999,1.1545344015294499e-08
-82.4139,6.902735356980499e-09
-82.4039,4.092487700243301e-09
-82.39389999999999,2.385413316366901e-09
-82.3839,1.38049700908249e-09
-82.37389999999999,7.8803503971903e-10
-82.36389999999999,4.4593693890045996e-10
-82.3539,2.5014795807969997e-10
-82.34389999999999,1.38563732436743e-10
-82.3339,7.594923422464202e-11
-82.3239,4.1231694726718995e-11
-82.31389999999999,2.2062229821638e-11
-82.3039,1.1698083217132495e-11
-82.2939,6.139262815614198e-12
-82.28389999999999,3.176697688279301e-12
-82.2739,1.6371013201527e-12
-82.26389999999999,8.307804186411201e-13
-82.25389999999999,4.1843130614755003e-13
-82.2439,2.0779459736061002e-13
-82.23389999999999,1.0231749991875301e-13
-82.2239,4.978437647258301e-14
-82.2139,2.3935335824679997e-14
-82.20389999999999,1.1392636421268401e-14
-82.1939,0.0
-82.1839,0.0
-82.17389999999999,0.0
-82.1639,0.0
-82.1539,0.0
-82.14389999999999,0.0
-82.1339,0.0
-82.12389999999999,0.0
-82.11389999999999,0.0
-82.1039,0.0
-82.09389999999999,0.0
-82.0839,0.0
-82.0739,0.0
-82.06389999999999,0.0
-82.0539,0.0
-82.0439,0.0
-82.03389999999999,0.0
-82.0239,0.0
-82.01389999999999,0.0
-82.00389999999999,0.0
-81.9939,0.0
-81.98389999999999,0.0
-81.9739,0.0
-81.9639,0.0
-81.95389999999999,0.0
-81.9439,0.0
-81.9339,0.0
-81.92389999999999,0.0
-81.9139,0.0
-81.9039,0.0
-81.89389999999999,0.0
-81.8839,0.0
-81.87389999999999,0.0
-81.86389999999999,0.0
-81.8539,0.0
-81.84389999999999,0.0
-81.8339,0.0
-81.8239,0.0
-81.81389999999999,0.0
-81.8039,0.0
-81.7939,0.0
-81.78389999999999,0.0
-81.7739,0.0
-81.76389999999999,0.0
-81.75389999999999,0.0
-81.7439,0.0
-81.73389999999999,0.0
-81.7239,0.0
-81.7139,0.0
-81.70389999999999,0.0
-81.6939,0.0
-81.6839,0.0
-81.67389999999999,0.0
-81.6639,0.0
-81.6539,0.0
-81.64389999999999,0.0
-81.6339,0.0
-81.62389999999999,0.0
-81.61389999999999,0.0
-81.6039,0.0
-81.59389999999999,0.0
-81.5839,0.0
-81.5739,0.0
-81.56389999999999,0.0
-81.5539,0.0
-81.5439,0.0
-81.53389999999999,0.0
-81.5239,0.0
-81.51389999999999,0.0
-81.50389999999999,0.0
-81.4939,0.0
-81.48389999999999,0.0
-81.4739,0.0
-81.4639,0.0
-81.45389999999999,0.0
-81.4439,0.0
-81.4339,0.0
-81.42389999999999,0.0
-81.4139,0.0
-81.4039,0.0
-81.39389999999999,0.0
-81.3839,0.0
-81.37389999999999,0.0
-81.36389999999999,0.0
-81.3539,0.0
-81.34389999999999,0.0
-81.3339,0.0
-81.3239,0.0
-81.31389999999999,0.0
-81.3039,0.0
-81.2939,0.0
-81.28389999999999,0.0
-81.2739,0.0
-81.26389999999999,0.0
-81.25389999999999,0.0
-81.2439,0.0
-81.23389999999999,0.0
-81.2239,0.0
-81.2139,0.0
-81.20389999999999,0.0
-81.1939,0.0
-81.1839,0.0
-81.17389999999999,0.0
-81.1639,0.0
-81.1539,0.0
-81.14389999999999,0.0
-81.1339,0.0
-81.12389999999999,0.0
-81.11389999999999,0.0
-81.1039,0.0
-81.09389999999999,0.0
-81.0839,0.0
-81.0739,0.0
-81.06389999999999,0.0
-81.0539,0.0
-81.0439,0.0
-81.03389999999999,0.0
-81.0239,0.0
-81.01389999999999,0.0
-81.00389999999999,0.0
-80.9939,0.0
-80.98389999999999,0.0
-80.9739,0.0
-80.9639,0.0
-80.95389999999999,0.0
-80.9439,0.0
-80.9339,0.0
-80.92389999999999,0.0
-80.9139,0.0
-80.9039,0.0
-80.89389999999999,0.0
-80.8839,0.0
