,Mo_3px
-83.3039,9.40928967991247e-10
-83.2939,1.4552543612184678e-09
-83.28389999999999,2.2246714165691746e-09
-83.2739,3.3676196630380765e-09
-83.26389999999999,5.041425599053655e-09
-83.25389999999999,7.460013833899436e-09
-83.2439,1.0919658074539773e-08
-83.23389999999999,1.5828258653880346e-08
-83.2239,2.2655312092869973e-08
-83.2139,3.224652177804299e-08
-83.20389999999999,4.5105981395272766e-08
-83.1939,6.265822933629195e-08
-83.1839,8.592791099655127e-08
-83.17389999999999,1.1674539740152158e-07
-83.1639,1.5675204657554267e-07
-83.1539,2.0817965956612988e-07
-83.14389999999999,2.735055303414845e-07
-83.1339,3.5616572358049787e-07
-83.12389999999999,4.582115023390015e-07
-83.11389999999999,5.837217834207775e-07
-83.1039,7.347585259121275e-07
-83.09389999999999,9.143823853678723e-07
-83.0839,1.126643997549994e-06
-83.0739,1.3736140018728235e-06
-83.06389999999999,1.6552823093326732e-06
-83.0539,1.974700943320942e-06
-83.0439,2.32677669088313e-06
-83.03389999999999,2.7146516246316353e-06
-83.0239,3.1430534088232567e-06
-83.01389999999999,3.5921334440349927e-06
-83.00389999999999,4.061486754967537e-06
-82.9939,4.5312023092464905e-06
-82.98389999999999,5.020819182932349e-06
-82.9739,5.490232932066192e-06
-82.9639,5.939243285907827e-06
-82.95389999999999,6.347745202911158e-06
-82.9439,6.7351375506739555e-06
-82.9339,7.051716178278326e-06
-82.92389999999999,7.306879821252951e-06
-82.9139,7.49062337966686e-06
-82.9039,7.602648922188911e-06
-82.89389999999999,7.633355217814223e-06
-82.8839,7.572242606566587e-06
-82.87389999999999,7.429408617182222e-06
-82.86389999999999,7.225156564233015e-06
-82.8539,6.939587494612165e-06
-82.84389999999999,6.592604703529682e-06
-82.8339,6.204710201158573e-06
-82.8239,5.776005921909139e-06
-82.81389999999999,5.306692516117501e-06
-82.8039,4.837177657767547e-06
-82.7939,4.3574598732477e-06
-82.78389999999999,3.878004361904747e-06
-82.7739,3.428802500216705e-06
-82.76389999999999,2.9800153313419744e-06
-82.75389999999999,2.5717165666960574e-06
-82.7439,2.204184698317359e-06
-82.73389999999999,1.8532600354182783e-06
-82.7239,1.548116684995717e-06
-82.7139,1.2787110530491744e-06
-82.70389999999999,1.0450041425365513e-06
-82.6939,8.449853899195551e-07
-82.6839,6.755842957200257e-07
-82.67389999999999,5.347501942388823e-07
-82.6639,4.1842177902029004e-07
-82.6539,3.24509816781171e-07
-82.64389999999999,2.4899542558409094e-07
-82.6339,1.8797864075432917e-07
-82.62389999999999,1.4093322143093433e-07
-82.61389999999999,1.0449941415264507e-07
-82.6039,7.663964755590545e-08
-82.59389999999999,5.5617519372310286e-08
-82.5839,4.000172388356906e-08
-82.5739,2.837049970397195e-08
-82.56389999999999,1.9920243670069504e-08
-82.5539,1.38381595933653e-08
-82.5439,9.511315071235517e-09
-82.53389999999999,6.470173877585309e-09
-82.5239,4.347458872144601e-09
-82.51389999999999,2.8983055940123286e-09
-82.50389999999999,1.907344902588306e-09
-82.4939,1.242982343601855e-09
-82.48389999999999,8.001047676712021e-10
-82.4739,5.102540552676291e-10
-82.4639,3.2246521788052973e-10
-82.45389999999999,2.0073479065797588e-10
-82.4439,1.2389013883887528e-10
-82.4339,7.561939353201487e-11
-82.42389999999999,4.5719108507108115e-11
-82.4139,2.734834299963139e-11
-82.4039,1.6124024065853498e-11
-82.39389999999999,9.429491901269573e-12
-82.3839,5.449625494701867e-12
-82.37389999999999,3.1226194698118444e-12
-82.36389999999999,1.7654801628762312e-12
-82.3539,9.878603397036312e-13
-82.34389999999999,5.470132769614091e-13
-82.3339,3.0002798030149806e-13
-82.3239,1.6256657020914586e-13
-82.31389999999999,8.715320824562389e-14
-82.3039,4.632924683111437e-14
-82.2939,2.4287794087673795e-14
-82.28389999999999,1.2593264841926639e-14
-82.2739,6.4701738565743085e-15
-82.26389999999999,3.285989357641934e-15
-82.25389999999999,1.6512019593150713e-15
-82.2439,8.205197519641131e-16
-82.23389999999999,4.0411822882814315e-16
-82.2239,1.964488093968836e-16
-82.2139,9.450100239030991e-17
-82.20389999999999,4.510495907189174e-17
-82.1939,0.0
-82.1839,0.0
-82.17389999999999,0.0
-82.1639,0.0
-82.1539,0.0
-82.14389999999999,0.0
-82.1339,0.0
-82.12389999999999,0.0
-82.11389999999999,0.0
-82.1039,0.0
-82.09389999999999,0.0
-82.0839,0.0
-82.0739,0.0
-82.06389999999999,0.0
-82.0539,0.0
-82.0439,0.0
-82.03389999999999,0.0
-82.0239,0.0
-82.01389999999999,0.0
-82.00389999999999,0.0
-81.9939,0.0
-81.98389999999999,0.0
-81.9739,0.0
-81.9639,0.0
-81.95389999999999,0.0
-81.9439,0.0
-81.9339,0.0
-81.92389999999999,0.0
-81.9139,0.0
-81.9039,0.0
-81.89389999999999,0.0
-81.8839,0.0
-81.87389999999999,0.0
-81.86389999999999,0.0
-81.8539,0.0
-81.84389999999999,0.0
-81.8339,0.0
-81.8239,0.0
-81.81389999999999,0.0
-81.8039,0.0
-81.7939,0.0
-81.78389999999999,0.0
-81.7739,0.0
-81.76389999999999,0.0
-81.75389999999999,0.0
-81.7439,0.0
-81.73389999999999,0.0
-81.7239,0.0
-81.7139,0.0
-81.70389999999999,0.0
-81.6939,0.0
-81.6839,0.0
-81.67389999999999,0.0
-81.6639,0.0
-81.6539,0.0
-81.64389999999999,0.0
-81.6339,0.0
-81.62389999999999,0.0
-81.61389999999999,0.0
-81.6039,0.0
-81.59389999999999,0.0
-81.5839,0.0
-81.5739,0.0
-81.56389999999999,0.0
-81.5539,0.0
-81.5439,0.0
-81.53389999999999,0.0
-81.5239,0.0
-81.51389999999999,0.0
-81.50389999999999,0.0
-81.4939,0.0
-81.48389999999999,0.0
-81.4739,0.0
-81.4639,0.0
-81.45389999999999,0.0
-81.4439,0.0
-81.4339,0.0
-81.42389999999999,0.0
-81.4139,0.0
-81.4039,0.0
-81.39389999999999,0.0
-81.3839,0.0
-81.37389999999999,0.0
-81.36389999999999,0.0
-81.3539,0.0
-81.34389999999999,0.0
-81.3339,0.0
-81.3239,0.0
-81.31389999999999,0.0
-81.3039,0.0
-81.2939,0.0
-81.28389999999999,0.0
-81.2739,0.0
-81.26389999999999,0.0
-81.25389999999999,0.0
-81.2439,0.0
-81.23389999999999,0.0
-81.2239,0.0
-81.2139,0.0
-81.20389999999999,0.0
-81.1939,0.0
-81.1839,0.0
-81.17389999999999,0.0
-81.1639,0.0
-81.1539,0.0
-81.14389999999999,0.0
-81.1339,0.0
-81.12389999999999,0.0
-81.11389999999999,0.0
-81.1039,0.0
-81.09389999999999,0.0
-81.0839,0.0
-81.0739,0.0
-81.06389999999999,0.0
-81.0539,0.0
-81.0439,0.0
-81.03389999999999,0.0
-81.0239,0.0
-81.01389999999999,0.0
-81.00389999999999,0.0
-80.9939,0.0
-80.98389999999999,0.0
-80.9739,0.0
-80.9639,0.0
-80.95389999999999,0.0
-80.9439,0.0
-80.9339,0.0
-80.92389999999999,0.0
-80.9139,0.0
-80.9039,0.0
-80.89389999999999,0.0
-80.8839,0.0
-80.87389999999999,0.0
-80.86389999999999,0.0
-80.8539,0.0
-80.84389999999999,0.0
-80.8339,0.0
-80.8239,0.0
-80.81389999999999,0.0
-80.8039,0.0
-80.7939,0.0
-80.78389999999999,0.0
-80.7739,0.0
-80.76389999999999,0.0
-80.75389999999999,0.0
-80.7439,0.0
-80.73389999999999,0.0
-80.7239,0.0
